Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,12.699805,12.768031,12.680312,12.729045,6.898306,67600
2015-09-23,12.699805,12.846004,12.690059,12.758285,6.914148,42900
2015-09-24,12.709552,12.787524,12.651073,12.660819,6.861329,22200
2015-09-25,12.690059,12.748538,12.651073,12.651073,6.856048,30000
2015-09-28,12.680312,12.709552,12.426901,12.465887,6.755690,72000
2015-09-29,12.417154,12.495127,12.290448,12.456141,6.750406,80100
2015-09-30,12.426901,12.553606,12.280702,12.524366,6.787382,98400
2015-10-01,12.475634,12.524366,12.319688,12.495127,6.771536,235500
2015-10-02,12.290448,12.456141,12.290448,12.446394,6.745128,61900
2015-10-05,12.446394,12.504873,12.436647,12.504873,6.776819,49100
2015-10-06,12.475634,12.524366,12.465887,12.495127,6.771536,51300
2015-10-07,12.397661,12.465887,12.397661,12.436647,6.803528,47000
2015-10-08,12.465887,12.738791,12.426901,12.738791,6.968819,71100
2015-10-09,12.758285,12.855750,12.719298,12.807017,7.006138,73900
2015-10-12,12.787524,12.787524,12.651073,12.768031,6.984812,54700
2015-10-13,12.709552,12.758285,12.651073,12.729045,6.963487,38100
2015-10-14,12.738791,12.738791,12.612085,12.729045,6.963487,37800
2015-10-15,12.738791,12.738791,12.592592,12.690059,6.942158,39800
2015-10-16,12.709552,12.729045,12.621832,12.709552,6.952821,23400
2015-10-19,12.709552,12.768031,12.660819,12.758285,6.979480,34900
2015-10-20,12.729045,12.777778,12.680312,12.758285,6.979480,75800
2015-10-21,12.787524,12.807017,12.709552,12.758285,6.979480,40800
2015-10-22,12.807017,12.865497,12.797271,12.826510,7.016803,36900
2015-10-23,12.816764,12.836257,12.768031,12.816764,7.011470,25100
2015-10-26,12.826510,12.846004,12.729045,12.787524,6.995476,30600
2015-10-27,12.758285,12.768031,12.699805,12.729045,6.963487,38200
2015-10-28,12.738791,12.758285,12.699805,12.709552,6.952821,38700
2015-10-29,12.680312,12.729045,12.621832,12.729045,6.963487,27800
2015-10-30,12.719298,12.768031,12.680312,12.758285,6.979480,27000
2015-11-02,12.768031,12.846004,12.738791,12.826510,7.016803,50700
2015-11-03,12.777778,12.816764,12.758285,12.777778,6.990145,46400
2015-11-04,12.777778,12.816764,12.729045,12.787524,6.995476,38500
2015-11-05,12.768031,12.797271,12.719298,12.777778,6.990145,42500
2015-11-06,12.768031,12.768031,12.534113,12.660819,6.926159,57700
2015-11-09,12.465887,12.465887,12.290448,12.397661,6.845438,47200
2015-11-10,12.319688,12.339181,12.212476,12.290448,6.786240,50000
2015-11-11,12.251462,12.251462,12.085770,12.105263,6.683987,46500
2015-11-12,12.085770,12.144250,12.037037,12.085770,6.673227,49800
2015-11-13,12.056530,12.153996,11.978558,12.017544,6.635553,102300
2015-11-16,12.007797,12.046783,11.968811,12.046783,6.651700,42300
2015-11-17,12.046783,12.056530,11.812865,11.929825,6.587121,214100
2015-11-18,11.881092,11.978558,11.842105,11.968811,6.608645,78400
2015-11-19,11.939571,11.998051,11.803119,11.939571,6.592504,66500
2015-11-20,11.900585,11.910332,11.822612,11.890839,6.565591,32100
2015-11-23,11.890839,11.900585,11.812865,11.861598,6.549449,38600
2015-11-24,11.822612,11.871345,11.744639,11.773879,6.501014,34600
2015-11-25,11.734893,11.812865,11.695907,11.812865,6.522539,53500
2015-11-27,11.851851,11.851851,11.754386,11.832358,6.533302,38200
2015-11-30,11.783626,11.822612,11.744639,11.822612,6.527920,50100
2015-12-01,11.803119,11.920078,11.803119,11.861598,6.549449,99700
2015-12-02,11.842105,11.842105,11.754386,11.773879,6.501014,78100
2015-12-03,11.725146,11.803119,11.617933,11.725146,6.474103,77400
