Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,3.160000,3.180000,3.080000,3.090000,3.090000,975400
2015-09-23,3.160000,3.160000,2.940000,2.970000,2.970000,1492600
2015-09-24,3.040000,3.300000,2.990000,3.290000,3.290000,2195600
2015-09-25,3.230000,3.360000,3.170000,3.230000,3.230000,1278100
2015-09-28,3.110000,3.120000,2.990000,2.990000,2.990000,1324300
2015-09-29,3.020000,3.110000,2.960000,2.970000,2.970000,877800
2015-09-30,2.960000,3.210000,2.940000,3.200000,3.200000,1652200
2015-10-01,3.230000,3.350000,3.060000,3.120000,3.120000,1173000
2015-10-02,3.240000,3.610000,3.200000,3.580000,3.580000,1934200
2015-10-05,3.630000,3.810000,3.530000,3.600000,3.600000,2961200
2015-10-06,3.720000,3.910000,3.660000,3.850000,3.850000,4336100
2015-10-07,3.760000,3.870000,3.640000,3.830000,3.830000,3910100
2015-10-08,3.710000,3.820000,3.650000,3.670000,3.670000,2102100
2015-10-09,3.810000,3.870000,3.710000,3.860000,3.860000,1601600
2015-10-12,3.950000,3.990000,3.680000,3.710000,3.710000,1395900
2015-10-13,3.730000,3.890000,3.660000,3.890000,3.890000,2001900
2015-10-14,3.870000,4.120000,3.860000,4.040000,4.040000,2926000
2015-10-15,4.050000,4.290000,3.950000,4.220000,4.220000,2629600
2015-10-16,4.210000,4.240000,4.040000,4.060000,4.060000,2040500
2015-10-19,4.030000,4.050000,3.670000,3.740000,3.740000,2218000
2015-10-20,3.780000,3.960000,3.750000,3.900000,3.900000,1689800
2015-10-21,3.840000,3.860000,3.650000,3.660000,3.660000,1427200
2015-10-22,3.660000,3.800000,3.650000,3.690000,3.690000,849500
2015-10-23,3.790000,3.800000,3.600000,3.690000,3.690000,1667800
2015-10-26,3.680000,3.770000,3.600000,3.720000,3.720000,1558600
2015-10-27,3.670000,3.750000,3.560000,3.620000,3.620000,1650900
2015-10-28,3.720000,3.890000,3.560000,3.680000,3.680000,2157000
2015-10-29,3.630000,3.680000,3.350000,3.390000,3.390000,1706200
2015-10-30,3.390000,3.420000,3.270000,3.310000,3.310000,1486500
2015-11-02,3.270000,3.380000,3.160000,3.360000,3.360000,1482200
2015-11-03,3.310000,3.450000,3.250000,3.430000,3.430000,1540500
2015-11-04,3.460000,3.460000,3.180000,3.210000,3.210000,1948800
2015-11-05,3.210000,3.220000,3.090000,3.120000,3.120000,1459100
2015-11-06,3.010000,3.040000,2.900000,2.970000,2.970000,1734600
2015-11-09,2.980000,3.060000,2.890000,3.040000,3.040000,1261400
2015-11-10,2.990000,3.000000,2.870000,2.900000,2.900000,1266000
2015-11-11,2.900000,2.940000,2.830000,2.880000,2.880000,1031500
2015-11-12,2.830000,2.900000,2.770000,2.820000,2.820000,1733000
2015-11-13,2.820000,2.970000,2.750000,2.960000,2.960000,2922200
2015-11-16,2.970000,3.070000,2.880000,3.000000,3.000000,1762800
2015-11-17,2.980000,2.990000,2.780000,2.850000,2.850000,2430100
2015-11-18,2.870000,2.980000,2.780000,2.980000,2.980000,1882700
2015-11-19,3.020000,3.250000,2.960000,3.230000,3.230000,2305800
2015-11-20,3.220000,3.250000,3.040000,3.110000,3.110000,1921400
2015-11-23,3.090000,3.160000,3.020000,3.020000,3.020000,1025500
2015-11-24,3.120000,3.280000,3.110000,3.260000,3.260000,1864300
2015-11-25,3.220000,3.280000,3.150000,3.260000,3.260000,889100
2015-11-27,3.170000,3.260000,3.110000,3.220000,3.220000,674800
2015-11-30,3.240000,3.380000,3.220000,3.340000,3.340000,1257200
2015-12-01,3.360000,3.510000,3.290000,3.490000,3.490000,1501200
2015-12-02,3.400000,3.470000,3.300000,3.350000,3.350000,855900
2015-12-03,3.410000,3.460000,3.340000,3.430000,3.430000,945200
2015-12-04,3.460000,3.640000,3.460000,3.620000,3.620000,1743200
2015-12-07,3.570000,3.590000,3.330000,3.400000,3.400000,1288800
2015-12-08,3.370000,3.400000,3.250000,3.310000,3.310000,1054300
2015-12-09,3.380000,3.480000,3.320000,3.420000,3.420000,1105400
2015-12-10,3.380000,3.490000,3.360000,3.440000,3.440000,1144700
2015-12-11,3.340000,3.440000,3.300000,3.360000,3.360000,1241600
2015-12-14,3.340000,3.410000,3.210000,3.270000,3.270000,1666200
2015-12-15,3.320000,3.330000,3.170000,3.190000,3.190000,983300
2015-12-16,3.250000,3.450000,3.250000,3.420000,3.420000,1958100
2015-12-17,3.280000,3.310000,3.050000,3.050000,3.050000,2915200
2015-12-18,3.120000,3.220000,3.060000,3.150000,3.150000,2801100
2015-12-21,3.200000,3.370000,3.130000,3.260000,3.260000,1272500
2015-12-22,3.300000,3.400000,3.250000,3.300000,3.300000,1109900
2015-12-23,3.310000,3.440000,3.290000,3.420000,3.420000,975400
2015-12-24,3.430000,3.650000,3.430000,3.630000,3.630000,907300
2015-12-28,3.550000,3.560000,3.320000,3.350000,3.350000,1239400
2015-12-29,3.420000,3.460000,3.340000,3.390000,3.390000,866700
2015-12-30,3.310000,3.340000,3.240000,3.240000,3.240000,713100
2015-12-31,3.240000,3.310000,3.210000,3.270000,3.270000,848700
2016-01-04,3.380000,3.460000,3.310000,3.420000,3.420000,1342900
2016-01-05,3.460000,3.470000,3.280000,3.360000,3.360000,951300
2016-01-06,3.400000,3.420000,3.330000,3.370000,3.370000,1078400
2016-01-07,3.400000,3.420000,3.260000,3.300000,3.300000,2176900
2016-01-08,3.230000,3.280000,3.130000,3.180000,3.180000,1543200
2016-01-11,3.170000,3.220000,2.930000,2.930000,2.930000,2409600
2016-01-12,2.910000,2.930000,2.710000,2.800000,2.800000,2914000
2016-01-13,2.810000,2.880000,2.760000,2.810000,2.810000,2228000
2016-01-14,2.780000,2.810000,2.680000,2.750000,2.750000,1716200
2016-01-15,2.810000,2.840000,2.670000,2.730000,2.730000,1265800
2016-01-19,2.770000,2.780000,2.450000,2.510000,2.510000,2566200
2016-01-20,2.580000,2.620000,2.400000,2.620000,2.620000,1398000
2016-01-21,2.590000,2.650000,2.500000,2.620000,2.620000,1356600
2016-01-22,2.630000,2.780000,2.610000,2.690000,2.690000,1619600
2016-01-25,2.790000,2.870000,2.690000,2.690000,2.690000,1852900
2016-01-26,2.820000,2.910000,2.780000,2.870000,2.870000,1780100
2016-01-27,2.970000,2.970000,2.840000,2.920000,2.920000,1797800
2016-01-28,2.890000,2.950000,2.800000,2.840000,2.840000,1640000
2016-01-29,2.850000,3.000000,2.840000,2.990000,2.990000,1589000
2016-02-01,3.080000,3.140000,3.020000,3.100000,3.100000,1683600
2016-02-02,3.080000,3.100000,2.950000,3.000000,3.000000,782400
2016-02-03,3.090000,3.230000,3.070000,3.210000,3.210000,1683600
2016-02-04,3.320000,3.490000,3.300000,3.380000,3.380000,2152500
2016-02-05,3.320000,3.590000,3.270000,3.590000,3.590000,2092200
2016-02-08,3.750000,3.980000,3.740000,3.820000,3.820000,3576900
2016-02-09,3.890000,3.920000,3.620000,3.650000,3.650000,3570100
2016-02-10,3.560000,3.680000,3.410000,3.680000,3.680000,2335500
2016-02-11,4.120000,4.160000,3.920000,4.040000,4.040000,4396400
2016-02-12,3.940000,4.370000,3.870000,4.330000,4.330000,2766100
2016-02-16,4.170000,4.280000,4.030000,4.140000,4.140000,2371200
2016-02-17,4.220000,4.350000,4.120000,4.260000,4.260000,1918600
2016-02-18,4.230000,4.660000,4.190000,4.560000,4.560000,2513100
2016-02-19,4.480000,4.670000,4.360000,4.390000,4.390000,2282800
2016-02-22,4.290000,4.480000,4.250000,4.350000,4.350000,2383700
2016-02-23,4.410000,4.510000,4.270000,4.360000,4.360000,2261800
2016-02-24,4.520000,4.600000,4.270000,4.400000,4.400000,3074800
2016-02-25,4.300000,4.650000,4.280000,4.640000,4.640000,2195200
2016-02-26,4.490000,4.800000,4.480000,4.620000,4.620000,2713100
2016-02-29,4.630000,4.710000,4.510000,4.640000,4.640000,2282300
