Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,37.660000,37.660000,36.200001,36.250000,31.511839,165000
2015-09-23,36.349998,36.459999,35.150002,35.349998,30.729475,290400
2015-09-24,35.279999,36.230000,35.020000,35.849998,31.164120,102400
2015-09-25,35.759998,35.880001,35.090000,35.090000,30.503458,101000
2015-09-28,35.000000,35.200001,33.279999,33.450001,29.077822,170900
2015-09-29,33.520000,34.330002,33.009998,33.840000,29.416847,129600
2015-09-30,34.000000,34.750000,33.610001,34.680000,30.147049,141100
2015-10-01,34.730000,34.849998,34.180000,34.419998,29.921028,121900
2015-10-02,34.220001,35.139999,33.959999,35.049999,30.468687,132100
2015-10-05,35.509998,36.029999,35.060001,35.540001,30.894642,120800
2015-10-06,35.650002,36.939999,35.549999,35.959999,31.259743,113700
2015-10-07,36.130001,36.250000,34.810001,35.770000,31.094578,159100
2015-10-08,35.590000,36.299999,35.590000,36.150002,31.424906,83500
2015-10-09,36.360001,36.730000,36.000000,36.599998,31.816093,95800
2015-10-12,36.540001,36.540001,35.500000,35.570000,30.920717,122900
2015-10-13,35.009998,35.520000,34.810001,35.270000,31.275417,213400
2015-10-14,35.310001,35.980000,34.860001,35.500000,31.479364,77700
2015-10-15,35.750000,36.450001,35.000000,36.400002,32.277439,114300
2015-10-16,36.529999,36.549999,35.490002,35.759998,31.709917,130100
2015-10-19,35.520000,36.150002,35.500000,35.869999,31.807457,146700
2015-10-20,35.799999,36.240002,35.549999,36.009998,31.931608,106600
2015-10-21,36.029999,36.259998,35.400002,35.680000,31.638983,154700
2015-10-22,35.730000,36.570000,35.669998,36.290001,32.179893,121900
2015-10-23,36.490002,37.660000,36.400002,37.590000,33.332668,97600
2015-10-26,37.369999,37.810001,36.220001,36.410000,32.286301,161000
2015-10-27,36.270000,36.369999,34.990002,35.029999,31.062605,147600
2015-10-28,35.070000,36.580002,35.040001,36.560001,32.419312,166600
2015-10-29,36.340000,36.730000,35.919998,36.200001,32.100090,63300
2015-10-30,36.139999,37.520000,35.599998,36.950001,32.765148,207700
2015-11-02,36.980000,37.599998,36.799999,37.270000,33.048904,92800
2015-11-03,37.250000,37.720001,36.639999,37.209999,32.995701,82500
2015-11-04,37.209999,37.900002,36.930000,37.230000,33.013439,86500
2015-11-05,37.080002,37.340000,36.610001,36.959999,32.774010,88200
2015-11-06,36.799999,37.830002,36.279999,37.720001,33.447937,120700
2015-11-09,37.599998,37.639999,36.549999,36.730000,32.570053,85500
2015-11-10,36.680000,37.150002,36.650002,37.099998,32.898155,101500
2015-11-11,37.099998,38.959999,36.639999,37.630001,33.368130,130900
2015-11-12,37.230000,37.619999,36.520000,36.750000,32.587795,97600
2015-11-13,36.580002,37.139999,35.799999,36.570000,32.428181,104100
2015-11-16,36.500000,36.750000,36.070000,36.450001,32.321777,80700
2015-11-17,36.430000,37.610001,36.070000,37.430000,33.190784,161000
2015-11-18,37.459999,38.790001,37.259998,38.689999,34.308071,218100
2015-11-19,38.570000,40.099998,38.490002,39.820000,35.310097,281800
2015-11-20,40.099998,40.099998,38.230000,39.630001,35.141617,211300
2015-11-23,39.630001,39.970001,38.820000,38.860001,34.458828,89000
2015-11-24,38.660000,39.630001,38.599998,39.459999,34.990871,113500
2015-11-25,39.139999,39.759998,38.759998,39.380001,34.919933,122900
2015-11-27,39.610001,39.680000,39.340000,39.430000,34.964264,36500
2015-11-30,39.410000,39.669998,39.259998,39.310001,34.857857,118100
2015-12-01,39.470001,39.740002,38.830002,39.139999,34.707111,89200
2015-12-02,38.990002,39.320000,38.630001,38.660000,34.281475,92500
2015-12-03,38.900002,39.130001,37.660000,37.840000,33.554356,102700
2015-12-04,37.830002,38.810001,37.660000,38.070000,33.758301,137100
2015-12-07,37.849998,38.000000,36.810001,37.250000,33.031162,127100
2015-12-08,36.919998,37.060001,35.459999,36.470001,32.339508,209600
2015-12-09,36.430000,36.830002,35.740002,35.849998,31.789724,100100
2015-12-10,35.680000,36.599998,35.580002,35.590000,31.559172,109800
2015-12-11,32.450001,33.540001,29.760000,31.540001,27.967867,788000
2015-12-14,31.700001,32.349998,31.250000,32.310001,28.650663,283600
2015-12-15,32.389999,33.189999,31.700001,32.380001,28.712732,257000
2015-12-16,32.610001,33.259998,31.879999,32.900002,29.173838,199200
2015-12-17,33.270000,33.279999,32.320000,32.320000,28.659527,217400
2015-12-18,32.009998,32.110001,31.250000,32.049999,28.420103,243200
2015-12-21,32.189999,32.619999,32.060001,32.560001,28.872347,212500
2015-12-22,32.770000,32.770000,32.049999,32.439999,28.765936,83200
2015-12-23,32.360001,32.990002,32.360001,32.939999,29.209305,82700
2015-12-24,32.619999,32.740002,32.369999,32.480000,28.801407,50100
2015-12-28,32.330002,32.730000,31.959999,32.630001,28.934420,123500
2015-12-29,32.959999,33.290001,32.400002,32.849998,29.129494,73300
2015-12-30,32.590000,32.970001,32.459999,32.490002,28.810274,131900
2015-12-31,32.509998,32.689999,31.920000,32.400002,28.730467,176400
