Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,74.445244,75.136887,73.688759,75.086456,66.399857,715700
2015-09-23,74.913544,75.259369,74.121040,74.495674,65.877419,375300
2015-09-24,72.276657,73.623917,71.311241,73.141212,64.679649,1262500
2015-09-25,73.991356,75.158501,73.818443,74.257927,65.667175,785400
2015-09-28,73.083572,73.768013,72.831413,73.393372,64.902634,635200
2015-09-29,74.848701,75.468300,73.948128,75.180115,66.482689,843700
2015-09-30,77.175789,78.688759,76.858788,78.537460,69.451630,1224700
2015-10-01,80.172913,80.907784,78.069160,78.775215,69.661888,1761000
2015-10-02,78.703171,79.034584,77.672913,78.897697,69.770195,1243700
2015-10-05,79.394814,80.100868,79.113831,79.661385,70.445526,591000
2015-10-06,80.489914,80.684441,79.099426,79.322769,70.146088,880100
2015-10-07,79.920746,80.482712,79.538902,80.475502,71.165459,834300
2015-10-08,79.567726,80.951012,79.553314,80.907784,71.547714,813700
2015-10-09,81.268013,81.808357,80.713257,81.412102,71.993698,865100
2015-10-12,82.233429,82.514412,81.498558,81.621040,72.178482,637500
2015-10-13,81.116714,81.426514,80.525940,80.691643,71.356598,774500
2015-10-14,81.015854,81.109512,80.028816,80.691643,71.356598,793500
2015-10-15,81.080688,81.930840,80.475502,81.743515,72.286781,770700
2015-10-16,81.231987,82.600868,81.231987,82.420746,72.885666,614600
2015-10-19,81.570602,81.837173,81.159943,81.642654,72.197586,644300
2015-10-20,81.851585,83.436600,81.772331,82.853027,73.267944,749600
2015-10-21,83.256485,83.299713,82.319885,82.600868,73.044968,653400
2015-10-22,82.831413,84.380402,82.701729,84.279541,74.529419,999300
2015-10-23,86.548988,88.054756,86.268013,87.507202,77.383659,1626800
2015-10-26,86.671471,87.377525,85.698845,87.067726,76.995041,713900
2015-10-27,86.606628,87.190201,86.433716,86.772331,76.733833,556500
2015-10-28,87.536026,88.191643,86.599426,87.932274,77.759583,554200
2015-10-29,87.341499,87.377525,86.332855,86.765129,76.727463,523800
2015-10-30,86.743515,87.903458,86.628242,87.348701,77.243507,503700
2015-11-02,87.125359,87.593658,86.909225,87.492798,77.370934,482400
2015-11-03,86.548988,87.110954,86.224785,86.952446,76.893105,457600
2015-11-04,88.868874,89.661385,88.342941,89.092216,78.785324,949600
2015-11-05,90.230545,91.145531,89.481270,90.878960,80.365372,1025700
2015-11-06,89.870316,91.037460,89.834297,90.677231,80.186974,919900
2015-11-09,90.345818,90.914986,90.086456,90.381844,79.925766,565600
2015-11-10,89.149857,90.648415,89.077812,90.194527,79.760109,933400
2015-11-11,90.208931,91.030258,90.028816,90.136887,79.709129,571000
2015-11-12,89.445244,89.827087,88.926514,88.962540,78.670631,602300
2015-11-13,88.451012,88.955330,87.500000,87.809799,77.651268,526400
2015-11-16,87.608070,88.378960,87.478386,88.364555,78.502563,704400
2015-11-17,88.731987,89.034584,88.220459,88.472626,78.598549,292400
2015-11-18,88.623917,89.553314,88.501442,89.481270,79.494629,497500
2015-11-19,89.603745,90.482712,89.387611,90.461098,80.365082,351500
2015-11-20,89.956772,90.965416,89.935158,90.605186,80.493111,610000
2015-11-23,89.992798,90.576370,89.243515,89.243515,79.283401,703200
2015-11-24,89.142654,90.338615,88.861671,90.064842,80.013062,326100
2015-11-25,89.301155,90.410660,89.185883,89.927956,79.891457,494800
2015-11-27,89.149857,89.798271,88.948128,89.589340,79.590622,286600
2015-11-30,90.338615,90.958214,89.927956,90.655617,80.537903,703000
2015-12-01,90.922188,91.974060,90.850143,91.887611,81.632401,646800
2015-12-02,92.240631,92.514412,91.736313,92.038902,81.766800,675200
2015-12-03,92.838615,92.925072,91.793945,91.880402,81.625992,810700
2015-12-04,91.858788,93.083572,91.743515,92.903458,82.534882,536600
2015-12-07,93.054756,93.206055,92.010086,92.514412,82.189247,483400
2015-12-08,90.958214,91.534584,90.612389,90.785301,80.653107,645800
2015-12-09,91.534584,92.975502,91.498558,92.190201,81.901207,702600
2015-12-10,92.730545,92.730545,89.956772,90.497116,80.397095,1133100
2015-12-11,89.200287,89.704613,87.910660,88.472626,78.598549,588900
2015-12-14,88.789627,88.919312,87.593658,88.299713,78.444931,568600
2015-12-15,89.128242,89.920746,88.638329,89.257927,79.296204,492300
2015-12-16,90.353027,90.972626,89.423630,90.749283,80.621101,352100
2015-12-17,90.756485,90.835732,89.474060,89.474060,79.488213,508800
2015-12-18,89.157059,89.221901,88.407784,88.782417,78.873756,428100
2015-12-21,90.432274,90.540344,89.012970,89.726227,79.712234,233100
2015-12-22,89.956772,90.338615,89.438042,90.057640,80.006660,303400
2015-12-23,90.345818,91.750717,90.187317,91.577812,81.357178,467600
2015-12-24,91.275215,91.693085,91.167145,91.246399,81.062759,76000
2015-12-28,91.505760,91.505760,90.763687,91.203171,81.024353,193400
2015-12-29,91.837173,92.031700,91.311241,91.491356,81.280365,271200
2015-12-30,91.123917,91.815559,90.720459,90.900574,80.755531,304600
2015-12-31,90.749283,91.015854,89.726227,89.891930,79.859436,283700
2016-01-04,88.688759,88.796829,86.873199,87.629684,77.849686,563500
2016-01-05,88.299713,88.299713,84.798271,84.906342,75.430298,640200
2016-01-06,83.688759,83.854469,82.319885,83.097984,73.823746,521000
2016-01-07,82.017288,82.031700,79.935158,80.295387,71.333939,743100
2016-01-08,81.700287,82.010086,79.394814,79.466858,70.597878,552100
2016-01-11,81.318443,81.570602,80.410660,81.390488,72.306816,549300
2016-01-12,82.586456,82.903458,81.412102,82.579254,73.362915,860400
2016-01-13,82.427956,82.845818,80.453888,80.634003,71.634781,1423300
2016-01-14,79.682999,79.927956,76.512970,78.760803,69.970612,1387900
2016-01-15,76.066284,76.750717,74.560516,74.985588,66.616745,1290000
2016-01-19,76.981270,77.017288,75.561958,75.778099,67.320801,1260500
2016-01-20,76.203171,76.801155,73.998558,75.410660,66.994377,1122100
2016-01-21,76.354469,77.334297,75.439484,76.801155,68.229691,838400
2016-01-22,79.870316,80.857346,78.840057,79.920746,71.001106,958900
2016-01-25,81.404900,82.031700,80.216141,80.907784,71.877975,1186000
2016-01-26,82.291069,83.083572,81.613831,83.047554,73.778938,758500
2016-01-27,83.270897,84.416428,82.824211,83.386169,74.079765,953500
2016-01-28,82.658501,83.328529,81.563400,81.729103,72.607643,1452800
2016-01-29,75.223343,75.425072,71.772331,74.048988,65.784668,4316900
2016-02-01,74.121040,76.512970,74.020172,75.994240,67.512817,2043100
2016-02-02,75.569160,75.821327,71.685883,72.348701,64.274155,971100
2016-02-03,73.292511,73.292511,69.560516,70.785301,62.885227,1811000
2016-02-04,71.138329,73.119598,70.547554,73.018730,64.869400,1082500
2016-02-05,72.780983,73.299713,71.440926,71.966858,63.934929,995700
2016-02-08,69.841499,70.014412,68.768013,69.675789,61.899536,918000
2016-02-09,69.279541,70.871758,68.688759,70.583572,62.706013,1045300
2016-02-10,71.685883,73.587898,71.592216,72.024498,63.986141,633200
2016-02-11,72.082130,74.214699,71.765129,72.867432,64.734985,812500
2016-02-12,73.926514,75.461098,72.845818,75.453888,67.032776,631800
2016-02-16,74.070602,76.296829,73.350143,75.979828,67.862900,849100
2016-02-17,76.390488,78.487030,76.390488,77.737755,69.433014,716900
2016-02-18,79.200287,80.252159,78.544670,79.005760,70.565559,486400
2016-02-19,77.845818,78.494240,77.780983,78.328529,69.960678,362800
2016-02-22,78.523056,80.677231,78.523056,80.662827,72.045601,606400
2016-02-23,78.904900,79.560516,77.817001,78.393372,70.018600,736000
2016-02-24,75.100868,77.932274,75.100868,77.889046,69.568161,746700
2016-02-25,76.383286,77.910660,75.518730,77.831413,69.516678,707600
2016-02-26,77.219017,77.507202,76.440926,77.089340,68.853882,698900
2016-02-29,76.592216,78.364555,76.440926,76.534584,68.358383,842900
2016-03-01,77.240631,78.523056,76.599426,78.371758,69.999298,605000
2016-03-02,78.191643,79.200287,77.989914,78.782417,70.366081,553600
2016-03-03,78.861671,80.338615,78.861671,80.317001,71.736717,704500
2016-03-04,80.079254,81.116714,79.812683,81.044670,72.386658,640900
2016-03-07,79.949570,81.131126,79.949570,80.713257,72.090660,464100
2016-03-08,79.632568,79.920746,78.494240,79.027374,70.584885,754500
2016-03-09,79.488472,81.116714,79.488472,80.914986,72.270836,607800
2016-03-10,80.468300,81.296829,79.553314,80.511528,71.910469,608700
2016-03-11,81.304031,82.593658,81.231987,82.435158,73.628601,519500
2016-03-14,81.311241,82.471184,81.167145,82.074928,73.306854,1049800
2016-03-15,81.462540,82.961098,81.311241,82.881844,74.027573,962100
2016-03-16,82.752159,84.128242,82.694527,84.085014,75.102203,398700
2016-03-17,82.247841,83.350143,81.772331,82.766571,73.924622,783900
2016-03-18,82.067726,82.557640,80.979828,81.282417,72.599007,1045700
2016-03-21,81.808357,82.067726,81.203171,81.844383,73.100945,261900
2016-03-22,80.886169,82.600868,80.684441,82.204613,73.422676,297300
2016-03-23,81.426514,82.233429,80.893372,81.772331,73.036583,864500
2016-03-24,80.835732,82.355911,80.792511,82.168587,73.390495,376700
2016-03-28,82.312683,82.557640,81.498558,81.635445,72.914322,279800
2016-03-29,81.296829,83.458214,81.195969,83.342941,74.439392,311800
2016-03-30,85.043228,85.965416,85.036026,85.432274,76.305550,642000
2016-03-31,85.720459,85.900574,84.978386,85.360229,76.241180,446600
2016-04-01,83.595100,84.229103,83.306915,83.659943,74.722534,531800
2016-04-04,83.768013,83.868874,82.226227,82.334297,73.538513,474000
2016-04-05,79.877525,81.051872,79.668587,80.785301,72.154999,1055900
2016-04-06,80.050430,81.714699,79.891930,81.693085,72.965813,799600
2016-04-07,80.713257,81.051872,78.782417,79.085014,70.636360,724200
2016-04-08,80.461098,80.936600,79.935158,80.374641,71.788208,1259800
2016-04-11,80.504326,81.484146,80.367432,80.367432,71.781754,479900
2016-04-12,81.268013,82.060516,80.943802,81.239197,72.560394,403400
2016-04-13,81.671471,82.845818,81.512970,82.824211,73.976074,604800
2016-04-14,82.694527,83.494240,82.456772,82.874641,74.021126,439700
2016-04-15,82.355911,82.600868,81.865997,82.399132,73.596420,357900
2016-04-18,81.268013,82.701729,81.059074,82.442360,73.635048,534600
2016-04-19,83.429398,84.171471,82.723343,83.350143,74.445831,396500
2016-04-20,83.242073,83.825645,82.982712,83.306915,74.407227,489800
2016-04-21,83.033142,83.292511,81.433716,81.491356,72.785614,512800
2016-04-22,81.275215,81.570602,80.907784,81.260803,72.579697,498700
2016-04-25,80.662827,81.520172,80.417870,81.376083,72.682655,560300
2016-04-26,81.606628,82.874641,81.311241,82.413544,73.609291,905500
2016-04-27,82.514412,82.917870,81.959656,82.817001,73.969643,866800
2016-04-28,81.880402,82.925072,81.520172,82.500000,73.686508,1350600
2016-04-29,87.694527,88.897697,86.599426,88.234871,78.808731,1932500
2016-05-02,88.681557,89.517288,88.587898,89.221901,79.690315,698500
2016-05-03,87.824211,88.371758,86.527374,87.608070,78.248894,567400
2016-05-04,87.831413,90.576370,87.687317,90.576370,80.900085,1468000
2016-05-05,90.706055,90.763687,90.043228,90.295387,80.649109,681300
2016-05-06,89.682999,90.489914,89.474060,90.302597,80.655563,728200
2016-05-09,89.445244,90.136887,89.438042,89.783859,80.192230,554200
2016-05-10,89.430840,90.648415,89.200287,90.223343,80.584770,1078400
2016-05-11,89.488472,91.001442,89.488472,89.733429,80.147194,475500
2016-05-12,89.877525,89.906342,88.861671,89.005760,79.497253,402200
2016-05-13,88.969742,89.596542,88.126801,88.465416,79.014641,496900
