Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,3.330000,3.400000,3.230000,3.250000,3.087827,215500
2015-09-23,3.250000,3.260000,3.080000,3.120000,2.964314,301900
2015-09-24,3.110000,3.110000,2.920000,3.090000,2.935811,467300
2015-09-25,3.060000,3.100000,2.910000,2.930000,2.783795,315400
2015-09-28,2.920000,2.930000,2.750000,2.890000,2.745791,629100
2015-09-29,2.890000,2.920000,2.710000,2.800000,2.660282,595400
2015-09-30,2.850000,2.860000,2.720000,2.720000,2.584274,314400
2015-10-01,2.740000,2.770000,2.600000,2.660000,2.527268,457500
2015-10-02,2.620000,2.750000,2.620000,2.650000,2.517767,1896500
2015-10-05,2.700000,2.730000,2.640000,2.690000,2.555771,1695600
2015-10-06,2.670000,2.720000,2.650000,2.700000,2.565272,622100
2015-10-07,2.700000,2.720000,2.680000,2.690000,2.555771,846700
2015-10-08,2.680000,2.710000,2.680000,2.700000,2.565272,830200
2015-10-09,2.700000,2.840000,2.650000,2.690000,2.555771,2743200
2015-10-12,2.690000,2.700000,2.610000,2.680000,2.546270,392400
2015-10-13,2.690000,2.700000,2.680000,2.700000,2.565272,955200
2015-10-14,2.700000,2.700000,2.680000,2.690000,2.555771,781200
2015-10-15,2.690000,2.740000,2.570000,2.570000,2.441759,587100
2015-10-16,2.620000,2.840000,2.580000,2.800000,2.660282,1495600
2015-10-19,2.820000,2.960000,2.730000,2.900000,2.755292,710400
2015-10-20,2.890000,3.100000,2.890000,3.090000,2.935811,515000
2015-10-21,3.110000,3.190000,3.070000,3.180000,3.021320,2797000
2015-10-22,3.240000,3.390000,3.210000,3.280000,3.116330,683600
2015-10-23,3.300000,3.310000,3.170000,3.270000,3.106829,938100
2015-10-26,3.300000,3.300000,3.190000,3.210000,3.049823,492100
2015-10-27,3.200000,3.200000,2.980000,3.160000,3.002318,867800
2015-10-28,3.210000,3.330000,3.130000,3.230000,3.068825,844600
2015-10-29,3.240000,3.260000,2.990000,3.020000,2.869304,363300
2015-10-30,3.060000,3.190000,2.960000,3.080000,2.926310,686900
2015-11-02,3.110000,3.190000,3.090000,3.150000,2.992817,406600
2015-11-03,3.150000,3.180000,3.040000,3.070000,2.916809,335200
