Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,6.600000,6.600000,6.200000,6.333333,1.550705,400
2015-09-23,6.066667,6.066667,5.733333,5.733333,1.403796,900
2015-09-24,5.866667,5.933333,5.466667,5.466667,1.338503,200
2015-09-25,5.466667,5.466667,5.333333,5.333333,1.305857,500
2015-09-28,5.333333,5.333333,4.733333,4.733333,1.158948,2000
2015-09-29,5.200000,5.333333,4.133333,4.266667,1.044685,1000
2015-09-30,4.600000,5.866667,3.800000,4.666667,1.142624,5900
2015-10-01,4.733333,4.866667,3.933333,4.200000,1.028362,2200
2015-10-02,3.866667,4.133333,3.733333,4.000000,0.979392,2100
2015-10-05,4.066667,4.333333,4.066667,4.133333,1.012039,1800
2015-10-06,4.133333,4.466667,4.133333,4.466667,1.093655,3200
2015-10-07,4.133333,4.533333,4.066667,4.533333,1.109978,6600
2015-10-08,4.200000,4.533333,4.200000,4.400000,1.077332,4200
2015-10-09,4.200000,4.466667,4.200000,4.466667,1.093655,2700
2015-10-12,4.400000,4.400000,4.200000,4.200000,1.028362,900
2015-10-13,4.266667,4.400000,4.266667,4.400000,1.077332,400
2015-10-14,4.333333,4.333333,4.266667,4.266667,1.044685,200
2015-10-15,4.333333,4.333333,4.266667,4.266667,1.044685,500
2015-10-16,4.266667,4.400000,4.200000,4.400000,1.077332,3100
2015-10-19,4.333333,4.400000,4.200000,4.333333,1.061009,2200
2015-10-20,9.266666,9.266666,3.733333,4.200000,1.028362,700
2015-10-21,3.933333,4.333333,3.933333,4.333333,1.061009,300
2015-10-22,4.066667,4.200000,4.066667,4.200000,1.028362,500
2015-10-23,4.400000,4.400000,4.133333,4.266667,1.044685,300
2015-10-26,5.266667,5.266667,4.466667,4.666667,1.142624,5400
2015-10-27,5.000000,5.000000,4.666667,4.666667,1.142624,1600
2015-10-28,4.533333,4.733333,4.266667,4.733333,1.158948,500
2015-10-29,4.866667,5.000000,4.666667,4.733333,1.158948,2000
2015-10-30,4.666667,4.666667,4.533333,4.533333,1.109978,0
2015-11-02,4.333333,4.466667,4.333333,4.466667,1.093655,200
2015-11-03,4.533333,4.666667,4.400000,4.533333,1.109978,600
2015-11-04,4.333333,4.666667,4.333333,4.466667,1.093655,5300
2015-11-05,4.466667,4.466667,4.466667,4.466667,1.093655,100
2015-11-06,4.133333,4.333333,4.133333,4.333333,1.061009,100
2015-11-09,4.066667,4.066667,3.733333,4.000000,0.979392,1500
2015-11-10,3.666667,3.866667,3.666667,3.800000,0.930423,1500
2015-11-11,3.866667,3.866667,3.866667,3.866667,0.946746,200
2015-11-12,3.933333,3.933333,3.933333,3.933333,0.963069,0
2015-11-13,4.133333,4.666667,4.066667,4.333333,1.061009,2200
2015-11-16,4.333333,4.333333,4.066667,4.066667,0.995716,200
2015-11-17,4.066667,4.066667,4.066667,4.066667,0.995716,0
2015-11-18,4.000000,4.200000,4.000000,4.200000,1.028362,1200
2015-11-19,4.000000,4.133333,3.733333,3.800000,0.930423,4200
2015-11-20,3.866667,3.866667,3.466667,3.466667,0.848807,1500
2015-11-23,3.533333,3.533333,3.200000,3.200000,0.783514,400
2015-11-24,3.333333,3.333333,3.133333,3.200000,0.783514,2200
2015-11-25,3.333333,3.600000,3.333333,3.400000,0.832484,1600
2015-11-27,3.600000,3.600000,3.200000,3.200000,0.783514,100
2015-11-30,0.600000,3.420000,0.600000,2.470000,0.604775,201700
2015-12-01,2.730000,20.850000,2.620000,19.200001,4.701084,5119500
2015-12-02,16.000000,16.780001,10.840000,11.870000,2.906348,2204800
2015-12-03,10.800000,11.480000,6.670000,7.480000,1.831464,942200
2015-12-04,7.880000,9.750000,7.730000,8.480000,2.076312,1336600
2015-12-07,8.330000,11.260000,7.000000,9.240000,2.262397,1161700
2015-12-08,8.800000,10.560000,7.680000,9.540000,2.335851,552900
2015-12-09,9.570000,10.600000,8.600000,9.160000,2.242809,587300
2015-12-10,8.900000,9.400000,8.900000,9.210000,2.255051,90800
2015-12-11,9.080000,9.250000,8.620000,9.190000,2.250154,92300
