Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,8.410000,8.430000,8.310000,8.400000,6.407346,2118400
2015-09-23,8.370000,8.370000,8.240000,8.270000,6.308186,1818600
2015-09-24,8.260000,8.350000,8.210000,8.300000,6.331069,2492400
2015-09-25,8.400000,8.440000,8.290000,8.320000,6.346323,1580700
2015-09-28,8.220000,8.260000,8.160000,8.200000,6.254790,2553800
2015-09-29,8.400000,8.470000,8.350000,8.420000,6.422601,2618200
2015-09-30,8.410000,8.430000,8.290000,8.370000,6.451961,1581000
2015-10-01,8.450000,8.460000,8.330000,8.400000,6.475086,1242200
2015-10-02,8.210000,8.460000,8.210000,8.450000,6.513628,2432600
2015-10-05,8.570000,8.630000,8.510000,8.610000,6.636963,2383500
2015-10-06,8.590000,8.710000,8.590000,8.670000,6.683215,3190400
2015-10-07,8.960000,8.990000,8.860000,8.930000,6.883634,1663100
2015-10-08,8.890000,9.000000,8.860000,9.000000,6.937593,1561500
2015-10-09,9.170000,9.200000,9.110000,9.160000,7.060927,1823800
2015-10-12,9.130000,9.160000,9.100000,9.110000,7.022386,1031500
2015-10-13,8.960000,9.010000,8.900000,8.910000,6.868216,1055100
2015-10-14,8.970000,8.990000,8.900000,8.950000,6.899051,1334400
2015-10-15,8.980000,9.080000,8.980000,9.070000,6.991551,967300
2015-10-16,9.100000,9.170000,9.080000,9.150000,7.053220,1892700
2015-10-19,9.040000,9.050000,8.980000,9.010000,6.945302,1213000
2015-10-20,8.950000,9.020000,8.920000,8.990000,6.929884,1197700
2015-10-21,9.000000,9.040000,8.950000,8.950000,6.899051,849400
2015-10-22,9.060000,9.140000,9.040000,9.070000,6.991551,1560500
2015-10-23,9.010000,9.040000,8.910000,8.990000,6.929884,2212200
2015-10-26,9.000000,9.050000,8.970000,9.020000,6.953010,1198400
2015-10-27,8.890000,8.920000,8.870000,8.890000,6.852801,1083700
2015-10-28,8.940000,9.140000,8.930000,9.090000,7.006968,23285600
2015-10-29,8.810000,8.950000,8.790000,8.920000,6.875925,7319500
2015-10-30,8.580000,8.680000,8.540000,8.620000,6.644672,6063100
2015-11-02,8.710000,8.750000,8.680000,8.700000,6.706338,2549400
2015-11-03,8.630000,8.720000,8.630000,8.720000,6.721756,2452200
2015-11-04,8.770000,8.780000,8.590000,8.630000,6.652381,2285500
2015-11-05,8.590000,8.600000,8.430000,8.460000,6.521337,2116400
2015-11-06,8.530000,8.610000,8.470000,8.560000,6.598422,1973700
2015-11-09,8.560000,8.580000,8.470000,8.510000,6.559880,1328500
2015-11-10,8.390000,8.420000,8.350000,8.420000,6.490503,4049800
2015-11-11,8.470000,8.480000,8.360000,8.360000,6.444252,4296600
2015-11-12,8.150000,8.170000,8.090000,8.100000,6.243834,2233900
2015-11-13,8.090000,8.150000,8.030000,8.100000,6.243834,1748100
2015-11-16,8.060000,8.190000,8.060000,8.180000,6.305502,1975300
2015-11-17,8.200000,8.240000,8.140000,8.140000,6.274668,1649900
2015-11-18,8.200000,8.250000,8.170000,8.250000,6.359460,1446100
2015-11-19,8.390000,8.420000,8.340000,8.380000,6.459669,1745100
2015-11-20,8.370000,8.390000,8.210000,8.210000,6.328626,1236600
2015-11-23,8.260000,8.290000,8.200000,8.210000,6.328626,1617600
2015-11-24,8.160000,8.290000,8.150000,8.270000,6.374877,2384600
2015-11-25,8.170000,8.260000,8.160000,8.210000,6.328626,1652500
2015-11-27,8.330000,8.330000,8.260000,8.280000,6.382586,838900
2015-11-30,8.280000,8.330000,8.260000,8.270000,6.374877,1320600
2015-12-01,8.350000,8.390000,8.310000,8.370000,6.451961,1421800
2015-12-02,8.130000,8.160000,8.040000,8.060000,6.213000,2338900
2015-12-03,8.160000,8.160000,7.970000,8.000000,6.166749,2843600
2015-12-04,7.950000,8.110000,7.950000,8.090000,6.236126,2237300
2015-12-07,7.960000,7.970000,7.900000,7.950000,6.128206,3167000
2015-12-08,7.760000,7.810000,7.740000,7.770000,5.989455,2191000
2015-12-09,7.810000,7.930000,7.770000,7.810000,6.020288,2188700
2015-12-10,7.820000,7.870000,7.770000,7.820000,6.027997,2032300
2015-12-11,7.720000,7.740000,7.620000,7.620000,5.873828,3171900
2015-12-14,7.640000,7.670000,7.510000,7.560000,5.827577,3623500
2015-12-15,7.610000,7.650000,7.550000,7.570000,5.835286,3565600
2015-12-16,7.690000,7.790000,7.610000,7.760000,5.981747,2719300
2015-12-17,7.800000,7.800000,7.660000,7.660000,5.904662,2821900
2015-12-18,7.630000,7.640000,7.540000,7.560000,5.827577,3425300
2015-12-21,7.400000,7.450000,7.340000,7.390000,5.696535,3483600
2015-12-22,7.390000,7.480000,7.350000,7.460000,5.750494,2533100
2015-12-23,7.530000,7.630000,7.530000,7.630000,5.881537,2767400
2015-12-24,7.820000,7.820000,7.640000,7.660000,5.904662,1212200
2015-12-28,7.570000,7.590000,7.510000,7.580000,5.842996,1661800
2015-12-29,7.510000,7.540000,7.460000,7.520000,5.796744,1979800
2015-12-30,7.510000,7.520000,7.450000,7.460000,5.750494,1383100
2015-12-31,7.360000,7.390000,7.320000,7.330000,5.650284,1640800
2016-01-04,7.210000,7.240000,7.080000,7.230000,5.573200,3052200
2016-01-05,7.230000,7.240000,7.110000,7.190000,5.542365,2738500
2016-01-06,6.980000,7.040000,6.950000,7.000000,5.395905,2256900
2016-01-07,6.830000,6.930000,6.820000,6.850000,5.346560,2809700
2016-01-08,6.870000,6.890000,6.690000,6.690000,5.221677,3232400
2016-01-11,6.770000,6.820000,6.720000,6.770000,5.284118,2858700
2016-01-12,6.840000,6.860000,6.720000,6.810000,5.315339,2062100
2016-01-13,6.820000,6.850000,6.600000,6.620000,5.167041,7301900
2016-01-14,6.680000,6.800000,6.600000,6.760000,5.276314,2709600
2016-01-15,6.550000,6.590000,6.410000,6.460000,5.042158,3106200
2016-01-19,6.420000,6.440000,6.310000,6.370000,4.971911,4169300
2016-01-20,6.220000,6.240000,6.060000,6.200000,4.839222,4300200
2016-01-21,6.200000,6.320000,6.130000,6.280000,4.901664,2408500
2016-01-22,6.480000,6.530000,6.440000,6.510000,5.081183,5037400
2016-01-25,6.300000,6.330000,6.230000,6.260000,4.886054,3692500
2016-01-26,6.340000,6.490000,6.330000,6.480000,5.057767,2970000
2016-01-27,6.400000,6.490000,6.370000,6.380000,4.979716,1914000
2016-01-28,6.350000,6.380000,6.220000,6.310000,4.925080,3321500
2016-01-29,6.380000,6.470000,6.330000,6.470000,5.049962,2874600
2016-02-01,6.340000,6.400000,6.290000,6.370000,4.971911,2798000
2016-02-02,6.180000,6.180000,6.050000,6.080000,4.745559,3171000
2016-02-03,6.090000,6.190000,5.890000,6.180000,4.823611,3813400
2016-02-04,6.190000,6.510000,6.190000,6.510000,5.081183,3112900
2016-02-05,6.560000,6.630000,6.530000,6.580000,5.135820,2187700
2016-02-08,6.310000,6.330000,6.210000,6.290000,4.909469,3965600
2016-02-09,6.030000,6.140000,5.980000,6.090000,4.753365,4960900
2016-02-10,6.310000,6.420000,6.250000,6.310000,4.925080,2698300
2016-02-11,6.020000,6.080000,5.910000,5.970000,4.659702,4547100
2016-02-12,6.090000,6.230000,5.990000,6.220000,4.854832,2207600
2016-02-16,6.370000,6.370000,6.240000,6.300000,4.917274,1766000
2016-02-17,6.440000,6.560000,6.430000,6.540000,5.104599,3057600
2016-02-18,6.460000,6.460000,6.250000,6.280000,4.901664,1780500
2016-02-19,6.110000,6.200000,6.060000,6.170000,4.815807,2720600
2016-02-22,6.280000,6.360000,6.270000,6.350000,4.956300,1513600
2016-02-23,6.300000,6.310000,6.150000,6.180000,4.823611,1571200
2016-02-24,5.940000,6.010000,5.860000,6.010000,4.690923,2916700
2016-02-25,6.060000,6.090000,5.990000,6.080000,4.745559,2827100
2016-02-26,6.300000,6.350000,6.270000,6.270000,4.893859,2032000
2016-02-29,6.360000,6.380000,6.300000,6.330000,4.940690,2024000
2016-03-01,6.360000,6.520000,6.320000,6.520000,5.088989,2594300
2016-03-02,6.610000,6.770000,6.590000,6.760000,5.276314,2844700
2016-03-03,6.800000,6.900000,6.770000,6.900000,5.385586,1863200
