Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,26.809999,26.900000,26.440001,26.590000,25.236942,374400
2015-09-23,26.600000,26.740000,26.250000,26.389999,25.047121,288900
2015-09-24,26.190001,26.469999,25.799999,26.090000,24.762384,342600
2015-09-25,26.340000,27.030001,26.250000,26.959999,25.588112,449900
2015-09-28,26.840000,26.940001,26.350000,26.490000,25.142029,316900
2015-09-29,26.590000,26.760000,26.280001,26.500000,25.151518,407900
2015-09-30,26.690001,27.040001,26.620001,27.010000,25.635572,831100
2015-10-01,27.030001,27.799999,26.870001,27.770000,26.356899,759900
2015-10-02,27.440001,28.490000,27.030001,28.410000,26.964329,554600
2015-10-05,28.940001,29.760000,28.830000,29.700001,28.188684,417000
2015-10-06,28.379999,29.660000,28.090000,29.350000,27.856501,383300
2015-10-07,29.500000,29.629999,28.580000,28.719999,27.258556,296000
2015-10-08,28.639999,29.299999,28.590000,29.260000,27.771072,212200
2015-10-09,29.320000,29.820000,29.110001,29.780001,28.264616,191100
2015-10-12,29.799999,30.209999,29.690001,30.200001,28.663244,171100
2015-10-13,30.080000,30.469999,30.049999,30.129999,28.596807,184500
2015-10-14,30.139999,30.600000,29.959999,30.510000,28.957472,235700
2015-10-15,30.690001,31.150000,30.440001,31.139999,29.555408,195200
2015-10-16,31.240000,31.250000,30.700001,30.959999,29.384565,193800
2015-10-19,30.860001,31.280001,30.860001,31.230000,29.640829,155600
2015-10-20,31.180000,31.250000,31.030001,31.160000,29.574396,145900
2015-10-21,31.260000,31.410000,30.480000,30.490000,28.938486,165400
2015-10-22,30.629999,30.950001,30.330000,30.570000,29.014420,280700
2015-10-23,30.809999,31.309999,30.750000,31.290001,29.697781,226400
2015-10-26,31.340000,31.820000,31.200001,31.610001,30.001497,546900
2015-10-27,31.459999,31.860001,31.400000,31.830000,30.210300,387000
2015-10-28,31.879999,32.610001,31.559999,32.610001,30.950613,466300
2015-10-29,32.520000,33.060001,32.310001,32.459999,30.808239,366700
2015-10-30,32.220001,33.369999,30.730000,30.980000,29.403553,361100
2015-11-02,31.090000,31.690001,30.879999,31.540001,29.935062,445800
2015-11-03,31.459999,31.610001,30.950001,31.129999,29.545921,277700
2015-11-04,31.160000,31.160000,30.559999,30.629999,29.071363,162700
2015-11-05,30.690001,30.820000,30.480000,30.610001,29.052380,186200
2015-11-06,30.490000,31.290001,30.309999,31.260000,29.669304,177400
2015-11-09,31.150000,31.150000,30.490000,30.610001,29.052380,129500
2015-11-10,30.459999,30.680000,30.200001,30.590000,29.128559,141900
2015-11-11,30.730000,31.100000,30.400000,31.020000,29.538017,256600
2015-11-12,30.780001,31.030001,30.590000,30.650000,29.185690,255200
2015-11-13,30.500000,30.990000,30.500000,30.790001,29.319010,273400
2015-11-16,30.700001,30.889999,30.459999,30.840000,29.366615,216100
2015-11-17,30.920000,31.350000,30.730000,31.100000,29.614195,314600
2015-11-18,31.180000,31.660000,30.670000,31.610001,30.099834,246400
2015-11-19,31.590000,31.650000,31.330000,31.620001,30.109350,221600
2015-11-20,31.790001,31.980000,31.540001,31.889999,30.366453,184400
2015-11-23,31.920000,32.130001,31.650000,31.950001,30.423588,194100
2015-11-24,31.730000,32.139999,31.350000,32.090000,30.556902,170500
2015-11-25,32.410000,32.410000,31.990000,32.220001,30.680685,127200
2015-11-27,32.200001,32.330002,31.959999,32.209999,30.671160,47500
2015-11-30,32.240002,32.779999,32.150002,32.180000,30.642601,256700
2015-12-01,32.279999,32.509998,31.980000,32.099998,30.566420,176400
2015-12-02,32.099998,32.270000,31.280001,31.320000,29.823683,229900
2015-12-03,31.410000,31.610001,30.620001,30.719999,29.252350,181900
2015-12-04,30.780001,31.570000,30.700001,31.170000,29.680849,342600
2015-12-07,31.030001,31.170000,30.770000,30.980000,29.499928,227900
2015-12-08,30.740000,31.020000,30.350000,30.410000,28.957157,131800
2015-12-09,30.360001,30.930000,29.969999,30.840000,29.366615,333800
2015-12-10,30.820000,31.139999,30.559999,30.650000,29.185690,112100
2015-12-11,30.160000,30.299999,29.629999,29.740000,28.319170,129900
2015-12-14,29.709999,29.750000,29.120001,29.219999,27.824007,228600
