Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,6.970000,6.980000,6.950000,6.980000,5.697796,1800
2015-09-23,7.000000,7.000000,7.000000,7.000000,5.714123,200
2015-09-24,6.980000,7.000000,6.980000,7.000000,5.714123,1300
2015-09-25,7.000000,7.040000,7.000000,7.040000,5.746775,1200
2015-09-28,7.090000,7.090000,7.000000,7.000000,5.714123,2600
2015-09-29,7.040000,7.040000,7.020000,7.020000,5.730449,300
2015-09-30,7.090000,7.090000,7.090000,7.090000,5.787591,300
2015-10-01,6.970000,6.970000,6.950000,6.950000,5.673308,2000
2015-10-02,6.950000,6.950000,6.950000,6.950000,5.673308,0
2015-10-05,7.080000,7.100000,6.900000,7.100000,5.795754,6800
2015-10-06,7.200000,7.200000,7.010000,7.020000,5.730449,2000
2015-10-07,7.150000,7.150000,7.020000,7.020000,5.730449,3100
2015-10-08,7.000000,7.040000,7.000000,7.040000,5.746775,200
2015-10-09,6.990000,6.990000,6.850000,6.940000,5.665144,4700
2015-10-12,7.060000,7.130000,7.050000,7.130000,5.820242,1000
2015-10-13,7.180000,7.180000,6.930000,7.050000,5.754938,2100
2015-10-14,6.940000,7.170000,6.940000,7.170000,5.852895,700
2015-10-15,7.180000,7.200000,7.070000,7.200000,5.877383,1700
2015-10-16,7.050000,7.050000,7.000000,7.010000,5.722286,1100
2015-10-19,6.930000,7.030000,6.930000,7.030000,5.738612,800
2015-10-20,7.100000,7.100000,6.860000,7.000000,5.714123,4300
2015-10-21,6.860000,6.960000,6.860000,6.890000,5.624330,1600
2015-10-22,6.930000,6.930000,6.930000,6.930000,5.656982,200
2015-10-23,6.930000,6.930000,6.930000,6.930000,5.656982,0
2015-10-26,6.920000,6.920000,6.900000,6.900000,5.632493,3600
2015-10-27,6.850000,6.910000,6.800000,6.800000,5.550863,8700
2015-10-28,6.800000,6.800000,6.800000,6.800000,5.550863,0
2015-10-29,6.820000,6.870000,6.820000,6.870000,5.608004,400
2015-10-30,6.800000,6.810000,6.720000,6.720000,5.485558,12300
2015-11-02,6.760000,6.760000,6.710000,6.710000,5.477395,1300
2015-11-03,6.710000,6.740000,6.710000,6.710000,5.477395,500
2015-11-04,6.780000,6.810000,6.780000,6.810000,5.559025,5600
2015-11-05,6.810000,6.810000,6.740000,6.740000,5.501884,700
2015-11-06,6.800000,6.920000,6.740000,6.820000,5.567188,106300
2015-11-09,6.800000,6.850000,6.800000,6.810000,5.559025,9900
2015-11-10,6.800000,6.820000,6.760000,6.820000,5.567188,1600
2015-11-11,6.750000,6.820000,6.750000,6.790000,5.542699,7000
2015-11-12,6.790000,6.790000,6.750000,6.750000,5.510047,25300
2015-11-13,6.750000,6.840000,6.750000,6.840000,5.583515,3800
2015-11-16,6.800000,6.810000,6.750000,6.750000,5.510047,23000
2015-11-17,6.750000,6.790000,6.750000,6.790000,5.542699,700
2015-11-18,6.760000,6.760000,6.750000,6.750000,5.510047,200
2015-11-19,6.750000,6.890000,6.750000,6.820000,5.567188,22800
2015-11-20,6.820000,6.820000,6.760000,6.820000,5.567188,300
2015-11-23,6.820000,6.820000,6.740000,6.740000,5.501884,400
2015-11-24,6.720000,6.800000,6.720000,6.790000,5.542699,2400
2015-11-25,6.800000,6.820000,6.710000,6.770000,5.526373,6200
2015-11-27,6.740000,6.840000,6.740000,6.740000,5.501884,1900
2015-11-30,6.740000,6.790000,6.730000,6.790000,5.542699,2000
2015-12-01,6.820000,7.000000,6.740000,6.820000,5.567188,9000
2015-12-02,6.810000,6.810000,6.720000,6.790000,5.542699,3400
2015-12-03,6.830000,6.910000,6.830000,6.890000,5.624330,500
