Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,25.639999,25.709999,25.020000,25.180000,23.849119,799100
2015-09-23,25.129999,25.330000,25.059999,25.209999,23.877533,606400
2015-09-24,25.049999,25.110001,24.709999,25.030001,23.707050,593700
2015-09-25,25.129999,25.500000,25.020000,25.490000,24.142731,1414900
2015-09-28,25.299999,25.459999,25.180000,25.350000,24.010132,927500
2015-09-29,25.549999,26.129999,25.450001,26.030001,24.654190,1242700
2015-09-30,26.330000,26.389999,25.980000,26.360001,24.966749,826500
2015-10-01,26.250000,26.320000,25.910000,26.320000,24.928864,696100
2015-10-02,26.090000,26.920000,25.900000,26.879999,25.459261,872700
2015-10-05,27.080000,27.299999,26.980000,27.230000,25.790768,1189800
2015-10-06,27.280001,27.690001,27.280001,27.459999,26.008606,896500
2015-10-07,27.680000,28.150000,27.549999,27.870001,26.396936,569400
2015-10-08,27.799999,28.320000,27.660000,28.200001,26.709497,665900
2015-10-09,28.320000,28.570000,28.180000,28.360001,26.861032,498900
2015-10-12,28.430000,28.600000,28.350000,28.530001,27.022053,516900
2015-10-13,28.900000,28.900000,28.170000,28.219999,26.728443,656900
2015-10-14,27.600000,28.340000,27.600000,27.790001,26.321171,456600
2015-10-15,27.760000,27.820000,27.440001,27.740000,26.273809,318300
2015-10-16,27.719999,27.830000,27.350000,27.590000,26.131742,515300
2015-10-19,27.500000,27.620001,27.350000,27.520000,26.065439,242900
2015-10-20,27.469999,27.889999,27.450001,27.790001,26.321171,259300
2015-10-21,27.790001,27.950001,27.530001,27.570000,26.112793,440600
2015-10-22,27.639999,28.110001,27.610001,27.950001,26.472710,571400
2015-10-23,28.150000,28.270000,27.950001,28.180000,26.690554,292200
2015-10-26,28.230000,28.459999,27.889999,28.020000,26.539011,360200
2015-10-27,27.910000,27.990000,27.650000,27.820000,26.349581,286300
2015-10-28,27.850000,28.160000,27.680000,28.090000,26.605310,596600
2015-10-29,27.959999,28.170000,27.870001,28.040001,26.557957,781700
2015-10-30,27.980000,28.629999,27.760000,28.299999,26.804213,819400
2015-11-02,28.420000,28.420000,27.940001,28.270000,26.775797,977200
2015-11-03,28.299999,29.020000,28.280001,28.660000,27.145185,752300
2015-11-04,28.670000,28.850000,28.370001,28.620001,27.107296,675700
2015-11-05,29.549999,30.530001,29.160000,29.219999,27.675583,899500
2015-11-06,29.320000,29.480000,28.910000,29.120001,27.580872,721700
2015-11-09,29.180000,29.410000,29.049999,29.059999,27.524038,951800
2015-11-10,29.070000,29.459999,28.950001,29.350000,27.798712,955200
2015-11-11,29.420000,29.760000,29.170000,29.709999,28.139687,814600
2015-11-12,29.760000,29.760000,28.410000,28.459999,26.955753,1128800
2015-11-13,28.379999,29.020000,28.330000,28.790001,27.268311,658900
2015-11-16,28.570000,29.240000,28.570000,29.219999,27.675583,620900
2015-11-17,29.290001,29.330000,28.870001,28.900000,27.372501,692800
2015-11-18,28.959999,29.459999,28.900000,29.370001,27.875536,1105500
2015-11-19,29.350000,29.389999,29.020000,29.309999,27.818581,499200
2015-11-20,29.420000,29.660000,29.180000,29.410000,27.913494,606100
2015-11-23,29.400000,30.120001,29.209999,29.809999,28.293142,634300
2015-11-24,29.790001,30.379999,29.600000,30.320000,28.777193,690300
2015-11-25,30.360001,30.559999,30.080000,30.110001,28.577873,336300
2015-11-27,29.990000,30.480000,29.879999,30.320000,28.777193,266900
2015-11-30,30.360001,30.629999,30.320000,30.450001,28.900574,654100
2015-12-01,30.440001,30.840000,30.240000,30.799999,29.232765,587800
2015-12-02,30.850000,31.250000,30.670000,31.059999,29.479536,904000
2015-12-03,31.110001,31.260000,30.780001,30.959999,29.384623,872500
2015-12-04,30.959999,31.620001,30.760000,31.209999,29.621906,548600
2015-12-07,31.160000,31.160000,30.730000,30.809999,29.242254,697400
2015-12-08,30.680000,30.889999,30.299999,30.760000,29.194801,690900
2015-12-09,30.809999,31.000000,30.350000,30.559999,29.004978,719700
2015-12-10,30.549999,31.190001,30.400000,31.090000,29.508011,668000
2015-12-11,30.820000,31.059999,30.600000,30.969999,29.394114,794200
2015-12-14,30.969999,31.230000,30.860001,30.980000,29.403608,763800
2015-12-15,31.040001,31.700001,30.830000,31.480000,29.878166,1176200
2015-12-16,31.500000,31.959999,31.150000,31.540001,29.935112,1151000
2015-12-17,31.660000,31.730000,31.040001,31.049999,29.470041,846300
2015-12-18,31.110001,31.230000,30.760000,30.770000,29.204294,1278500
2015-12-21,30.870001,31.100000,30.780001,30.940001,29.365643,455300
2015-12-22,31.000000,31.559999,30.920000,31.500000,29.897144,533600
