Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,8.010000,8.140000,7.530000,7.560000,3.970848,108400
2015-09-23,7.590000,7.640000,7.400000,7.560000,3.970848,153600
2015-09-24,7.560000,7.560000,7.360000,7.510000,3.944586,62200
2015-09-25,7.620000,7.670000,7.430000,7.660000,4.023373,79600
2015-09-28,7.600000,7.600000,7.270000,7.280000,3.823780,54500
2015-09-29,7.250000,7.360000,7.070000,7.090000,3.723983,64700
2015-09-30,7.160000,7.190000,7.010000,7.130000,3.744993,64300
2015-10-01,7.130000,7.470000,7.130000,7.260000,3.813275,112000
2015-10-02,7.160000,7.280000,6.960000,7.160000,3.760750,143700
2015-10-05,7.150000,7.400000,7.150000,7.280000,3.823780,76600
2015-10-06,7.230000,7.350000,7.210000,7.300000,3.834285,77200
2015-10-07,7.350000,7.520000,7.340000,7.500000,3.939333,121000
2015-10-08,7.750000,7.750000,7.550000,7.610000,3.997110,56400
2015-10-09,7.580000,7.710000,7.580000,7.650000,4.018120,66000
2015-10-12,7.680000,7.680000,7.500000,7.510000,3.944586,43600
2015-10-13,7.490000,7.490000,7.340000,7.430000,3.902566,72100
2015-10-14,7.390000,7.470000,7.140000,7.180000,3.771255,45100
2015-10-15,7.310000,7.310000,7.150000,7.180000,3.771255,58000
2015-10-16,7.190000,7.200000,7.080000,7.170000,3.766003,36900
2015-10-19,7.140000,7.420000,7.110000,7.280000,3.823780,80200
2015-10-20,7.250000,7.390000,7.250000,7.300000,3.834285,51100
2015-10-21,7.360000,7.360000,7.170000,7.200000,3.781760,38000
2015-10-22,7.190000,7.300000,7.060000,7.120000,3.739740,57900
2015-10-23,7.090000,7.230000,7.070000,7.110000,3.734488,70700
2015-10-26,7.070000,7.240000,7.020000,7.070000,3.713478,93800
2015-10-27,7.020000,7.060000,6.820000,6.900000,3.624187,632000
2015-10-28,7.310000,7.500000,7.120000,7.380000,3.876304,160100
2015-10-29,7.500000,7.740000,7.350000,7.510000,3.944586,609100
2015-10-30,7.610000,7.610000,7.370000,7.480000,3.928829,119100
2015-11-02,7.550000,7.550000,7.380000,7.430000,3.902566,168900
2015-11-03,7.350000,7.550000,7.320000,7.460000,3.918324,121500
2015-11-04,7.450000,7.530000,7.310000,7.320000,3.844790,87100
2015-11-05,6.610000,6.790000,5.940000,6.010000,3.156719,261000
2015-11-06,6.070000,6.100000,5.910000,6.030000,3.167224,172000
2015-11-09,5.990000,6.040000,5.680000,5.730000,3.009651,104300
2015-11-10,5.790000,6.140000,5.650000,6.110000,3.209244,195800
2015-11-11,6.110000,6.270000,6.110000,6.130000,3.219749,97900
2015-11-12,6.110000,6.260000,5.910000,5.940000,3.119952,130600
2015-11-13,5.890000,5.990000,5.820000,5.960000,3.130457,108000
2015-11-16,5.950000,6.030000,5.870000,5.900000,3.098943,113000
2015-11-17,5.880000,5.950000,5.690000,5.700000,2.993893,77700
2015-11-18,5.700000,5.850000,5.700000,5.760000,3.025408,83300
2015-11-19,5.700000,5.790000,5.670000,5.720000,3.004398,77600
2015-11-20,5.700000,5.960000,5.520000,5.530000,2.904602,129000
2015-11-23,5.520000,5.730000,5.520000,5.690000,2.988641,81900
2015-11-24,5.680000,5.840000,5.510000,5.790000,3.041165,161200
2015-11-25,5.730000,5.790000,5.530000,5.580000,2.930864,84200
2015-11-27,5.540000,5.580000,5.520000,5.540000,2.909854,19800
2015-11-30,5.530000,5.530000,5.130000,5.250000,2.757533,384900
2015-12-01,5.300000,5.370000,5.220000,5.250000,2.757533,2288000
2015-12-02,5.170000,5.490000,5.060000,5.080000,2.668242,241000
2015-12-03,5.080000,5.250000,5.050000,5.160000,2.710262,166400
2015-12-04,5.170000,5.190000,4.910000,4.930000,2.589455,170900
2015-12-07,4.920000,4.920000,4.750000,4.820000,2.531678,164700
2015-12-08,4.790000,4.870000,4.680000,4.780000,2.510669,107100
2015-12-09,4.760000,5.110000,4.650000,5.040000,2.647232,588000
2015-12-10,5.070000,5.280000,4.950000,5.270000,2.768038,158900
2015-12-11,5.170000,5.170000,4.920000,5.010000,2.631475,123000
2015-12-14,5.000000,5.180000,5.000000,5.080000,2.668242,229300
2015-12-15,5.080000,5.250000,5.010000,5.070000,2.662990,271700
2015-12-16,5.040000,5.340000,5.040000,5.220000,2.741776,109500
2015-12-17,5.170000,5.290000,5.150000,5.170000,2.715514,102400
2015-12-18,5.100000,5.220000,5.040000,5.060000,2.657737,224900
2015-12-21,5.060000,5.140000,5.000000,5.120000,2.689251,81200
2015-12-22,5.100000,5.350000,5.100000,5.280000,2.773291,105600
2015-12-23,5.280000,5.460000,5.190000,5.440000,2.857330,112400
2015-12-24,5.410000,5.620000,5.400000,5.600000,2.941369,60500
2015-12-28,5.580000,5.580000,5.400000,5.490000,2.883592,289700
2015-12-29,5.500000,5.560000,5.400000,5.510000,2.894097,451300
2015-12-30,5.500000,5.580000,5.450000,5.500000,2.888844,106800
2015-12-31,5.450000,5.600000,5.390000,5.590000,2.936116,110800
2016-01-04,5.490000,5.720000,5.350000,5.630000,2.957126,190900
2016-01-05,5.650000,5.660000,5.450000,5.580000,2.930864,192400
2016-01-06,5.500000,6.460000,5.390000,5.890000,3.093690,982300
2016-01-07,5.800000,5.830000,5.320000,5.500000,2.888844,361900
2016-01-08,4.900000,5.050000,4.820000,5.000000,2.949606,238000
2016-01-11,5.090000,5.130000,5.000000,5.110000,3.014498,172400
2016-01-12,5.130000,5.290000,5.080000,5.200000,3.067590,224800
2016-01-13,5.190000,5.250000,4.710000,4.850000,2.861118,346800
2016-01-14,4.820000,5.100000,4.820000,4.880000,2.878816,460100
2016-01-15,4.730000,4.740000,4.500000,4.600000,2.713638,117600
2016-01-19,4.480000,4.700000,4.480000,4.690000,2.766731,128100
2016-01-20,4.550000,4.630000,4.400000,4.560000,2.690041,142000
2016-01-21,4.540000,4.710000,4.520000,4.600000,2.713638,99600
2016-01-22,4.650000,5.000000,4.650000,4.960000,2.926009,169700
2016-01-25,4.840000,4.960000,4.700000,4.780000,2.819824,149200
2016-01-26,4.750000,4.980000,4.730000,4.950000,2.920110,166400
2016-01-27,4.850000,4.910000,4.710000,4.750000,2.802126,282400
2016-01-28,4.820000,4.950000,4.790000,4.910000,2.896513,195100
2016-01-29,4.860000,5.090000,4.860000,5.050000,2.979102,215700
2016-02-01,4.870000,5.010000,4.800000,4.810000,2.837521,216100
2016-02-02,4.760000,4.930000,4.760000,4.900000,2.890614,128200
2016-02-03,4.880000,5.540000,4.880000,5.480000,3.232769,241100
2016-02-04,5.450000,5.630000,5.340000,5.500000,3.244567,261800
2016-02-05,3.970000,4.260000,3.820000,3.830000,3.102020,599100
2016-02-08,3.820000,3.950000,3.650000,3.920000,3.174913,404100
2016-02-09,3.810000,3.850000,3.560000,3.680000,2.980531,238600
2016-02-10,3.640000,3.740000,3.580000,3.690000,2.988630,140400
2016-02-11,3.500000,3.710000,3.410000,3.690000,2.988630,144100
2016-02-12,3.560000,3.730000,3.520000,3.550000,2.875240,107800
2016-02-16,3.500000,3.620000,3.500000,3.530000,2.859042,85600
2016-02-17,3.000000,3.660000,2.970000,3.660000,2.964332,385800
2016-02-18,3.600000,3.670000,3.480000,3.560000,2.883340,135600
2016-02-19,3.460000,3.570000,3.450000,3.450000,2.794248,116900
2016-02-22,3.470000,3.600000,3.450000,3.480000,2.818545,167900
2016-02-23,3.430000,3.530000,3.410000,3.410000,2.761851,71500
2016-02-24,3.310000,3.560000,3.300000,3.450000,2.794248,164300
2016-02-25,3.580000,3.880000,3.110000,3.500000,2.834744,198200
2016-02-26,3.500000,3.560000,3.370000,3.550000,2.875240,252300
2016-02-29,3.570000,3.730000,3.570000,3.610000,2.923836,158500
2016-03-01,3.570000,3.810000,3.570000,3.780000,3.061523,143300
2016-03-02,3.770000,3.880000,3.530000,3.730000,3.021027,343300
2016-03-03,3.700000,4.150000,3.700000,4.080000,3.304502,266600
2016-03-04,4.120000,4.200000,4.040000,4.200000,3.401693,235800
2016-03-07,4.230000,4.450000,4.170000,4.450000,3.604174,202300
2016-03-08,4.550000,4.580000,4.270000,4.460000,3.612274,256200
2016-03-09,4.500000,4.590000,4.240000,4.250000,3.442189,127800
2016-03-10,4.370000,4.370000,4.150000,4.240000,3.434090,52800
2016-03-11,4.370000,4.580000,4.280000,4.490000,3.636571,205600
2016-03-14,4.530000,4.650000,4.440000,4.480000,3.628473,165100
2016-03-15,4.410000,4.430000,4.090000,4.280000,3.466487,138100
2016-03-16,4.330000,4.500000,4.250000,4.490000,3.636571,128600
2016-03-17,4.530000,4.560000,4.400000,4.490000,3.636571,105200
2016-03-18,4.520000,4.720000,4.450000,4.710000,3.814756,199400
