Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,71.150002,71.449997,70.519997,71.040001,53.170250,290800
2015-09-23,71.190002,71.470001,69.809998,70.489998,52.758591,280000
2015-09-24,68.910004,69.760002,68.500000,69.580002,52.706329,335500
2015-09-25,70.050003,70.440002,69.680000,69.959999,52.994175,284000
2015-09-28,69.419998,69.910004,69.029999,69.029999,52.289703,316100
2015-09-29,69.230003,69.959999,68.870003,69.860001,52.918427,227500
2015-09-30,70.489998,72.070000,70.470001,71.959999,54.509163,307800
2015-10-01,72.660004,72.860001,72.160004,72.599998,54.993961,361400
2015-10-02,71.989998,73.019997,71.330002,73.010002,55.304523,458300
2015-10-05,73.709999,74.989998,73.519997,74.879997,56.721031,340600
2015-10-06,74.620003,76.169998,74.620003,76.050003,57.607311,346100
2015-10-07,76.290001,77.129997,76.230003,76.419998,57.887577,419500
2015-10-08,76.080002,76.629997,75.739998,76.589996,58.016338,329900
2015-10-09,77.010002,77.209999,76.059998,76.830002,58.198166,238100
2015-10-12,76.750000,76.970001,75.820000,75.980003,57.554291,103900
2015-10-13,75.639999,76.099998,75.470001,75.970001,57.546703,247800
2015-10-14,75.940002,76.599998,75.519997,75.949997,57.531555,213700
2015-10-15,76.269997,76.610001,75.660004,76.589996,58.016338,169500
2015-10-16,76.720001,76.860001,76.389999,76.699997,58.099686,189400
2015-10-19,76.440002,76.900002,75.820000,76.029999,57.592159,134800
2015-10-20,76.260002,77.050003,76.209999,76.440002,57.902733,172300
2015-10-21,76.419998,76.699997,75.519997,75.589996,57.258862,168500
2015-10-22,76.010002,77.320000,76.010002,77.250000,58.516293,176300
2015-10-23,77.190002,77.660004,77.080002,77.309998,58.561752,206900
2015-10-26,77.470001,77.750000,76.529999,76.779999,58.160282,161700
2015-10-27,76.349998,77.080002,76.199997,76.639999,58.054218,136100
2015-10-28,76.860001,78.230003,76.809998,77.940002,59.038971,328600
2015-10-29,77.400002,77.760002,77.110001,77.690002,58.849598,200900
2015-10-30,77.750000,77.769997,76.250000,76.550003,57.986069,253800
2015-11-02,76.790001,76.830002,76.089996,76.449997,57.910301,166200
2015-11-03,76.160004,76.730003,75.580002,76.580002,58.008789,207300
2015-11-04,76.459999,76.739998,75.830002,76.160004,57.690632,165300
2015-11-05,76.059998,76.680000,75.970001,76.209999,57.728512,140300
2015-11-06,75.650002,76.250000,74.989998,75.680000,57.327042,223100
2015-11-09,75.540001,75.690002,74.209999,74.970001,56.789211,246200
2015-11-10,74.669998,75.309998,74.290001,75.190002,56.955868,122900
2015-11-11,75.459999,75.779999,75.089996,75.180000,56.948284,139400
2015-11-12,74.489998,74.529999,73.860001,74.120003,56.145340,172300
2015-11-13,73.839996,73.839996,72.669998,73.070000,55.349983,189600
2015-11-16,72.800003,74.410004,72.760002,74.269997,56.258953,202000
2015-11-17,74.500000,75.019997,74.239998,74.510002,56.440773,124400
2015-11-18,74.470001,75.099998,74.449997,75.019997,56.827095,164600
2015-11-19,75.180000,75.820000,75.099998,75.599998,57.266438,212700
2015-11-20,75.379997,75.669998,74.870003,75.010002,56.819508,348200
2015-11-23,74.680000,75.269997,74.629997,74.839996,56.690720,222500
2015-11-24,74.680000,75.680000,74.449997,75.010002,56.819508,296900
2015-11-25,75.040001,75.309998,74.550003,74.739998,56.614986,212200
2015-11-27,74.540001,74.830002,74.360001,74.790001,56.652866,124100
2015-11-30,74.820000,75.389999,74.610001,75.199997,56.963440,265900
2015-12-01,75.300003,76.089996,75.220001,75.709999,57.349754,345600
2015-12-02,75.449997,75.930000,74.709999,75.519997,57.205833,445100
2015-12-03,76.050003,76.050003,73.589996,73.949997,56.016582,629400
2015-12-04,73.669998,73.709999,72.800003,73.150002,55.410580,537500
2015-12-07,72.580002,72.580002,70.370003,70.800003,53.630474,594000
2015-12-08,69.849998,70.160004,69.050003,69.540001,52.676025,373100
2015-12-09,69.629997,71.160004,69.360001,69.900002,52.948723,267900
2015-12-10,69.870003,70.220001,68.220001,68.410004,51.820061,564900
2015-12-11,67.879997,68.010002,66.959999,67.050003,50.789875,417000
2015-12-14,67.029999,67.730003,66.849998,67.120003,50.842899,414800
2015-12-15,67.510002,68.209999,67.209999,67.680000,51.267090,363700
2015-12-16,67.809998,68.459999,67.419998,68.320000,51.751896,288600
2015-12-17,68.190002,68.330002,67.050003,67.389999,51.047421,380900
2015-12-18,67.169998,67.470001,66.320000,66.330002,50.244473,441000
2015-12-21,66.889999,67.070000,65.970001,66.190002,50.138435,345800
