Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,27.650000,27.770000,27.020000,27.190001,23.421074,1764900
2015-09-23,27.270000,27.629999,27.090000,27.139999,23.378002,1435400
2015-09-24,27.049999,27.250000,26.490000,26.910000,23.179886,2081900
2015-09-25,26.969999,27.309999,26.820000,26.870001,23.145424,1628800
2015-09-28,26.760000,26.969999,25.770000,25.780001,22.206518,1794200
2015-09-29,24.969999,25.750000,24.900000,25.559999,22.232611,1763600
2015-09-30,26.059999,27.110001,26.010000,27.059999,23.537346,1642000
2015-10-01,27.190001,27.530001,26.860001,27.459999,23.885273,1603700
2015-10-02,26.980000,27.070000,26.290001,26.889999,23.389479,1639600
2015-10-05,27.059999,28.410000,27.000000,28.000000,24.354971,2246800
2015-10-06,27.490000,28.059999,27.170000,27.240000,23.693911,1592100
2015-10-07,26.910000,27.030001,26.330000,26.600000,23.137226,1685900
2015-10-08,26.629999,27.440001,26.580000,27.370001,23.806988,1173600
2015-10-09,27.370001,28.120001,27.129999,27.950001,24.311483,1118200
2015-10-12,28.030001,28.719999,27.320000,28.559999,24.842075,1099900
2015-10-13,28.490000,29.010000,28.280001,28.459999,24.755093,1411100
2015-10-14,28.360001,28.700001,27.639999,27.690001,24.085331,1457600
2015-10-15,27.700001,28.340000,27.170000,28.290001,24.607224,1400200
2015-10-16,28.290001,28.870001,28.200001,28.510000,24.798582,1304500
2015-10-19,28.379999,28.600000,28.080000,28.500000,24.789885,1181500
2015-10-20,28.420000,29.280001,28.420000,28.920000,25.155212,1237900
2015-10-21,28.920000,29.340000,27.410000,28.049999,24.398466,1955800
2015-10-22,28.150000,28.570000,27.910000,28.080000,24.424562,2261500
2015-10-23,28.250000,28.830000,28.250000,28.590000,24.868172,1608700
2015-10-26,28.530001,28.969999,28.389999,28.580000,24.859472,1640400
2015-10-27,28.530001,28.709999,27.990000,28.400000,24.702904,1157100
2015-10-28,28.480000,29.160000,28.190001,28.719999,24.981245,1318100
2015-10-29,28.650000,29.180000,28.500000,28.940001,25.172606,1108000
2015-10-30,29.000000,29.180000,28.639999,28.950001,25.181305,1258600
2015-11-02,29.000000,30.100000,28.900000,29.660000,25.798882,2034900
2015-11-03,29.480000,30.250000,29.240000,29.610001,25.755384,1822200
2015-11-04,29.360001,30.260000,29.049999,29.950001,26.051128,2324400
2015-11-05,29.430000,29.430000,27.010000,28.219999,24.546335,4773900
2015-11-06,27.770000,29.190001,27.770000,28.500000,24.789885,3657300
2015-11-09,28.180000,28.629999,27.510000,28.440001,24.737698,1645500
2015-11-10,28.389999,29.930000,28.270000,29.879999,25.990236,1819200
2015-11-11,29.900000,30.760000,29.820000,30.360001,26.407755,1807000
2015-11-12,30.080000,30.450001,29.150000,29.180000,25.381367,1131000
2015-11-13,29.080000,29.190001,28.600000,28.670000,24.937756,942900
2015-11-16,28.000000,28.170000,26.750000,27.570000,23.980955,2622900
2015-11-17,27.540001,27.540001,26.459999,26.500000,23.050247,2417900
2015-11-18,26.690001,27.010000,26.080000,26.980000,23.467760,1689400
2015-11-19,27.070000,27.500000,26.570000,26.820000,23.328585,1406800
2015-11-20,26.950001,27.850000,26.870001,27.139999,23.606930,1634600
2015-11-23,27.049999,28.139999,27.049999,27.930000,24.294088,1326500
2015-11-24,27.940001,28.549999,27.850000,28.360001,24.668110,1068600
2015-11-25,28.730000,29.469999,28.629999,28.920000,25.155212,912400
2015-11-27,28.990000,29.139999,28.740000,28.940001,25.172606,358300
2015-11-30,27.240000,28.309999,26.920000,27.780001,24.163614,2220600
2015-12-01,27.930000,28.070000,26.959999,27.850000,24.224503,1711200
2015-12-02,27.809999,28.190001,27.340000,27.410000,23.841780,1444900
2015-12-03,27.370001,27.530001,26.350000,26.670000,23.198118,1759900
2015-12-04,26.809999,27.280001,26.760000,26.879999,23.380779,1520000
2015-12-07,26.459999,27.770000,26.459999,27.309999,23.754801,1592700
2015-12-08,27.049999,27.700001,26.969999,27.410000,23.841780,2039500
2015-12-09,27.260000,28.410000,27.070000,28.260000,24.581127,1418700
2015-12-10,28.340000,28.480000,27.709999,27.889999,24.259293,809500
2015-12-11,27.540001,28.139999,26.570000,26.709999,23.232910,830100
2015-12-14,27.000000,27.340000,26.459999,26.600000,23.137226,789800
2015-12-15,26.940001,27.420000,26.780001,27.320000,23.763496,797400
2015-12-16,27.340000,28.040001,27.320000,27.860001,24.233204,1320400
2015-12-17,28.049999,28.059999,27.530001,27.549999,23.963556,500600
2015-12-18,27.540001,27.600000,26.639999,26.809999,23.319889,2166000
2015-12-21,27.240000,27.379999,26.690001,26.980000,23.467760,648000
2015-12-22,27.150000,27.150000,26.170000,26.299999,22.876282,1228500
2015-12-23,26.400000,27.020000,26.340000,26.469999,23.024151,751500
2015-12-24,26.400000,26.700001,26.299999,26.400000,22.963263,295000
2015-12-28,26.299999,27.280001,25.910000,25.969999,22.589235,913700
2015-12-29,25.959999,26.200001,25.660000,25.879999,22.510956,1261700
2015-12-30,25.770000,26.049999,25.170000,25.440001,22.128235,1250900
2015-12-31,25.240000,26.040001,25.240000,25.629999,22.293497,786400
2016-01-04,25.219999,25.459999,24.570000,24.950001,21.702024,1167000
2016-01-05,24.870001,25.490000,24.200001,24.940001,21.693323,1295100
2016-01-06,24.580000,24.730000,23.969999,24.170000,21.023563,1258200
2016-01-07,23.690001,23.969999,23.360001,23.469999,20.414688,656800
2016-01-08,23.680000,23.709999,23.330000,23.430000,20.379896,763500
2016-01-11,23.250000,23.620001,21.900000,22.750000,19.788420,1836500
2016-01-12,23.070000,23.309999,21.850000,23.150000,20.136345,1818600
2016-01-13,22.959999,23.049999,22.250000,22.570000,19.631853,2349500
2016-01-14,22.549999,22.820000,22.000000,22.139999,19.257830,1343200
2016-01-15,21.799999,22.150000,21.480000,21.790001,18.953390,1874600
2016-01-19,22.450001,22.700001,21.730000,21.950001,19.092564,1611600
2016-01-20,21.760000,23.219999,21.600000,22.950001,19.962385,2348500
2016-01-21,23.139999,23.540001,22.070000,22.450001,19.527475,1138800
2016-01-22,22.770000,23.290001,22.360001,22.900000,19.918892,889900
2016-01-25,22.750000,23.260000,22.080000,22.450001,19.527475,1903200
2016-01-26,22.900000,23.389999,22.469999,23.160000,20.145044,1027400
2016-01-27,23.110001,23.670000,22.870001,23.219999,20.197235,1003800
2016-01-28,23.450001,23.650000,23.120001,23.450001,20.397293,832000
2016-01-29,23.459999,24.740000,23.389999,24.610001,21.406286,2001900
2016-02-01,24.520000,24.770000,24.059999,24.309999,21.145336,1793100
2016-02-02,23.959999,25.110001,23.959999,24.709999,21.493265,1511100
2016-02-03,24.620001,24.850000,23.889999,24.610001,21.406286,1457900
