Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,5.150000,5.250000,5.050000,5.200000,5.200000,398900
2015-09-23,5.190000,5.280000,5.060000,5.210000,5.210000,458100
2015-09-24,5.150000,5.150000,4.900000,4.960000,4.960000,375700
2015-09-25,4.990000,5.060000,4.500000,4.600000,4.600000,1035300
2015-09-28,4.540000,4.590000,4.200000,4.290000,4.290000,2040300
2015-09-29,4.200000,4.270000,4.020000,4.070000,4.070000,1309700
2015-09-30,4.030000,4.270000,4.030000,4.200000,4.200000,974700
2015-10-01,4.200000,4.200000,3.940000,4.030000,4.030000,2343600
2015-10-02,3.980000,4.100000,3.940000,4.060000,4.060000,1216100
2015-10-05,4.080000,4.210000,4.050000,4.170000,4.170000,699100
2015-10-06,4.200000,4.230000,4.010000,4.120000,4.120000,537000
2015-10-07,4.220000,4.430000,4.180000,4.390000,4.390000,685300
2015-10-08,4.370000,4.680000,4.270000,4.630000,4.630000,788300
2015-10-09,5.000000,5.250000,4.870000,4.990000,4.990000,1068400
2015-10-12,4.990000,5.050000,4.830000,4.950000,4.950000,642100
2015-10-13,4.920000,5.000000,4.600000,4.660000,4.660000,525000
2015-10-14,4.630000,4.730000,4.480000,4.550000,4.550000,424100
2015-10-15,4.540000,4.690000,4.440000,4.640000,4.640000,344300
2015-10-16,4.670000,4.700000,4.540000,4.570000,4.570000,244000
2015-10-19,4.560000,4.750000,4.530000,4.610000,4.610000,325200
2015-10-20,4.610000,4.650000,4.520000,4.540000,4.540000,404400
2015-10-21,4.540000,4.730000,4.510000,4.620000,4.620000,325500
2015-10-22,4.610000,4.880000,4.590000,4.640000,4.640000,388500
2015-10-23,4.670000,4.850000,4.600000,4.710000,4.710000,196400
2015-10-26,4.720000,4.780000,4.520000,4.580000,4.580000,301800
2015-10-27,4.570000,4.580000,4.250000,4.390000,4.390000,856300
2015-10-28,4.420000,4.900000,4.410000,4.810000,4.810000,429200
2015-10-29,4.770000,5.240000,4.770000,4.960000,4.960000,587300
2015-10-30,4.980000,5.170000,4.980000,5.060000,5.060000,560300
2015-11-02,5.050000,5.180000,5.030000,5.090000,5.090000,393100
2015-11-03,5.060000,5.280000,5.050000,5.200000,5.200000,1118600
2015-11-04,5.200000,5.390000,5.050000,5.300000,5.300000,859700
2015-11-05,4.810000,4.860000,3.590000,3.620000,3.620000,5171900
2015-11-06,3.700000,3.960000,3.660000,3.860000,3.860000,1729900
2015-11-09,3.860000,3.910000,3.800000,3.850000,3.850000,701300
2015-11-10,3.830000,3.880000,3.700000,3.800000,3.800000,788900
2015-11-11,3.970000,4.020000,3.820000,3.830000,3.830000,750500
2015-11-12,3.830000,4.000000,3.750000,3.870000,3.870000,652200
2015-11-13,3.830000,3.900000,3.730000,3.850000,3.850000,335100
2015-11-16,3.850000,4.000000,3.810000,3.970000,3.970000,392000
2015-11-17,4.040000,4.080000,3.880000,3.940000,3.940000,548000
2015-11-18,3.900000,3.960000,3.820000,3.950000,3.950000,702700
2015-11-19,3.930000,4.070000,3.900000,4.070000,4.070000,431200
2015-11-20,4.080000,4.180000,3.920000,4.010000,4.010000,270300
2015-11-23,4.160000,4.210000,3.930000,4.190000,4.190000,529300
2015-11-24,4.150000,4.310000,4.090000,4.130000,4.130000,473100
2015-11-25,4.140000,4.140000,4.030000,4.050000,4.050000,325600
2015-11-27,4.060000,4.060000,3.920000,3.950000,3.950000,210100
2015-11-30,3.970000,4.060000,3.930000,4.000000,4.000000,736600
2015-12-01,4.030000,4.190000,3.940000,4.150000,4.150000,785300
2015-12-02,4.160000,4.240000,4.090000,4.230000,4.230000,293700
2015-12-03,4.250000,4.490000,4.240000,4.340000,4.340000,490400
2015-12-04,4.360000,4.440000,4.080000,4.400000,4.400000,431000
2015-12-07,4.400000,4.400000,4.200000,4.310000,4.310000,358500
2015-12-08,4.250000,4.250000,4.150000,4.160000,4.160000,426100
2015-12-09,4.130000,4.150000,3.950000,3.970000,3.970000,566400
2015-12-10,3.970000,4.110000,3.940000,4.090000,4.090000,433900
2015-12-11,4.020000,4.070000,3.860000,3.880000,3.880000,357600
2015-12-14,3.820000,4.090000,3.820000,4.010000,4.010000,854000
2015-12-15,4.020000,4.110000,3.980000,3.990000,3.990000,3464400
2015-12-16,4.100000,4.370000,3.970000,4.240000,4.240000,1244700
2015-12-17,4.280000,4.390000,4.050000,4.100000,4.100000,542000
2015-12-18,4.100000,4.300000,4.100000,4.240000,4.240000,1406800
2015-12-21,4.280000,4.300000,3.930000,4.030000,4.030000,837600
2015-12-22,4.040000,4.120000,3.940000,4.110000,4.110000,287500
2015-12-23,4.130000,4.250000,4.130000,4.210000,4.210000,782200
2015-12-24,4.200000,4.280000,4.160000,4.200000,4.200000,220400
2015-12-28,4.160000,4.260000,4.050000,4.210000,4.210000,1163200
2015-12-29,4.200000,4.240000,4.080000,4.180000,4.180000,742700
2015-12-30,4.150000,4.440000,4.150000,4.390000,4.390000,579000
2015-12-31,4.350000,4.450000,4.210000,4.270000,4.270000,540900
2016-01-04,4.170000,4.180000,3.980000,4.150000,4.150000,658400
2016-01-05,4.170000,4.170000,4.000000,4.140000,4.140000,279100
2016-01-06,4.060000,4.090000,3.860000,3.870000,3.870000,553000
2016-01-07,3.770000,3.790000,3.490000,3.620000,3.620000,679200
2016-01-08,3.620000,4.010000,3.620000,3.950000,3.950000,941700
2016-01-11,3.990000,4.000000,3.780000,3.940000,3.940000,762300
2016-01-12,3.980000,4.050000,3.660000,3.750000,3.750000,450400
2016-01-13,3.750000,3.880000,3.590000,3.750000,3.750000,717700
2016-01-14,3.790000,3.800000,3.490000,3.510000,3.510000,541400
2016-01-15,3.390000,3.500000,3.330000,3.490000,3.490000,425700
2016-01-19,3.530000,3.530000,3.320000,3.400000,3.400000,729600
2016-01-20,3.340000,3.540000,3.160000,3.480000,3.480000,677200
2016-01-21,3.470000,3.690000,3.430000,3.520000,3.520000,339400
2016-01-22,3.570000,3.750000,3.570000,3.640000,3.640000,218100
2016-01-25,3.610000,3.740000,3.350000,3.350000,3.350000,470500
2016-01-26,3.370000,3.380000,3.170000,3.290000,3.290000,583700
2016-01-27,3.260000,3.390000,3.160000,3.160000,3.160000,272700
2016-01-28,3.190000,3.240000,3.090000,3.130000,3.130000,239700
2016-01-29,3.150000,3.410000,3.080000,3.310000,3.310000,441900
2016-02-01,3.270000,3.420000,3.200000,3.370000,3.370000,263100
