Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,7.970000,8.040000,7.870000,7.990000,5.083805,1517900
2015-09-23,7.970000,8.040000,7.620000,7.740000,4.924737,1412200
2015-09-24,7.730000,7.860000,7.650000,7.700000,4.899286,2387300
2015-09-25,7.750000,7.760000,7.340000,7.370000,4.689317,1557600
2015-09-28,7.360000,7.430000,7.210000,7.220000,4.593877,1422400
2015-09-29,7.320000,7.450000,7.220000,7.280000,4.632054,1438600
2015-09-30,7.360000,7.460000,7.200000,7.420000,4.721131,1569500
2015-10-01,7.500000,7.740000,7.460000,7.640000,4.861110,1732500
2015-10-02,7.630000,7.930000,7.550000,7.900000,5.026540,2393800
2015-10-05,8.140000,8.400000,7.970000,8.340000,5.306500,3218900
2015-10-06,8.350000,8.400000,8.180000,8.250000,5.249235,1773400
2015-10-07,8.270000,8.390000,8.140000,8.250000,5.249235,2049100
2015-10-08,8.250000,8.490000,8.230000,8.400000,5.344676,2010900
2015-10-09,8.450000,8.520000,8.190000,8.330000,5.300137,1897300
2015-10-12,8.390000,8.400000,8.180000,8.380000,5.331951,822800
2015-10-13,8.300000,8.480000,8.140000,8.150000,5.185607,1455000
2015-10-14,8.130000,8.250000,8.040000,8.070000,5.134706,1445200
2015-10-15,8.080000,8.280000,8.080000,8.280000,5.268323,1073000
2015-10-16,8.310000,8.470000,8.120000,8.300000,5.281049,1058800
2015-10-19,8.210000,8.230000,7.910000,7.960000,5.064718,1335900
2015-10-20,7.950000,8.020000,7.920000,8.020000,5.102892,1106200
2015-10-21,8.070000,8.400000,8.050000,8.130000,5.172883,1586000
2015-10-22,8.220000,8.240000,7.960000,8.020000,5.102892,1546900
2015-10-23,8.050000,8.180000,7.930000,8.100000,5.153795,1049400
2015-10-26,8.090000,8.140000,7.750000,7.780000,4.950188,945000
2015-10-27,7.770000,7.790000,7.480000,7.670000,4.880198,1610500
2015-10-28,7.720000,7.840000,7.490000,7.760000,4.937464,1896800
2015-10-29,7.750000,8.000000,7.680000,7.740000,4.924737,1373900
2015-10-30,7.780000,7.980000,7.700000,7.860000,5.001090,1542100
2015-11-02,7.900000,8.100000,7.870000,8.090000,5.147432,1962700
2015-11-03,8.070000,8.130000,7.960000,8.100000,5.153795,1324200
