Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,57.220001,57.430000,55.970001,56.230000,49.871006,438300
2015-09-23,56.150002,56.730000,55.779999,55.790001,49.480762,180200
2015-09-24,55.410000,55.950001,55.070000,55.590000,49.303379,357600
2015-09-25,56.060001,56.060001,54.610001,54.900002,48.691422,289400
2015-09-28,54.720001,54.869999,53.759998,53.820000,47.733551,386800
2015-09-29,53.810001,54.560001,53.549999,54.130001,48.008492,606100
2015-09-30,54.810001,55.919998,54.360001,55.740002,49.436424,589000
2015-10-01,55.660000,56.000000,54.330002,55.220001,48.975220,311000
2015-10-02,54.560001,55.599998,54.099998,55.570000,49.285641,238800
2015-10-05,56.330002,57.049999,55.730000,56.980000,50.536186,306700
2015-10-06,57.029999,57.639999,56.540001,57.310001,50.828876,427500
2015-10-07,57.520000,59.340000,57.500000,59.290001,52.584949,398600
2015-10-08,59.270000,60.169998,58.799999,60.009998,53.223526,313500
2015-10-09,60.160000,60.389999,59.230000,59.580002,52.842159,178400
2015-10-12,59.779999,60.770000,59.599998,60.430000,53.596035,280600
2015-10-13,60.130001,61.130001,60.000000,60.169998,53.365444,284000
2015-10-14,60.160000,60.590000,59.250000,59.330002,52.620430,221000
2015-10-15,59.570000,60.720001,58.950001,60.700001,53.835503,271900
2015-10-16,60.900002,61.009998,60.180000,60.709999,53.844376,233700
2015-10-19,60.820000,61.610001,60.599998,60.779999,53.906448,305500
2015-10-20,60.700001,61.020000,59.450001,60.259998,53.445255,400100
2015-10-21,60.560001,60.799999,58.549999,58.560001,51.937511,369100
2015-10-22,59.099998,59.549999,56.459999,58.240002,51.653706,440300
2015-10-23,59.070000,59.740002,58.160000,59.580002,52.842159,236500
2015-10-26,59.330002,59.639999,58.330002,58.660000,52.026203,209500
2015-10-27,58.380001,58.570000,57.189999,57.840000,51.298931,224500
2015-10-28,58.119999,60.509998,57.869999,60.509998,53.666988,340700
2015-10-29,60.119999,60.599998,59.790001,60.509998,53.666988,201200
2015-10-30,60.290001,60.910000,59.419998,59.549999,52.815548,208000
2015-11-02,59.619999,60.459999,59.310001,60.279999,53.462997,210500
2015-11-03,59.959999,60.180000,59.220001,59.840000,53.072758,168200
2015-11-04,59.820000,59.820000,58.919998,59.549999,52.815548,170500
2015-11-05,59.549999,59.660000,58.419998,59.180000,52.487396,176600
2015-11-06,58.740002,59.160000,58.209999,59.150002,52.460785,248800
2015-11-09,58.980000,59.250000,57.740002,58.009998,51.449699,189100
2015-11-10,57.799999,58.160000,56.900002,57.220001,50.749046,303500
2015-11-11,57.450001,57.450001,56.669998,56.840000,50.412029,240500
2015-11-12,56.349998,56.369999,55.480000,55.570000,49.285641,214700
2015-11-13,55.240002,55.759998,54.959999,55.180000,48.939754,224100
2015-11-16,55.020000,55.349998,54.580002,55.259998,49.010693,157600
2015-11-17,55.279999,55.500000,54.830002,54.959999,48.744629,270900
2015-11-18,55.130001,56.349998,54.810001,56.250000,49.888741,340100
2015-11-19,55.939999,56.869999,55.830002,56.639999,50.503998,199200
2015-11-20,57.029999,57.570000,56.529999,57.509998,51.279739,246300
2015-11-23,57.369999,58.639999,57.369999,58.549999,52.207077,324700
2015-11-24,58.279999,58.919998,57.889999,58.810001,52.438908,295100
2015-11-25,58.799999,59.220001,58.730000,59.080002,52.679661,139800
2015-11-27,59.009998,59.330002,58.599998,59.060001,52.661827,99100
2015-11-30,59.320000,59.320000,58.419998,58.650002,52.296238,309100
2015-12-01,59.020000,60.040001,58.669998,60.009998,53.508911,308300
2015-12-02,60.080002,60.380001,59.450001,59.599998,53.143330,287900
2015-12-03,59.709999,60.200001,58.759998,59.110001,52.706406,363800
