Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,9.280000,9.360000,9.040000,9.140000,7.667390,855500
2015-09-23,9.230000,9.280000,8.720000,8.740000,7.331835,903900
2015-09-24,8.690000,8.880000,8.500000,8.810000,7.390558,679100
2015-09-25,8.960000,9.030000,8.770000,8.820000,7.398946,730100
2015-09-28,8.710000,8.710000,8.270000,8.280000,6.945949,708900
2015-09-29,8.310000,8.490000,8.240000,8.470000,7.105337,678200
2015-09-30,8.560000,8.650000,8.470000,8.600000,7.214393,842800
2015-10-01,8.820000,9.110000,8.570000,8.570000,7.189226,1207100
2015-10-02,8.490000,8.970000,8.490000,8.950000,7.508000,900200
2015-10-05,9.100000,9.400000,9.040000,9.400000,7.885498,1383000
2015-10-06,9.430000,9.940000,9.430000,9.920000,8.321717,1031600
2015-10-07,10.060000,10.430000,9.990000,10.290000,8.632104,1777400
2015-10-08,10.240000,10.640000,10.190000,10.630000,8.917325,1178900
2015-10-09,10.720000,10.760000,10.500000,10.540000,8.841825,1082100
2015-10-12,10.570000,10.580000,10.030000,10.250000,8.598549,581400
2015-10-13,10.120000,10.430000,10.020000,10.230000,8.581771,886700
2015-10-14,10.220000,10.310000,10.050000,10.200000,8.556604,829700
2015-10-15,10.120000,10.240000,9.980000,10.240000,8.590160,926800
2015-10-16,10.250000,10.330000,10.000000,10.120000,8.489494,690400
2015-10-19,10.040000,10.040000,9.310000,9.450000,7.927442,1150100
2015-10-20,9.420000,9.660000,9.390000,9.540000,8.002942,807800
2015-10-21,9.460000,9.460000,9.050000,9.220000,7.734500,701700
2015-10-22,9.290000,9.530000,9.280000,9.500000,7.969388,666500
2015-10-23,9.420000,9.590000,9.290000,9.410000,7.893887,572300
2015-10-26,9.410000,9.470000,9.230000,9.290000,7.793221,687100
2015-10-27,9.130000,9.200000,8.910000,9.070000,7.608666,982600
2015-10-28,9.140000,9.480000,9.050000,9.300000,7.801610,887100
2015-10-29,9.220000,9.530000,9.190000,9.250000,7.759666,459600
2015-10-30,9.340000,9.560000,9.190000,9.320000,7.818387,869300
2015-11-02,9.290000,9.750000,9.280000,9.700000,8.137162,547900
2015-11-03,9.770000,10.110000,9.710000,10.090000,8.464327,791800
2015-11-04,10.110000,10.170000,9.830000,9.920000,8.321717,991400
2015-11-05,9.840000,9.980000,9.710000,9.850000,8.262995,1378300
2015-11-06,9.720000,9.810000,9.570000,9.730000,8.162330,592000
2015-11-09,9.690000,9.800000,9.510000,9.560000,8.019720,639800
2015-11-10,9.500000,9.580000,9.410000,9.490000,7.960999,606700
2015-11-11,9.480000,9.520000,9.120000,9.210000,7.726110,984500
2015-11-12,9.040000,9.090000,8.760000,8.870000,7.440890,1287300
2015-11-13,8.800000,8.830000,8.520000,8.720000,7.315058,838100
