Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,23.959999,23.959999,23.860001,23.860001,18.968893,500
2015-09-23,23.850000,23.850000,23.850000,23.850000,18.960943,1200
2015-09-24,23.760000,23.799999,23.750000,23.790001,18.913244,2200
2015-09-25,23.750000,23.770000,23.650000,23.770000,18.897341,3800
2015-09-28,23.750000,23.750000,23.670000,23.690001,18.833740,1000
2015-09-29,23.760000,23.760000,23.629999,23.740000,18.873493,3700
2015-09-30,23.620001,23.690001,23.559999,23.559999,18.730389,4800
2015-10-01,23.600000,23.670000,23.570000,23.670000,18.817837,3800
2015-10-02,23.480000,23.580000,23.480000,23.530001,18.706541,800
2015-10-05,23.650000,23.650000,23.389999,23.650000,18.801943,6800
2015-10-06,23.610001,23.740000,23.610001,23.629999,18.786039,6100
2015-10-07,23.610001,23.730000,23.549999,23.650000,18.801943,2700
2015-10-08,23.740000,23.740000,23.570000,23.730000,18.865540,4700
2015-10-09,23.700001,23.700001,23.559999,23.670000,18.817837,2600
2015-10-12,23.660000,23.770000,23.660000,23.660000,18.809891,2100
2015-10-13,23.990000,24.000000,23.990000,23.990000,19.072243,1700
2015-10-14,24.000000,24.000000,23.860001,23.860001,18.968893,900
2015-10-15,24.000000,24.000000,23.709999,23.830000,18.945044,5900
2015-10-16,24.040001,24.049999,23.900000,23.940001,19.032495,2600
2015-10-19,24.049999,24.049999,23.930000,23.930000,19.024542,700
2015-10-20,24.000000,24.040001,23.879999,23.900000,19.000690,8800
2015-10-21,24.100000,24.100000,23.889999,24.100000,19.159693,2900
2015-10-22,24.100000,24.100000,23.980000,23.980000,19.064295,5500
2015-10-23,24.000000,24.000000,23.959999,24.000000,19.080189,3800
2015-10-26,24.000000,24.000000,23.900000,23.900000,19.000690,5800
2015-10-27,23.990000,23.990000,23.799999,23.959999,19.048393,13300
2015-10-28,23.920000,24.090000,23.920000,24.090000,19.151743,11900
2015-10-29,24.090000,24.250000,24.010000,24.139999,19.191492,7500
2015-10-30,24.120001,24.120001,23.980000,23.980000,19.064295,3200
2015-11-02,24.020000,24.180000,24.010000,24.139999,19.191492,15600
2015-11-03,24.129999,24.330000,24.120001,24.200001,19.239201,18200
2015-11-04,24.139999,24.240000,24.139999,24.230000,19.263048,19100
2015-11-05,24.170000,24.230000,24.040001,24.200001,19.239201,17500
2015-11-06,24.190001,24.230000,23.910000,23.990000,19.072243,43600
2015-11-09,24.080000,24.110001,23.889999,24.080000,19.143795,3400
2015-11-10,24.030001,24.120001,23.719999,24.100000,19.159693,13500
2015-11-11,24.080000,24.120001,24.070000,24.070000,19.135841,8600
2015-11-12,24.090000,24.240000,24.040001,24.120001,19.175592,18500
2015-11-13,24.090000,24.150000,24.059999,24.070000,19.135841,25400
2015-11-16,23.980000,24.219999,23.930000,24.200001,19.239201,7700
2015-11-17,24.200001,24.200001,24.120001,24.120001,19.175592,6400
2015-11-18,24.120001,24.120001,24.080000,24.090000,19.151743,11500
2015-11-19,24.120001,24.120001,24.010000,24.049999,19.119944,9500
2015-11-20,24.000000,24.049999,23.950001,24.030001,19.104048,35900
2015-11-23,24.010000,24.040001,24.000000,24.020000,19.096100,11100
2015-11-24,23.879999,24.049999,23.879999,24.020000,19.096100,13900
2015-11-25,23.850000,23.930000,23.629999,23.930000,19.024542,8800
2015-11-27,23.900000,23.930000,23.889999,23.900000,19.000690,6400
2015-11-30,24.049999,24.049999,23.900000,23.950001,19.040447,2800
2015-12-01,23.870001,24.000000,23.830000,23.900000,19.000690,27700
2015-12-02,23.959999,23.990000,23.910000,23.990000,19.072243,26600
2015-12-03,23.910000,23.950001,23.750000,23.930000,19.024542,19700
2015-12-04,23.870001,23.940001,23.799999,23.940001,19.032495,9200
2015-12-07,23.930000,23.990000,23.930000,23.950001,19.040447,4100
2015-12-08,23.770000,23.980000,23.770000,23.900000,19.000690,9500
2015-12-09,23.900000,23.980000,23.870001,23.870001,18.976845,4300
2015-12-10,23.889999,23.889999,23.740000,23.740000,18.873493,9600
2015-12-11,23.740000,23.889999,23.650000,23.820000,18.937092,44200
2015-12-14,23.850000,23.850000,23.410000,23.450001,18.642939,21500
2015-12-15,23.469999,23.650000,23.440001,23.570000,18.738338,12800
2015-12-16,23.770000,23.770000,23.540001,23.660000,18.809891,13200
2015-12-17,23.700001,23.700001,23.570000,23.610001,18.770142,7200
2015-12-18,23.700001,23.860001,23.620001,23.670000,18.817837,17300
2015-12-21,23.740000,23.740000,23.389999,23.620001,18.778090,7500
2015-12-22,23.559999,23.690001,23.480000,23.570000,18.738338,18100
2015-12-23,23.650000,23.650000,23.549999,23.580000,18.746288,5900
