Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,1.710000,1.770000,1.710000,1.770000,1.770000,700
2015-09-23,1.750000,1.800000,1.710000,1.800000,1.800000,7000
2015-09-24,1.710000,1.790000,1.680000,1.760000,1.760000,3900
2015-09-25,1.710000,1.760000,1.710000,1.760000,1.760000,1300
2015-09-28,1.750000,1.780000,1.630000,1.700000,1.700000,4800
2015-09-29,1.730000,1.730000,1.620000,1.680000,1.680000,8000
2015-09-30,1.730000,1.750000,1.550000,1.750000,1.750000,42400
2015-10-01,1.710000,1.730000,1.660000,1.700000,1.700000,2900
2015-10-02,1.730000,1.730000,1.730000,1.730000,1.730000,100
2015-10-05,1.710000,1.730000,1.700000,1.720000,1.720000,7200
2015-10-06,1.700000,1.700000,1.700000,1.700000,1.700000,1500
2015-10-07,1.700000,1.700000,1.700000,1.700000,1.700000,0
2015-10-08,1.730000,1.730000,1.690000,1.710000,1.710000,1300
2015-10-09,1.690000,1.690000,1.570000,1.680000,1.680000,2600
2015-10-12,1.690000,1.720000,1.690000,1.690000,1.690000,1400
2015-10-13,1.670000,1.700000,1.560000,1.560000,1.560000,6400
2015-10-14,1.610000,1.640000,1.580000,1.620000,1.620000,4300
2015-10-15,1.640000,1.700000,1.600000,1.690000,1.690000,7800
2015-10-16,1.720000,1.720000,1.700000,1.720000,1.720000,400
2015-10-19,1.680000,1.720000,1.680000,1.720000,1.720000,400
2015-10-20,1.650000,1.690000,1.650000,1.690000,1.690000,500
2015-10-21,1.690000,1.690000,1.690000,1.690000,1.690000,0
2015-10-22,1.730000,1.730000,1.570000,1.680000,1.680000,9400
2015-10-23,1.680000,1.690000,1.640000,1.690000,1.690000,1400
2015-10-26,1.620000,1.700000,1.620000,1.700000,1.700000,500
2015-10-27,1.670000,1.690000,1.670000,1.690000,1.690000,400
2015-10-28,1.690000,1.690000,1.690000,1.690000,1.690000,0
2015-10-29,1.730000,1.730000,1.710000,1.710000,1.710000,3400
2015-10-30,1.720000,1.730000,1.690000,1.720000,1.720000,3800
2015-11-02,1.700000,1.700000,1.670000,1.700000,1.700000,6600
