Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,36.070000,36.220001,35.410000,35.619999,34.630833,110700
2015-09-23,35.669998,35.790001,35.299999,35.700001,34.708611,72100
2015-09-24,35.480000,35.799999,35.040001,35.689999,34.698891,73600
2015-09-25,35.939999,36.880001,35.740002,36.520000,35.505848,113900
2015-09-28,36.299999,36.630001,35.950001,35.970001,34.971123,75300
2015-09-29,35.880001,36.130001,35.630001,35.820000,34.902901,74400
2015-09-30,36.000000,36.349998,35.560001,35.900002,34.980869,66700
2015-10-01,35.889999,35.889999,35.009998,35.230000,34.328018,133100
2015-10-02,35.000000,35.380001,34.459999,35.320000,34.415710,106900
2015-10-05,35.490002,36.869999,35.439999,36.799999,35.857819,67100
2015-10-06,36.720001,37.060001,36.500000,36.680000,35.740894,51900
2015-10-07,36.779999,37.669998,36.779999,37.419998,36.461945,53500
2015-10-08,37.290001,37.980000,37.290001,37.900002,36.929657,59800
2015-10-09,37.910000,38.189999,37.509998,37.509998,36.549648,69500
2015-10-12,37.680000,37.680000,37.160000,37.360001,36.403488,101200
2015-10-13,37.189999,37.830002,37.020000,37.049999,36.101418,54000
2015-10-14,36.930000,37.680000,36.840000,37.360001,36.403488,86600
2015-10-15,37.349998,37.959999,36.660000,37.849998,36.880936,93400
2015-10-16,37.919998,37.919998,37.099998,37.590000,36.627590,80800
2015-10-19,37.320000,37.750000,37.119999,37.619999,36.656822,53800
2015-10-20,37.500000,38.349998,37.380001,37.939999,36.968628,53200
2015-10-21,38.040001,38.270000,37.680000,37.720001,36.754269,71800
2015-10-22,37.790001,38.180000,37.740002,37.900002,36.929657,102700
2015-10-23,38.189999,38.200001,37.639999,37.740002,36.773750,74800
2015-10-26,37.630001,37.980000,37.480000,37.599998,36.637337,76500
2015-10-27,37.410000,37.610001,36.779999,36.980000,36.033211,53300
2015-10-28,36.930000,37.669998,36.730000,37.529999,36.569126,132900
2015-10-29,37.380001,37.689999,37.230000,37.490002,36.530155,85700
2015-10-30,37.380001,37.529999,37.000000,37.090000,36.140392,76700
2015-11-02,37.060001,37.880001,36.860001,37.849998,36.880936,75200
2015-11-03,37.750000,38.090000,37.439999,37.599998,36.637337,272900
2015-11-04,37.700001,37.900002,37.310001,37.400002,36.442463,100300
2015-11-05,37.470001,37.610001,36.889999,36.980000,36.033211,144500
2015-11-06,36.810001,37.090000,36.070000,36.480000,35.546009,305900
2015-11-09,36.480000,36.639999,35.939999,36.200001,35.273182,98100
2015-11-10,36.139999,36.400002,35.779999,35.880001,34.961388,185700
2015-11-11,35.900002,36.099998,35.619999,35.750000,34.834705,137800
2015-11-12,35.430000,35.720001,34.200001,34.680000,33.792099,181400
2015-11-13,33.990002,37.340000,33.619999,35.860001,34.941883,264800
2015-11-16,35.759998,37.529999,35.759998,37.360001,36.403488,354100
2015-11-17,37.500000,37.540001,37.130001,37.189999,36.237823,170600
2015-11-18,37.389999,37.720001,37.060001,37.560001,36.598358,244700
2015-11-19,37.540001,38.240002,37.180000,38.130001,37.153767,116100
2015-11-20,38.250000,38.700001,38.080002,38.450001,37.465572,105400
2015-11-23,38.500000,38.990002,38.500000,38.799999,37.806614,188600
2015-11-24,38.660000,39.200001,38.529999,39.110001,38.108685,86300
2015-11-25,39.080002,39.680000,39.080002,39.669998,38.654335,51400
2015-11-27,39.610001,39.980000,39.430000,39.580002,38.566643,21000
2015-11-30,39.630001,39.880001,39.189999,39.230000,38.225609,76200
2015-12-01,39.270000,39.650002,39.040001,39.299999,38.293812,101600
2015-12-02,39.209999,39.680000,38.910000,39.259998,38.254841,69800
2015-12-03,39.459999,39.860001,38.599998,38.759998,37.767635,89700
2015-12-04,38.740002,39.560001,38.650002,39.330002,38.323048,82900
2015-12-07,39.290001,39.389999,38.770000,38.860001,37.865082,104000
2015-12-08,38.450001,38.990002,38.330002,38.540001,37.553268,80800
2015-12-09,38.369999,38.570000,37.779999,38.189999,37.212231,102600
2015-12-10,38.130001,38.599998,38.110001,38.270000,37.290180,94000
2015-12-11,37.650002,38.299999,37.650002,37.840000,36.871185,78600
2015-12-14,37.910000,37.980000,37.320000,37.810001,36.841961,137000
2015-12-15,38.049999,38.279999,37.500000,37.759998,36.793240,139400
2015-12-16,37.919998,38.099998,37.490002,37.680000,36.715286,198900
2015-12-17,37.619999,37.869999,37.279999,37.279999,36.325527,96900
2015-12-18,37.060001,37.250000,36.230000,36.439999,35.507038,258700
2015-12-21,36.660000,37.299999,36.349998,36.689999,35.750637,107800
2015-12-22,36.779999,37.020000,36.349998,37.020000,36.072178,212400
2015-12-23,37.160000,37.310001,37.029999,37.209999,36.257317,74700
2015-12-24,37.259998,37.459999,37.070000,37.220001,36.267063,94300
