Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,5.390000,5.450000,5.330000,5.420000,5.420000,419600
2015-09-23,5.430000,5.430000,5.130000,5.270000,5.270000,434300
2015-09-24,5.240000,5.270000,5.050000,5.210000,5.210000,332000
2015-09-25,5.250000,5.410000,5.070000,5.320000,5.320000,418800
2015-09-28,5.270000,5.370000,5.190000,5.250000,5.250000,295800
2015-09-29,5.280000,5.310000,5.150000,5.210000,5.210000,262700
2015-09-30,5.260000,5.290000,5.090000,5.130000,5.130000,1084400
2015-10-01,5.150000,5.280000,4.840000,5.110000,5.110000,612500
2015-10-02,5.060000,5.130000,4.840000,4.960000,4.960000,667600
2015-10-05,5.130000,5.210000,4.970000,5.140000,5.140000,638800
2015-10-06,5.140000,5.290000,5.090000,5.100000,5.100000,411900
2015-10-07,5.100000,5.290000,5.050000,5.180000,5.180000,476600
2015-10-08,5.180000,5.310000,5.070000,5.270000,5.270000,623600
2015-10-09,5.320000,5.350000,5.210000,5.240000,5.240000,440100
2015-10-12,5.230000,5.320000,5.170000,5.220000,5.220000,209700
2015-10-13,5.230000,5.250000,5.080000,5.080000,5.080000,298000
2015-10-14,5.140000,5.260000,5.000000,5.020000,5.020000,256400
2015-10-15,5.010000,5.330000,5.010000,5.250000,5.250000,537900
2015-10-16,5.310000,5.350000,5.170000,5.220000,5.220000,333200
2015-10-19,5.150000,5.150000,4.710000,4.810000,4.810000,594300
2015-10-20,4.800000,4.930000,4.750000,4.760000,4.760000,227900
2015-10-21,4.800000,4.830000,4.380000,4.400000,4.400000,450500
2015-10-22,4.450000,4.640000,4.390000,4.550000,4.550000,271300
2015-10-23,4.570000,4.760000,4.510000,4.690000,4.690000,346400
2015-10-26,4.700000,4.860000,4.510000,4.540000,4.540000,234000
2015-10-27,4.520000,4.540000,4.060000,4.360000,4.360000,776500
2015-10-28,4.340000,4.920000,4.340000,4.910000,4.910000,585300
2015-10-29,4.870000,4.930000,4.620000,4.680000,4.680000,287600
2015-10-30,4.700000,4.820000,4.640000,4.680000,4.680000,246600
2015-11-02,4.730000,5.050000,4.720000,4.930000,4.930000,439500
2015-11-03,4.900000,5.120000,4.900000,5.000000,5.000000,436700
2015-11-04,5.260000,5.290000,4.170000,4.570000,4.570000,1590200
2015-11-05,4.550000,4.600000,4.220000,4.360000,4.360000,1123000
2015-11-06,4.370000,4.580000,4.370000,4.450000,4.450000,840600
2015-11-09,4.460000,4.470000,4.220000,4.310000,4.310000,691700
2015-11-10,4.280000,4.370000,3.990000,3.990000,3.990000,906600
2015-11-11,4.060000,4.110000,3.860000,3.900000,3.900000,992600
2015-11-12,3.860000,3.960000,3.790000,3.890000,3.890000,525000
2015-11-13,3.870000,3.980000,3.770000,3.850000,3.850000,426200
2015-11-16,3.880000,3.890000,3.700000,3.710000,3.710000,496900
2015-11-17,3.660000,3.690000,3.390000,3.470000,3.470000,867200
2015-11-18,3.600000,3.920000,3.560000,3.910000,3.910000,533200
2015-11-19,3.880000,3.930000,3.670000,3.840000,3.840000,390800
2015-11-20,3.890000,3.940000,3.780000,3.800000,3.800000,458300
2015-11-23,3.750000,3.890000,3.530000,3.570000,3.570000,659800
2015-11-24,3.570000,3.730000,3.520000,3.710000,3.710000,435500
2015-11-25,3.730000,3.780000,3.500000,3.570000,3.570000,924300
2015-11-27,3.560000,3.610000,3.350000,3.590000,3.590000,343900
2015-11-30,3.640000,3.850000,3.570000,3.820000,3.820000,406500
2015-12-01,3.810000,3.810000,3.650000,3.670000,3.670000,645300
2015-12-02,3.680000,3.680000,3.590000,3.610000,3.610000,234500
2015-12-03,3.620000,3.680000,3.580000,3.650000,3.650000,473100
2015-12-04,3.620000,3.710000,3.310000,3.420000,3.420000,1110700
2015-12-07,3.370000,3.460000,3.270000,3.460000,3.460000,565600
2015-12-08,3.410000,3.430000,3.350000,3.390000,3.390000,1629000
2015-12-09,3.370000,3.460000,3.310000,3.390000,3.390000,537200
2015-12-10,3.470000,3.890000,3.430000,3.820000,3.820000,969100
2015-12-11,3.710000,3.800000,3.590000,3.680000,3.680000,508500
2015-12-14,3.660000,3.720000,3.590000,3.660000,3.660000,678800
2015-12-15,3.660000,3.770000,3.650000,3.750000,3.750000,328200
2015-12-16,3.780000,3.900000,3.780000,3.850000,3.850000,419500
2015-12-17,3.830000,3.930000,3.830000,3.880000,3.880000,307800
2015-12-18,3.850000,4.050000,3.830000,4.040000,4.040000,789300
2015-12-21,4.040000,4.040000,3.880000,3.900000,3.900000,309000
2015-12-22,3.930000,3.970000,3.840000,3.890000,3.890000,302800
2015-12-23,3.930000,4.160000,3.850000,4.130000,4.130000,433500
2015-12-24,4.110000,4.160000,3.960000,4.130000,4.130000,196800
2015-12-28,3.840000,3.960000,3.440000,3.960000,3.960000,798500
2015-12-29,3.970000,4.170000,3.950000,4.170000,4.170000,377400
2015-12-30,4.120000,4.290000,4.050000,4.270000,4.270000,671400
2015-12-31,4.280000,4.430000,4.210000,4.390000,4.390000,595600
2016-01-04,4.380000,4.500000,4.140000,4.440000,4.440000,530900
2016-01-05,4.460000,4.490000,4.230000,4.390000,4.390000,386300
2016-01-06,4.370000,4.460000,4.230000,4.230000,4.230000,445700
2016-01-07,4.200000,4.200000,3.950000,4.120000,4.120000,681700
2016-01-08,4.160000,4.170000,3.970000,3.990000,3.990000,647000
2016-01-11,4.010000,4.120000,3.900000,3.980000,3.980000,431600
2016-01-12,4.020000,4.040000,3.780000,3.910000,3.910000,371700
2016-01-13,3.910000,3.920000,3.500000,3.510000,3.510000,606100
2016-01-14,3.460000,3.600000,3.380000,3.510000,3.510000,531600
2016-01-15,3.400000,3.560000,3.210000,3.560000,3.560000,626300
