Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,3.590000,3.630000,3.510000,3.550000,3.409581,469300
2015-09-23,3.570000,3.590000,3.490000,3.580000,3.438394,667600
2015-09-24,3.530000,3.580000,3.520000,3.570000,3.428789,868700
2015-09-25,3.640000,3.690000,3.600000,3.620000,3.476812,720800
2015-09-28,3.590000,3.650000,3.500000,3.540000,3.399976,619200
2015-09-29,3.550000,3.550000,3.380000,3.400000,3.265514,1178200
2015-09-30,3.450000,3.570000,3.410000,3.560000,3.419185,1088800
2015-10-01,3.550000,3.610000,3.450000,3.530000,3.390372,1065300
2015-10-02,3.400000,3.470000,3.330000,3.440000,3.303932,954800
2015-10-05,3.470000,3.710000,3.470000,3.690000,3.544043,585000
2015-10-06,3.670000,3.850000,3.630000,3.770000,3.620878,501000
2015-10-07,3.810000,3.920000,3.750000,3.880000,3.726527,668500
2015-10-08,3.870000,4.040000,3.830000,4.030000,3.870595,423600
2015-10-09,4.040000,4.060000,3.880000,3.900000,3.745737,579500
2015-10-12,3.910000,3.990000,3.860000,3.910000,3.755341,274800
2015-10-13,3.890000,3.970000,3.800000,3.820000,3.668900,280600
2015-10-14,3.780000,3.780000,3.590000,3.620000,3.476812,602500
2015-10-15,3.670000,3.760000,3.570000,3.740000,3.592065,705400
2015-10-16,3.780000,3.840000,3.640000,3.810000,3.659296,380700
2015-10-19,3.780000,3.790000,3.660000,3.740000,3.592065,635900
2015-10-20,3.760000,3.930000,3.740000,3.910000,3.755341,393500
2015-10-21,3.920000,3.970000,3.770000,3.780000,3.630483,484500
2015-10-22,3.810000,3.960000,3.790000,3.920000,3.764946,635800
2015-10-23,3.960000,4.010000,3.880000,3.950000,3.793758,578200
2015-10-26,3.820000,4.000000,3.770000,3.930000,3.774550,508500
2015-10-27,3.930000,3.930000,3.700000,3.730000,3.582461,769600
2015-10-28,3.730000,4.060000,3.710000,4.000000,3.841781,1005000
2015-10-29,4.010000,4.210000,3.920000,3.940000,3.784154,654100
2015-10-30,3.930000,3.970000,3.750000,3.790000,3.640087,735500
2015-11-02,3.800000,3.890000,3.750000,3.820000,3.668900,490100
2015-11-03,3.810000,3.890000,3.790000,3.800000,3.649692,486500
2015-11-04,3.820000,3.870000,3.750000,3.800000,3.649692,267200
2015-11-05,3.820000,4.110000,3.800000,4.090000,3.928221,733300
2015-11-06,4.400000,4.540000,4.160000,4.490000,4.312399,1231100
2015-11-09,4.440000,4.640000,4.380000,4.480000,4.302794,1468300
2015-11-10,4.470000,4.570000,4.340000,4.370000,4.197145,712100
2015-11-11,4.400000,4.450000,4.210000,4.330000,4.158728,743600
2015-11-12,4.260000,4.310000,3.980000,4.020000,3.860989,451400
2015-11-13,3.980000,4.020000,3.830000,3.880000,3.726527,635500
2015-11-16,3.900000,3.930000,3.780000,3.910000,3.755341,393600
2015-11-17,3.930000,4.080000,3.870000,3.960000,3.803363,481700
2015-11-18,3.960000,4.030000,3.880000,4.020000,3.860989,431000
2015-11-19,4.020000,4.040000,3.850000,3.880000,3.726527,492000
2015-11-20,3.910000,3.960000,3.790000,3.830000,3.678505,822600
2015-11-23,3.840000,3.870000,3.760000,3.810000,3.659296,734700
2015-11-24,3.790000,3.850000,3.750000,3.790000,3.640087,882500
2015-11-25,3.810000,3.920000,3.760000,3.900000,3.745737,368200
2015-11-27,3.890000,3.900000,3.810000,3.840000,3.688110,177500
2015-11-30,3.860000,3.920000,3.750000,3.750000,3.601670,783700
2015-12-01,3.780000,3.860000,3.690000,3.700000,3.553647,811000
2015-12-02,3.690000,3.770000,3.500000,3.570000,3.428789,931200
2015-12-03,3.590000,3.710000,3.450000,3.450000,3.313536,781100
2015-12-04,3.440000,3.560000,3.380000,3.450000,3.313536,886600
2015-12-07,3.460000,3.460000,3.060000,3.160000,3.035007,1943900
2015-12-08,3.080000,3.160000,3.050000,3.070000,2.948566,707100
2015-12-09,3.030000,3.160000,3.020000,3.070000,2.948566,774500
2015-12-10,3.070000,3.460000,3.050000,3.350000,3.217491,2280500
2015-12-11,3.320000,3.370000,3.150000,3.170000,3.044611,1588000
2015-12-14,3.160000,3.200000,3.010000,3.060000,2.938962,1547400
2015-12-15,3.050000,3.280000,3.050000,3.180000,3.054216,1260200
2015-12-16,3.200000,3.350000,3.010000,3.170000,3.044611,2032200
2015-12-17,3.190000,3.250000,3.080000,3.130000,3.006194,1120800
2015-12-18,3.110000,3.320000,3.050000,3.200000,3.073425,18512800
2015-12-21,3.260000,3.540000,3.200000,3.420000,3.284723,1620700
2015-12-22,3.430000,3.510000,3.330000,3.500000,3.361558,1036500
2015-12-23,3.540000,3.550000,3.370000,3.380000,3.246305,922100
2015-12-24,3.400000,3.590000,3.390000,3.570000,3.428789,449900
2015-12-28,3.560000,3.570000,3.440000,3.470000,3.332745,810500
2015-12-29,3.540000,3.540000,3.380000,3.400000,3.265514,1100200
2015-12-30,3.360000,3.400000,3.270000,3.280000,3.150260,1044800
2015-12-31,3.300000,3.310000,3.240000,3.250000,3.121447,732000
2016-01-04,3.130000,3.230000,3.100000,3.190000,3.063820,953200
2016-01-05,3.220000,3.220000,3.110000,3.120000,2.996589,711300
2016-01-06,3.090000,3.160000,3.060000,3.130000,3.006194,640800
2016-01-07,3.060000,3.110000,3.010000,3.110000,2.986985,2156600
2016-01-08,3.130000,3.180000,2.970000,2.990000,2.871731,1357800
2016-01-11,2.990000,3.010000,2.930000,2.970000,2.852522,894800
2016-01-12,2.990000,3.010000,2.810000,2.890000,2.775687,1141700
