Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,12.520000,12.540000,12.170000,12.330000,7.456251,392500
2015-09-23,12.270000,12.810000,12.270000,12.670000,7.661858,355800
2015-09-24,12.610000,12.915000,12.190000,12.800000,7.740472,355400
2015-09-25,12.790000,12.790000,12.370000,12.500000,7.559055,202300
2015-09-28,12.540000,12.580000,11.950000,12.280000,7.426016,602200
2015-09-29,12.210000,12.900000,12.210000,12.850000,7.770707,458600
2015-09-30,12.880000,13.250000,12.830000,12.830000,7.758613,316400
2015-10-01,12.940000,13.070000,12.700000,12.870000,7.782803,68300
2015-10-02,12.780000,13.440000,12.780000,13.400000,8.103307,458700
2015-10-05,13.310000,13.730000,13.110000,13.660000,8.260535,288700
2015-10-06,13.630000,14.350000,13.510000,14.000000,8.466142,389000
2015-10-07,14.270000,14.970000,13.790000,14.890000,9.004347,632900
2015-10-08,14.780000,14.990000,14.530000,14.780000,8.937826,475100
2015-10-09,14.780000,15.270000,14.700000,14.990000,9.064816,265100
2015-10-12,15.000000,15.000000,14.560000,14.780000,8.937826,73200
2015-10-13,14.640000,14.960000,14.640000,14.700000,8.889449,80300
2015-10-14,14.600000,14.840000,14.550000,14.700000,8.889449,105300
2015-10-15,14.680000,14.840000,14.500000,14.650000,8.859213,97000
2015-10-16,14.570000,14.740000,14.430000,14.560000,8.804788,64600
2015-10-19,14.480000,14.640000,14.450000,14.600000,8.828979,55000
2015-10-20,14.650000,14.650000,14.150000,14.260000,8.623369,267700
2015-10-21,14.260000,14.284000,14.000000,14.030000,8.484284,79900
2015-10-22,14.090000,14.450000,13.970000,14.200000,8.587086,26200
2015-10-23,14.230000,14.591000,14.100000,14.140000,8.550803,20400
2015-10-26,14.230000,14.230000,13.550000,13.640000,8.248441,58300
2015-10-27,13.590000,13.590000,12.590000,13.110000,7.927936,190700
2015-10-28,13.150000,13.350000,12.700000,13.060000,7.897702,159300
2015-10-29,12.830000,12.990000,12.540000,12.770000,7.722331,155200
2015-10-30,12.770000,13.000000,12.660000,12.900000,7.800944,44100
2015-11-02,12.900000,13.180000,12.638000,12.670000,7.661858,129300
2015-11-03,12.670000,13.030000,12.440000,12.900000,7.800944,93900
2015-11-04,12.900000,13.350000,12.261000,13.140000,7.946078,106000
2015-11-05,13.150000,13.250000,12.430000,12.710000,7.686047,168300
2015-11-06,12.640000,12.785000,12.001000,12.600000,7.619527,170100
2015-11-09,12.560000,12.760000,12.040000,12.190000,7.371590,163300
2015-11-10,12.490000,12.490000,11.630000,11.710000,7.081324,145300
2015-11-11,11.800000,12.150000,11.650000,11.750000,7.105513,173200
2015-11-12,11.850000,12.830000,11.842000,12.800000,7.740472,115300
2015-11-13,12.800000,12.800000,12.180000,12.410000,7.504628,91600
2015-11-16,12.410000,12.420000,11.980000,12.170000,7.359495,40400
2015-11-17,12.290000,12.290000,11.860000,11.880000,7.184127,86900
2015-11-18,11.580000,11.899000,11.150000,11.200000,6.966424,236000
2015-11-19,11.320000,12.100000,11.320000,12.060000,7.729079,201200
2015-11-20,12.170000,12.220000,11.930000,12.220000,7.831620,45700
2015-11-23,12.140000,12.140000,11.530000,11.620000,7.447089,256900
2015-11-24,11.710000,11.775000,11.360000,11.630000,7.453498,263100
2015-11-25,11.600000,11.650000,11.500000,11.560000,7.408637,116900
2015-11-27,11.530000,11.605000,11.500000,11.590000,7.427864,55000
2015-11-30,11.500000,11.560000,11.470000,11.500000,7.370184,91900
2015-12-01,11.500000,11.570000,11.260000,11.390000,7.299686,153500
2015-12-02,11.270000,11.325000,10.881000,11.000000,7.049742,113900
2015-12-03,11.000000,11.120000,10.690000,10.720000,6.870292,148500
2015-12-04,10.850000,10.880000,10.620000,10.780000,6.908745,98200
2015-12-07,10.690000,10.690000,9.540000,9.640000,6.178136,573900
2015-12-08,9.900000,10.240000,9.810000,10.100000,6.472945,176300
2015-12-09,9.870000,10.330000,9.850000,10.100000,6.472945,138800
2015-12-10,10.080000,10.540000,10.080000,10.420000,6.678027,139600
2015-12-11,10.340000,10.471000,10.060000,10.140000,6.498579,116600
2015-12-14,10.180000,10.190000,9.750000,9.800000,6.280677,265000
2015-12-15,9.770000,10.030000,9.500000,9.780000,6.267861,231400
2015-12-16,9.770000,9.770000,9.400000,9.460000,6.062775,390600
2015-12-17,9.450000,9.890000,9.450000,9.720000,6.229407,264400
2015-12-18,9.700000,9.910000,9.154000,9.280000,5.947418,471100
2015-12-21,9.370000,9.850000,9.370000,9.660000,6.190954,262800
2015-12-22,9.640000,9.790000,9.620000,9.760000,6.255044,652600
2015-12-23,10.000000,10.780000,9.940000,10.750000,6.889518,155500
2015-12-24,10.720000,11.140000,10.700000,11.040000,7.075376,49400
2015-12-28,11.120000,11.120000,10.660000,10.780000,6.908745,96300
2015-12-29,10.750000,11.450000,10.520000,11.370000,7.286869,392400
2015-12-30,11.340000,11.620000,11.100000,11.290000,7.235597,158500
2015-12-31,11.230000,11.600000,11.000000,11.260000,7.216370,167900
2016-01-04,11.180000,11.540000,11.100000,11.150000,7.145872,72500
2016-01-05,11.260000,11.260000,11.000000,11.030000,7.068965,47200
2016-01-06,10.900000,11.080000,10.800000,10.840000,6.947199,57200
2016-01-07,10.680000,10.750000,10.500000,10.620000,6.806204,156900
2016-01-08,10.590000,10.760000,10.500000,10.550000,6.761343,60900
2016-01-11,10.500000,10.550000,9.780000,9.810000,6.287088,172500
2016-01-12,9.800000,9.930000,9.000000,9.110000,5.838467,163000
2016-01-13,9.200000,9.390000,8.780000,8.950000,5.735925,195900
2016-01-14,8.890000,9.560000,8.810000,9.540000,6.114047,100600
2016-01-15,9.380000,9.380000,9.050000,9.280000,5.947418,62700
2016-01-19,9.500000,9.520000,8.865000,9.120000,5.844875,113100
2016-01-20,9.070000,9.340000,8.890000,9.000000,5.767971,113600
2016-01-21,9.050000,9.340000,8.950000,9.290000,5.953826,46800
2016-01-22,9.460000,9.660000,9.350000,9.410000,6.030733,116000
2016-01-25,9.400000,9.600000,9.020000,9.030000,5.787195,44300
2016-01-26,9.210000,9.430000,9.100000,9.430000,6.043551,183600
2016-01-27,9.320000,9.590000,9.270000,9.460000,6.062775,57500
2016-01-28,9.650000,9.720000,9.450000,9.550000,6.120457,80000
2016-01-29,9.610000,10.380000,9.500000,10.380000,6.652393,111000
2016-02-01,10.420000,10.420000,9.960000,10.000000,6.408856,83800
