Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,17.219999,17.290001,17.010000,17.059999,14.709970,140700
2015-09-23,17.100000,17.180000,16.799999,17.030001,14.684102,171300
2015-09-24,16.940001,17.129999,16.780001,17.080000,14.727215,123400
2015-09-25,17.160000,17.469999,17.020000,17.320000,14.934155,178100
2015-09-28,17.209999,17.260000,17.040001,17.100000,14.744462,131500
2015-09-29,17.100000,17.120001,16.940001,17.049999,14.701347,113600
2015-09-30,17.129999,17.290001,17.030001,17.219999,14.847929,197800
2015-10-01,17.139999,17.320000,16.980000,17.170000,14.908709,133000
2015-10-02,17.059999,17.330000,16.860001,17.330000,15.047643,151300
2015-10-05,17.420000,18.010000,17.420000,18.010000,15.638084,147100
2015-10-06,17.950001,18.090000,17.750000,17.850000,15.499153,206500
2015-10-07,17.990000,18.139999,17.750000,18.080000,15.698860,224600
2015-10-08,18.049999,18.740000,18.040001,18.660000,16.202478,174400
2015-10-09,18.750000,19.110001,18.650000,18.950001,16.454287,152500
2015-10-12,18.980000,19.040001,18.530001,18.870001,16.384821,104800
2015-10-13,18.750000,19.020000,18.570000,18.600000,16.150381,98800
2015-10-14,18.629999,19.049999,18.459999,18.780001,16.306677,116200
2015-10-15,18.809999,19.129999,18.570000,19.120001,16.601896,104800
2015-10-16,19.190001,19.190001,18.660000,18.930000,16.436920,119100
2015-10-19,18.809999,18.940001,18.750000,18.910000,16.419552,81700
2015-10-20,18.860001,19.139999,18.830000,19.129999,16.610579,102800
2015-10-21,19.110001,19.110001,18.600000,18.629999,16.176424,98600
2015-10-22,18.680000,19.240000,18.620001,19.240000,16.706091,97700
2015-10-23,19.459999,19.639999,19.219999,19.490000,16.923170,104500
2015-10-26,19.370001,19.450001,19.040001,19.180000,16.653996,97400
2015-10-27,19.150000,19.160000,18.480000,18.629999,16.176424,139000
2015-10-28,18.709999,19.610001,18.709999,19.590000,17.009998,128100
2015-10-29,19.530001,19.639999,19.360001,19.540001,16.966581,75700
2015-10-30,19.600000,19.690001,19.320000,19.400000,16.845020,214800
2015-11-02,19.389999,20.090000,19.250000,19.850000,17.235754,141700
2015-11-03,19.309999,19.590000,17.540001,17.809999,15.464424,320200
2015-11-04,17.770000,18.000000,17.010000,17.049999,14.804517,201500
2015-11-05,17.080000,17.280001,16.870001,17.080000,14.830564,243700
2015-11-06,17.000000,17.820000,16.950001,17.820000,15.473104,171200
2015-11-09,17.820000,17.820000,17.610001,17.670000,15.342861,147400
2015-11-10,17.730000,17.930000,17.520000,17.830000,15.481794,121300
2015-11-11,17.820000,18.059999,17.709999,17.719999,15.386279,130300
2015-11-12,17.590000,17.650000,17.209999,17.230000,14.960810,142000
2015-11-13,17.110001,17.330000,16.940001,17.070000,14.821879,96900
2015-11-16,17.110001,17.129999,16.809999,16.879999,14.656902,120100
2015-11-17,16.879999,17.200001,16.629999,16.680000,14.483245,140000
2015-11-18,16.690001,17.070000,16.680000,17.020000,14.778467,155200
2015-11-19,17.049999,17.430000,17.010000,17.190001,14.926080,109400
2015-11-20,17.299999,17.680000,17.230000,17.629999,15.308127,253300
2015-11-23,17.559999,17.730000,17.389999,17.650000,15.325495,136100
2015-11-24,17.559999,17.799999,17.490000,17.600000,15.282081,241900
2015-11-25,17.620001,17.740000,17.459999,17.650000,15.325495,170100
2015-11-27,17.600000,17.980000,17.559999,17.959999,15.594667,209000
2015-11-30,18.030001,18.129999,17.770000,17.790001,15.447059,143800
2015-12-01,17.809999,18.260000,17.290001,17.320000,15.038956,281600
2015-12-02,17.280001,17.389999,16.830000,16.889999,14.665588,128300
2015-12-03,16.959999,16.990000,16.590000,16.600000,14.413781,160800
2015-12-04,16.540001,17.200001,16.510000,17.049999,14.804517,218200
2015-12-07,17.090000,17.240000,16.680000,17.040001,14.795834,121700
2015-12-08,16.860001,16.969999,16.600000,16.700001,14.500610,137300
2015-12-09,16.680000,16.950001,16.580000,16.670000,14.474563,148700
2015-12-10,16.650000,16.959999,16.430000,16.629999,14.439830,114100
2015-12-11,16.340000,16.900000,16.280001,16.730000,14.526658,265900
2015-12-14,16.730000,16.930000,16.559999,16.750000,14.544025,255400
2015-12-15,16.879999,17.360001,16.879999,17.360001,15.073689,146300
2015-12-16,17.690001,19.209999,17.520000,19.170000,16.645309,318900
2015-12-17,19.270000,19.520000,19.180000,19.360001,16.810291,325500
2015-12-18,19.379999,19.379999,18.580000,18.629999,16.176424,524900
2015-12-21,18.809999,19.190001,18.809999,19.170000,16.645309,186000
2015-12-22,19.230000,19.270000,18.870001,19.040001,16.532433,128600
2015-12-23,19.120001,19.299999,18.930000,19.059999,16.549797,103400
2015-12-24,19.010000,19.330000,18.900000,19.290001,16.749508,82000
2015-12-28,19.170000,19.219999,18.680000,18.830000,16.350088,134700
2015-12-29,18.830000,19.330000,18.730000,19.299999,16.758190,114000
2015-12-30,19.110001,19.219999,18.799999,18.889999,16.504807,98900
2015-12-31,18.860001,18.969999,18.309999,18.440001,16.111628,138100
2016-01-04,18.100000,18.530001,17.830000,18.379999,16.059198,193600
2016-01-05,18.469999,18.950001,18.270000,18.870001,16.487333,205400
2016-01-06,18.570000,18.969999,18.530001,18.860001,16.478600,268000
2016-01-07,18.580000,18.620001,17.790001,17.940001,15.674763,364900
2016-01-08,18.020000,18.020000,17.219999,17.309999,15.124308,243300
2016-01-11,17.219999,17.490000,16.480000,16.660000,14.556386,201300
2016-01-12,16.809999,16.809999,15.760000,16.150000,14.110782,278200
2016-01-13,16.150000,16.350000,15.290000,15.660000,13.682651,299600
2016-01-14,15.790000,16.299999,15.590000,16.150000,14.110782,170200
2016-01-15,15.700000,16.090000,15.510000,16.090000,14.058359,200000
2016-01-19,16.219999,16.219999,15.410000,15.660000,13.682651,174300
2016-01-20,15.390000,16.200001,14.990000,16.010000,13.988460,203700
2016-01-21,15.980000,16.290001,15.590000,15.620000,13.647701,195200
2016-01-22,15.850000,16.209999,15.560000,15.600000,13.630228,248200
2016-01-25,15.460000,15.460000,14.090000,14.300000,12.494376,178600
2016-01-26,14.320000,15.100000,14.320000,14.930000,13.044826,287200
2016-01-27,14.790000,14.830000,14.440000,14.480000,12.651646,186500
2016-01-28,14.560000,14.720000,14.260000,14.380000,12.564275,147500
2016-01-29,14.440000,14.940000,14.440000,14.760000,12.896293,420900
2016-02-01,14.720000,14.960000,14.560000,14.700000,12.843868,312300
2016-02-02,14.580000,14.720000,14.220000,14.270000,12.468163,209100
2016-02-03,14.430000,14.600000,14.170000,14.480000,12.651646,146300
2016-02-04,14.500000,14.930000,14.500000,14.810000,12.939981,216800
2016-02-05,14.800000,14.890000,14.370000,14.410000,12.590486,204200
2016-02-08,14.300000,15.340000,14.150000,15.230000,13.306946,362700
2016-02-09,16.230000,18.360001,16.070000,17.530001,15.316532,465300
2016-02-10,17.309999,17.670000,16.719999,16.740000,14.626284,369700
2016-02-11,16.459999,17.020000,16.459999,16.680000,14.573859,420900
2016-02-12,16.820000,17.480000,16.820000,17.010000,14.862187,354400
2016-02-16,17.420000,17.420000,16.900000,17.290001,15.106837,267200
2016-02-17,17.340000,17.830000,17.340000,17.590000,15.368957,332200
2016-02-18,17.559999,17.570000,16.959999,17.430000,15.229158,253500
2016-02-19,17.379999,17.590000,17.059999,17.219999,15.045673,394600
2016-02-22,17.450001,17.650000,17.250000,17.350000,15.159261,258200
2016-02-23,17.280001,17.490000,16.799999,17.340000,15.150527,507600
2016-02-24,17.129999,17.389999,16.830000,17.090000,14.932089,182700
2016-02-25,17.100000,17.299999,16.860001,17.270000,15.089357,249200
2016-02-26,17.440001,17.799999,17.330000,17.690001,15.456328,246600
2016-02-29,17.740000,18.459999,17.639999,18.370001,16.050468,377900
2016-03-01,18.389999,18.629999,18.000000,18.200001,15.901936,254500
2016-03-02,18.160000,18.299999,17.879999,18.290001,15.980571,203000
2016-03-03,18.309999,18.549999,18.260000,18.469999,16.137840,124200
2016-03-04,18.420000,19.000000,18.420000,18.799999,16.426172,180600
2016-03-07,18.760000,19.670000,18.760000,19.660000,17.177584,180700
2016-03-08,19.549999,19.690001,18.750000,18.930000,16.539759,161700
2016-03-09,19.040001,19.350000,19.010000,19.129999,16.714502,101000
2016-03-10,19.150000,19.350000,18.670000,18.980000,16.583447,104100
2016-03-11,19.150000,19.450001,18.879999,19.440001,16.985361,132900
2016-03-14,19.400000,19.450001,19.030001,19.150000,16.731979,96200
2016-03-15,19.150000,19.150000,18.480000,18.610001,16.260162,135000
2016-03-16,18.549999,18.910000,18.549999,18.790001,16.417435,157400
2016-03-17,18.740000,19.500000,18.400000,19.360001,16.915464,235800
2016-03-18,19.480000,19.559999,19.190001,19.320000,16.880512,393100
2016-03-21,19.250000,19.690001,19.250000,19.379999,16.932938,447100
2016-03-22,19.360001,19.559999,19.120001,19.450001,16.994102,171600
2016-03-23,19.400000,20.030001,19.240000,19.570000,17.098951,250900
2016-03-24,19.510000,19.650000,19.290001,19.559999,17.090206,196800
2016-03-28,19.620001,19.799999,19.450001,19.719999,17.230005,171000
2016-03-29,19.680000,20.940001,19.580000,20.830000,18.199852,227600
2016-03-30,20.790001,20.840000,20.299999,20.660000,18.160295,187500
2016-03-31,20.620001,20.930000,20.570000,20.730000,18.221821,204300
2016-04-01,20.580000,20.950001,20.370001,20.940001,18.406414,143000
2016-04-04,20.930000,20.959999,20.450001,20.480000,18.002069,149000
2016-04-05,20.360001,20.360001,20.000000,20.010000,17.588940,170100
2016-04-06,20.090000,20.270000,19.709999,20.219999,17.773531,132200
2016-04-07,20.049999,20.049999,19.590000,19.700001,17.316446,397200
2016-04-08,19.910000,20.299999,19.740000,20.010000,17.588940,140400
2016-04-11,20.100000,20.590000,20.020000,20.150000,17.712002,110500
2016-04-12,20.180000,20.540001,20.000000,20.450001,17.975702,95100
2016-04-13,20.600000,21.299999,20.600000,21.209999,18.643749,118500
2016-04-14,21.240000,21.580000,20.990000,21.360001,18.775599,132100
2016-04-15,21.309999,21.889999,21.309999,21.680000,19.056883,140500
2016-04-18,21.570000,21.959999,21.490000,21.850000,19.206312,119500
2016-04-19,21.920000,22.200001,21.750000,21.870001,19.223894,75000
2016-04-20,22.030001,22.450001,21.889999,22.190001,19.505173,139200
2016-04-21,22.350000,22.889999,22.090000,22.170000,19.487595,150400
2016-04-22,22.110001,22.639999,22.110001,22.639999,19.900728,132800
2016-04-25,22.540001,22.820000,21.809999,22.620001,19.883154,266600
2016-04-26,22.740000,23.600000,22.740000,23.540001,20.691835,202900
2016-04-27,23.510000,23.809999,23.120001,23.370001,20.542406,224100
2016-04-28,23.330000,23.440001,22.870001,23.010000,20.225958,177500
2016-04-29,22.870001,23.350000,22.719999,22.930000,20.155643,282700
2016-05-02,23.139999,23.650000,22.930000,23.410000,20.577568,235300
2016-05-03,21.680000,21.900000,19.200001,19.930000,17.518620,531300
2016-05-04,19.879999,21.059999,19.879999,20.430000,17.958122,334900
2016-05-05,20.440001,20.610001,19.650000,19.680000,17.298864,205400
2016-05-06,19.629999,20.020000,19.410000,19.549999,17.184595,328800
2016-05-09,19.530001,20.020000,19.330000,19.850000,17.448303,149800
2016-05-10,19.900000,19.900000,19.110001,19.340000,17.000004,277500
2016-05-11,19.209999,19.510000,19.139999,19.350000,17.008793,140500
2016-05-12,19.620001,19.770000,19.059999,19.250000,16.920895,174200
2016-05-13,19.219999,19.590000,18.990000,19.520000,17.158226,194400
2016-05-16,19.580000,20.049999,19.379999,19.719999,17.334023,202200
2016-05-17,19.620001,19.950001,19.350000,19.530001,17.167015,260900
2016-05-18,19.500000,19.870001,19.330000,19.450001,17.096695,213400
2016-05-19,19.299999,19.520000,18.809999,19.459999,17.105486,245600
2016-05-20,19.520000,19.660000,19.340000,19.629999,17.254913,218000
2016-05-23,19.709999,19.950001,19.370001,19.389999,17.043949,174200
2016-05-24,19.559999,20.260000,19.559999,20.040001,17.615313,238000
2016-05-25,20.030001,20.309999,20.030001,20.190001,17.747158,102800
2016-05-26,20.170000,20.389999,20.000000,20.160000,17.720789,70400
2016-05-27,20.260000,20.370001,20.120001,20.320000,17.861433,113400
2016-05-31,20.370001,20.570000,20.270000,20.500000,18.019653,173300
2016-06-01,20.440001,20.860001,20.400000,20.850000,18.327303,148300
2016-06-02,20.809999,20.920000,20.610001,20.840000,18.318516,82300
2016-06-03,20.770000,20.969999,20.590000,20.820000,18.300936,148800
2016-06-06,20.790001,21.389999,20.719999,21.240000,18.670118,116400
2016-06-07,21.180000,21.549999,21.049999,21.490000,18.889870,82700
2016-06-08,21.549999,22.000000,21.430000,21.920000,19.267843,144500
2016-06-09,21.879999,21.879999,21.250000,21.549999,18.942610,171600
2016-06-10,21.309999,21.620001,21.040001,21.230000,18.661325,167300
2016-06-13,21.120001,21.559999,20.480000,20.520000,18.037231,78900
2016-06-14,20.469999,20.690001,20.370001,20.580000,18.089972,94300
2016-06-15,20.480000,20.780001,20.250000,20.260000,17.808689,131400
2016-06-16,20.150000,20.430000,19.840000,20.410000,17.940538,112200
2016-06-17,20.469999,20.580000,20.070000,20.540001,18.054817,326100
2016-06-20,20.760000,21.379999,20.709999,21.160000,18.599798,161100
