Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,3.610000,3.660000,3.580000,3.580000,3.548075,2400
2015-09-23,3.520000,3.520000,3.450000,3.470000,3.439056,1600
2015-09-24,3.410000,3.470000,3.400000,3.400000,3.369680,6000
2015-09-25,3.370000,3.370000,3.230000,3.230000,3.201196,1400
2015-09-28,3.230000,3.230000,3.040000,3.090000,3.062445,8100
2015-09-29,3.060000,3.060000,3.060000,3.060000,3.032712,100
2015-09-30,3.000000,3.140000,3.000000,3.050000,3.022802,1500
2015-10-01,3.100000,3.110000,3.100000,3.110000,3.082266,300
2015-10-02,3.090000,3.190000,3.090000,3.180000,3.151642,6800
2015-10-05,3.080000,3.330000,3.080000,3.170000,3.141732,6400
2015-10-06,3.200000,3.480000,3.200000,3.300000,3.270572,12400
2015-10-07,3.300000,3.300000,3.180000,3.180000,3.151642,9300
2015-10-08,3.250000,3.250000,3.130000,3.140000,3.111999,1900
2015-10-09,3.240000,3.250000,3.180000,3.250000,3.221018,1000
2015-10-12,3.250000,3.250000,3.180000,3.180000,3.151642,2500
2015-10-13,3.220000,3.250000,3.100000,3.100000,3.072356,12700
2015-10-14,3.100000,3.160000,3.000000,3.110000,3.082266,14200
2015-10-15,3.050000,3.290000,3.050000,3.200000,3.171464,7700
2015-10-16,3.200000,3.250000,3.200000,3.200000,3.171464,6300
2015-10-19,3.220000,3.560000,3.200000,3.250000,3.221018,47300
2015-10-20,3.350000,3.440000,3.250000,3.290000,3.260661,2600
2015-10-21,3.340000,3.390000,3.200000,3.220000,3.191286,1400
2015-10-22,3.330000,3.330000,3.200000,3.240000,3.211107,3700
2015-10-23,3.250000,3.250000,3.200000,3.200000,3.171464,1700
2015-10-26,3.250000,3.250000,3.200000,3.200000,3.171464,6800
2015-10-27,3.200000,3.200000,3.120000,3.120000,3.092177,1900
2015-10-28,3.160000,3.250000,3.120000,3.130000,3.102088,19500
2015-10-29,3.050000,3.190000,3.000000,3.000000,2.973247,6700
2015-10-30,3.050000,3.070000,2.870000,2.880000,2.854318,4100
2015-11-02,2.900000,3.050000,2.900000,3.050000,3.022802,2700
2015-11-03,3.050000,3.050000,2.960000,3.050000,3.022802,13600
2015-11-04,3.060000,3.300000,3.060000,3.300000,3.270572,10600
2015-11-05,3.300000,3.300000,3.290000,3.290000,3.260661,400
2015-11-06,3.210000,3.300000,3.210000,3.230000,3.201196,1000
2015-11-09,3.180000,3.400000,3.180000,3.400000,3.369680,3500
2015-11-10,3.390000,3.500000,3.340000,3.500000,3.468789,19000
2015-11-11,3.200000,3.450000,3.100000,3.270000,3.240840,2800
2015-11-12,3.310000,3.310000,3.200000,3.200000,3.171464,2200
2015-11-13,3.200000,3.200000,3.200000,3.200000,3.171464,200
2015-11-16,3.200000,3.200000,3.200000,3.200000,3.171464,0
2015-11-17,3.230000,3.230000,3.230000,3.230000,3.201196,300
2015-11-18,3.400000,3.400000,3.210000,3.220000,3.191286,6500
2015-11-19,3.200000,3.390000,3.200000,3.390000,3.359770,1800
2015-11-20,3.390000,3.400000,3.390000,3.390000,3.359770,2800
2015-11-23,3.350000,3.390000,3.200000,3.200000,3.171464,7900
2015-11-24,3.210000,3.250000,3.200000,3.210000,3.181375,8900
2015-11-25,3.210000,3.210000,3.210000,3.210000,3.181375,4400
2015-11-27,3.350000,3.350000,3.340000,3.340000,3.310215,3200
2015-11-30,3.340000,3.540000,3.340000,3.540000,3.508432,14800
