Date,Open,High,Low,Close,Adj Close,Volume
2017-09-26,35.000000,35.000000,31.000000,31.000000,29.299740,3300
2017-09-27,31.000000,31.000000,29.000000,29.344999,27.735514,5800
2017-09-28,29.625000,33.009998,29.625000,31.250000,29.536032,13800
2017-09-29,30.100000,33.099998,30.100000,33.099998,31.284567,14700
2017-10-02,32.860001,34.599998,29.500000,30.230000,28.571974,141100
2017-10-03,31.110001,34.200001,30.629999,33.900002,32.040684,73200
2017-10-04,33.900002,36.669998,33.000000,34.590000,32.692844,92600
2017-10-05,35.320000,36.500000,35.000000,35.509998,33.562382,84300
2017-10-06,36.000000,37.990002,36.000000,37.599998,35.537746,30900
2017-10-09,37.630001,41.000000,36.580002,38.630001,36.511257,37800
2017-10-10,38.630001,38.630001,36.500000,37.000000,34.970657,50100
2017-10-11,36.330002,38.759998,35.630001,38.119999,36.029224,63700
2017-10-12,38.099998,38.099998,37.259998,37.950001,35.868557,29700
2017-10-13,38.360001,38.610001,37.310001,38.220001,36.123745,32800
2017-10-16,38.450001,39.200001,37.955002,38.930000,36.794811,44000
2017-10-17,38.959999,39.369999,38.529999,39.330002,37.172871,32400
2017-10-18,39.459999,39.770000,39.000000,39.500000,37.333542,32200
2017-10-19,39.285000,40.029999,38.889999,39.549999,37.380806,25800
2017-10-20,39.830002,40.500000,39.180000,39.669998,37.494221,33800
2017-10-23,39.860001,39.860001,39.250000,39.669998,37.494221,24600
2017-10-24,39.669998,40.279999,39.540001,39.869999,37.683243,40500
2017-10-25,39.908001,40.000000,38.910000,39.290001,37.135052,50400
2017-10-26,39.279999,39.500000,38.529999,38.849998,36.719189,8300
2017-10-27,38.700001,39.970001,38.410000,39.889999,37.702152,35600
2017-10-30,39.110001,39.779999,39.110001,39.500000,37.333542,15800
2017-10-31,39.700001,39.700001,38.380001,38.770000,36.643581,25100
2017-11-01,38.939999,38.939999,37.799999,38.590000,36.473454,16500
2017-11-02,37.599998,38.259998,36.849998,37.240002,35.197498,43600
2017-11-03,37.290001,37.330002,35.838001,36.250000,34.261799,50200
2017-11-06,35.900002,35.900002,30.530001,32.770000,30.972660,43200
2017-11-07,32.770000,32.770000,31.129999,32.090000,30.329960,40000
2017-11-08,31.900000,32.029999,31.575001,31.840000,30.093674,26100
2017-11-09,31.340000,31.340000,30.004999,30.500000,28.827166,30100
2017-11-10,30.170000,31.070000,30.110001,30.799999,29.110712,25200
2017-11-13,31.020000,32.450001,30.860001,31.879999,30.131475,59000
2017-11-14,31.770000,32.650002,31.735001,32.380001,30.604055,20800
2017-11-15,32.200001,32.840000,32.049999,32.840000,31.038826,39100
2017-11-16,32.950001,33.250000,32.490002,32.689999,30.897049,27600
2017-11-17,32.490002,32.849998,30.350000,31.840000,30.093674,61400
2017-11-20,31.860001,32.450001,31.799999,31.889999,30.140930,23400
2017-11-21,31.969999,32.869999,31.049999,31.350000,29.630545,34500
2017-11-22,31.330000,31.510000,29.580000,30.120001,28.468006,30200
2017-11-24,30.030001,30.615000,27.090000,27.889999,26.360315,31300
2017-11-27,27.840000,28.250000,25.459999,25.760000,24.347141,93000
2017-11-28,25.549999,26.379999,24.555000,25.610001,24.205368,78500
2017-11-29,25.889999,27.790001,25.410000,27.750000,26.227995,49400
2017-11-30,27.530001,29.290001,27.049999,28.580000,27.095469,91900
2017-12-01,27.924000,28.700001,27.559999,28.309999,26.839493,49800
2017-12-04,28.570000,28.910000,27.000000,27.120001,25.711306,52200
2017-12-05,27.080000,27.600000,26.100000,27.150000,25.739746,59700
2017-12-06,26.879999,28.100000,26.660000,27.070000,25.663904,55400
2017-12-07,27.290001,27.395000,26.850000,27.030001,25.625980,54400
2017-12-08,26.934999,27.120001,26.209999,26.809999,25.417410,36700
2017-12-11,26.809999,26.809999,25.815001,26.059999,24.706362,63600
2017-12-12,26.260000,27.040001,25.580999,26.490000,25.114027,78600
2017-12-13,27.020000,27.430000,25.799999,26.639999,25.256237,116700
2017-12-14,26.459999,26.760000,24.850000,24.969999,23.672983,149800
2017-12-15,24.910000,26.570000,24.650000,26.500000,25.123510,493900
2017-12-18,26.680000,26.950001,25.580000,26.139999,24.782206,50100
2017-12-19,26.059999,26.549999,25.639999,25.900000,24.554674,31600
2017-12-20,26.030001,26.520000,25.040001,25.270000,23.957399,38000
2017-12-21,25.139999,26.320000,25.139999,25.799999,24.459869,40400
2017-12-22,25.799999,25.990000,25.510000,25.910000,24.564157,16700
2017-12-26,25.760000,26.450001,25.530001,25.969999,24.621042,31100
2017-12-27,25.950001,26.330000,25.450001,25.670000,24.336622,34900
2017-12-28,25.709999,26.340000,25.530001,26.020000,24.668444,10700
2017-12-29,26.049999,26.500000,24.811001,25.690001,24.355583,31700
2018-01-02,25.629999,26.350000,25.620001,26.150000,24.791687,20300
2018-01-03,26.200001,27.950001,24.799999,24.930000,23.635059,49000
2018-01-04,25.020000,26.125000,25.020000,25.790001,24.450390,37200
2018-01-05,26.020000,26.299999,25.180000,25.440001,24.118565,12500
2018-01-08,25.420000,26.450001,24.809999,25.930000,24.583117,31900
2018-01-09,26.049999,26.480000,25.389999,26.190001,24.829613,21400
2018-01-10,25.990000,27.790001,25.219999,26.360001,24.990784,64500
2018-01-11,26.469999,27.620001,25.500000,25.900000,24.554674,43300
2018-01-12,25.910000,28.570000,25.549999,26.770000,25.379484,58900
2018-01-16,26.980000,27.469999,26.059999,26.190001,24.829613,53300
2018-01-17,26.160000,26.680000,25.059999,25.770000,24.431431,55400
2018-01-18,25.240000,26.260000,25.240000,25.660000,24.327139,11000
2018-01-19,25.760000,26.350000,25.490000,26.020000,24.668444,24600
2018-01-22,26.160000,26.469999,25.930000,26.370001,25.000263,78100
2018-01-23,26.400000,26.785000,25.809999,26.100000,24.744286,49300
2018-01-24,26.240000,26.709999,26.030001,26.209999,24.848570,37700
2018-01-25,26.030001,26.559999,26.020000,26.350000,24.981298,28100
2018-01-26,26.290001,26.440001,25.740000,26.100000,24.744286,35200
2018-01-29,26.100000,26.200001,25.510000,25.700001,24.365063,36400
2018-01-30,25.440001,26.490000,25.061001,25.709999,24.374544,53800
2018-01-31,25.750000,25.969999,25.325001,25.709999,24.374544,38800
2018-02-01,25.549999,25.889999,25.160000,25.469999,24.147009,26200
2018-02-02,25.110001,25.490000,24.920000,25.000000,23.701422,87200
2018-02-05,24.806999,25.430000,24.490000,25.090000,23.786751,105300
2018-02-06,24.750000,25.110001,24.080000,25.020000,23.720387,88000
2018-02-07,24.480000,25.950001,24.480000,25.660000,24.327139,32500
2018-02-08,25.660000,25.665001,24.639999,24.860001,23.568697,64000
2018-02-09,24.969999,25.430000,24.600000,25.209999,23.900513,42900
2018-02-12,25.200001,25.650000,24.940001,25.540001,24.213377,18200
2018-02-13,25.360001,25.799999,25.049999,25.270000,23.957399,12600
