Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,8.000000,8.090000,7.750000,7.950000,-2.290232,126300
2015-09-23,8.000000,8.120000,7.900000,7.910000,-2.278709,50000
2015-09-24,7.900000,8.050000,7.640000,8.040000,-2.316159,102300
2015-09-25,8.110000,8.200000,7.500000,7.540000,-2.172119,104100
2015-09-28,7.540000,7.540000,6.800000,6.940000,-1.999272,297500
2015-09-29,6.940000,7.110000,6.650000,6.720000,-1.935894,119200
2015-09-30,6.750000,7.100000,6.750000,7.010000,-2.019437,95100
2015-10-01,7.100000,7.210000,6.810000,6.980000,-2.010795,63000
2015-10-02,6.940000,7.120000,6.800000,7.110000,-2.048245,54000
2015-10-05,7.220000,7.690000,7.220000,7.590000,-2.186523,62900
2015-10-06,7.510000,7.890000,7.260000,7.570000,-2.180762,144400
2015-10-07,7.590000,7.860000,7.530000,7.780000,-2.241259,93000
2015-10-08,7.870000,8.060000,7.630000,8.030000,-2.313278,58100
2015-10-09,8.080000,8.090000,7.450000,7.590000,-2.186523,203900
2015-10-12,7.890000,8.010000,7.650000,7.950000,-2.290232,150100
2015-10-13,7.900000,8.010000,7.570000,7.580000,-2.183643,96700
2015-10-14,7.600000,7.870000,7.350000,7.520000,-2.166358,76000
2015-10-15,7.540000,7.740000,7.500000,7.670000,-2.209570,666900
2015-10-16,7.700000,7.720000,7.480000,7.660000,-2.206689,147800
2015-10-19,7.660000,7.720000,7.450000,7.540000,-2.172119,133800
2015-10-20,7.590000,7.610000,7.490000,7.590000,-2.186523,63600
2015-10-21,7.670000,7.770000,7.440000,7.470000,-2.151954,112800
2015-10-22,7.970000,7.970000,7.470000,7.520000,-2.166358,64900
2015-10-23,7.530000,7.630000,7.440000,7.540000,-2.172119,89100
2015-10-26,7.510000,7.570000,7.440000,7.460000,-2.149073,277500
2015-10-27,7.440000,7.540000,7.400000,7.430000,-2.140431,214100
2015-10-28,7.370000,7.670000,7.370000,7.610000,-2.192285,96500
2015-10-29,7.590000,7.690000,7.440000,7.560000,-2.177881,511600
2015-10-30,7.570000,7.590000,7.040000,7.560000,-2.177881,158600
2015-11-02,7.520000,7.650000,7.280000,7.330000,-2.111623,129300
2015-11-03,7.250000,7.720000,7.250000,7.600000,-2.189404,116700
2015-11-04,7.160000,7.360000,7.030000,7.250000,-2.088576,1147900
2015-11-05,7.250000,7.300000,7.100000,7.200000,-2.074172,103900
2015-11-06,7.130000,7.220000,7.100000,7.170000,-2.065530,191200
2015-11-09,7.150000,7.220000,7.100000,7.130000,-2.054007,178500
2015-11-10,7.120000,7.160000,7.040000,7.100000,-2.045364,125100
2015-11-11,7.060000,7.100000,6.920000,6.970000,-2.007914,238700
2015-11-12,6.920000,6.980000,6.700000,6.920000,-1.993510,260200
2015-11-13,6.860000,6.940000,6.420000,6.450000,-1.858113,274700
