Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,14.520000,14.560000,14.440000,14.490000,9.150906,44800
2015-09-23,14.480000,14.620000,14.480000,14.500000,9.157220,80600
2015-09-24,14.400000,14.450000,14.310000,14.400000,9.094066,47900
2015-09-25,14.450000,14.500000,14.330000,14.330000,9.049860,61800
2015-09-28,14.300000,14.330000,14.080000,14.110000,8.910922,46600
2015-09-29,14.160000,14.220000,14.020000,14.130000,8.923553,56600
2015-09-30,14.380000,14.410000,14.160000,14.390000,9.087753,92200
2015-10-01,14.350000,14.360000,14.200000,14.350000,9.062491,72300
2015-10-02,14.210000,14.370000,14.120000,14.310000,9.037229,70500
2015-10-05,14.410000,14.540000,14.400000,14.520000,9.169851,50300
2015-10-06,14.520000,14.590000,14.460000,14.550000,9.188797,86700
2015-10-07,14.680000,14.720000,14.550000,14.650000,9.251952,235100
2015-10-08,14.660000,14.910000,14.570000,14.840000,9.371942,49900
2015-10-09,14.920000,14.950000,14.890000,14.920000,9.422465,26400
2015-10-12,14.890000,15.000000,14.890000,15.000000,9.472985,14700
2015-10-13,14.870000,15.010000,14.800000,14.800000,9.346682,80500
2015-10-14,14.850000,14.960000,14.820000,14.820000,9.359309,50900
2015-10-15,14.870000,15.010000,14.820000,14.970000,9.454040,79400
2015-10-16,14.970000,15.050000,14.910000,15.010000,9.479302,43700
2015-10-19,15.020000,15.170000,15.000000,15.050000,9.504560,108200
2015-10-20,15.070000,15.090000,14.990000,15.030000,9.491933,25500
2015-10-21,15.090000,15.110000,15.020000,15.080000,9.523508,31700
2015-10-22,15.100000,15.280000,15.100000,15.240000,9.624554,35000
2015-10-23,15.290000,15.340000,15.210000,15.220000,9.611923,37200
2015-10-26,15.230000,15.230000,15.110000,15.110000,9.542454,31100
2015-10-27,15.060000,15.130000,15.000000,15.040000,9.498245,37400
2015-10-28,15.040000,15.110000,15.020000,15.060000,9.510880,32500
2015-10-29,15.020000,15.140000,14.950000,14.980000,9.460356,29000
2015-10-30,15.010000,15.090000,14.960000,15.020000,9.485618,35100
2015-11-02,15.020000,15.180000,15.020000,15.160000,9.574030,39500
2015-11-03,15.120000,15.230000,15.080000,15.230000,9.618238,32300
2015-11-04,15.240000,15.370000,15.160000,15.190000,9.592977,38700
2015-11-05,15.180000,15.270000,15.130000,15.140000,9.561400,36300
2015-11-06,15.140000,15.170000,15.050000,15.150000,9.567716,31000
2015-11-09,15.110000,15.140000,15.000000,15.060000,9.510880,89100
