Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,44.130001,44.320000,43.810001,44.119999,39.580868,2473200
2015-09-23,44.230000,44.630001,44.099998,44.450001,39.876915,2209800
2015-09-24,43.910000,45.180000,43.860001,45.099998,40.460041,4516400
2015-09-25,45.639999,45.810001,45.060001,45.380001,40.711235,2843000
2015-09-28,45.119999,45.169998,44.240002,44.470001,39.894852,2788800
2015-09-29,44.689999,45.099998,44.209999,45.049999,40.415188,3438000
2015-09-30,45.619999,45.830002,45.060001,45.779999,41.070084,4380400
2015-10-01,45.750000,46.080002,45.380001,45.990002,41.258484,2630300
2015-10-02,44.820000,45.910000,44.689999,45.910000,41.186707,2770600
2015-10-05,46.240002,46.810001,46.119999,46.669998,41.868526,2430300
2015-10-06,46.520000,46.910000,46.299999,46.540001,41.751892,2462600
2015-10-07,46.750000,47.090000,46.220001,46.900002,42.074867,2260900
2015-10-08,46.669998,47.119999,46.549999,47.110001,42.263252,1965200
2015-10-09,47.180000,47.509998,46.759998,46.880001,42.056908,2113500
2015-10-12,46.860001,46.959999,46.669998,46.860001,42.038975,1521200
2015-10-13,46.599998,46.939999,46.450001,46.520000,41.733952,1382600
2015-10-14,46.419998,46.610001,45.830002,45.880001,41.159794,1846100
2015-10-15,46.320000,46.959999,46.160000,46.950001,42.119717,2095700
2015-10-16,47.230000,47.279999,46.799999,47.139999,42.290161,1915300
2015-10-19,47.000000,47.509998,46.830002,47.490002,42.604156,2713200
2015-10-20,47.590000,48.430000,47.459999,48.080002,43.133461,4070300
2015-10-21,48.279999,49.070000,48.119999,48.410000,43.429508,2793400
2015-10-22,48.700001,49.209999,48.680000,48.779999,43.761436,2778900
2015-10-23,49.099998,49.410000,48.919998,49.240002,44.174118,3355600
2015-10-26,49.160000,49.250000,48.549999,48.810001,43.788349,2853100
2015-10-27,46.000000,46.230000,44.520000,45.340000,40.675354,12959200
2015-10-28,44.990002,46.439999,44.889999,46.419998,41.644238,4907000
2015-10-29,46.369999,47.180000,46.279999,47.119999,42.272217,4254000
2015-10-30,47.029999,47.200001,46.250000,46.259998,41.500690,4526000
2015-11-02,46.419998,46.939999,46.349998,46.759998,41.949253,3632300
2015-11-03,46.580002,46.919998,46.410000,46.500000,41.716022,3446600
2015-11-04,46.470001,46.619999,46.279999,46.590000,41.796753,3063900
2015-11-05,46.540001,46.959999,46.540001,46.900002,42.074867,1579600
2015-11-06,47.599998,47.790001,47.209999,47.599998,42.702839,3028500
2015-11-09,47.580002,47.660000,46.689999,46.880001,42.056908,2292900
2015-11-10,46.779999,47.380001,46.779999,47.340000,42.469585,2125200
2015-11-11,47.459999,47.599998,46.730000,46.740002,41.931320,2211000
2015-11-12,46.389999,46.639999,45.730000,45.730000,41.025223,3217200
2015-11-13,45.580002,45.849998,45.080002,45.139999,40.495930,3442200
2015-11-16,45.060001,45.910000,45.020000,45.880001,41.159794,2015700
2015-11-17,46.020000,46.200001,45.480000,45.540001,40.854778,2522800
2015-11-18,45.220001,45.970001,45.130001,45.900002,41.177731,3080300
2015-11-19,45.900002,46.169998,45.779999,46.020000,41.285385,2010200
2015-11-20,46.209999,46.430000,45.790001,45.980000,41.249512,3511100
2015-11-23,45.849998,46.209999,45.720001,45.849998,41.132870,2082400
2015-11-24,45.549999,45.910000,45.480000,45.700001,40.998318,1778500
2015-11-25,45.700001,45.820000,45.410000,45.520000,40.836834,1873800
2015-11-27,45.459999,45.720001,45.200001,45.549999,41.053135,1025300
2015-11-30,45.570000,45.889999,45.150002,45.639999,41.134254,2689700
2015-12-01,45.919998,46.290001,45.680000,46.200001,41.638966,2103200
2015-12-02,46.259998,46.389999,45.860001,45.959999,41.422661,2316500
2015-12-03,46.119999,46.220001,45.180000,45.270000,40.800781,2503000
2015-12-04,45.509998,46.869999,45.430000,46.709999,42.098614,2873900
2015-12-07,46.720001,46.970001,46.180000,46.380001,41.801193,2069400
2015-12-08,45.950001,46.250000,45.750000,45.840000,41.314510,2003600
2015-12-09,45.549999,45.990002,44.900002,45.139999,40.683613,2281100
2015-12-10,45.110001,45.459999,44.889999,45.000000,40.557430,2280500
2015-12-11,44.299999,44.700001,43.630001,43.869999,39.538998,2529500
2015-12-14,43.959999,44.110001,42.849998,43.220001,38.953167,3867500
2015-12-15,43.660000,44.209999,43.410000,44.000000,39.656162,3063900
2015-12-16,44.520000,44.889999,43.630001,44.580002,40.178909,2860700
2015-12-17,44.700001,44.830002,43.299999,43.310001,39.034286,2880100
2015-12-18,42.990002,43.209999,42.070000,42.110001,37.952755,5058300
2015-12-21,42.400002,42.610001,41.680000,42.389999,38.205101,4299600
2015-12-22,42.750000,43.310001,42.430000,43.259998,38.989212,2872000
2015-12-23,43.330002,43.529999,43.189999,43.360001,39.079334,2579000
2015-12-24,43.349998,43.849998,43.349998,43.660000,39.349728,865500
2015-12-28,43.360001,43.540001,43.150002,43.490002,39.196507,1509200
2015-12-29,43.880001,44.160000,43.700001,44.110001,39.755302,1682800
2015-12-30,44.110001,44.220001,43.840000,43.840000,39.511959,1031600
2015-12-31,43.540001,44.169998,43.400002,43.459999,39.169464,1450800
2016-01-04,42.669998,42.820000,42.160000,42.689999,38.475479,2808600
2016-01-05,42.770000,43.590000,42.610001,43.369999,39.088360,3356100
2016-01-06,42.490002,42.770000,41.930000,42.240002,38.069916,3053300
2016-01-07,41.270000,41.849998,41.009998,41.200001,37.132587,3526300
2016-01-08,41.540001,41.639999,40.570000,40.650002,36.636887,2983900
2016-01-11,40.939999,41.139999,40.320000,40.919998,36.880226,3427300
2016-01-12,41.349998,41.480000,40.700001,41.369999,37.285797,2872900
2016-01-13,42.009998,42.009998,40.029999,40.090000,36.132172,3554700
2016-01-14,40.209999,40.639999,39.740002,40.250000,36.276375,3041200
2016-01-15,39.090000,39.700001,38.610001,39.080002,35.221882,4889200
2016-01-19,39.500000,39.669998,38.830002,39.110001,35.248924,4046300
2016-01-20,38.419998,38.450001,36.540001,37.869999,34.131332,6079400
2016-01-21,37.919998,38.720001,37.400002,38.029999,34.275539,3667300
2016-01-22,38.740002,38.930000,38.340000,38.709999,34.888412,3063600
2016-01-25,38.660000,38.820000,37.570000,37.630001,33.915031,3180500
2016-01-26,38.040001,38.830002,38.040001,38.599998,34.789268,2852300
2016-01-27,38.549999,39.450001,38.290001,38.549999,34.744205,3375900
2016-01-28,39.049999,39.080002,38.369999,38.900002,35.059654,1934000
2016-01-29,39.180000,40.189999,39.000000,40.180000,36.213287,4228800
2016-02-01,39.869999,40.099998,39.610001,39.889999,35.951904,2360300
2016-02-02,39.320000,39.380001,38.919998,39.220001,35.348057,3132000
2016-02-03,39.540001,39.680000,38.060001,38.939999,35.095695,3331600
2016-02-04,38.750000,39.810001,38.169998,39.799999,35.870808,6205400
2016-02-05,40.770000,42.299999,40.430000,40.540001,36.537746,6164700
2016-02-08,39.980000,39.990002,39.029999,39.590000,35.681530,4613000
2016-02-09,39.029999,40.279999,38.849998,40.000000,36.051056,4875600
2016-02-10,40.200001,40.669998,39.720001,39.740002,35.816727,3190900
2016-02-11,38.450001,39.020000,38.380001,38.630001,34.816303,3604200
2016-02-12,39.439999,40.830002,39.340000,40.790001,36.763073,3049000
2016-02-16,41.450001,41.570000,40.630001,41.169998,37.105545,2773700
2016-02-17,41.630001,42.080002,41.540001,41.910000,37.772499,2726300
2016-02-18,41.900002,41.990002,41.549999,41.770000,37.646313,1827400
2016-02-19,41.619999,41.900002,41.380001,41.779999,37.655327,1864000
2016-02-22,41.779999,42.520000,41.779999,42.500000,38.304245,1892600
2016-02-23,42.290001,42.400002,41.540001,41.720001,37.601250,1784800
2016-02-24,41.230000,42.040001,40.980000,41.900002,37.763477,1678400
2016-02-25,42.119999,42.730000,41.959999,42.730000,38.511536,1790300
2016-02-26,43.060001,43.330002,42.590000,42.830002,38.601665,2384800
2016-02-29,42.680000,42.820000,42.110001,42.119999,37.961765,2747500
2016-03-01,42.500000,43.650002,42.450001,43.590000,39.286640,2788100
2016-03-02,43.590000,43.889999,43.360001,43.619999,39.313675,2487600
2016-03-03,43.400002,43.570000,42.990002,43.380001,39.286507,2812300
2016-03-04,43.480000,44.139999,43.270000,43.759998,39.630642,2568400
2016-03-07,43.360001,44.080002,43.320000,43.869999,39.730270,2216300
2016-03-08,43.310001,43.750000,43.009998,43.259998,39.177837,2773500
2016-03-09,43.290001,43.520000,42.799999,43.209999,39.132545,2170100
2016-03-10,43.299999,43.790001,42.770000,43.639999,39.521984,3158500
2016-03-11,44.139999,44.740002,44.020000,44.709999,40.490997,2395100
2016-03-14,44.439999,44.990002,43.570000,44.650002,40.436657,2887200
2016-03-15,44.310001,44.650002,44.130001,44.639999,40.427612,1999600
2016-03-16,44.529999,45.240002,44.349998,45.090000,40.835136,2775400
2016-03-17,45.110001,46.290001,44.790001,46.130001,41.777000,3041600
2016-03-18,46.230000,46.430000,45.470001,45.910000,41.577763,5347700
2016-03-21,45.650002,45.939999,45.070000,45.389999,41.106842,2676700
2016-03-22,45.259998,46.009998,45.029999,45.799999,41.478138,2399900
2016-03-23,45.820000,46.009998,45.610001,45.860001,41.532482,2590000
2016-03-24,45.439999,45.650002,45.119999,45.580002,41.278915,3171600
2016-03-28,45.709999,46.419998,45.599998,46.200001,41.840397,2351800
2016-03-29,46.110001,46.180000,45.630001,46.169998,41.813236,2936400
2016-03-30,46.419998,46.860001,46.070000,46.310001,41.940014,2296400
2016-03-31,46.310001,46.400002,46.020000,46.080002,41.731731,3271100
2016-04-01,45.849998,46.910000,45.639999,46.799999,42.383781,2439900
2016-04-04,46.750000,46.869999,46.240002,46.320000,41.949078,2094700
2016-04-05,45.730000,46.209999,45.689999,45.759998,41.441917,1947300
2016-04-06,45.849998,46.250000,45.590000,46.110001,41.758892,1895000
2016-04-07,45.610001,45.930000,44.799999,45.119999,40.862309,2230100
2016-04-08,45.500000,45.619999,44.840000,45.029999,40.780804,2060300
2016-04-11,45.139999,45.680000,44.750000,44.840000,40.608746,3386300
2016-04-12,45.009998,45.439999,44.639999,45.410000,41.124947,2370200
2016-04-13,45.799999,46.230000,45.529999,46.189999,41.831345,2074100
2016-04-14,46.200001,46.509998,45.910000,46.020000,41.677380,2254600
2016-04-15,45.900002,46.090000,45.689999,45.919998,41.586819,1775700
2016-04-18,45.779999,46.200001,45.709999,46.090000,41.740772,1565100
2016-04-19,46.389999,46.520000,45.980000,46.080002,41.731731,1956000
2016-04-20,46.189999,46.689999,45.990002,46.560001,42.166439,2191700
2016-04-21,46.040001,46.090000,44.759998,44.820000,40.590622,3818300
2016-04-22,44.900002,45.290001,44.860001,45.090000,40.835136,2779100
2016-04-25,44.950001,45.009998,44.310001,44.799999,40.572510,2293700
2016-04-26,44.980000,45.160000,44.820000,45.049999,40.798912,1623400
2016-04-27,45.110001,45.270000,44.930000,44.990002,40.744576,2127200
2016-04-28,44.630001,44.669998,43.700001,43.759998,39.630642,4829600
2016-04-29,43.250000,44.459999,42.970001,44.380001,40.192142,4388100
2016-05-02,44.669998,45.090000,44.459999,44.959999,40.717407,2828600
2016-05-03,44.459999,44.820000,44.220001,44.570000,40.364212,2201200
2016-05-04,44.209999,44.570000,43.919998,44.090000,39.929512,1656100
2016-05-05,43.970001,44.549999,43.959999,44.180000,40.011017,1861900
2016-05-06,43.869999,44.070000,43.459999,43.869999,39.730270,2245900
2016-05-09,43.889999,44.290001,43.630001,44.169998,40.001961,1964200
2016-05-10,44.439999,44.889999,44.320000,44.740002,40.518177,1838000
2016-05-11,44.669998,44.869999,44.259998,44.259998,40.083469,1878700
2016-05-12,44.540001,44.709999,44.259998,44.500000,40.300819,2488500
2016-05-13,44.570000,44.799999,44.259998,44.439999,40.246475,2916600
2016-05-16,44.380001,44.650002,44.240002,44.299999,40.119694,1970900
2016-05-17,43.930000,44.369999,43.560001,43.740002,39.612541,2909100
2016-05-18,43.660000,44.549999,43.660000,44.400002,40.210258,3113200
2016-05-19,44.130001,44.220001,43.720001,44.049999,39.893280,2201400
2016-05-20,44.419998,45.180000,44.340000,45.000000,40.753632,2734500
2016-05-23,44.990002,45.090000,44.650002,44.680000,40.463837,1748700
2016-05-24,44.970001,45.660000,44.849998,45.470001,41.179283,1889200
2016-05-25,45.610001,45.889999,45.189999,45.450001,41.161175,2055200
2016-05-26,45.439999,45.439999,44.880001,45.029999,40.780804,1483300
2016-05-27,44.910000,45.299999,44.590000,45.200001,41.126560,1551200
2016-05-31,45.410000,45.570000,44.869999,45.169998,41.099266,3512600
2016-06-01,44.849998,45.230000,44.570000,45.130001,41.062878,1577500
2016-06-02,45.009998,45.130001,44.810001,44.970001,40.917297,1945700
2016-06-03,44.400002,44.580002,44.009998,44.320000,40.325867,1684400
2016-06-06,44.349998,44.750000,44.340000,44.439999,40.435047,1603700
2016-06-07,44.570000,44.910000,44.450001,44.549999,40.535152,1786400
2016-06-08,44.540001,44.820000,44.430000,44.520000,40.507843,1328300
2016-06-09,44.419998,44.570000,44.240002,44.480000,40.471451,1867300
2016-06-10,43.970001,44.160000,43.599998,43.770000,39.825432,1932700
2016-06-13,43.689999,44.419998,43.639999,44.070000,40.098392,2495800
2016-06-14,43.900002,44.310001,43.759998,43.910000,39.952812,3080700
2016-06-15,43.990002,44.130001,43.310001,43.330002,39.425091,2417700
2016-06-16,43.029999,43.919998,42.900002,43.820000,39.870926,2463700
2016-06-17,44.020000,44.099998,43.639999,44.000000,40.034710,3944700
2016-06-20,44.619999,44.930000,44.060001,44.099998,40.125694,1861000
2016-06-21,44.340000,44.500000,44.020000,44.220001,40.234879,1419700
2016-06-22,44.320000,44.619999,44.020000,44.060001,40.089298,1710800
2016-06-23,44.799999,44.990002,44.650002,44.959999,40.908188,1583000
2016-06-24,42.639999,43.849998,42.360001,42.400002,38.578907,4610300
2016-06-27,41.730000,41.740002,40.840000,40.980000,37.286865,2992900
