Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,2.070000,2.120000,2.000000,2.000000,1.965783,5092600
2015-09-23,2.040000,2.080000,1.970000,2.000000,1.965783,4217500
2015-09-24,2.050000,2.160000,2.030000,2.150000,2.113217,4053900
2015-09-25,2.110000,2.190000,2.050000,2.060000,2.024757,5274300
2015-09-28,2.020000,2.040000,1.880000,1.930000,1.896980,6593100
2015-09-29,1.940000,2.010000,1.870000,1.920000,1.887152,5610100
2015-09-30,1.950000,1.990000,1.900000,1.970000,1.936296,6303400
2015-10-01,2.010000,2.050000,1.900000,1.900000,1.867494,4561700
2015-10-02,2.000000,2.040000,1.940000,2.040000,2.005099,9318600
2015-10-05,2.050000,2.210000,2.040000,2.210000,2.172191,9899200
2015-10-06,2.280000,2.340000,2.240000,2.300000,2.260651,8885800
2015-10-07,2.300000,2.380000,2.230000,2.330000,2.290137,9533800
2015-10-08,2.290000,2.440000,2.230000,2.310000,2.270479,9449300
2015-10-09,2.410000,2.530000,2.380000,2.520000,2.476887,6762200
2015-10-12,2.600000,2.600000,2.360000,2.400000,2.358940,6988300
2015-10-13,2.400000,2.490000,2.340000,2.380000,2.339282,6193900
2015-10-14,2.420000,2.610000,2.410000,2.550000,2.506373,10183600
2015-10-15,2.510000,2.640000,2.450000,2.630000,2.585005,8215000
2015-10-16,2.610000,2.650000,2.500000,2.530000,2.486715,7059000
2015-10-19,2.490000,2.530000,2.300000,2.310000,2.270479,7147500
2015-10-20,2.350000,2.440000,2.320000,2.410000,2.368768,7421200
2015-10-21,2.380000,2.390000,2.260000,2.270000,2.231163,5827000
2015-10-22,2.270000,2.360000,2.260000,2.320000,2.280308,6917100
2015-10-23,2.350000,2.460000,2.280000,2.410000,2.368768,7875300
2015-10-26,2.430000,2.440000,2.260000,2.290000,2.250821,6423200
2015-10-27,2.280000,2.320000,2.220000,2.250000,2.211507,6617000
2015-10-28,2.280000,2.350000,2.170000,2.230000,2.191848,8087600
2015-10-29,2.200000,2.230000,2.090000,2.110000,2.073901,6343600
2015-10-30,2.120000,2.150000,2.060000,2.070000,2.034585,5475900
2015-11-02,2.060000,2.180000,2.020000,2.130000,2.093559,5698300
2015-11-03,2.110000,2.180000,2.060000,2.130000,2.093559,3532000
2015-11-04,2.190000,2.270000,2.110000,2.190000,2.152533,5653200
2015-11-05,2.180000,2.200000,2.090000,2.110000,2.073901,5511900
2015-11-06,2.040000,2.050000,1.910000,1.910000,1.877322,11059400
2015-11-09,1.950000,1.950000,1.850000,1.930000,1.896980,8806000
2015-11-10,1.940000,1.940000,1.880000,1.900000,1.867494,4573200
2015-11-11,1.900000,1.930000,1.870000,1.880000,1.847836,4102800
2015-11-12,1.870000,1.930000,1.850000,1.870000,1.838007,4011300
2015-11-13,1.850000,1.930000,1.850000,1.890000,1.857665,3699000
2015-11-16,1.920000,1.990000,1.910000,1.970000,1.936296,4555000
2015-11-17,1.940000,1.970000,1.830000,1.830000,1.800977,7155400
2015-11-18,1.830000,1.920000,1.780000,1.910000,1.879708,5501100
2015-11-19,1.920000,1.990000,1.890000,1.970000,1.938757,5496800
2015-11-20,1.990000,2.000000,1.860000,1.860000,1.830501,5568000
2015-11-23,1.850000,1.890000,1.830000,1.860000,1.830501,3870400
2015-11-24,1.910000,1.980000,1.870000,1.960000,1.928915,5636500
2015-11-25,1.940000,2.020000,1.910000,1.980000,1.948598,4947300
2015-11-27,1.930000,1.960000,1.880000,1.910000,1.879708,1857500
2015-11-30,1.930000,2.000000,1.910000,1.930000,1.899391,4846800
2015-12-01,1.960000,2.020000,1.920000,2.000000,1.968281,6518300
2015-12-02,1.980000,2.000000,1.920000,1.940000,1.909232,5460900
2015-12-03,1.930000,2.000000,1.910000,1.970000,1.938757,4848500
2015-12-04,2.000000,2.080000,2.000000,2.080000,2.047012,6501700
2015-12-07,2.070000,2.100000,1.930000,1.950000,1.919074,4386700
2015-12-08,1.940000,1.960000,1.900000,1.930000,1.899391,3329200
2015-12-09,1.960000,2.000000,1.920000,1.950000,1.919074,4006000
2015-12-10,1.950000,2.030000,1.930000,1.970000,1.938757,3874500
2015-12-11,1.930000,2.010000,1.930000,1.960000,1.928915,4773600
2015-12-14,1.950000,1.980000,1.880000,1.910000,1.879708,6283300
2015-12-15,1.920000,1.950000,1.860000,1.920000,1.889549,3507700
2015-12-16,1.970000,2.090000,1.940000,2.090000,2.056853,7422300
2015-12-17,2.020000,2.040000,1.920000,1.930000,1.899391,4768400
2015-12-18,1.940000,1.980000,1.930000,1.940000,1.909232,8833600
2015-12-21,1.970000,2.040000,1.940000,1.980000,1.948598,6363400
2015-12-22,1.980000,2.020000,1.960000,1.990000,1.958440,3352100
2015-12-23,1.980000,2.060000,1.960000,1.960000,1.928915,6626100
2015-12-24,1.960000,2.000000,1.950000,1.960000,1.928915,3397300
2015-12-28,1.960000,1.970000,1.910000,1.920000,1.889549,4358200
2015-12-29,1.930000,1.960000,1.900000,1.930000,1.899391,4234400
2015-12-30,1.920000,1.940000,1.900000,1.900000,1.869867,3150300
2015-12-31,1.900000,1.930000,1.850000,1.890000,1.860025,7889600
2016-01-04,1.930000,1.960000,1.880000,1.890000,1.860025,5929400
2016-01-05,1.900000,1.930000,1.860000,1.870000,1.840343,4991600
2016-01-06,1.900000,1.940000,1.860000,1.890000,1.860025,6498800
2016-01-07,1.910000,2.010000,1.860000,1.970000,1.938757,11730400
2016-01-08,1.910000,1.940000,1.860000,1.900000,1.869867,7716400
2016-01-11,1.900000,1.910000,1.790000,1.810000,1.781294,5615100
2016-01-12,1.800000,1.810000,1.620000,1.690000,1.663197,10251200
2016-01-13,1.690000,1.770000,1.690000,1.750000,1.722246,4945000
2016-01-14,1.750000,1.770000,1.630000,1.660000,1.633673,5421200
2016-01-15,1.690000,1.690000,1.610000,1.620000,1.594308,7244600
2016-01-19,1.660000,1.670000,1.450000,1.520000,1.495893,7313500
