Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,19.160000,19.280001,19.139999,19.260000,13.120134,53200
2015-09-23,19.309999,19.400000,19.240000,19.400000,13.215503,35700
2015-09-24,19.379999,19.400000,19.330000,19.389999,13.208695,29500
2015-09-25,19.410000,19.500000,19.360001,19.430000,13.235942,46600
2015-09-28,19.410000,19.430000,19.250000,19.299999,13.147382,48900
2015-09-29,19.309999,19.340000,19.100000,19.180000,13.065639,45800
2015-09-30,19.299999,19.330000,19.160000,19.330000,13.167821,62900
2015-10-01,19.290001,19.370001,19.170000,19.209999,13.086075,70400
2015-10-02,19.190001,19.260000,19.090000,19.260000,13.120134,38600
2015-10-05,19.309999,19.469999,19.260000,19.450001,13.249567,38300
2015-10-06,19.480000,19.500000,19.370001,19.440001,13.242754,34100
2015-10-07,19.440001,19.500000,19.400000,19.440001,13.242754,67000
2015-10-08,19.379999,19.500000,19.309999,19.360001,13.283925,37500
2015-10-09,19.379999,19.459999,19.270000,19.350000,13.277062,46200
2015-10-12,19.290001,19.400000,19.290001,19.350000,13.277062,41900
2015-10-13,19.379999,19.459999,19.360001,19.450001,13.345677,50200
2015-10-14,19.459999,19.480000,19.410000,19.450001,13.345677,24200
2015-10-15,19.459999,19.570000,19.450001,19.570000,13.428013,48100
2015-10-16,19.620001,19.620001,19.540001,19.610001,13.455465,19500
2015-10-19,19.629999,19.719999,19.610001,19.639999,13.476048,29400
2015-10-20,19.660000,19.750000,19.629999,19.750000,13.551524,34400
2015-10-21,19.830000,19.910000,19.760000,19.910000,13.661306,43200
2015-10-22,19.900000,19.990000,19.870001,19.879999,13.640721,37400
2015-10-23,19.889999,19.920000,19.750000,19.770000,13.565248,46100
2015-10-26,19.809999,19.950001,19.799999,19.930000,13.675031,61000
2015-10-27,19.940001,20.000000,19.879999,19.980000,13.709344,76800
2015-10-28,19.910000,19.930000,19.830000,19.920000,13.668168,58600
2015-10-29,19.879999,19.889999,19.799999,19.830000,13.606416,47800
2015-10-30,19.879999,19.930000,19.809999,19.910000,13.661306,51100
2015-11-02,19.860001,20.170000,19.850000,20.139999,13.819122,88500
2015-11-03,20.180000,20.209999,20.100000,20.170000,13.839708,49500
2015-11-04,20.190001,20.200001,20.120001,20.150000,13.825982,55700
2015-11-05,20.190001,20.240000,20.180000,20.219999,13.874015,29700
2015-11-06,20.150000,20.150000,19.900000,20.030001,13.743647,69700
2015-11-09,19.900000,19.900000,19.680000,19.719999,13.626179,72100
2015-11-10,19.740000,19.840000,19.690001,19.709999,13.619269,49300
2015-11-11,19.780001,19.820000,19.730000,19.760000,13.653821,39100
2015-11-12,19.719999,19.770000,19.639999,19.700001,13.612354,59600
2015-11-13,19.650000,19.740000,19.620001,19.700001,13.612354,49100
2015-11-16,19.730000,19.730000,19.620001,19.639999,13.570898,58600
2015-11-17,19.709999,19.709999,19.629999,19.650000,13.577810,29500
2015-11-18,19.709999,19.709999,19.620001,19.639999,13.570898,45400
2015-11-19,19.629999,19.709999,19.610001,19.610001,13.550170,32000
2015-11-20,19.620001,19.709999,19.600000,19.610001,13.550170,64100
2015-11-23,19.670000,19.700001,19.620001,19.680000,13.598537,39400
2015-11-24,19.690001,19.799999,19.670000,19.719999,13.626179,36700
2015-11-25,19.770000,19.780001,19.629999,19.680000,13.598537,41500
2015-11-27,19.639999,19.709999,19.610001,19.680000,13.598537,18400
2015-11-30,19.750000,19.910000,19.730000,19.809999,13.688368,60900
2015-12-01,19.809999,19.969999,19.809999,19.930000,13.771285,50000
2015-12-02,19.879999,19.980000,19.850000,19.980000,13.805839,64800
2015-12-03,19.930000,19.930000,19.799999,19.840000,13.709102,52300
2015-12-04,19.799999,20.030001,19.799999,20.000000,13.819654,49300
