Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,87.309998,87.690002,85.839996,85.930000,75.507324,553000
2015-09-23,85.930000,87.120003,85.019997,85.290001,74.944923,402900
2015-09-24,84.599998,84.900002,83.690002,84.459999,74.215607,352100
2015-09-25,84.709999,85.480003,84.669998,85.040001,74.725250,272900
2015-09-28,84.540001,84.540001,82.750000,82.959999,72.897545,241700
2015-09-29,83.160004,83.779999,82.419998,83.089996,73.011765,329300
2015-09-30,83.599998,85.059998,83.519997,84.949997,74.646194,360100
2015-10-01,84.889999,85.739998,84.500000,85.250000,74.909798,428100
2015-10-02,84.470001,86.330002,83.849998,86.230003,75.770927,245100
2015-10-05,86.989998,88.769997,86.989998,88.529999,77.791954,309000
2015-10-06,88.580002,89.959999,88.500000,88.650002,77.897415,270200
2015-10-07,89.050003,89.930000,88.540001,89.370003,78.530067,484100
2015-10-08,89.190002,90.879997,88.239998,90.779999,79.769035,216100
2015-10-09,90.959999,91.570000,90.540001,91.419998,80.331413,258600
2015-10-12,91.320000,91.669998,89.830002,90.320000,79.364815,158600
2015-10-13,90.099998,90.480003,89.330002,89.330002,78.494934,295100
2015-10-14,89.360001,89.440002,88.150002,88.239998,77.537109,118600
2015-10-15,88.610001,89.059998,87.500000,88.980003,78.187378,87200
2015-10-16,88.809998,89.290001,86.879997,87.000000,76.447525,269900
2015-10-19,87.089996,87.519997,86.330002,87.400002,76.799004,222700
2015-10-20,86.949997,89.120003,86.949997,88.220001,77.519562,239600
2015-10-21,88.459999,89.449997,86.959999,87.440002,76.834160,383500
2015-10-22,88.320000,93.690002,87.129997,93.349998,82.027313,647100
2015-10-23,93.190002,95.000000,92.730003,94.120003,82.703926,374700
2015-10-26,94.180000,94.500000,93.419998,94.199997,82.774208,245700
2015-10-27,93.430000,94.470001,92.800003,93.930000,82.536972,303100
2015-10-28,94.419998,96.279999,94.050003,96.230003,84.557999,277200
2015-10-29,95.739998,96.690002,94.989998,96.250000,84.575562,343000
2015-10-30,95.790001,97.449997,95.790001,96.849998,85.102791,299800
2015-11-02,97.489998,97.769997,96.589996,97.529999,85.700317,168400
2015-11-03,97.589996,97.589996,96.290001,96.820000,85.076431,251600
2015-11-04,96.820000,97.410004,96.279999,96.449997,84.751305,246300
2015-11-05,96.230003,97.169998,96.000000,96.430000,84.733749,232600
2015-11-06,96.320000,96.580002,95.510002,95.830002,84.206520,308200
2015-11-09,95.839996,95.839996,93.769997,94.580002,83.108147,185700
2015-11-10,93.959999,94.300003,91.099998,94.220001,82.791801,418900
2015-11-11,94.169998,95.570000,94.000000,94.930000,83.415672,232400
2015-11-12,93.820000,94.559998,93.230003,93.500000,82.159126,475300
2015-11-13,93.330002,95.599998,93.070000,95.419998,83.846245,716800
2015-11-16,95.610001,97.500000,94.599998,97.300003,85.498207,485800
2015-11-17,97.000000,97.110001,95.660004,96.000000,84.355888,383200
2015-11-18,96.320000,98.680000,96.269997,98.199997,86.289047,244200
2015-11-19,97.790001,98.430000,96.809998,97.769997,85.911209,203600
2015-11-20,97.970001,98.910004,97.099998,97.330002,85.524574,316700
2015-11-23,97.180000,98.150002,97.019997,97.570000,85.735451,171500
2015-11-24,96.660004,99.010002,96.580002,98.559998,86.605377,168800
2015-11-25,97.610001,99.620003,97.220001,99.250000,87.772736,260600
2015-11-27,99.169998,100.160004,98.370003,99.639999,88.117638,85500
2015-11-30,99.930000,100.730003,98.930000,99.290001,87.808113,177400
2015-12-01,99.290001,100.160004,98.599998,99.860001,88.312202,119500
2015-12-02,99.570000,99.760002,98.589996,98.800003,87.374763,114500
