Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,23.840000,23.860001,23.639999,23.799999,19.667622,82500
2015-09-23,23.889999,24.170000,23.780001,24.059999,19.882481,61100
2015-09-24,24.000000,24.230000,23.920000,23.969999,19.808104,60300
2015-09-25,24.129999,24.480000,23.969999,24.250000,20.039488,84300
2015-09-28,24.250000,24.250000,23.860001,23.969999,19.808104,94100
2015-09-29,24.040001,24.040001,23.629999,23.820000,19.684153,80400
2015-09-30,24.049999,24.209999,23.379999,23.480000,19.403183,125300
2015-10-01,23.480000,23.530001,22.469999,22.600000,18.675972,90000
2015-10-02,22.480000,22.820000,22.299999,22.820000,18.857779,66200
2015-10-05,22.959999,23.570000,22.959999,23.510000,19.427979,59600
2015-10-06,23.510000,23.690001,23.040001,23.150000,19.130482,61200
2015-10-07,23.190001,23.920000,23.150000,23.520000,19.436239,147700
2015-10-08,23.469999,23.510000,23.090000,23.270000,19.229647,65400
2015-10-09,23.250000,23.250000,22.440001,22.709999,18.766878,78500
2015-10-12,22.660000,23.139999,22.660000,23.030001,19.031319,47800
2015-10-13,23.059999,23.059999,22.820000,22.900000,18.923887,71800
2015-10-14,22.840000,22.940001,22.340000,22.510000,18.601603,116600
2015-10-15,22.500000,23.209999,22.480000,23.209999,19.180059,52000
2015-10-16,23.309999,23.450001,23.040001,23.420000,19.353601,43100
2015-10-19,23.280001,23.680000,23.139999,23.290001,19.246172,32000
2015-10-20,23.200001,23.379999,23.030001,23.170000,19.147005,92000
2015-10-21,23.230000,23.230000,22.690001,22.690001,18.750353,46500
2015-10-22,22.600000,22.969999,22.559999,22.670000,18.733826,47500
2015-10-23,22.799999,22.799999,22.360001,22.629999,18.700771,33000
2015-10-26,22.639999,22.750000,22.469999,22.719999,18.775141,39100
2015-10-27,22.700001,22.850000,22.330000,22.440001,18.543756,48500
2015-10-28,22.520000,23.170000,22.490000,23.150000,19.130482,76500
2015-10-29,22.969999,23.129999,22.340000,23.120001,19.105696,51600
2015-10-30,22.990000,23.410000,22.910000,23.410000,19.345339,89400
2015-11-02,23.389999,24.219999,23.240000,24.090000,19.907269,107300
2015-11-03,23.969999,24.150000,23.740000,23.790001,19.659357,115100
2015-11-04,23.870001,23.879999,23.400000,23.590000,19.494087,122000
2015-11-05,23.750000,24.000000,23.459999,23.930000,19.775051,119100
2015-11-06,23.820000,24.010000,23.600000,23.709999,19.593248,77500
2015-11-09,23.629999,24.260000,23.280001,23.620001,19.518877,168300
2015-11-10,23.500000,23.740000,23.110001,23.240000,19.204855,103600
2015-11-11,23.440001,24.059999,23.129999,23.240000,19.204855,89800
2015-11-12,23.049999,23.370001,22.650000,23.120001,19.105696,149500
2015-11-13,22.959999,23.090000,22.410000,22.510000,18.601603,57000
2015-11-16,22.420000,23.360001,22.340000,23.340000,19.287491,120300
2015-11-17,23.250000,23.379999,22.930000,23.000000,19.006529,74000
2015-11-18,23.000000,23.120001,22.809999,23.049999,19.047844,48600
2015-11-19,22.959999,23.110001,22.850000,22.940001,18.956944,65700
2015-11-20,23.100000,23.330000,22.910000,23.040001,19.039581,63600
2015-11-23,22.790001,23.510000,22.730000,23.490000,19.496067,47700
2015-11-24,23.250000,24.000000,23.190001,23.840000,19.786556,72500
2015-11-25,23.780001,24.030001,23.770000,23.980000,19.902754,27900
2015-11-27,23.830000,24.500000,23.830000,24.420000,20.267941,23200
2015-11-30,24.410000,24.540001,24.000000,24.139999,20.035547,68100
2015-12-01,24.260000,24.309999,23.809999,23.959999,19.886148,53800
2015-12-02,23.910000,24.299999,23.799999,24.070000,19.977451,45400
2015-12-03,24.020000,24.139999,23.070000,23.250000,19.296871,60500
2015-12-04,23.260000,24.180000,23.260000,24.129999,20.027250,49500
2015-12-07,23.940001,24.090000,23.570000,23.629999,19.612263,52900
2015-12-08,23.309999,23.430000,22.760000,22.900000,19.006382,99700
2015-12-09,22.799999,23.100000,22.740000,22.750000,18.881887,115700
2015-12-10,22.700001,22.860001,22.420000,22.610001,18.765688,35100
2015-12-11,22.200001,22.540001,22.049999,22.080000,18.325806,83100
2015-12-14,22.020000,22.299999,21.540001,21.809999,18.101709,87900
2015-12-15,21.969999,22.600000,21.770000,22.490000,18.666094,65000
2015-12-16,22.559999,22.670000,22.180000,22.370001,18.566500,85100
2015-12-17,22.469999,22.469999,21.900000,21.969999,18.234507,54300
2015-12-18,21.620001,21.969999,21.000000,21.110001,17.520729,348600
2015-12-21,21.020000,21.469999,21.020000,21.240000,17.628630,71500
2015-12-22,21.290001,21.389999,21.059999,21.180000,17.578831,128100
2015-12-23,21.290001,21.650000,21.100000,21.330000,17.703325,121900
2015-12-24,21.389999,21.860001,21.360001,21.719999,18.027010,22100
2015-12-28,21.570000,21.840000,21.440001,21.750000,18.051914,34000
2015-12-29,21.879999,22.180000,21.730000,22.049999,18.300905,24800
2015-12-30,21.770000,21.990000,21.670000,21.719999,18.027010,46500
2015-12-31,21.730000,21.770000,21.370001,21.440001,17.794624,45800
2016-01-04,21.059999,21.440001,20.610001,20.959999,17.396233,70800
2016-01-05,21.080000,21.340000,20.750000,21.129999,17.537329,73400
2016-01-06,20.639999,20.870001,20.110001,20.219999,16.782055,114600
2016-01-07,19.910000,20.400000,19.809999,20.059999,16.649258,92000
2016-01-08,20.040001,20.290001,19.150000,19.459999,16.151276,142000
2016-01-11,19.299999,19.820000,19.290001,19.650000,16.308969,87400
2016-01-12,19.990000,20.100000,19.280001,19.530001,16.209372,103100
2016-01-13,19.530001,19.870001,19.010000,19.190001,15.927181,84600
2016-01-14,19.230000,19.650000,19.040001,19.450001,16.142979,96500
2016-01-15,18.920000,19.430000,18.730000,19.170000,15.910587,87800
2016-01-19,19.370001,19.370001,18.620001,18.750000,15.561996,72800
2016-01-20,18.400000,18.840000,17.900000,18.610001,15.445800,104300
2016-01-21,18.709999,19.219999,18.620001,18.969999,15.744584,77200
2016-01-22,19.070000,19.270000,18.920000,19.090000,15.844189,63600
2016-01-25,19.000000,19.000000,18.420000,18.520000,15.371102,43300
2016-01-26,18.650000,19.070000,18.530001,18.799999,15.603494,180500
2016-01-27,18.000000,18.480000,17.680000,17.889999,14.848219,166600
2016-01-28,18.120001,18.299999,17.950001,18.129999,15.047409,82500
2016-01-29,18.190001,19.000000,18.190001,18.950001,15.727989,80200
2016-02-01,18.840000,18.990000,18.559999,18.820000,15.620090,48100
2016-02-02,18.700001,18.879999,18.309999,18.680000,15.503895,35000
2016-02-03,18.830000,18.830000,18.190001,18.530001,15.379401,53000
2016-02-04,18.469999,18.910000,18.270000,18.400000,15.271505,48400
2016-02-05,18.290001,18.430000,17.910000,17.930000,14.881413,73600
2016-02-08,17.760000,18.299999,17.700001,18.150000,15.064012,106600
2016-02-09,17.980000,18.219999,17.820000,17.870001,14.831617,33600
2016-02-10,18.020000,18.230000,17.850000,17.920000,14.873117,74700
2016-02-11,17.610001,17.840000,17.420000,17.709999,14.698822,44200
2016-02-12,17.680000,18.129999,17.580000,17.860001,14.823317,75600
2016-02-16,18.090000,18.500000,18.049999,18.450001,15.313001,72600
2016-02-17,18.530001,18.910000,18.320000,18.590000,15.429197,74900
2016-02-18,18.590000,18.799999,18.410000,18.660000,15.487291,58200
2016-02-19,18.610001,18.879999,18.440001,18.740000,15.553692,70400
2016-02-22,18.889999,19.580000,18.559999,19.180000,15.918880,136500
2016-02-23,19.090000,19.570000,19.049999,19.400000,16.101477,51600
2016-02-24,19.180000,19.650000,19.070000,19.549999,16.225973,80200
2016-02-25,20.540001,20.559999,18.780001,18.930000,15.711390,111800
2016-02-26,19.030001,19.260000,18.760000,19.139999,15.885686,61400
2016-02-29,19.219999,19.559999,19.200001,19.440001,16.134674,157100
2016-03-01,19.559999,19.889999,19.469999,19.879999,16.499859,75500
2016-03-02,19.889999,20.430000,19.830000,20.420000,16.948051,65900
2016-03-03,20.440001,20.670000,20.250000,20.660000,17.147240,83100
2016-03-04,20.510000,20.790001,20.309999,20.510000,17.105541,73000
2016-03-07,20.510000,20.900000,20.510000,20.700001,17.264002,55500
2016-03-08,20.620001,21.000000,20.400000,20.600000,17.180603,61400
2016-03-09,20.670000,20.940001,20.610001,20.790001,17.339066,54800
2016-03-10,20.799999,20.799999,20.540001,20.680000,17.247320,58600
2016-03-11,20.799999,21.450001,20.730000,21.230000,17.706028,60000
2016-03-14,21.150000,21.290001,20.940001,21.160000,17.647642,38000
2016-03-15,21.100000,21.180000,20.920000,20.980000,17.497528,36700
2016-03-16,20.900000,21.290001,20.799999,20.920000,17.447485,159700
2016-03-17,20.879999,21.360001,20.650000,21.000000,17.514208,86400
2016-03-18,21.150000,21.760000,21.150000,21.299999,17.764408,162400
2016-03-21,21.370001,21.709999,20.910000,20.920000,17.447485,50500
2016-03-22,20.920000,21.059999,20.780001,20.799999,17.347406,28000
2016-03-23,20.690001,20.700001,20.020000,20.080000,16.746914,207700
2016-03-24,20.080000,20.700001,20.030001,20.400000,17.013800,71900
2016-03-28,20.469999,21.110001,20.469999,20.870001,17.405785,64300
2016-03-29,20.830000,21.500000,20.750000,21.290001,17.756069,75400
2016-03-30,21.290001,21.559999,21.230000,21.410000,17.856153,37100
2016-03-31,21.450001,21.570000,21.150000,21.160000,17.647642,76100
2016-04-01,21.070000,21.480000,21.070000,21.350000,17.806112,68200
2016-04-04,21.309999,21.360001,20.629999,20.650000,17.222305,37100
2016-04-05,20.360001,20.490000,20.240000,20.260000,16.897039,75200
2016-04-06,20.350000,20.760000,20.120001,20.500000,17.097200,74400
2016-04-07,20.270000,20.270000,18.730000,18.809999,15.687725,144400
2016-04-08,18.830000,19.209999,18.440001,18.549999,15.470885,75200
2016-04-11,18.549999,18.920000,18.330000,18.330000,15.287402,82400
2016-04-12,18.410000,18.910000,18.379999,18.670000,15.570961,50600
2016-04-13,18.870001,19.410000,18.870001,19.330000,16.121410,75400
2016-04-14,19.290001,19.420000,18.950001,19.040001,15.879547,29300
2016-04-15,19.049999,19.230000,18.879999,18.959999,15.812830,28300
2016-04-18,18.980000,19.070000,18.900000,18.910000,15.771125,29500
2016-04-19,19.090000,19.320000,18.990000,19.129999,15.954608,26100
2016-04-20,19.170000,19.280001,18.980000,19.010000,15.854526,47500
2016-04-21,19.070000,19.150000,18.740000,18.879999,15.746105,35500
2016-04-22,18.980000,19.059999,18.760000,18.840000,15.712747,72700
2016-04-25,18.860001,19.240000,18.620001,18.730000,15.621001,43500
2016-04-26,18.790001,19.020000,18.750000,18.950001,15.804487,56700
2016-04-27,18.879999,19.010000,18.790001,18.910000,15.771125,37700
2016-04-28,18.820000,18.910000,18.629999,18.709999,15.604321,40800
2016-04-29,18.730000,18.780001,18.450001,18.670000,15.570961,44100
2016-05-02,18.790001,18.790001,18.309999,18.530001,15.454203,59900
2016-05-03,17.570000,18.040001,16.650000,17.990000,15.003839,160500
2016-05-04,17.889999,18.260000,17.700001,18.200001,15.178979,89200
2016-05-05,18.200001,18.340000,17.910000,18.030001,15.037200,242400
2016-05-06,17.860001,18.299999,17.860001,18.290001,15.254044,65700
2016-05-09,18.230000,18.600000,18.059999,18.459999,15.395821,62700
2016-05-10,18.590000,18.719999,18.160000,18.190001,15.170636,50400
2016-05-11,18.100000,18.120001,17.940001,17.959999,14.978816,153800
2016-05-12,17.910000,18.059999,17.850000,18.010000,15.020514,96800
2016-05-13,18.010000,18.270000,17.809999,17.840000,14.878736,460700
2016-05-16,17.790001,18.190001,17.790001,18.010000,15.020514,86100
2016-05-17,18.049999,18.200001,17.610001,17.870001,14.903756,96200
2016-05-18,17.830000,18.129999,17.809999,17.990000,15.003839,83600
2016-05-19,17.990000,18.059999,17.889999,17.990000,15.003839,86000
2016-05-20,18.100000,18.360001,17.940001,18.350000,15.304080,284500
2016-05-23,18.230000,18.590000,17.750000,17.760000,14.893177,149600
2016-05-24,17.910000,18.389999,17.770000,18.260000,15.312466,58300
2016-05-25,18.230000,18.690001,18.110001,18.549999,15.555655,82300
2016-05-26,18.600000,18.700001,18.440001,18.450001,15.471797,71500
2016-05-27,18.370001,18.700001,18.370001,18.700001,15.681442,33200
2016-05-31,18.780001,19.280001,18.420000,18.590000,15.589198,97900
2016-06-01,18.440001,18.740000,18.379999,18.580000,15.580810,44500
2016-06-02,18.610001,18.650000,18.410000,18.639999,15.631126,27600
2016-06-03,18.680000,18.700001,18.299999,18.389999,15.421481,59700
2016-06-06,18.510000,18.600000,18.180000,18.500000,15.513729,35400
2016-06-07,18.590000,18.790001,18.440001,18.690001,15.673055,52100
