Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,46.475677,46.475677,45.669357,45.894070,33.385277,454000
2015-09-23,46.290619,46.436020,45.986599,46.026253,33.481430,67200
2015-09-24,46.026253,46.145218,45.616486,46.065907,33.510277,200500
2015-09-25,46.647514,46.700386,46.052689,46.237747,33.635281,181000
2015-09-28,45.735451,45.801540,44.572235,44.651546,32.481411,185800
2015-09-29,44.664764,44.704418,44.069939,44.307869,32.231407,290100
2015-09-30,45.748669,45.986599,45.338898,45.775105,33.298737,187000
2015-10-01,46.581421,46.621078,45.854416,46.145218,33.567974,126800
2015-10-02,46.700386,47.467052,46.211308,47.467052,34.529533,363800
2015-10-05,47.467052,47.850384,47.427395,47.837166,34.798763,209300
2015-10-06,48.379116,48.656700,48.194061,48.458427,35.250694,315500
2015-10-07,48.656700,48.868195,48.299805,48.815323,35.510319,96000
2015-10-08,48.617046,49.634857,48.524517,49.555550,36.048790,53700
2015-10-09,49.053253,49.251526,48.696358,49.132561,35.741089,62800
2015-10-12,48.141186,48.484863,48.141186,48.379116,35.193008,166600
2015-10-13,47.480270,48.286587,47.467052,47.823948,34.789150,210200
2015-10-14,47.691765,47.863602,47.215904,47.255558,34.375679,94900
2015-10-15,47.255558,47.890038,47.030846,47.837166,34.798763,93600
2015-10-16,47.837166,47.837166,46.568203,46.977974,34.173756,112200
2015-10-19,47.044064,47.387741,47.017628,47.348087,34.442989,55900
2015-10-20,49.700951,50.586578,49.436584,50.322212,36.606495,299700
2015-10-21,50.401524,50.599796,49.634857,49.674515,36.135334,136400
2015-10-22,49.727386,50.573360,49.727386,50.163593,36.491112,99600
2015-10-23,51.326805,51.326805,50.520489,50.613014,36.818039,171500
2015-10-26,50.665890,51.009567,50.613014,50.798073,36.952656,64200
2015-10-27,50.639454,51.868759,50.229683,51.194622,37.241119,219500
2015-10-28,52.000942,52.000942,51.128532,51.644047,37.568047,192200
2015-10-29,51.670483,52.053814,51.538300,51.881977,37.741131,85700
2015-10-30,52.225655,53.071625,52.159561,52.714733,38.346909,95800
2015-11-02,53.045189,53.164154,52.741169,53.084846,38.616154,91100
2015-11-03,52.873352,53.613579,52.754387,53.415302,38.856537,126600
2015-11-04,53.507832,53.534267,52.860134,53.005535,38.558453,126600
2015-11-05,52.767605,52.979099,52.450363,52.688293,38.327675,74400
2015-11-06,55.133686,55.688858,52.278526,52.886570,38.471916,594400
2015-11-09,53.296337,53.388866,52.410709,52.635422,38.289219,164600
2015-11-10,52.278526,52.384274,51.868759,52.159561,37.943054,108100
2015-11-11,52.371056,52.754387,52.172779,52.318180,38.058445,61500
2015-11-12,51.683701,51.723354,51.022785,51.022785,37.116112,97100
2015-11-13,50.573360,50.639454,50.150375,50.150375,36.481491,66500
2015-11-16,49.489456,49.767040,49.119343,49.740604,36.183399,335700
2015-11-17,49.833134,50.348648,49.449802,49.621639,36.096867,397100
2015-11-18,49.780262,49.886005,49.436584,49.819916,36.241100,85500
2015-11-19,50.335430,50.705544,50.269341,50.414742,36.673809,66500
2015-11-20,50.335430,50.546925,49.978535,50.057846,36.414185,60400
