Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,25.000000,25.000000,25.000000,25.000000,18.883392,6000
2015-09-23,24.750000,24.770000,24.750000,24.760000,18.702112,900
2015-09-24,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-09-25,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-09-28,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-09-29,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-09-30,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-01,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-02,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-05,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-06,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-07,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-08,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-09,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-12,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-13,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-14,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-15,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-16,24.760000,24.760000,24.760000,24.760000,18.702112,0
2015-10-19,25.100000,25.100000,25.100000,25.100000,18.958925,600
2015-10-20,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-21,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-22,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-23,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-26,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-27,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-28,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-29,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-10-30,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-11-02,25.100000,25.100000,25.100000,25.100000,18.958925,0
2015-11-03,25.100000,25.120001,25.000000,25.000000,18.883392,1000
2015-11-04,25.240000,25.240000,25.240000,25.240000,19.064674,100
2015-11-05,25.240000,25.240000,25.240000,25.240000,19.064674,0
2015-11-06,24.870001,24.920000,24.870001,24.920000,18.822966,1400
2015-11-09,24.920000,24.920000,24.920000,24.920000,18.822966,0
2015-11-10,25.459999,25.459999,25.000000,25.000000,18.883392,1700
2015-11-11,25.000000,25.000000,25.000000,25.000000,18.883392,0
2015-11-12,25.030001,25.030001,25.000000,25.000000,18.883392,1800
2015-11-13,24.959999,25.000000,24.950001,24.950001,18.845629,8600
2015-11-16,24.910000,24.910000,24.910000,24.910000,18.815414,300
2015-11-17,24.910000,24.910000,24.910000,24.910000,18.815414,0
2015-11-18,24.910000,24.910000,24.910000,24.910000,18.815414,0
2015-11-19,24.950001,25.000000,24.950001,25.000000,18.883392,1200
2015-11-20,25.000000,25.000000,25.000000,25.000000,18.883392,0
