Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,18.726591,19.054308,18.661049,18.970037,17.033278,3675300
2015-09-23,18.979401,19.232210,18.773409,18.876404,16.949205,2698500
2015-09-24,18.698502,19.054308,18.679775,18.932585,16.999651,3578700
2015-09-25,19.138577,19.204121,18.820225,18.960674,17.024874,3558800
2015-09-28,18.820225,18.867041,18.389513,18.651686,16.747427,4221800
2015-09-29,18.689138,19.063671,18.595505,18.801498,16.881947,3751200
2015-09-30,18.960674,19.044945,18.801498,18.970037,17.033278,2682800
2015-10-01,18.998127,19.129213,18.117977,18.352060,16.478399,4320800
2015-10-02,18.052435,18.436329,17.902622,18.426966,16.545652,3219900
2015-10-05,18.586142,18.998127,18.520599,18.801498,16.881947,3724600
2015-10-06,18.792135,19.147940,18.661049,19.016853,17.075315,3118000
2015-10-07,19.129213,19.625467,19.119850,19.616104,17.613386,2713100
2015-10-08,19.531836,19.840824,19.428839,19.765917,17.747906,1971800
2015-10-09,19.840824,19.934458,19.625467,19.728464,17.714273,1606800
2015-10-12,19.709738,19.850187,19.307116,19.335205,17.361162,1125700
2015-10-13,19.279026,19.400749,19.016853,19.044945,17.100540,1245300
2015-10-14,19.016853,19.194757,18.745317,18.801498,16.881947,1459700
2015-10-15,18.876404,19.091761,18.642323,19.044945,17.100540,1542800
2015-10-16,19.147940,19.232210,18.932585,19.185392,17.226646,1358700
2015-10-19,19.091761,19.232210,18.951311,19.091761,17.142574,1314900
2015-10-20,19.044945,19.044945,18.754683,18.988764,17.050095,1326400
2015-10-21,19.035580,19.091761,18.623596,18.632959,16.730614,1110500
2015-10-22,18.754683,19.035580,18.754683,18.867041,16.940802,1563700
2015-10-23,18.951311,19.054308,18.717228,18.913858,16.982834,1623600
2015-10-26,18.904495,18.913858,18.661049,18.754683,16.839916,1578600
2015-10-27,18.689138,18.838951,18.539326,18.829588,16.907166,1598600
2015-10-28,18.820225,19.035580,18.586142,18.810862,16.890356,3123700
2015-10-29,18.810862,18.951311,18.670412,18.726591,16.814690,1460500
2015-10-30,18.773409,18.857677,18.651686,18.735954,16.823095,2054800
2015-11-02,18.745317,18.895130,18.707865,18.848314,16.923983,2782300
2015-11-03,18.792135,18.895130,18.670412,18.801498,16.881947,2017100
2015-11-04,18.829588,18.904495,18.595505,18.698502,16.789465,2168300
2015-11-05,18.707865,18.726591,18.099251,18.108614,16.259800,2695900
2015-11-06,18.099251,18.361423,18.080524,18.230337,16.369099,2110100
2015-11-09,18.277153,18.305243,17.565542,17.696629,15.889879,3246600
2015-11-10,17.640450,17.790262,17.640450,17.724720,15.915101,1945000
2015-11-11,17.808989,17.930712,17.574907,17.593634,15.797399,1896800
2015-11-12,17.481274,17.677902,17.237827,17.256554,15.494734,3082200
2015-11-13,17.191011,17.209738,16.807116,16.863297,15.141625,2821500
2015-11-16,16.863297,17.350187,16.807116,17.247190,15.486328,2263400
2015-11-17,17.247190,17.350187,16.891386,16.956928,15.225701,2281500
2015-11-18,17.059925,17.219101,16.835205,17.181648,15.427475,1999100
2015-11-19,17.181648,17.228464,16.910112,16.966291,15.234107,1980200
2015-11-20,16.994383,17.097378,16.788389,16.910112,15.183661,2391500
2015-11-23,16.928839,17.078651,16.844570,16.900749,15.175257,2893300
2015-11-24,16.853933,16.910112,16.694757,16.863297,15.141625,4668700
2015-11-25,16.863297,16.872660,16.769663,16.807116,15.091181,1923500
2015-11-27,16.844570,16.900749,16.722847,16.741573,15.032334,967600
2015-11-30,16.760300,16.760300,16.544945,16.554308,14.864186,3776900
2015-12-01,16.713484,16.928839,16.591761,16.610487,14.914628,4547900
2015-12-02,16.619850,17.022472,16.526217,16.853933,15.133222,6567700
2015-12-03,16.891386,16.966291,16.760300,16.816479,15.099589,3603300
2015-12-04,16.853933,16.891386,16.479401,16.666666,14.965075,5964900
2015-12-07,16.666666,16.685392,16.338951,16.413858,14.738077,3015000
2015-12-08,16.226591,16.535580,16.179775,16.516853,14.830553,2901200
2015-12-09,16.470037,16.657303,16.207865,16.217228,14.561521,3052900
2015-12-10,16.151686,16.320225,16.048689,16.123596,14.533459,1905700
2015-12-11,15.945693,15.964419,15.543071,15.571161,14.035504,4232200
2015-12-14,15.589888,15.786517,14.915730,15.056180,13.571313,6156500
2015-12-15,15.215356,15.926967,15.102996,15.880150,14.314022,5070600
2015-12-16,15.917603,15.955056,15.374532,15.440075,13.917347,4808800
2015-12-17,15.411985,15.617977,15.215356,15.318352,13.807628,5392500
2015-12-18,15.271536,15.646068,15.159176,15.411985,13.892028,5986400
2015-12-21,15.496255,15.805243,15.421349,15.552435,14.018626,2300800
2015-12-22,15.617977,15.823970,15.383895,15.777154,14.221183,1955700
2015-12-23,15.870787,16.367041,15.833333,16.320225,14.710695,2314800
2015-12-24,16.320225,16.357677,16.095505,16.226591,14.626294,487200
2015-12-28,16.132959,16.189138,15.898876,15.926967,14.356222,1672100
2015-12-29,16.029963,16.132959,15.898876,16.067415,14.482818,1483400
2015-12-30,15.992509,16.086142,15.936330,16.011236,14.432178,1240200
2015-12-31,15.926967,16.338951,15.908239,16.282772,14.676934,2578000
2016-01-04,15.955056,16.095505,15.702248,15.936330,14.364661,2416900
2016-01-05,15.973783,16.282772,15.814607,15.973783,14.398419,1719900
2016-01-06,15.730337,15.898876,15.636704,15.730337,14.178984,2080600
2016-01-07,15.449438,15.636704,15.355805,15.496255,13.967986,3856800
2016-01-08,15.552435,15.561798,14.915730,14.943820,13.470033,3415400
2016-01-11,15.028090,15.074906,14.700375,14.887640,13.419393,2228300
2016-01-12,14.981274,15.000000,14.522472,14.672285,13.225280,2597200
2016-01-13,14.747191,14.887640,14.400749,14.419476,12.997400,2730500
2016-01-14,14.456929,15.149813,14.232210,15.093633,13.605069,3455100
2016-01-15,14.672285,14.822098,14.447565,14.737827,13.284355,3808900
2016-01-19,14.859550,14.990637,14.559925,14.925094,13.453154,5179000
2016-01-20,14.644195,15.346442,14.494382,15.243445,13.740110,8868700
2016-01-21,15.280899,15.749063,15.224719,15.449438,13.925786,2968100
2016-01-22,15.730337,15.936330,15.599251,15.758427,14.204303,2106300
2016-01-25,15.683520,15.795880,15.280899,15.430712,13.908907,2441400
2016-01-26,15.449438,15.786517,15.280899,15.299625,13.790749,3699900
2016-01-27,15.262173,15.505618,15.102996,15.177902,13.681028,6355300
2016-01-28,15.346442,15.421349,15.093633,15.149813,13.655710,2014900
2016-01-29,15.224719,15.524344,15.215356,15.505618,13.976425,3066400
2016-02-01,15.421349,15.589888,15.149813,15.496255,13.967986,1909500
2016-02-02,15.346442,15.374532,14.859550,14.971910,13.495355,2580500
2016-02-03,15.046817,15.374532,14.784644,15.337079,13.824511,2013100
2016-02-04,15.365169,15.777154,15.280899,15.365169,13.849829,2047600
2016-02-05,15.327715,15.355805,14.859550,15.009363,13.529114,2776400
2016-02-08,14.943820,14.943820,14.260300,14.466292,13.039601,2553900
2016-02-09,14.344569,14.485019,13.885768,14.007491,12.626048,2627000
2016-02-10,14.044944,14.297752,13.941948,13.970037,12.592288,1812800
2016-02-11,13.810862,13.913857,13.417603,13.679775,12.330651,2897900
2016-02-12,13.838951,14.082397,13.632958,13.838951,12.474129,2576900
2016-02-16,14.026217,14.110487,13.810862,13.848314,12.482568,2059100
2016-02-17,14.082397,14.269663,13.932584,14.260300,12.853923,3140700
2016-02-18,14.288389,14.297752,13.970037,14.026217,12.642926,1944100
2016-02-19,13.998127,14.026217,13.735955,13.820225,12.457251,2123000
2016-02-22,14.035581,14.279026,13.998127,14.082397,12.693565,2899500
2016-02-23,14.054307,14.147940,13.820225,13.820225,12.457251,1899900
2016-02-24,13.651686,13.726592,13.417603,13.689138,12.339091,2842900
2016-02-25,13.726592,13.941948,13.361423,13.689138,12.339091,2616600
2016-02-26,13.801498,14.091761,13.632958,13.885768,12.516328,2428900
2016-02-29,13.913857,13.960674,13.492509,13.529963,12.195612,2794900
2016-03-01,13.614232,14.297752,13.539326,14.288389,12.879243,2592900
2016-03-02,14.269663,14.672285,14.269663,14.578651,13.140879,2107400
2016-03-03,14.550562,14.625468,14.513108,14.597379,13.157759,1531700
2016-03-04,14.606742,14.887640,14.550562,14.691011,13.242159,1639500
2016-03-07,14.597379,14.850187,14.475656,14.840824,13.377197,2786300
