Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,9.100000,9.140000,9.080000,9.140000,6.176380,206600
2015-09-23,9.120000,9.140000,9.060000,9.080000,6.135834,128700
2015-09-24,9.110000,9.110000,9.040000,9.090000,6.142590,187700
2015-09-25,9.090000,9.120000,9.040000,9.040000,6.108801,167500
2015-09-28,9.050000,9.090000,9.010000,9.040000,6.108801,294400
2015-09-29,9.020000,9.040000,8.920000,8.980000,6.068256,306200
2015-09-30,9.010000,9.040000,8.950000,8.990000,6.075016,308800
2015-10-01,9.010000,9.020000,8.950000,9.000000,6.081770,187300
2015-10-02,8.940000,9.000000,8.920000,8.990000,6.075016,279100
2015-10-05,9.010000,9.110000,9.010000,9.110000,6.156104,214600
2015-10-06,9.110000,9.180000,9.090000,9.150000,6.183135,193800
2015-10-07,9.150000,9.180000,9.120000,9.140000,6.176380,160300
2015-10-08,9.100000,9.200000,9.100000,9.150000,6.183135,187300
2015-10-09,9.150000,9.200000,9.150000,9.160000,6.189892,155800
2015-10-12,9.150000,9.240000,9.150000,9.210000,6.223679,162400
2015-10-13,9.130000,9.240000,9.120000,9.200000,6.262481,234000
2015-10-14,9.180000,9.230000,9.160000,9.160000,6.235250,202100
2015-10-15,9.160000,9.200000,9.120000,9.160000,6.235250,168500
2015-10-16,9.140000,9.230000,9.140000,9.230000,6.282901,139500
2015-10-19,9.190000,9.220000,9.170000,9.200000,6.262481,143800
2015-10-20,9.180000,9.250000,9.170000,9.250000,6.296515,148100
2015-10-21,9.270000,9.370000,9.230000,9.280000,6.316936,493700
2015-10-22,9.280000,9.350000,9.280000,9.290000,6.323743,165500
2015-10-23,9.340000,9.340000,9.260000,9.280000,6.316936,177000
2015-10-26,9.280000,9.280000,9.230000,9.260000,6.303322,153200
2015-10-27,9.230000,9.270000,9.220000,9.220000,6.276095,257600
2015-10-28,9.250000,9.280000,9.220000,9.240000,6.289710,320100
2015-10-29,9.210000,9.260000,9.200000,9.240000,6.289710,205600
