Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,10.260000,10.340000,10.260000,10.300000,7.106220,124200
2015-09-23,10.300000,10.360000,10.240000,10.270000,7.085521,99700
2015-09-24,10.270000,10.270000,10.150000,10.150000,7.002728,101100
2015-09-25,10.170000,10.220000,10.150000,10.150000,7.002728,92600
2015-09-28,10.160000,10.190000,10.020000,10.020000,6.913038,117400
2015-09-29,10.040000,10.140000,9.860000,9.930000,6.850946,281500
2015-09-30,9.930000,9.960000,9.860000,9.950000,6.864744,197500
2015-10-01,9.930000,9.960000,9.860000,9.900000,6.830251,106800
2015-10-02,9.870000,9.880000,9.830000,9.850000,6.795753,87100
2015-10-05,9.850000,9.900000,9.830000,9.880000,6.816452,143200
2015-10-06,9.870000,9.910000,9.860000,9.910000,6.837148,77600
2015-10-07,9.910000,9.980000,9.890000,9.960000,6.871643,118200
2015-10-08,9.960000,10.140000,9.940000,10.120000,6.982033,173500
2015-10-09,10.120000,10.200000,10.110000,10.160000,7.009626,122300
2015-10-12,10.130000,10.160000,10.090000,10.130000,6.988932,72300
2015-10-13,10.090000,10.100000,10.050000,10.080000,6.997957,94400
2015-10-14,10.050000,10.050000,10.000000,10.000000,6.942417,64600
2015-10-15,9.990000,10.000000,9.930000,9.970000,6.921588,129700
2015-10-16,9.960000,9.990000,9.910000,9.940000,6.900761,85900
2015-10-19,9.950000,10.030000,9.950000,10.000000,6.942417,101000
2015-10-20,10.010000,10.010000,9.940000,9.980000,6.928532,117500
2015-10-21,9.970000,10.040000,9.950000,9.960000,6.914647,94800
2015-10-22,10.000000,10.050000,9.990000,10.050000,6.977128,93800
2015-10-23,10.110000,10.110000,10.020000,10.020000,6.956300,71600
2015-10-26,10.010000,10.040000,10.000000,10.020000,6.956300,73400
2015-10-27,10.000000,10.050000,10.000000,10.000000,6.942417,74700
2015-10-28,10.040000,10.070000,10.020000,10.020000,6.956300,127300
2015-10-29,10.010000,10.100000,10.010000,10.090000,7.004898,66200
2015-10-30,10.060000,10.060000,10.010000,10.030000,6.963243,138900
2015-11-02,10.060000,10.060000,10.000000,10.000000,6.942417,113900
2015-11-03,10.000000,10.020000,9.920000,9.950000,6.907705,274000
2015-11-04,9.940000,10.040000,9.920000,10.000000,6.942417,148500
2015-11-05,10.000000,10.090000,9.950000,10.080000,6.997957,272600
2015-11-06,10.050000,10.070000,9.970000,10.050000,6.977128,208000
2015-11-09,10.010000,10.080000,9.950000,10.060000,6.984074,409600
2015-11-10,10.010000,10.010000,9.870000,9.890000,6.909320,208000
2015-11-11,9.880000,9.880000,9.770000,9.800000,6.846444,159200
2015-11-12,9.790000,9.820000,9.720000,9.730000,6.797540,133500
2015-11-13,9.740000,9.820000,9.700000,9.720000,6.790555,153100
2015-11-16,9.680000,9.790000,9.670000,9.760000,6.818499,153300
2015-11-17,9.730000,9.790000,9.720000,9.730000,6.797540,131400
2015-11-18,9.720000,9.760000,9.680000,9.750000,6.811514,74900
2015-11-19,9.740000,9.740000,9.660000,9.730000,6.797540,105000
2015-11-20,9.730000,9.860000,9.690000,9.860000,6.888362,221200
2015-11-23,9.860000,9.980000,9.830000,9.960000,6.958220,201500
2015-11-24,9.950000,9.960000,9.890000,9.960000,6.958220,154000
2015-11-25,9.910000,9.950000,9.830000,9.950000,6.951235,185000
2015-11-27,9.950000,10.030000,9.900000,9.900000,6.916308,101900
2015-11-30,9.920000,10.030000,9.920000,9.980000,6.972195,154500
2015-12-01,10.030000,10.040000,9.930000,9.980000,6.972195,158600
2015-12-02,10.000000,10.010000,9.840000,9.860000,6.888362,152000
2015-12-03,9.860000,9.890000,9.810000,9.840000,6.874385,118200
2015-12-04,9.820000,9.890000,9.810000,9.880000,6.902336,100000
2015-12-07,9.760000,9.800000,9.700000,9.730000,6.797540,232500
2015-12-08,9.710000,9.730000,9.670000,9.680000,6.762610,175900
2015-12-09,9.680000,9.740000,9.580000,9.580000,6.692750,232400
2015-12-10,9.530000,9.610000,9.500000,9.560000,6.678778,171900
2015-12-11,9.500000,9.500000,9.300000,9.330000,6.561333,353500
2015-12-14,9.280000,9.290000,9.050000,9.170000,6.448813,510200
2015-12-15,9.180000,9.280000,9.140000,9.220000,6.483977,555700
2015-12-16,9.230000,9.500000,9.220000,9.440000,6.638687,249300
2015-12-17,9.430000,9.590000,9.420000,9.570000,6.730112,272300
2015-12-18,9.570000,9.610000,9.520000,9.570000,6.730112,379900
2015-12-21,9.600000,9.600000,9.450000,9.500000,6.680884,174500
2015-12-22,9.480000,9.570000,9.460000,9.550000,6.716049,134600
2015-12-23,9.560000,9.730000,9.560000,9.610000,6.760367,195900
2015-12-24,9.620000,9.690000,9.600000,9.670000,6.802575,96500
2015-12-28,9.600000,9.630000,9.530000,9.600000,6.753331,277800
2015-12-29,9.610000,9.730000,9.600000,9.700000,6.823677,191400
2015-12-30,9.700000,9.780000,9.650000,9.770000,6.872923,199700
2015-12-31,9.730000,9.970000,9.720000,9.800000,6.894025,243800
2016-01-04,9.740000,9.740000,9.630000,9.700000,6.823677,157600
2016-01-05,9.730000,9.820000,9.730000,9.790000,6.886992,116800
2016-01-06,9.750000,9.800000,9.690000,9.790000,6.886992,66000
2016-01-07,9.740000,9.750000,9.690000,9.710000,6.830714,152600
2016-01-08,9.700000,9.710000,9.630000,9.700000,6.823677,143500
2016-01-11,9.660000,9.680000,9.600000,9.630000,6.774436,159000
2016-01-12,9.640000,9.670000,9.580000,9.580000,6.739264,149800
2016-01-13,9.550000,9.560000,9.380000,9.410000,6.663491,238800
2016-01-14,9.380000,9.380000,9.280000,9.350000,6.621004,220600
2016-01-15,9.260000,9.260000,9.100000,9.200000,6.514783,311600
2016-01-19,9.180000,9.190000,9.100000,9.110000,6.451052,252000
2016-01-20,9.020000,9.090000,8.880000,9.010000,6.380240,332000
2016-01-21,9.000000,9.150000,8.960000,9.150000,6.479380,339300
2016-01-22,9.180000,9.210000,9.120000,9.180000,6.500624,234200
2016-01-25,9.190000,9.200000,9.080000,9.090000,6.436890,135700
2016-01-26,9.140000,9.250000,9.100000,9.240000,6.543112,108300
2016-01-27,9.240000,9.290000,9.160000,9.230000,6.536030,259200
2016-01-28,9.250000,9.310000,9.220000,9.310000,6.592679,84000
2016-01-29,9.300000,9.420000,9.300000,9.420000,6.670575,132600
2016-02-01,9.420000,9.440000,9.370000,9.440000,6.684732,163200
2016-02-02,9.300000,9.390000,9.300000,9.350000,6.621004,107700
2016-02-03,9.360000,9.410000,9.310000,9.340000,6.613925,204900
2016-02-04,9.340000,9.350000,9.240000,9.260000,6.557272,105900
2016-02-05,9.220000,9.260000,9.100000,9.100000,6.443971,185700
2016-02-08,9.060000,9.080000,9.020000,9.050000,6.408567,154900
2016-02-09,9.000000,9.080000,8.980000,9.010000,6.380240,279100
2016-02-10,8.940000,9.000000,8.810000,8.910000,6.353855,153500
2016-02-11,8.870000,8.890000,8.810000,8.850000,6.311068,122100
2016-02-12,8.860000,8.880000,8.800000,8.830000,6.296805,118800
2016-02-16,8.850000,8.850000,8.800000,8.830000,6.296805,164300
2016-02-17,8.830000,8.910000,8.820000,8.870000,6.325331,114900
2016-02-18,8.900000,8.900000,8.830000,8.870000,6.325331,163300
2016-02-19,8.800000,8.880000,8.800000,8.850000,6.311068,124400
2016-02-22,8.900000,8.910000,8.840000,8.850000,6.311068,162900
2016-02-23,8.870000,8.920000,8.870000,8.870000,6.325331,172600
2016-02-24,8.830000,8.940000,8.800000,8.920000,6.360989,171900
2016-02-25,8.910000,8.980000,8.850000,8.960000,6.389511,213000
2016-02-26,8.940000,8.970000,8.880000,8.890000,6.339592,138200
2016-02-29,8.920000,9.030000,8.920000,8.940000,6.375247,172000
2016-03-01,9.000000,9.110000,8.980000,9.050000,6.453691,216000
2016-03-02,9.090000,9.130000,9.050000,9.090000,6.482217,269900
2016-03-03,9.100000,9.240000,9.100000,9.220000,6.574922,205200
2016-03-04,9.240000,9.330000,9.240000,9.320000,6.646233,260300
2016-03-07,9.330000,9.490000,9.330000,9.480000,6.760330,296400
2016-03-08,9.460000,9.490000,9.430000,9.470000,6.753203,158200
2016-03-09,9.460000,9.560000,9.460000,9.510000,6.781726,215200
2016-03-10,9.580000,9.590000,9.500000,9.590000,6.838774,200500
2016-03-11,9.550000,9.610000,9.500000,9.610000,6.898353,175100
2016-03-14,9.620000,9.720000,9.590000,9.680000,6.948603,178800
2016-03-15,9.680000,9.780000,9.670000,9.770000,7.013207,71700
2016-03-16,9.760000,9.910000,9.750000,9.850000,7.070632,160200
2016-03-17,9.850000,9.930000,9.840000,9.860000,7.077810,125400
2016-03-18,9.850000,9.910000,9.790000,9.790000,7.027564,155900
2016-03-21,9.810000,9.850000,9.800000,9.840000,7.063453,124800
2016-03-22,9.840000,9.870000,9.810000,9.860000,7.077810,102500
2016-03-23,9.830000,9.890000,9.800000,9.800000,7.034742,116900
2016-03-24,9.800000,9.840000,9.670000,9.710000,6.970138,154600
2016-03-28,9.680000,9.750000,9.680000,9.690000,6.955781,149200
2016-03-29,9.690000,9.760000,9.690000,9.740000,6.991673,124700
2016-03-30,9.750000,9.840000,9.740000,9.830000,7.056275,105300
2016-03-31,9.790000,9.890000,9.790000,9.890000,7.099343,120900
2016-04-01,9.880000,9.890000,9.810000,9.870000,7.084989,90000
2016-04-04,9.880000,9.880000,9.800000,9.840000,7.063453,88200
2016-04-05,9.800000,9.850000,9.770000,9.850000,7.070632,89400
2016-04-06,9.830000,9.930000,9.830000,9.930000,7.128057,124600
2016-04-07,9.900000,9.910000,9.870000,9.890000,7.099343,105200
2016-04-08,9.920000,9.940000,9.870000,9.880000,7.092166,121400
2016-04-11,9.890000,9.920000,9.870000,9.880000,7.092166,93900
2016-04-12,9.860000,9.910000,9.850000,9.900000,7.106526,119000
2016-04-13,9.820000,9.880000,9.800000,9.850000,7.115915,130300
2016-04-14,9.850000,9.850000,9.810000,9.810000,7.087018,107500
2016-04-15,9.780000,9.810000,9.760000,9.790000,7.072571,143000
2016-04-18,9.750000,9.920000,9.750000,9.920000,7.166483,172800
2016-04-19,9.910000,9.960000,9.900000,9.960000,7.195382,85800
2016-04-20,9.980000,10.030000,9.950000,10.020000,7.238727,130900
2016-04-21,10.060000,10.110000,10.030000,10.060000,7.267625,169600
2016-04-22,10.060000,10.130000,10.050000,10.070000,7.274848,67900
2016-04-25,10.050000,10.240000,10.050000,10.240000,7.397666,324900
2016-04-26,10.240000,10.250000,10.140000,10.170000,7.347093,198900
2016-04-27,10.200000,10.230000,10.160000,10.210000,7.375989,96000
2016-04-28,10.150000,10.220000,10.090000,10.100000,7.296521,197000
2016-04-29,10.130000,10.200000,10.130000,10.200000,7.368764,82300
2016-05-02,10.180000,10.220000,10.060000,10.110000,7.303747,202900
2016-05-03,10.140000,10.140000,10.020000,10.120000,7.310970,146600
2016-05-04,10.090000,10.140000,10.050000,10.070000,7.274848,139000
