Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,10.260000,10.290000,10.050000,10.080000,6.541349,57500
2015-09-23,10.160000,10.210000,10.110000,10.170000,6.599757,42200
2015-09-24,10.100000,10.220000,10.040000,10.220000,6.632201,41600
2015-09-25,10.150000,10.180000,10.070000,10.070000,6.534860,44100
2015-09-28,10.140000,10.160000,9.910000,9.970000,6.469965,60100
2015-09-29,9.920000,9.990000,9.820000,9.850000,6.392093,123300
2015-09-30,9.940000,10.140000,9.900000,10.050000,6.521881,115500
2015-10-01,10.100000,10.170000,9.860000,9.930000,6.444008,98100
2015-10-02,10.040000,10.070000,9.890000,10.070000,6.534860,117500
2015-10-05,10.130000,10.160000,10.050000,10.100000,6.554329,59500
2015-10-06,10.170000,10.290000,10.170000,10.240000,6.645179,86500
2015-10-07,10.240000,10.350000,10.240000,10.320000,6.697095,61500
2015-10-08,10.270000,10.500000,10.270000,10.500000,6.813908,38900
2015-10-09,10.420000,10.650000,10.420000,10.650000,6.911248,81900
2015-10-12,10.580000,10.670000,10.540000,10.560000,6.852844,21100
2015-10-13,10.550000,10.650000,10.410000,10.450000,6.781458,53800
2015-10-14,10.440000,10.640000,10.440000,10.540000,6.839863,60300
2015-10-15,10.500000,10.600000,10.460000,10.600000,6.878800,32200
2015-10-16,10.570000,10.800000,10.570000,10.750000,6.976143,54100
2015-10-19,10.750000,10.950000,10.680000,10.950000,7.105929,88600
2015-10-20,10.940000,10.990000,10.900000,10.970000,7.118908,29300
2015-10-21,10.880000,11.000000,10.880000,10.980000,7.125399,52200
2015-10-22,11.000000,11.170000,10.980000,11.130000,7.222743,47000
2015-10-23,11.150000,11.150000,11.010000,11.110000,7.209761,55700
2015-10-26,11.060000,11.070000,10.910000,11.060000,7.177314,66500
2015-10-27,10.970000,11.070000,10.970000,11.010000,7.144868,25900
2015-10-28,11.020000,11.120000,11.000000,11.000000,7.138378,76800
2015-10-29,11.020000,11.020000,10.870000,10.990000,7.131889,56700
2015-10-30,10.990000,11.000000,10.920000,10.980000,7.125399,25600
2015-11-02,10.940000,11.060000,10.940000,11.060000,7.177314,65700
2015-11-03,11.030000,11.070000,10.970000,11.020000,7.151359,24900
2015-11-04,11.010000,11.040000,10.950000,10.950000,7.105929,28000
2015-11-05,11.000000,11.090000,10.940000,11.080000,7.190294,31500
2015-11-06,11.000000,11.000000,10.720000,10.760000,6.982630,69300
2015-11-09,10.740000,10.770000,10.540000,10.610000,6.885290,61500
2015-11-10,10.530000,10.710000,10.500000,10.520000,6.826885,74900
2015-11-11,10.590000,10.620000,10.460000,10.460000,6.787949,46700
2015-11-12,10.480000,10.510000,10.290000,10.290000,6.677628,66900
2015-11-13,10.310000,10.360000,10.180000,10.210000,6.625712,92100
2015-11-16,10.160000,10.310000,10.080000,10.310000,6.690607,139500
2015-11-17,10.270000,10.350000,10.250000,10.290000,6.677628,81200
2015-11-18,10.320000,10.450000,10.300000,10.450000,6.781458,79600
2015-11-19,10.440000,10.520000,10.400000,10.520000,6.826885,29600
2015-11-20,10.540000,10.650000,10.530000,10.650000,6.911248,24800
2015-11-23,10.630000,10.690000,10.580000,10.630000,6.898269,48000
2015-11-24,10.530000,10.590000,10.450000,10.520000,6.826885,38400
2015-11-25,10.500000,10.590000,10.500000,10.560000,6.852844,33800
2015-11-27,10.570000,10.640000,10.530000,10.590000,6.872311,17900
2015-11-30,10.560000,10.690000,10.550000,10.590000,6.872311,32200
2015-12-01,10.550000,10.710000,10.550000,10.710000,6.950185,54300
2015-12-02,10.640000,10.710000,10.590000,10.610000,6.885290,59100
2015-12-03,10.550000,10.590000,10.420000,10.490000,6.807415,41300
2015-12-04,10.450000,10.620000,10.450000,10.590000,6.872311,33200
2015-12-07,10.650000,10.650000,10.540000,10.630000,6.898269,66000
2015-12-08,10.540000,10.560000,10.450000,10.500000,6.813908,57800
2015-12-09,10.500000,10.550000,10.400000,10.440000,6.774969,31200
2015-12-10,10.410000,10.500000,10.350000,10.350000,6.716565,62200
2015-12-11,10.150000,10.210000,9.970000,10.050000,6.676703,114000
2015-12-14,10.010000,10.110000,9.950000,10.050000,6.676703,100400
2015-12-15,10.000000,10.210000,10.000000,10.200000,6.776357,66800
2015-12-16,10.200000,10.390000,10.200000,10.350000,6.876008,114500
2015-12-17,10.340000,10.490000,10.340000,10.350000,6.876008,200800
2015-12-18,10.320000,10.470000,10.030000,10.420000,6.922513,85700
2015-12-21,10.430000,10.490000,10.290000,10.450000,6.942443,31900
2015-12-22,10.480000,10.520000,10.390000,10.420000,6.922513,82100
2015-12-23,10.420000,10.530000,10.420000,10.490000,6.969015,56300
2015-12-24,10.510000,10.520000,10.460000,10.520000,6.988947,18900
2015-12-28,10.570000,10.570000,10.460000,10.550000,7.008878,54700
2015-12-29,10.590000,10.650000,10.520000,10.580000,7.028809,108300
