Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,4.650000,4.660000,4.450000,4.610000,4.610000,38700
2015-09-23,4.640000,4.680000,4.500000,4.630000,4.630000,23600
2015-09-24,4.590000,4.610000,4.510000,4.550000,4.550000,2600
2015-09-25,4.510000,4.530000,4.430000,4.460000,4.460000,14300
2015-09-28,4.450000,4.470000,4.430000,4.430000,4.430000,7600
2015-09-29,4.370000,4.610000,4.160000,4.480000,4.480000,24700
2015-09-30,4.570000,4.680000,4.490000,4.620000,4.620000,10200
2015-10-01,4.540000,4.650000,4.500000,4.610000,4.610000,11400
2015-10-02,4.530000,4.620000,4.460000,4.560000,4.560000,16700
2015-10-05,4.600000,4.730000,4.600000,4.650000,4.650000,2600
2015-10-06,4.600000,4.680000,4.510000,4.610000,4.610000,13300
2015-10-07,4.610000,4.720000,4.530000,4.690000,4.690000,18500
2015-10-08,4.620000,4.730000,4.620000,4.690000,4.690000,8100
2015-10-09,4.650000,4.650000,4.550000,4.570000,4.570000,5000
2015-10-12,4.570000,4.740000,4.480000,4.650000,4.650000,25500
2015-10-13,4.610000,4.670000,4.560000,4.590000,4.590000,2700
2015-10-14,4.630000,4.630000,4.530000,4.530000,4.530000,8100
2015-10-15,4.470000,4.520000,4.460000,4.520000,4.520000,8000
2015-10-16,4.530000,4.700000,4.200000,4.520000,4.520000,102300
2015-10-19,4.540000,4.650000,4.250000,4.570000,4.570000,95400
2015-10-20,4.540000,4.610000,4.500000,4.530000,4.530000,27300
2015-10-21,4.530000,4.530000,4.530000,4.530000,4.530000,0
2015-10-22,4.480000,4.510000,4.450000,4.450000,4.450000,5300
2015-10-23,4.520000,4.520000,4.340000,4.420000,4.420000,14600
2015-10-26,4.500000,4.510000,4.330000,4.420000,4.420000,10200
2015-10-27,4.330000,4.450000,4.290000,4.290000,4.290000,8900
2015-10-28,4.300000,4.300000,4.140000,4.210000,4.210000,55600
2015-10-29,4.190000,4.360000,4.120000,4.220000,4.220000,32600
2015-10-30,4.310000,4.340000,4.150000,4.300000,4.300000,6100
2015-11-02,4.230000,4.380000,4.150000,4.260000,4.260000,38400
2015-11-03,4.310000,4.360000,4.200000,4.250000,4.250000,7600
2015-11-04,4.200000,4.330000,4.130000,4.330000,4.330000,5400
2015-11-05,4.230000,4.360000,3.750000,4.200000,4.200000,56000
2015-11-06,4.140000,4.220000,4.000000,4.180000,4.180000,30200
2015-11-09,4.200000,4.420000,4.140000,4.390000,4.390000,64700
2015-11-10,4.360000,4.460000,4.130000,4.130000,4.130000,34000
2015-11-11,4.160000,4.160000,4.090000,4.090000,4.090000,2900
2015-11-12,4.030000,4.170000,4.010000,4.100000,4.100000,7600
2015-11-13,4.070000,4.120000,4.050000,4.110000,4.110000,4400
2015-11-16,4.160000,4.480000,4.140000,4.390000,4.390000,16500
2015-11-17,4.350000,4.350000,4.250000,4.310000,4.310000,6000
2015-11-18,4.230000,4.280000,4.140000,4.230000,4.230000,15800
2015-11-19,4.300000,4.350000,4.180000,4.300000,4.300000,7500
2015-11-20,4.270000,4.410000,4.100000,4.400000,4.400000,10400
2015-11-23,4.400000,4.600000,4.380000,4.530000,4.530000,40800
2015-11-24,4.490000,4.600000,4.490000,4.560000,4.560000,7300
2015-11-25,4.550000,4.610000,4.510000,4.600000,4.600000,9500
2015-11-27,4.560000,4.810000,4.560000,4.810000,4.810000,14500
2015-11-30,4.690000,4.800000,4.690000,4.750000,4.750000,17100
2015-12-01,4.750000,4.850000,4.700000,4.850000,4.850000,7500
2015-12-02,4.760000,4.900000,4.760000,4.900000,4.900000,7600
2015-12-03,4.940000,4.940000,4.850000,4.860000,4.860000,7300
2015-12-04,4.870000,4.950000,4.750000,4.860000,4.860000,14600
2015-12-07,4.860000,4.870000,4.750000,4.800000,4.800000,15400
2015-12-08,4.850000,4.850000,4.740000,4.820000,4.820000,18200
2015-12-09,4.790000,4.790000,4.700000,4.760000,4.760000,9100
2015-12-10,4.740000,4.740000,4.500000,4.620000,4.620000,12200
2015-12-11,4.520000,4.620000,4.190000,4.540000,4.540000,57900
2015-12-14,4.530000,4.610000,4.490000,4.570000,4.570000,9200
2015-12-15,4.560000,4.630000,4.360000,4.580000,4.580000,17800
2015-12-16,4.550000,4.580000,4.450000,4.560000,4.560000,5900
2015-12-17,4.650000,4.670000,4.550000,4.550000,4.550000,14600
2015-12-18,4.580000,4.600000,4.550000,4.600000,4.600000,4000
2015-12-21,4.570000,4.640000,4.570000,4.590000,4.590000,8000
2015-12-22,4.530000,4.600000,4.460000,4.560000,4.560000,8500
2015-12-23,4.540000,4.700000,4.540000,4.610000,4.610000,12400
2015-12-24,4.610000,4.610000,4.610000,4.610000,4.610000,0
2015-12-28,4.510000,4.550000,4.490000,4.540000,4.540000,12900
2015-12-29,4.470000,4.560000,4.470000,4.510000,4.510000,12900
2015-12-30,4.470000,4.510000,4.470000,4.500000,4.500000,3000
2015-12-31,4.430000,4.570000,4.430000,4.570000,4.570000,4700
2016-01-04,4.490000,4.590000,4.490000,4.530000,4.530000,11700
2016-01-05,4.460000,4.550000,4.270000,4.460000,4.460000,16400
2016-01-06,4.390000,4.460000,4.250000,4.280000,4.280000,22400
2016-01-07,4.370000,4.380000,3.970000,4.010000,4.010000,58200
2016-01-08,4.080000,4.480000,4.000000,4.250000,4.250000,35100
2016-01-11,4.290000,4.480000,4.230000,4.420000,4.420000,8200
2016-01-12,4.340000,4.340000,4.200000,4.220000,4.220000,26200
2016-01-13,4.240000,4.240000,4.000000,4.080000,4.080000,28900
2016-01-14,4.020000,4.080000,3.990000,3.990000,3.990000,33500
2016-01-15,3.920000,3.970000,3.800000,3.880000,3.880000,41000
2016-01-19,3.910000,3.910000,3.800000,3.800000,3.800000,17200
2016-01-20,3.720000,3.750000,3.650000,3.720000,3.720000,25800
2016-01-21,3.700000,3.750000,3.680000,3.750000,3.750000,11300
2016-01-22,3.750000,3.750000,3.690000,3.750000,3.750000,7400
2016-01-25,3.680000,3.750000,3.680000,3.730000,3.730000,6500
2016-01-26,3.810000,4.000000,3.760000,4.000000,4.000000,3800
2016-01-27,3.880000,4.220000,3.880000,4.150000,4.150000,44600
2016-01-28,4.110000,4.210000,4.090000,4.150000,4.150000,6200
2016-01-29,4.160000,4.220000,4.100000,4.210000,4.210000,8900
2016-02-01,4.210000,4.420000,4.210000,4.410000,4.410000,7100
2016-02-02,4.380000,4.420000,4.380000,4.410000,4.410000,4900
2016-02-03,4.390000,4.470000,4.390000,4.470000,4.470000,1300
2016-02-04,4.450000,4.540000,4.330000,4.470000,4.470000,9400
2016-02-05,4.440000,4.510000,4.410000,4.510000,4.510000,1700
2016-02-08,4.570000,4.570000,4.450000,4.500000,4.500000,3300
2016-02-09,4.510000,4.530000,4.320000,4.500000,4.500000,12500
2016-02-10,4.440000,4.540000,4.440000,4.520000,4.520000,5800
2016-02-11,4.590000,4.590000,4.460000,4.480000,4.480000,2500
2016-02-12,4.500000,4.550000,4.480000,4.500000,4.500000,7800
2016-02-16,4.480000,4.510000,4.460000,4.460000,4.460000,5300
2016-02-17,4.420000,4.560000,4.380000,4.490000,4.490000,4600
2016-02-18,4.450000,4.540000,4.330000,4.450000,4.450000,18800
2016-02-19,4.510000,4.510000,4.510000,4.510000,4.510000,200
2016-02-22,4.460000,4.520000,4.450000,4.480000,4.480000,14700
2016-02-23,4.530000,4.530000,4.490000,4.500000,4.500000,10700
