Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,86.820000,87.980003,86.620003,87.800003,77.330368,5059500
2015-09-23,88.000000,88.419998,86.580002,86.690002,76.352737,4863300
2015-09-24,86.449997,86.540001,85.080002,85.349998,75.172516,5693500
2015-09-25,86.239998,86.430000,83.230003,84.059998,74.036354,5794900
2015-09-28,83.680000,83.860001,78.500000,79.739998,70.231461,8295100
2015-09-29,80.370003,82.199997,79.190002,80.279999,70.707069,7315200
2015-09-30,81.529999,83.769997,81.500000,83.690002,73.710457,6780700
2015-10-01,83.599998,85.320000,83.400002,85.180000,75.022789,5350400
2015-10-02,84.160004,87.550003,83.589996,87.519997,77.083755,5616600
2015-10-05,88.080002,88.480003,85.599998,86.570000,76.247040,5297400
2015-10-06,86.389999,86.510002,82.080002,84.169998,74.133209,5521200
2015-10-07,84.300003,84.849998,82.400002,83.989998,73.974678,5128000
2015-10-08,83.150002,83.989998,81.790001,83.769997,73.780930,4595400
2015-10-09,85.330002,86.570000,85.000000,86.139999,75.868309,5115100
2015-10-12,78.580002,80.750000,78.300003,79.440002,69.967255,26477400
2015-10-13,79.790001,81.250000,79.540001,79.620003,70.125778,10104700
2015-10-14,80.970001,82.000000,79.050003,79.250000,69.799896,9495500
2015-10-15,79.339996,80.080002,78.809998,79.860001,70.337158,6408600
2015-10-16,80.580002,81.529999,79.959999,81.510002,71.790398,5519800
2015-10-19,81.129997,81.300003,79.470001,80.250000,70.680649,5869900
2015-10-20,80.150002,80.339996,77.629997,77.790001,68.514000,7458000
2015-10-21,78.230003,78.379997,75.919998,77.010002,67.827011,8955200
2015-10-22,77.220001,77.839996,75.160004,76.980003,67.800613,10075500
2015-10-23,77.550003,79.080002,77.269997,78.309998,68.971992,5679200
2015-10-26,78.309998,79.860001,77.769997,79.110001,69.676598,4755200
2015-10-27,79.500000,80.949997,79.500000,80.910004,71.261963,4771600
2015-10-28,81.199997,83.099998,80.389999,83.070000,73.164391,5710300
2015-10-29,82.300003,83.570000,81.290001,82.000000,72.221992,5158600
2015-10-30,82.080002,82.550003,81.570000,81.570000,71.843254,4044300
2015-11-02,81.139999,82.180000,80.809998,82.040001,72.257202,3473900
2015-11-03,82.230003,82.540001,81.129997,81.669998,71.931343,4826100
2015-11-04,82.150002,82.150002,80.930000,81.050003,71.385262,3401900
2015-11-05,81.000000,81.400002,79.660004,80.610001,70.997734,3787200
2015-11-06,80.300003,80.589996,78.440002,80.459999,70.865623,6082600
2015-11-09,80.029999,80.290001,78.580002,79.360001,69.896774,4160200
2015-11-10,78.709999,80.320000,78.709999,80.059998,70.960381,3302600
2015-11-11,80.099998,81.279999,79.970001,80.699997,71.527657,3323400
2015-11-12,80.550003,80.760002,79.800003,79.860001,70.783104,3647800
2015-11-13,79.660004,80.269997,79.180000,79.550003,70.508362,3638600
2015-11-16,80.000000,81.260002,79.980003,81.230003,71.997406,3318900
2015-11-17,80.930000,82.430000,80.629997,81.300003,72.059441,3012100
2015-11-18,81.489998,83.760002,81.389999,83.650002,74.142365,3916600
2015-11-19,83.199997,83.879997,82.730003,83.720001,74.204422,3156100
2015-11-20,84.300003,85.500000,84.110001,84.470001,74.869164,4251500
2015-11-23,84.500000,84.919998,84.120003,84.739998,75.108459,4033100
2015-11-24,83.559998,84.320000,83.050003,83.879997,74.346222,3431100
2015-11-25,83.879997,84.419998,83.550003,83.739998,74.222130,2529400
2015-11-27,83.769997,84.250000,83.599998,83.650002,74.142365,1253800
2015-11-30,83.760002,84.029999,82.040001,82.040001,72.715363,6563300
2015-12-01,84.209999,86.529999,83.339996,86.500000,76.668427,7368900
2015-12-02,86.260002,86.730003,84.419998,84.559998,74.948906,4444800
2015-12-03,84.650002,84.839996,82.559998,83.059998,73.619431,3669800
2015-12-04,83.470001,87.279999,83.430000,86.620003,76.774788,6987600
2015-12-07,87.449997,88.160004,85.889999,86.379997,76.562057,4379000
2015-12-08,85.620003,87.669998,85.570000,86.410004,76.588654,4761000
2015-12-09,86.019997,86.320000,83.570000,83.860001,74.328499,5479500
2015-12-10,84.230003,85.510002,83.360001,84.910004,75.259140,3667200
2015-12-11,83.800003,84.379997,83.120003,83.290001,73.823273,3738200
2015-12-14,83.360001,84.709999,82.970001,84.680000,75.055283,5208700
2015-12-15,85.180000,85.980003,85.019997,85.519997,75.799812,3975500
2015-12-16,86.000000,86.580002,84.050003,86.290001,76.482277,2983600
2015-12-17,86.750000,87.209999,86.199997,86.220001,76.420242,3928200
2015-12-18,85.570000,85.980003,84.769997,84.769997,75.135056,5821300
2015-12-21,85.720001,86.449997,85.150002,86.040001,76.260696,3742400
2015-12-22,86.269997,86.470001,85.269997,85.910004,76.145493,2446100
2015-12-23,86.360001,86.870003,86.129997,86.199997,76.402519,2804200
2015-12-24,85.980003,86.150002,85.470001,85.849998,76.092308,1486900
2015-12-28,85.580002,85.699997,84.889999,85.489998,75.773224,2031100
2015-12-29,85.839996,86.870003,85.599998,86.250000,76.446838,2097700
2015-12-30,86.449997,87.099998,86.139999,86.199997,76.402519,1969400
2015-12-31,85.720001,85.750000,84.080002,84.260002,74.683022,3178500
2016-01-04,83.400002,83.599998,81.790001,82.870003,73.451019,6907300
2016-01-05,82.900002,85.400002,82.870003,84.110001,74.550072,7475300
2016-01-06,82.690002,84.879997,82.500000,83.580002,74.080299,6628400
2016-01-07,81.629997,82.809998,80.830002,81.410004,72.156960,5833200
2016-01-08,81.669998,82.489998,81.040001,81.250000,72.015144,5880200
2016-01-11,81.300003,81.919998,78.830002,80.269997,71.146538,4889300
2016-01-12,80.610001,81.000000,79.519997,80.400002,71.261757,4329300
2016-01-13,80.739998,80.820000,79.089996,79.300003,70.286766,4628400
2016-01-14,79.279999,82.730003,78.620003,82.540001,73.158531,8253700
2016-01-15,80.690002,81.580002,80.080002,81.239998,72.006264,6674300
2016-01-19,82.309998,84.800003,81.959999,83.230003,73.770111,9162300
2016-01-20,81.849998,83.470001,80.410004,82.620003,73.229439,8354400
2016-01-21,82.559998,82.620003,80.589996,81.400002,72.148071,4930800
2016-01-22,82.400002,83.160004,81.910004,82.480003,73.105331,3456300
2016-01-25,82.500000,83.199997,81.620003,81.709999,72.422867,2632800
2016-01-26,81.750000,82.169998,80.910004,81.959999,72.644424,4583400
2016-01-27,81.610001,83.250000,80.959999,81.760002,72.467178,4341900
2016-01-28,81.870003,82.489998,76.540001,76.809998,68.079773,10128700
2016-01-29,77.360001,79.419998,77.230003,79.099998,70.109520,7042500
2016-02-01,78.209999,79.160004,77.279999,78.400002,69.489059,4056000
2016-02-02,77.660004,78.300003,76.089996,76.300003,67.627754,4804200
2016-02-03,76.459999,77.550003,74.180000,76.089996,67.441620,6966400
2016-02-04,75.949997,76.529999,73.440002,74.279999,65.837357,6339500
2016-02-05,74.160004,75.820000,73.550003,74.320000,65.872818,6312800
2016-02-08,73.550003,74.580002,72.830002,74.190002,65.757576,4348800
2016-02-09,73.430000,74.959999,72.720001,73.739998,65.358704,5160000
2016-02-10,73.730003,74.870003,72.980003,73.070000,65.215904,4748700
