Date,Open,High,Low,Close,Adj Close,Volume
2016-03-24,25.190001,25.190001,24.850000,25.100000,20.625420,313600
2016-03-28,25.230000,25.230000,25.010000,25.100000,20.625420,249200
2016-03-29,25.250000,25.250000,25.059999,25.170000,20.682941,394400
2016-03-30,25.150000,25.209999,25.090000,25.200001,20.707596,281500
2016-03-31,25.200001,25.469999,25.190001,25.469999,20.929462,393000
2016-04-01,25.650000,25.750000,25.209999,25.299999,20.789766,124700
2016-04-04,25.250000,25.400000,25.030001,25.120001,20.641855,137900
2016-04-05,25.240000,25.250000,25.110001,25.240000,20.740463,203500
2016-04-06,25.250000,25.400000,25.200001,25.270000,20.765116,225300
2016-04-07,25.379999,25.379999,25.200001,25.270000,20.765116,176800
2016-04-08,25.299999,25.570000,25.230000,25.280001,20.773333,252600
2016-04-11,25.370001,25.379999,25.290001,25.290001,20.781549,102600
2016-04-12,25.340000,25.469999,25.299999,25.309999,20.797983,203400
2016-04-13,25.330000,25.370001,25.260000,25.350000,20.830854,248100
2016-04-14,25.350000,25.469999,25.340000,25.469999,20.929462,106500
2016-04-15,25.490000,25.700001,25.469999,25.600000,21.036285,74700
2016-04-18,25.600000,25.600000,25.400000,25.450001,20.913029,122300
2016-04-19,25.500000,25.660000,25.410000,25.600000,21.036285,97000
2016-04-20,25.740000,25.750000,25.520000,25.610001,21.044504,122700
2016-04-21,25.629999,25.700001,25.559999,25.610001,21.044504,141200
2016-04-22,25.549999,25.700001,25.549999,25.690001,21.110245,49300
2016-04-25,25.700001,25.700001,25.549999,25.680000,21.102026,108000
2016-04-26,25.620001,25.690001,25.570000,25.600000,21.036285,98500
2016-04-27,25.580000,25.799999,25.552999,25.680000,21.102026,104800
2016-04-28,25.690001,25.790001,25.570000,25.750000,21.159546,75700
2016-04-29,25.750000,25.900000,25.750000,25.799999,21.200632,96000
2016-05-02,25.799999,25.900000,25.760000,25.799999,21.200632,63700
2016-05-03,26.000000,26.250000,25.750000,26.020000,21.381414,91800
2016-05-04,25.780001,26.230000,25.780001,26.100000,21.447149,103100
2016-05-05,26.250000,26.250000,25.930000,26.000000,21.364979,93000
2016-05-06,26.010000,26.430000,25.900000,26.280001,21.595064,59100
2016-05-09,26.280001,26.280001,26.030001,26.090000,21.438931,73700
2016-05-10,26.129999,26.180000,26.066999,26.180000,21.512888,78700
2016-05-11,25.850000,26.170000,25.850000,26.049999,21.406065,68200
2016-05-12,26.100000,26.100000,26.000000,26.030001,21.389631,33800
2016-05-13,26.061001,26.090000,25.950001,25.950001,21.323893,52900
2016-05-16,26.000000,26.200001,25.950001,26.090000,21.438931,126200
2016-05-17,26.129999,26.230000,26.063999,26.180000,21.512888,105000
2016-05-18,26.030001,26.209999,26.030001,26.100000,21.447149,144700
2016-05-19,26.230000,26.260000,25.871000,26.059999,21.414282,116400
2016-05-20,26.264999,26.350000,26.030001,26.110001,21.455370,42200
2016-05-23,26.200001,26.299999,26.110001,26.280001,21.595064,91200
2016-05-24,26.150000,26.500000,26.100000,26.340000,21.644369,108200
2016-05-25,26.340000,26.480000,26.209999,26.309999,21.619711,59300
2016-05-26,26.379999,26.489000,26.350000,26.350000,21.652586,51800
2016-05-27,26.350000,26.479000,26.260000,26.450001,21.734758,35700
2016-05-31,26.340000,26.440001,26.200001,26.200001,21.529324,98200
2016-06-01,26.195000,26.350000,26.150000,26.290001,21.603279,40900
2016-06-02,26.150000,26.379999,26.150000,26.370001,21.669022,168900
2016-06-03,26.270000,26.355000,26.160000,26.280001,21.595064,135500
2016-06-06,26.350000,26.350000,26.280001,26.350000,21.652586,43300
2016-06-07,26.350000,26.350000,26.280001,26.330000,21.636147,63800
2016-06-08,26.250000,26.330000,26.170000,26.299999,21.611498,174400
2016-06-09,26.271999,26.469999,26.209999,26.430000,21.718325,50700
2016-06-10,26.070000,26.440001,25.969999,26.100000,21.779236,95000
2016-06-13,26.190001,26.190001,25.980000,26.020000,21.712482,99100
2016-06-14,26.020000,26.170000,25.870001,26.000000,21.695791,147200
2016-06-15,26.100000,26.230000,26.049999,26.110001,21.787582,89500
2016-06-16,26.170000,26.440001,26.100000,26.410000,22.037920,92300
2016-06-17,26.280001,26.410000,26.139999,26.290001,21.937780,60000
2016-06-20,26.299999,26.427000,26.200001,26.280001,21.929438,75800
2016-06-21,26.410000,26.410000,26.299999,26.340000,21.979506,48900
2016-06-22,26.440001,26.440001,26.270000,26.280001,21.929438,70400
2016-06-23,26.350000,26.389999,26.290001,26.330000,21.971163,59600
2016-06-24,26.290001,26.349001,26.124001,26.260000,21.912748,73000
2016-06-27,26.200001,26.350000,26.110001,26.170000,21.837650,91600
2016-06-28,26.500000,26.500000,26.230000,26.440001,22.062950,71500
2016-06-29,26.500000,26.610001,26.360001,26.450001,22.071299,61500
2016-06-30,26.440001,26.650000,26.350000,26.580000,22.179775,84700
2016-07-01,26.420000,26.580000,26.420000,26.459999,22.079638,62900
2016-07-05,26.500000,26.700001,26.490000,26.510000,22.121367,77300
2016-07-06,26.549999,26.879999,26.510000,26.750000,22.321629,89700
2016-07-07,26.750000,26.889999,26.709999,26.820000,22.380043,81500
2016-07-08,26.889999,27.139999,26.770000,26.990000,22.521900,55700
2016-07-11,26.809999,27.000000,26.809999,26.920000,22.463491,28300
2016-07-12,26.920000,27.000000,26.860001,27.000000,22.530247,26900
2016-07-13,27.000000,27.000000,26.730000,26.730000,22.304941,62100
2016-07-14,26.709999,26.889999,26.709999,26.740000,22.313288,18200
2016-07-15,27.000000,27.000000,26.500000,26.559999,22.163086,35200
2016-07-18,26.687000,26.687000,26.540001,26.549999,22.154739,34800
2016-07-19,26.530001,26.629999,26.459999,26.520000,22.129704,35600
2016-07-20,26.600000,26.650000,26.455000,26.549999,22.154739,34200
2016-07-21,26.549999,26.580000,26.450001,26.540001,22.146397,25000
2016-07-22,26.570000,26.590000,26.500000,26.530001,22.138054,16000
2016-07-25,26.580000,26.580000,26.525999,26.549999,22.154739,17000
2016-07-26,26.510000,26.570000,26.490000,26.559999,22.163086,17300
2016-07-27,26.580000,26.700001,26.559999,26.670000,22.254877,42300
2016-07-28,26.750000,26.999001,26.712000,26.850000,22.405077,23000
2016-07-29,26.920000,27.100000,26.910000,27.000000,22.530247,17300
2016-08-01,27.000000,27.100000,26.732000,26.940001,22.480179,51800
2016-08-02,27.041000,27.100000,26.930000,27.000000,22.530247,36500
2016-08-03,27.000000,27.100000,26.740000,26.790001,22.355011,156000
2016-08-04,26.850000,26.850000,26.730000,26.780001,22.346666,53200
2016-08-05,26.780001,26.809999,26.627001,26.690001,22.271566,100800
2016-08-08,26.730000,26.790001,26.680000,26.775000,22.342495,33800
2016-08-09,26.780001,26.879999,26.719999,26.843000,22.399237,45700
2016-08-10,26.870001,26.940001,26.809999,26.850000,22.405077,30800
2016-08-11,26.809999,26.930000,26.750000,26.760000,22.329977,58900
2016-08-12,26.830000,26.830000,26.709999,26.709999,22.288252,42900
2016-08-15,26.830000,26.830000,26.750000,26.770000,22.338320,14000
2016-08-16,26.770000,26.820000,26.680000,26.799999,22.363352,32500
2016-08-17,26.740000,26.830000,26.740000,26.820000,22.380043,31800
2016-08-18,26.830000,26.889999,26.750000,26.889999,22.438454,42300
2016-08-19,26.889999,26.889999,26.709999,26.820000,22.380043,44900
2016-08-22,26.790001,26.870001,26.770000,26.820000,22.380043,27300
2016-08-23,26.830000,26.980000,26.830000,26.870001,22.421768,31900
2016-08-24,26.990000,26.990000,26.870001,26.889999,22.438454,22800
2016-08-25,26.980000,26.990000,26.889999,26.920000,22.463491,26500
2016-08-26,26.990000,26.990000,26.868999,26.930000,22.471834,51100
2016-08-29,26.940001,27.070000,26.940001,27.070000,22.588657,78900
2016-08-30,27.080000,27.180000,27.020000,27.110001,22.622034,184100
2016-08-31,27.100000,27.250000,27.072001,27.160000,22.663755,48900
2016-09-01,27.160000,27.260000,27.160000,27.180000,22.680445,21300
2016-09-02,27.180000,27.330000,27.090000,27.090000,22.605345,13200
2016-09-06,27.347000,27.350000,27.150000,27.180000,22.680445,12300
2016-09-07,27.330000,27.870001,27.190001,27.379999,22.847336,49200
2016-09-08,27.639999,27.688000,27.379999,27.500000,22.947474,22900
2016-09-09,27.360001,27.360001,26.930000,26.930000,22.471834,82300
2016-09-12,26.600000,26.830999,26.350000,26.629999,22.221495,128700
2016-09-13,26.760000,26.790001,26.410000,26.490000,22.104677,63200
2016-09-14,26.610001,26.790001,26.520000,26.629999,22.221495,32200
2016-09-15,26.690001,26.690001,26.370001,26.620001,22.213152,137700
2016-09-16,26.670000,26.670000,26.530001,26.540001,22.146397,20700
2016-09-19,26.719999,26.790001,26.500000,26.660000,22.246527,43000
2016-09-20,26.760000,26.760000,26.559999,26.730000,22.304941,30500
2016-09-21,26.799999,27.040001,26.709999,27.000000,22.530247,30200
2016-09-22,27.270000,27.280001,26.740000,26.780001,22.346666,37800
2016-09-23,27.190001,27.190001,26.670000,26.889999,22.438454,15600
2016-09-26,27.200001,27.200001,26.610001,26.700001,22.279907,26300
2016-09-27,26.790001,26.820000,26.590000,26.590000,22.188118,21700
2016-09-28,26.780001,26.780001,26.549999,26.639999,22.229841,22000
2016-09-29,26.740000,26.740000,26.469999,26.469999,22.087982,19900
2016-09-30,26.620001,26.709999,26.520000,26.620001,22.213152,22300
2016-10-03,26.639999,26.709999,26.620001,26.670000,22.254877,8300
2016-10-04,26.590000,26.700001,26.510000,26.690001,22.271566,26000
2016-10-05,26.690001,26.760000,26.549999,26.570000,22.171429,16200
2016-10-06,26.650000,26.690001,26.510000,26.549999,22.154739,15000
2016-10-07,26.610001,26.639999,26.370001,26.370001,22.004539,12800
2016-10-10,26.530001,26.540001,26.483999,26.510000,22.121367,4700
2016-10-11,26.540001,26.570000,26.370001,26.379999,22.012884,30600
2016-10-12,26.340000,26.559999,26.340000,26.530001,22.138054,21400
2016-10-13,26.559999,26.559999,26.330000,26.480000,22.096327,19900
2016-10-14,26.490000,26.490000,26.379999,26.389999,22.021229,8500
2016-10-17,26.450001,26.540001,26.370001,26.379999,22.012884,14200
2016-10-18,26.510000,26.660000,26.420000,26.420000,22.046263,9200
2016-10-19,26.549999,26.750000,26.520000,26.750000,22.321629,14000
2016-10-20,26.750000,27.170000,26.610001,27.020000,22.546932,28200
2016-10-21,27.100000,27.200001,26.680000,26.809999,22.371698,27000
2016-10-24,27.080000,27.139999,26.879999,26.950001,22.488522,16700
2016-10-25,27.110001,27.200001,26.950001,27.200001,22.697136,28100
2016-10-26,27.100000,27.270000,26.959999,27.059999,22.580311,25400
2016-10-27,27.059999,27.059999,26.540001,26.600000,22.196463,23100
2016-10-28,26.690001,26.690001,26.309999,26.459999,22.079638,19100
2016-10-31,26.469999,26.950001,26.385000,26.700001,22.279907,39000
2016-11-01,26.750000,26.916000,26.010000,26.430000,22.054607,55400
2016-11-02,26.540001,26.540001,26.020000,26.120001,21.795923,20700
2016-11-03,26.190001,26.270000,26.000000,26.120001,21.795923,14800
2016-11-04,26.200001,26.219999,26.021000,26.110001,21.787582,6600
2016-11-07,26.260000,26.490000,26.096001,26.400000,22.029570,11000
2016-11-08,26.459999,26.459999,26.020000,26.020000,21.712482,14800
2016-11-09,26.190001,26.389999,25.250000,25.490000,21.270220,183400
2016-11-10,25.610001,25.639999,24.809999,25.010000,20.869684,188000
2016-11-11,25.010000,25.150000,24.650000,24.870001,20.752863,141500
2016-11-14,24.860001,25.101999,23.510000,23.750000,19.818275,217500
2016-11-15,24.000000,24.920000,24.000000,24.910000,20.786240,106600
2016-11-16,24.910000,25.280001,24.900000,25.240000,21.061607,86400
2016-11-17,25.290001,25.330000,25.150000,25.219999,21.044914,53500
2016-11-18,25.190001,25.230000,24.870001,25.129999,20.969816,59000
2016-11-21,25.280001,25.400000,25.150000,25.150000,20.986506,49800
2016-11-22,25.299999,25.299999,25.100000,25.230000,21.053265,66000
2016-11-23,25.330000,25.389999,25.200001,25.309999,21.120018,17400
2016-11-25,25.400000,25.500000,25.320000,25.450001,21.236843,7700
2016-11-28,25.500000,25.709999,25.440001,25.580000,21.345320,38700
2016-11-29,25.719999,25.879999,25.540001,25.860001,21.578968,14200
2016-11-30,25.700001,25.700001,25.410000,25.490000,21.270220,13800
2016-12-01,25.639999,25.639999,25.200001,25.360001,21.161741,29900
2016-12-02,25.360001,25.472000,25.240000,25.270000,21.086641,18700
2016-12-05,25.260000,25.400000,25.200001,25.209999,21.036575,25500
2016-12-06,25.209999,25.209999,24.860001,24.969999,20.836304,75700
2016-12-07,25.200001,25.240000,25.030001,25.120001,20.961473,52300
2016-12-08,25.299999,25.350000,25.125999,25.240999,21.062441,35300
2016-12-09,25.350000,25.350000,25.040001,25.150000,20.986506,12800
2016-12-12,24.950001,25.190001,24.500000,24.530001,20.469147,70400
2016-12-13,24.820000,24.820000,24.299999,24.370001,20.335632,61100
2016-12-14,24.500000,24.730000,24.370001,24.620001,20.544245,43400
2016-12-15,24.540001,24.549999,24.299999,24.549999,20.485834,60000
2016-12-16,24.530001,24.549999,24.389999,24.500000,20.444113,39900
2016-12-19,24.540001,24.980000,24.518000,24.950001,20.819616,30500
2016-12-20,25.000000,25.000000,24.660000,24.770000,20.669416,20100
2016-12-21,24.889999,25.000000,24.770000,25.000000,20.861340,30400
2016-12-22,25.000000,25.000000,24.771999,24.990000,20.852991,18800
2016-12-23,25.090000,25.100000,25.018999,25.100000,20.944782,13900
2016-12-27,25.150000,25.150000,24.820000,24.959999,20.827957,21900
2016-12-28,24.969999,25.129999,24.959999,25.049999,20.903065,21100
2016-12-29,24.959999,25.163000,24.959999,25.160000,20.994850,9500
2016-12-30,25.200001,25.327999,25.048000,25.110001,20.953127,10600
2017-01-03,25.330000,25.330000,25.100000,25.280001,21.094988,20400
2017-01-04,25.280001,25.400000,25.280001,25.400000,21.195116,20400
2017-01-05,25.420000,25.420000,25.260000,25.360001,21.161741,25800
2017-01-06,25.360001,25.440001,25.202000,25.240000,21.061607,36000
2017-01-09,25.299999,25.299999,25.150000,25.209999,21.036575,39200
2017-01-10,25.350000,25.520000,25.290001,25.520000,21.295254,28000
2017-01-11,25.549999,25.549999,25.389999,25.540001,21.311941,23400
2017-01-12,25.549999,25.650000,25.549999,25.650000,21.403730,87400
2017-01-13,25.850000,25.850000,25.549999,25.549999,21.320288,14100
2017-01-17,25.570000,25.719999,25.500000,25.660000,21.412077,29700
2017-01-18,25.760000,25.760000,25.570000,25.700001,21.445457,28600
2017-01-19,25.750000,25.750000,25.414000,25.700001,21.445457,31600
2017-01-20,25.430000,25.740000,25.430000,25.620001,21.378700,22000
2017-01-23,25.740000,25.954000,25.691999,25.879999,21.595657,37800
2017-01-24,25.760000,26.139999,25.760000,25.840000,21.562283,14600
2017-01-25,25.799999,25.799999,25.420000,25.575001,21.341150,59100
2017-01-26,25.650000,25.740000,25.485001,25.730000,21.470488,16200
2017-01-27,25.740000,25.740000,25.530001,25.620001,21.378700,15800
2017-01-30,25.580000,25.760000,25.535000,25.600000,21.362011,38800
2017-01-31,25.770000,25.898001,25.617001,25.650000,21.403730,24000
2017-02-01,25.760000,25.760000,25.570000,25.719999,21.462145,15200
2017-02-02,25.760000,25.900000,25.722000,25.850000,21.570623,26800
2017-02-03,25.900000,26.070000,25.799999,25.920000,21.629034,46500
2017-02-06,26.030001,26.219999,25.937000,26.188999,21.853504,16400
2017-02-07,26.240000,26.400000,26.033001,26.219999,21.879370,16400
2017-02-08,26.379999,26.490000,26.323999,26.490000,22.104677,19000
2017-02-09,26.450001,26.450001,26.049999,26.080000,21.762547,9300
2017-02-10,26.139999,26.365000,25.930000,26.059999,21.745857,33600
2017-02-13,26.190001,26.190001,25.900000,26.018000,21.710812,7200
2017-02-14,25.950001,26.000000,25.840000,25.879999,21.595657,21600
2017-02-15,25.860001,26.090000,25.799999,26.020000,21.712482,35500
2017-02-16,26.080000,26.180000,26.000000,26.170000,21.837650,19100
2017-02-17,26.250000,26.250000,26.016001,26.139999,21.812614,14900
2017-02-21,26.049999,26.152000,25.910000,26.000000,21.695791,39500
2017-02-22,26.120001,26.120001,25.809999,25.820000,21.545588,29100
2017-02-23,25.889999,26.059999,25.879999,26.020000,21.712482,22400
2017-02-24,26.059999,26.219999,26.059999,26.200001,21.862684,29100
2017-02-27,26.250000,26.402000,26.150000,26.200001,21.862684,22100
2017-02-28,26.379999,26.389999,26.010000,26.110001,21.787582,25100
2017-03-01,26.080000,26.080000,25.850000,25.920000,21.629034,15900
2017-03-02,26.100000,26.143999,25.830000,25.860001,21.578968,15000
2017-03-03,25.860001,26.049999,25.860001,26.049999,21.737511,12800
2017-03-06,26.129999,26.500000,26.073000,26.400000,22.029570,30100
2017-03-07,26.469999,26.469999,26.120001,26.299999,21.946125,22300
2017-03-08,25.959999,26.070000,25.930000,25.930000,21.637381,41600
