Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,204.000000,213.800003,200.399994,207.399994,207.399994,103200
2015-09-23,208.000000,210.000000,190.600006,193.600006,193.600006,100700
2015-09-24,191.000000,197.000000,184.800003,193.399994,193.399994,149800
2015-09-25,196.199997,197.800003,192.399994,195.199997,195.199997,111200
2015-09-28,192.399994,195.000000,179.199997,180.800003,180.800003,118900
2015-09-29,182.199997,187.600006,178.800003,181.399994,181.399994,107000
2015-09-30,186.000000,189.000000,177.800003,188.600006,188.600006,131300
2015-10-01,192.000000,202.000000,189.399994,197.600006,197.600006,136000
2015-10-02,191.800003,224.000000,191.600006,221.199997,221.199997,160100
2015-10-05,224.199997,238.399994,222.399994,235.399994,235.399994,208600
2015-10-06,237.800003,279.799988,236.800003,269.799988,269.799988,339900
2015-10-07,274.399994,278.000000,241.199997,264.200012,264.200012,232200
2015-10-08,264.799988,279.399994,257.399994,279.200012,279.200012,198300
2015-10-09,279.000000,283.799988,263.600006,268.000000,268.000000,150800
2015-10-12,267.399994,269.000000,250.800003,261.799988,261.799988,90500
2015-10-13,251.399994,265.000000,251.399994,254.399994,254.399994,79100
2015-10-14,254.399994,261.600006,243.600006,254.800003,254.800003,122400
2015-10-15,247.399994,265.799988,246.000000,259.600006,259.600006,95500
2015-10-16,258.799988,264.799988,246.600006,259.200012,259.200012,109800
2015-10-19,259.000000,259.399994,242.800003,253.000000,253.000000,64200
2015-10-20,253.199997,261.000000,248.199997,251.199997,251.199997,74900
2015-10-21,250.600006,250.800003,232.399994,233.800003,233.800003,116400
2015-10-22,235.800003,240.399994,224.399994,231.000000,231.000000,93700
2015-10-23,230.199997,238.399994,222.399994,233.600006,233.600006,74000
2015-10-26,232.199997,239.600006,225.600006,235.399994,235.399994,138900
2015-10-27,230.199997,230.199997,220.000000,224.000000,224.000000,106100
2015-10-28,225.600006,240.000000,224.000000,232.800003,232.800003,104500
2015-10-29,232.399994,242.399994,225.600006,230.199997,230.199997,96800
2015-10-30,231.399994,236.000000,219.800003,229.600006,229.600006,127200
2015-11-02,228.600006,254.399994,227.399994,246.600006,246.600006,150900
2015-11-03,250.600006,269.000000,250.399994,260.799988,260.799988,122800
2015-11-04,262.200012,268.000000,246.199997,254.199997,254.199997,160600
2015-11-05,234.000000,262.200012,220.000000,246.399994,246.399994,168300
2015-11-06,241.399994,247.199997,229.600006,241.000000,241.000000,144800
2015-11-09,242.600006,255.399994,237.800003,251.600006,251.600006,127600
2015-11-10,249.800003,255.199997,242.600006,254.800003,254.800003,128900
2015-11-11,254.199997,254.800003,236.199997,238.800003,238.800003,93000
2015-11-12,242.199997,243.800003,225.800003,227.000000,227.000000,120600
2015-11-13,226.800003,236.199997,223.000000,231.199997,231.199997,78700
2015-11-16,232.800003,252.399994,230.399994,251.399994,251.399994,116400
2015-11-17,247.800003,254.000000,240.399994,243.000000,243.000000,82500
2015-11-18,246.399994,252.399994,235.000000,244.800003,244.800003,131300
2015-11-19,241.000000,243.000000,228.600006,234.000000,234.000000,231500
2015-11-20,232.600006,236.199997,220.399994,222.399994,222.399994,98500
2015-11-23,220.399994,225.000000,217.199997,220.800003,220.800003,97100
2015-11-24,223.000000,239.199997,223.000000,234.800003,234.800003,165000
2015-11-25,232.000000,236.399994,223.600006,231.199997,231.199997,60800
2015-11-27,227.399994,231.399994,219.800003,221.800003,221.800003,37800
2015-11-30,224.399994,229.600006,216.800003,217.800003,217.800003,129800
2015-12-01,219.399994,222.399994,215.000000,217.000000,217.000000,139300
2015-12-02,212.000000,215.600006,206.800003,208.000000,208.000000,158700
2015-12-03,211.800003,214.199997,202.800003,205.399994,205.399994,109900
2015-12-04,201.000000,202.199997,187.800003,188.399994,188.399994,169600
2015-12-07,186.000000,187.600006,167.000000,175.199997,175.199997,179100
2015-12-08,169.600006,186.600006,167.800003,185.600006,185.600006,150300
2015-12-09,185.399994,196.399994,180.000000,188.000000,188.000000,204100
2015-12-10,186.600006,191.399994,184.800003,187.399994,187.399994,110400
2015-12-11,183.399994,187.399994,171.800003,176.399994,176.399994,162600
2015-12-14,175.600006,183.600006,168.000000,182.800003,182.800003,228600
2015-12-15,185.199997,190.800003,177.199997,179.000000,179.000000,229200
2015-12-16,180.000000,181.399994,163.399994,166.800003,166.800003,184400
2015-12-17,166.800003,170.399994,148.000000,157.600006,157.600006,241900
2015-12-18,157.600006,164.600006,154.600006,155.800003,155.800003,222500
2015-12-21,154.399994,155.000000,140.199997,141.000000,141.000000,166200
2015-12-22,141.600006,150.199997,141.600006,146.800003,146.800003,189700
2015-12-23,150.399994,174.000000,150.199997,174.000000,174.000000,250500
2015-12-24,175.199997,179.199997,169.000000,175.800003,175.800003,101900
2015-12-28,170.600006,170.600006,154.800003,165.600006,165.600006,140000
2015-12-29,169.800003,172.199997,162.600006,167.000000,167.000000,96400
2015-12-30,162.199997,170.399994,155.600006,157.000000,157.000000,154000
2015-12-31,156.800003,163.000000,154.399994,159.800003,159.800003,127300
2016-01-04,162.800003,172.199997,160.399994,170.399994,170.399994,182800
2016-01-05,168.000000,175.000000,164.399994,170.399994,170.399994,179600
2016-01-06,162.000000,164.600006,143.800003,144.600006,144.600006,160500
2016-01-07,140.000000,147.800003,130.800003,135.199997,135.199997,235100
2016-01-08,141.000000,145.000000,132.199997,140.000000,140.000000,163400
2016-01-11,142.600006,146.399994,130.600006,131.199997,131.199997,161900
2016-01-12,137.000000,138.800003,116.400002,127.000000,127.000000,163400
2016-01-13,129.199997,135.000000,123.000000,130.600006,130.600006,145600
2016-01-14,130.800003,147.199997,127.400002,141.000000,141.000000,190300
2016-01-15,133.199997,146.600006,126.599998,141.399994,141.399994,164300
