Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,8.020000,8.100000,8.010000,8.090000,5.194426,125000
2015-09-23,8.080000,8.110000,8.060000,8.060000,5.175165,74100
2015-09-24,8.040000,8.100000,7.980000,8.050000,5.168745,260500
2015-09-25,8.070000,8.130000,8.040000,8.050000,5.168745,92100
2015-09-28,8.050000,8.050000,7.910000,7.910000,5.078852,93600
2015-09-29,7.890000,7.920000,7.770000,7.820000,5.021067,151100
2015-09-30,7.850000,7.890000,7.740000,7.750000,4.976121,247500
2015-10-01,7.700000,7.800000,7.680000,7.750000,4.976121,331400
2015-10-02,7.710000,7.750000,7.640000,7.740000,4.969700,137700
2015-10-05,7.760000,7.840000,7.720000,7.770000,4.988963,380700
2015-10-06,7.760000,7.860000,7.760000,7.860000,5.046749,144700
2015-10-07,7.860000,7.950000,7.820000,7.950000,5.104537,88100
2015-10-08,7.890000,8.030000,7.880000,8.030000,5.155903,145900
2015-10-09,8.030000,8.350000,8.030000,8.180000,5.252214,153200
2015-10-12,8.130000,8.250000,8.100000,8.140000,5.226532,101100
2015-10-13,8.040000,8.110000,8.020000,8.040000,5.202590,150300
2015-10-14,8.040000,8.060000,8.020000,8.030000,5.196116,113700
2015-10-15,8.020000,8.070000,7.970000,8.030000,5.196116,176400
2015-10-16,8.030000,8.120000,8.030000,8.090000,5.234943,103200
2015-10-19,8.100000,8.190000,8.070000,8.130000,5.260827,123800
2015-10-20,8.140000,8.160000,8.130000,8.140000,5.267297,68800
2015-10-21,8.140000,8.180000,8.130000,8.130000,5.260827,90400
2015-10-22,8.110000,8.210000,8.110000,8.180000,5.293180,117200
2015-10-23,8.200000,8.210000,8.160000,8.200000,5.306123,147400
2015-10-26,8.210000,8.210000,8.160000,8.160000,5.280241,91200
2015-10-27,8.180000,8.260000,8.160000,8.230000,5.325536,346100
2015-10-28,8.240000,8.270000,8.200000,8.220000,5.319065,201400
2015-10-29,8.220000,8.250000,8.210000,8.210000,5.312593,146900
2015-10-30,8.240000,8.300000,8.200000,8.260000,5.344950,345300
2015-11-02,8.270000,8.270000,8.250000,8.270000,5.351419,206600
2015-11-03,8.250000,8.260000,8.210000,8.250000,5.338478,267700
2015-11-04,8.220000,8.300000,8.220000,8.280000,5.357890,152700
2015-11-05,8.280000,8.300000,8.270000,8.290000,5.364361,309100
2015-11-06,8.280000,8.290000,8.200000,8.250000,5.338478,94600
2015-11-09,8.250000,8.250000,8.140000,8.160000,5.280241,96100
2015-11-10,8.160000,8.180000,8.120000,8.140000,5.267297,69900
2015-11-11,8.160000,8.170000,8.130000,8.130000,5.260827,51600
2015-11-12,8.140000,8.140000,8.090000,8.090000,5.234943,64700
2015-11-13,8.070000,8.120000,8.040000,8.120000,5.254356,113600
2015-11-16,8.080000,8.120000,8.080000,8.100000,5.241415,71500
2015-11-17,8.050000,8.050000,8.000000,8.020000,5.229678,42400
2015-11-18,8.010000,8.050000,7.990000,8.010000,5.223156,197800
2015-11-19,7.990000,8.040000,7.990000,8.030000,5.236198,88300
2015-11-20,8.010000,8.060000,8.010000,8.050000,5.249238,120200
2015-11-23,8.030000,8.050000,8.000000,8.020000,5.229678,72400
2015-11-24,8.010000,8.020000,7.990000,7.990000,5.210116,54200
2015-11-25,7.980000,8.030000,7.980000,8.010000,5.223156,159100
2015-11-27,8.020000,8.030000,7.990000,8.000000,5.216635,157100
2015-11-30,8.030000,8.050000,7.920000,7.920000,5.164468,205200
2015-12-01,7.940000,8.080000,7.930000,8.020000,5.229678,166500
2015-12-02,8.040000,8.050000,7.980000,7.980000,5.203593,68400
2015-12-03,7.990000,8.010000,7.880000,7.920000,5.164468,234500
2015-12-04,7.900000,7.950000,7.900000,7.930000,5.170990,41900
2015-12-07,7.900000,7.930000,7.840000,7.860000,5.125344,70200
2015-12-08,7.860000,7.900000,7.840000,7.860000,5.125344,94200
2015-12-09,7.900000,7.910000,7.850000,7.870000,5.131864,46900
2015-12-10,7.880000,7.880000,7.800000,7.820000,5.099261,86100
2015-12-11,7.810000,7.810000,7.590000,7.640000,4.981885,248300
2015-12-14,7.600000,7.630000,7.470000,7.520000,4.903636,249500
2015-12-15,7.440000,7.640000,7.440000,7.580000,4.983853,146300
2015-12-16,7.590000,7.730000,7.590000,7.710000,5.069327,233300
2015-12-17,7.680000,7.790000,7.680000,7.750000,5.095627,244700
2015-12-18,7.760000,7.800000,7.760000,7.780000,5.115352,133200
2015-12-21,7.790000,7.810000,7.690000,7.750000,5.095627,273300
2015-12-22,7.750000,7.770000,7.680000,7.730000,5.082478,479900
2015-12-23,7.730000,7.840000,7.730000,7.770000,5.108778,377900
2015-12-24,7.800000,7.800000,7.690000,7.720000,5.075903,413200
2015-12-28,7.620000,7.710000,7.620000,7.650000,5.029877,403900
2015-12-29,7.650000,7.730000,7.650000,7.680000,5.049602,325700
2015-12-30,7.650000,7.710000,7.630000,7.630000,5.016726,512200
2015-12-31,7.630000,7.670000,7.610000,7.620000,5.010153,876000
2016-01-04,7.590000,7.680000,7.530000,7.580000,4.983853,963800
2016-01-05,7.600000,7.700000,7.600000,7.690000,5.056178,1082100
2016-01-06,7.670000,7.820000,7.660000,7.730000,5.082478,956300
2016-01-07,7.730000,7.810000,7.730000,7.800000,5.128501,537200
2016-01-08,7.800000,7.850000,7.760000,7.830000,5.148227,648400
2016-01-11,7.830000,7.830000,7.790000,7.810000,5.135077,191200
2016-01-12,7.810000,7.810000,7.760000,7.800000,5.128501,118200
2016-01-13,7.780000,7.800000,7.720000,7.730000,5.082478,132500
2016-01-14,7.680000,7.750000,7.620000,7.690000,5.056178,172300
2016-01-15,7.590000,7.630000,7.540000,7.560000,4.970703,189300
2016-01-19,7.550000,7.550000,7.460000,7.480000,4.957447,132700
2016-01-20,7.480000,7.480000,7.270000,7.380000,4.891170,231600
2016-01-21,7.370000,7.470000,7.340000,7.450000,4.937563,150300
2016-01-22,7.480000,7.570000,7.480000,7.540000,4.997212,141600
2016-01-25,7.550000,7.560000,7.510000,7.530000,4.990584,192200
2016-01-26,7.540000,7.620000,7.540000,7.620000,5.050233,222300
2016-01-27,7.580000,7.680000,7.580000,7.650000,5.070117,189200
2016-01-28,7.650000,7.730000,7.630000,7.700000,5.103254,135000
2016-01-29,7.720000,7.820000,7.700000,7.810000,5.176157,115200
2016-02-01,7.790000,7.810000,7.750000,7.780000,5.156273,110600
2016-02-02,7.750000,7.750000,7.660000,7.680000,5.089999,96100
2016-02-03,7.680000,7.720000,7.650000,7.690000,5.096627,117900
2016-02-04,7.670000,7.700000,7.620000,7.660000,5.076744,71100
2016-02-05,7.640000,7.680000,7.610000,7.620000,5.050233,54900
2016-02-08,7.580000,7.650000,7.510000,7.590000,5.030350,150600
2016-02-09,7.530000,7.580000,7.520000,7.550000,5.003841,83500
2016-02-10,7.560000,7.600000,7.520000,7.520000,4.983957,60100
2016-02-11,7.500000,7.500000,7.380000,7.440000,4.930938,100400
2016-02-12,7.480000,7.500000,7.420000,7.500000,4.970703,72100
2016-02-16,7.450000,7.490000,7.440000,7.440000,4.970035,66600
2016-02-17,7.480000,7.520000,7.480000,7.520000,5.023476,103600
2016-02-18,7.550000,7.570000,7.520000,7.570000,5.056876,188500
2016-02-19,7.510000,7.570000,7.510000,7.560000,5.050196,101000
2016-02-22,7.560000,7.630000,7.560000,7.610000,5.083596,132200
2016-02-23,7.600000,7.680000,7.600000,7.680000,5.130359,152700
