Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,25.907408,25.944445,25.101852,25.407408,21.058443,619400
2015-09-23,25.462963,25.861111,25.277779,25.324074,20.989374,585100
2015-09-24,25.064816,25.537037,24.777779,25.481482,21.119835,664800
2015-09-25,25.759260,26.111111,25.574074,25.750000,21.342394,613000
2015-09-28,25.638889,25.750000,24.157408,24.462963,20.275656,759500
2015-09-29,24.555555,24.712963,23.916666,24.111111,19.984034,905600
2015-09-30,24.416666,24.453703,23.962963,24.240740,20.091471,745300
2015-10-01,24.287037,24.592592,24.074074,24.435184,20.252636,985000
2015-10-02,24.101852,24.305555,23.824074,24.287037,20.129845,865800
2015-10-05,24.546297,25.379629,24.296297,25.324074,20.989374,667900
2015-10-06,25.296297,25.509260,24.953703,25.120371,20.820538,793500
2015-10-07,25.240740,26.018518,25.194445,26.000000,21.549601,848700
2015-10-08,25.981482,26.175926,25.777779,26.046297,21.587971,821000
2015-10-09,26.120371,26.129629,25.546297,25.666666,21.273323,637000
2015-10-12,25.694445,25.731482,25.277779,25.638889,21.250301,567800
2015-10-13,25.907408,26.750000,25.407408,26.009260,21.557274,1319700
2015-10-14,26.000000,26.092592,24.944445,25.203703,20.889603,834300
2015-10-15,25.324074,25.574074,24.972221,25.490740,21.127512,662700
2015-10-16,25.537037,25.870371,25.185184,25.842592,21.419138,581200
2015-10-19,25.750000,26.296297,25.675926,26.018518,21.564947,735400
2015-10-20,26.009260,26.703703,25.888889,26.620371,22.063786,499200
2015-10-21,26.722221,26.787037,26.212963,26.250000,21.756807,647400
2015-10-22,26.157408,26.157408,25.481482,25.796297,21.380766,655100
2015-10-23,25.879629,26.129629,25.277779,25.703703,21.304020,751500
2015-10-26,25.703703,26.046297,25.222221,25.564816,21.188908,1070800
2015-10-27,24.879629,24.925926,23.833334,24.138889,20.007059,1745400
2015-10-28,24.000000,24.379629,23.750000,24.305555,20.145199,1358100
2015-10-29,24.046297,24.101852,23.398148,23.935184,19.838219,1101800
2015-10-30,23.861111,24.314816,23.620371,24.064816,19.945660,718900
2015-11-02,23.842592,24.157408,23.768518,24.092592,20.178308,609400
2015-11-03,24.000000,24.305555,23.694445,24.064816,20.155043,394700
2015-11-04,24.092592,24.453703,23.870371,23.925926,20.038723,714900
2015-11-05,23.953703,23.953703,23.287037,23.777779,19.914640,1217100
2015-11-06,23.648148,23.703703,23.222221,23.620371,19.782808,988600
2015-11-09,23.666666,23.666666,22.787037,23.203703,19.433840,1044300
2015-11-10,23.259260,24.074074,23.259260,23.907408,20.023207,791100
2015-11-11,23.935184,24.462963,23.879629,24.194445,20.263615,728700
2015-11-12,23.925926,23.925926,23.370371,23.398148,19.596685,477200
2015-11-13,23.398148,23.712963,23.148148,23.157408,19.395063,687700
2015-11-16,23.101852,23.805555,23.083334,23.777779,19.914640,467600
2015-11-17,23.888889,24.175926,23.740740,23.833334,19.961170,716700
2015-11-18,23.768518,24.259260,23.740740,24.231482,20.294636,565100
2015-11-19,24.212963,24.555555,24.203703,24.398148,20.434221,518000
2015-11-20,24.527779,24.675926,24.388889,24.509260,20.527283,527200
2015-11-23,24.509260,24.703703,24.268518,24.287037,20.341160,926600
2015-11-24,24.185184,24.648148,24.175926,24.620371,20.620340,477400
2015-11-25,24.620371,24.861111,24.564816,24.796297,20.767683,430900
2015-11-27,24.768518,24.898148,24.648148,24.750000,20.728912,249000
2015-11-30,24.740740,24.814816,24.250000,24.287037,20.341160,758500
2015-12-01,24.444445,24.972221,24.351852,24.888889,20.845234,564600
2015-12-02,24.879629,24.972221,23.972221,24.222221,20.286875,694400
2015-12-03,24.314816,24.398148,23.703703,23.888889,20.007700,849700
2015-12-04,24.018518,24.425926,23.731482,24.296297,20.348917,539400
2015-12-07,24.203703,24.222221,23.777779,24.027779,20.124025,601700
2015-12-08,23.592592,23.814816,23.324074,23.546297,19.720768,1144900
2015-12-09,23.379629,23.564816,22.685184,22.990740,19.255468,1005900
2015-12-10,23.000000,23.462963,22.888889,23.296297,19.511389,885900
2015-12-11,23.055555,23.166666,22.870371,23.083334,19.333021,859600
2015-12-14,23.055555,23.120371,22.546297,22.777779,19.077110,1005000
2015-12-15,22.925926,23.370371,22.731482,23.314816,19.526896,1164000
2015-12-16,23.370371,23.888889,23.314816,23.787037,19.922400,1058700
2015-12-17,23.861111,23.879629,22.888889,23.037037,19.294247,886200
2015-12-18,22.953703,23.138889,22.555555,23.120371,19.364040,4583000
2015-12-21,23.268518,23.638889,23.129629,23.416666,19.612198,823700
2015-12-22,23.453703,23.814816,23.129629,23.777779,19.914640,842000
2015-12-23,23.842592,23.944445,23.592592,23.870371,19.992189,539800
