Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,69.519997,70.250000,69.309998,70.139999,62.880859,7009300
2015-09-23,69.769997,70.120003,69.129997,69.290001,62.457226,4513300
2015-09-24,68.580002,68.879997,67.860001,68.379997,61.636940,6840700
2015-09-25,69.199997,69.269997,66.080002,66.529999,59.969376,8229200
2015-09-28,66.080002,66.300003,63.980000,64.519997,58.157581,9965800
2015-09-29,65.019997,68.010002,64.949997,66.370003,59.825150,11377700
2015-09-30,67.489998,67.610001,66.239998,66.940002,60.338955,7986700
2015-10-01,66.860001,68.480003,66.349998,68.400002,61.654968,10973200
2015-10-02,67.629997,71.290001,67.230003,71.129997,64.115753,12348400
2015-10-05,71.620003,71.660004,70.440002,70.870003,63.881413,7794100
2015-10-06,70.620003,70.839996,68.849998,69.919998,63.025082,8340500
2015-10-07,70.110001,71.300003,69.739998,70.940002,63.944515,5794200
2015-10-08,70.339996,72.180000,70.120003,72.050003,64.945053,6663200
2015-10-09,72.089996,73.750000,71.760002,72.599998,65.440796,9449500
2015-10-12,72.480003,73.430000,72.389999,73.010002,65.810394,5557900
2015-10-13,73.160004,73.779999,72.639999,72.790001,65.612068,5762000
2015-10-14,72.680000,73.300003,72.050003,72.199997,65.080254,4607900
2015-10-15,72.449997,73.449997,71.720001,73.430000,66.188988,5966000
2015-10-16,73.769997,74.400002,73.400002,74.110001,66.801903,5154200
2015-10-19,74.220001,74.500000,73.500000,74.239998,66.919083,5190700
2015-10-20,73.959999,74.029999,73.370003,73.639999,66.378242,3805600
2015-10-21,74.000000,74.129997,72.529999,73.419998,66.179932,4324900
2015-10-22,73.720001,73.839996,72.650002,73.070000,65.864456,5648200
2015-10-23,73.400002,74.150002,73.019997,73.690002,66.423325,5619100
2015-10-26,73.599998,73.959999,72.629997,72.760002,65.585030,6459200
2015-10-27,73.070000,73.459999,72.269997,72.680000,65.512924,4762300
2015-10-28,72.860001,73.580002,72.260002,73.540001,66.288124,4037800
2015-10-29,73.480003,74.120003,73.260002,73.760002,66.486427,3833000
2015-10-30,73.809998,74.349998,73.550003,73.919998,66.630661,5315800
2015-11-02,74.040001,75.839996,73.889999,75.750000,68.280182,6131600
2015-11-03,75.660004,76.660004,75.290001,76.300003,68.775955,5021300
2015-11-04,76.500000,76.660004,75.910004,76.160004,68.649757,4221000
