Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,3.780000,3.780000,3.760000,3.770000,3.069481,249000
2015-09-23,3.760000,3.790000,3.760000,3.780000,3.077623,209500
2015-09-24,3.780000,3.780000,3.700000,3.730000,3.036914,1686000
2015-09-25,3.910000,3.940000,3.850000,3.880000,3.159041,485200
2015-09-28,3.840000,3.840000,3.740000,3.780000,3.126671,349400
2015-09-29,3.680000,3.700000,3.660000,3.700000,3.060498,408200
2015-09-30,3.710000,3.730000,3.690000,3.710000,3.068770,2863500
2015-10-01,3.770000,3.810000,3.750000,3.800000,3.143215,475500
2015-10-02,3.740000,3.830000,3.720000,3.830000,3.168030,297100
2015-10-05,3.850000,3.910000,3.850000,3.890000,3.217659,282100
2015-10-06,3.890000,3.920000,3.890000,3.910000,3.234203,332900
2015-10-07,3.940000,3.990000,3.930000,3.950000,3.267289,887000
2015-10-08,3.930000,3.980000,3.920000,3.970000,3.283832,436500
2015-10-09,3.940000,3.970000,3.910000,3.930000,3.250746,273900
2015-10-12,3.940000,3.970000,3.920000,3.960000,3.275560,230600
2015-10-13,3.900000,3.920000,3.870000,3.880000,3.209388,242400
2015-10-14,3.860000,3.870000,3.810000,3.810000,3.151486,287000
2015-10-15,3.890000,3.930000,3.880000,3.930000,3.250746,199900
2015-10-16,3.960000,4.000000,3.950000,3.970000,3.283832,940500
2015-10-19,3.920000,3.970000,3.910000,3.930000,3.250746,711200
2015-10-20,3.980000,4.000000,3.980000,3.980000,3.292104,279600
2015-10-21,4.050000,4.070000,4.030000,4.040000,3.341733,536700
2015-10-22,4.050000,4.130000,4.050000,4.100000,3.391362,322700
2015-10-23,4.130000,4.140000,4.100000,4.120000,3.407906,276600
2015-10-26,4.110000,4.120000,4.090000,4.110000,3.399634,135700
2015-10-27,4.080000,4.090000,4.060000,4.070000,3.366548,169400
2015-10-28,4.110000,4.140000,4.090000,4.120000,3.407906,163900
2015-10-29,4.070000,4.080000,4.050000,4.070000,3.366548,197800
2015-10-30,4.100000,4.110000,4.070000,4.090000,3.383091,223400
2015-11-02,4.050000,4.100000,4.040000,4.100000,3.391362,189700
2015-11-03,4.080000,4.090000,4.070000,4.090000,3.383091,78100
2015-11-04,4.060000,4.060000,4.030000,4.030000,3.333462,243200
2015-11-05,4.090000,4.100000,4.060000,4.070000,3.366548,214700
2015-11-06,4.070000,4.080000,4.050000,4.080000,3.374820,106800
2015-11-09,4.110000,4.140000,4.080000,4.090000,3.383091,271600
2015-11-10,4.150000,4.170000,4.130000,4.150000,3.432721,247100
2015-11-11,4.190000,4.220000,4.180000,4.190000,3.465808,17237300
2015-11-12,4.160000,4.180000,4.130000,4.140000,3.424449,6183200
2015-11-13,4.200000,4.210000,4.150000,4.190000,3.465808,244000
2015-11-16,4.200000,4.220000,4.190000,4.220000,3.490622,413800
2015-11-17,4.220000,4.230000,4.190000,4.200000,3.474079,430700
2015-11-18,4.230000,4.240000,4.220000,4.220000,3.490622,455200
2015-11-19,4.240000,4.250000,4.220000,4.220000,3.490622,383800
2015-11-20,4.260000,4.270000,4.250000,4.250000,3.515437,681900
2015-11-23,4.260000,4.260000,4.220000,4.220000,3.490622,384200
