Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,5.300000,5.310000,5.290000,5.300000,3.213888,7600
2015-09-23,5.290000,5.310000,5.290000,5.310000,3.219953,13100
2015-09-24,5.260000,5.290000,5.260000,5.280000,3.201760,6800
2015-09-25,5.300000,5.300000,5.260000,5.270000,3.195696,12400
2015-09-28,5.250000,5.260000,5.090000,5.130000,3.110802,38600
2015-09-29,5.200000,5.200000,5.150000,5.170000,3.135058,10500
2015-09-30,5.240000,5.250000,5.090000,5.230000,3.171441,35700
2015-10-01,5.190000,5.210000,5.160000,5.200000,3.153250,21100
2015-10-02,5.190000,5.210000,5.150000,5.210000,3.159314,12700
2015-10-05,5.180000,5.230000,5.120000,5.220000,3.165376,21300
2015-10-06,5.250000,5.250000,5.180000,5.240000,3.177506,24800
2015-10-07,5.240000,5.290000,5.240000,5.280000,3.201760,22400
2015-10-08,5.230000,5.350000,5.230000,5.350000,3.244209,36700
2015-10-09,5.330000,5.400000,5.330000,5.400000,3.274527,30200
2015-10-12,5.360000,5.430000,5.360000,5.390000,3.268464,4900
2015-10-13,5.350000,5.370000,5.320000,5.320000,3.256223,6200
2015-10-14,5.290000,5.350000,5.290000,5.330000,3.262344,13100
2015-10-15,5.310000,5.380000,5.310000,5.340000,3.268464,44900
2015-10-16,5.330000,5.370000,5.330000,5.370000,3.286826,6300
2015-10-19,5.380000,5.430000,5.380000,5.420000,3.317430,14100
2015-10-20,5.400000,5.450000,5.400000,5.450000,3.335792,11400
2015-10-21,5.430000,5.460000,5.430000,5.450000,3.335792,7600
2015-10-22,5.410000,5.490000,5.410000,5.490000,3.360274,16800
2015-10-23,5.500000,5.510000,5.500000,5.510000,3.372517,8800
2015-10-26,5.550000,5.560000,5.530000,5.530000,3.384758,7000
2015-10-27,5.500000,5.530000,5.470000,5.510000,3.372517,13900
2015-10-28,5.480000,5.510000,5.480000,5.490000,3.360274,2300
2015-10-29,5.480000,5.500000,5.400000,5.490000,3.360274,34400
2015-10-30,5.500000,5.530000,5.480000,5.530000,3.384758,20100
2015-11-02,5.530000,5.560000,5.510000,5.560000,3.403120,39800
2015-11-03,5.540000,5.560000,5.530000,5.560000,3.403120,24300
2015-11-04,5.540000,5.550000,5.530000,5.550000,3.396999,24900
2015-11-05,5.520000,5.560000,5.520000,5.560000,3.403120,12700
2015-11-06,5.500000,5.560000,5.500000,5.560000,3.403120,16300
2015-11-09,5.510000,5.580000,5.480000,5.480000,3.354155,35300
2015-11-10,5.430000,5.470000,5.430000,5.460000,3.341913,109800
2015-11-11,5.460000,5.490000,5.460000,5.480000,3.354155,14000
2015-11-12,5.380000,5.440000,5.340000,5.440000,3.329671,33300
2015-11-13,5.450000,5.450000,5.350000,5.390000,3.299068,7400
2015-11-16,5.390000,5.420000,5.370000,5.420000,3.317430,13100
2015-11-17,5.340000,5.360000,5.310000,5.320000,3.286542,14500
2015-11-18,5.310000,5.370000,5.310000,5.330000,3.292718,9800
2015-11-19,5.340000,5.360000,5.270000,5.330000,3.292718,10000
2015-11-20,5.330000,5.340000,5.300000,5.330000,3.292718,10900
2015-11-23,5.330000,5.330000,5.300000,5.300000,3.274185,7500
2015-11-24,5.320000,5.330000,5.280000,5.300000,3.274185,24700
2015-11-25,5.290000,5.310000,5.240000,5.300000,3.274185,24400
2015-11-27,5.280000,5.310000,5.270000,5.290000,3.268009,20200
2015-11-30,5.320000,5.320000,5.270000,5.300000,3.274185,10700
2015-12-01,5.290000,5.340000,5.290000,5.330000,3.292718,43800
2015-12-02,5.330000,5.380000,5.310000,5.340000,3.298896,32100
2015-12-03,5.370000,5.370000,5.270000,5.330000,3.292718,38000
2015-12-04,5.300000,5.320000,5.280000,5.320000,3.286542,7900
2015-12-07,5.320000,5.340000,5.210000,5.270000,3.255653,36000
2015-12-08,5.280000,5.280000,5.230000,5.230000,3.230942,23500
2015-12-09,5.270000,5.270000,5.210000,5.210000,3.218586,16100
2015-12-10,5.200000,5.200000,5.140000,5.200000,3.212408,26000
2015-12-11,5.200000,5.200000,5.060000,5.080000,3.138275,50300
2015-12-14,5.110000,5.110000,5.000000,5.020000,3.101210,20700
2015-12-15,4.970000,5.050000,4.970000,5.040000,3.144890,37700
2015-12-16,4.920000,5.130000,4.920000,5.130000,3.201047,48400
2015-12-17,5.130000,5.170000,5.130000,5.170000,3.226007,27400
2015-12-18,5.170000,5.180000,5.140000,5.180000,3.232246,27200
2015-12-21,5.130000,5.180000,5.130000,5.170000,3.226007,11900
2015-12-22,5.160000,5.220000,5.150000,5.220000,3.257206,14800
2015-12-23,5.220000,5.270000,5.220000,5.260000,3.282167,10900
2015-12-24,5.240000,5.320000,5.240000,5.300000,3.307126,28200
2015-12-28,5.230000,5.310000,5.230000,5.280000,3.294646,12300
2015-12-29,5.270000,5.310000,5.250000,5.270000,3.288406,7600
2015-12-30,5.310000,5.320000,5.270000,5.300000,3.307126,3300
2015-12-31,5.340000,5.340000,5.270000,5.310000,3.313366,10100
2016-01-04,5.340000,5.340000,5.220000,5.310000,3.313366,35000
2016-01-05,5.280000,5.350000,5.280000,5.290000,3.300886,12900
2016-01-06,5.270000,5.310000,5.270000,5.280000,3.294646,3200
2016-01-07,5.260000,5.260000,5.220000,5.220000,3.257206,16800
2016-01-08,5.320000,5.320000,5.220000,5.240000,3.269686,3100
2016-01-11,5.240000,5.240000,5.180000,5.180000,3.232246,7000
2016-01-12,5.170000,5.190000,5.110000,5.110000,3.188567,23300
2016-01-13,5.110000,5.110000,5.070000,5.070000,3.163609,1600
2016-01-14,5.050000,5.080000,5.000000,5.030000,3.138649,43400
2016-01-15,5.010000,5.010000,4.870000,4.890000,3.051291,88100
2016-01-19,4.930000,4.930000,4.800000,4.810000,3.031126,43700
2016-01-20,4.800000,4.800000,4.640000,4.740000,2.987014,34900
2016-01-21,4.640000,4.810000,4.640000,4.780000,3.012220,12100
2016-01-22,4.850000,4.850000,4.810000,4.830000,3.043729,5000
2016-01-25,4.850000,4.850000,4.780000,4.830000,3.043729,22600
2016-01-26,4.850000,4.920000,4.830000,4.910000,3.094144,8500
2016-01-27,4.900000,4.920000,4.870000,4.900000,3.087842,23500
2016-01-28,4.910000,4.960000,4.910000,4.960000,3.125651,10400
2016-01-29,5.020000,5.060000,4.950000,5.020000,3.163462,10400
2016-02-01,4.970000,5.080000,4.960000,5.040000,3.176065,22000
2016-02-02,5.000000,5.040000,4.990000,5.020000,3.163462,6300
2016-02-03,5.090000,5.090000,5.000000,5.030000,3.169763,7400
2016-02-04,5.000000,5.050000,5.000000,5.010000,3.157160,19100
