Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,6.730000,6.810000,6.730000,6.760000,5.783554,8500
2015-09-23,6.900000,6.900000,6.780000,6.810000,5.826333,9700
2015-09-24,6.630000,6.730000,6.620000,6.720000,5.749333,11800
2015-09-25,6.760000,6.760000,6.600000,6.610000,5.655222,17100
2015-09-28,6.670000,6.700000,6.500000,6.620000,5.663778,10100
2015-09-29,6.720000,6.880000,6.680000,6.810000,5.826333,8800
2015-09-30,6.790000,6.960000,6.790000,6.940000,5.937555,12800
2015-10-01,7.010000,7.010000,6.760000,6.910000,5.911888,11400
2015-10-02,6.860000,7.000000,6.860000,7.000000,5.988888,5200
2015-10-05,6.960000,7.030000,6.820000,6.990000,5.980333,24600
2015-10-06,6.860000,7.010000,6.860000,7.000000,5.988888,9400
2015-10-07,7.000000,7.070000,6.960000,7.050000,6.031666,16800
2015-10-08,7.050000,7.070000,7.030000,7.070000,6.048778,15000
2015-10-09,7.070000,7.070000,7.000000,7.060000,6.040222,3900
2015-10-12,7.050000,7.070000,6.960000,7.040000,6.023111,5400
2015-10-13,7.050000,7.070000,7.000000,7.040000,6.023111,11800
2015-10-14,7.010000,7.030000,6.920000,6.950000,5.946110,3200
2015-10-15,7.060000,7.070000,6.900000,7.060000,6.040222,14500
2015-10-16,7.070000,7.070000,7.040000,7.060000,6.040222,15500
2015-10-19,6.900000,7.070000,6.900000,7.060000,6.040222,4500
2015-10-20,7.060000,7.070000,7.010000,7.070000,6.048778,3000
2015-10-21,7.070000,7.070000,6.960000,6.970000,5.963221,3500
2015-10-22,6.990000,7.070000,6.920000,7.070000,6.048778,7000
2015-10-23,7.070000,7.070000,7.020000,7.070000,6.048778,11300
2015-10-26,7.060000,7.070000,6.990000,7.050000,6.031666,4400
2015-10-27,7.070000,7.070000,7.020000,7.040000,6.023111,11600
2015-10-28,7.060000,7.070000,7.010000,7.070000,6.048778,34600
2015-10-29,7.070000,7.070000,7.030000,7.040000,6.023111,9600
2015-10-30,7.070000,7.070000,7.020000,7.070000,6.048778,8400
2015-11-02,6.840000,7.100000,6.840000,7.100000,6.074443,10600
2015-11-03,7.060000,7.200000,7.060000,7.120000,6.091555,8500
2015-11-04,7.200000,7.200000,7.160000,7.190000,6.151443,7800
2015-11-05,7.150000,7.240000,7.150000,7.210000,6.168555,5700
2015-11-06,7.080000,7.240000,7.060000,7.240000,6.263722,5700
2015-11-09,7.250000,7.250000,7.120000,7.220000,6.246419,4000
2015-11-10,7.220000,7.250000,7.170000,7.250000,6.272373,7600
2015-11-11,7.250000,7.250000,7.140000,7.140000,6.177207,4600
2015-11-12,7.190000,7.190000,7.010000,7.010000,6.064736,7800
2015-11-13,6.950000,6.950000,6.780000,6.780000,5.865751,7100
2015-11-16,6.800000,6.850000,6.800000,6.810000,5.891706,6800
2015-11-17,6.860000,6.870000,6.830000,6.850000,5.926311,4900
2015-11-18,6.880000,6.900000,6.740000,6.890000,5.960917,14800
2015-11-19,6.830000,6.850000,6.720000,6.770000,5.857099,19800
2015-11-20,6.800000,6.880000,6.790000,6.800000,5.883054,9800
2015-11-23,6.860000,6.860000,6.720000,6.720000,5.813841,8700
2015-11-24,6.720000,6.900000,6.720000,6.810000,5.891706,5200
2015-11-25,6.790000,7.140000,6.750000,7.060000,6.107994,11700
2015-11-27,7.050000,7.090000,7.020000,7.090000,6.133949,3200
2015-11-30,7.110000,7.150000,6.970000,7.020000,6.073390,10200
2015-12-01,6.980000,7.030000,6.960000,6.980000,6.038781,3200
2015-12-02,7.050000,7.070000,6.950000,7.000000,6.056084,6100
2015-12-03,6.950000,6.980000,6.910000,6.910000,5.978221,4900
2015-12-04,6.910000,7.040000,6.910000,7.040000,6.090691,4700
2015-12-07,7.010000,7.050000,6.920000,6.920000,5.986872,7400
2015-12-08,6.770000,6.990000,6.770000,6.910000,5.978221,5200
2015-12-09,6.950000,7.030000,6.910000,6.930000,5.995524,4300
2015-12-10,6.950000,6.950000,6.700000,6.740000,5.831144,11200
2015-12-11,6.600000,6.690000,6.030000,6.180000,5.346658,17200
2015-12-14,6.300000,6.360000,6.150000,6.160000,5.329354,14700
