Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,6.030000,6.060000,5.970000,6.030000,5.079604,1308400
2015-09-23,6.040000,6.060000,6.000000,6.030000,5.079604,775200
2015-09-24,5.960000,5.990000,5.890000,5.970000,5.029059,1503100
2015-09-25,6.270000,6.310000,6.190000,6.220000,5.239657,1359700
2015-09-28,6.140000,6.150000,6.030000,6.040000,5.148485,952700
2015-09-29,5.950000,6.000000,5.910000,5.970000,5.088817,1406900
2015-09-30,6.020000,6.090000,5.980000,6.090000,5.191105,1732000
2015-10-01,6.160000,6.180000,6.090000,6.180000,5.267820,1115900
2015-10-02,6.120000,6.270000,6.080000,6.270000,5.344537,1450500
2015-10-05,6.310000,6.370000,6.310000,6.350000,5.412728,1223000
2015-10-06,6.360000,6.390000,6.320000,6.370000,5.429776,802400
2015-10-07,6.460000,6.510000,6.410000,6.450000,5.497967,1260500
2015-10-08,6.430000,6.500000,6.390000,6.500000,5.540587,1143000
2015-10-09,6.470000,6.480000,6.420000,6.450000,5.497967,736900
2015-10-12,6.470000,6.490000,6.440000,6.470000,5.515017,401300
2015-10-13,6.320000,6.360000,6.300000,6.320000,5.387156,2028800
2015-10-14,6.190000,6.210000,6.120000,6.130000,5.225201,1032200
2015-10-15,6.240000,6.310000,6.210000,6.310000,5.378633,1157200
2015-10-16,6.340000,6.370000,6.300000,6.360000,5.421253,1126400
2015-10-19,6.240000,6.290000,6.240000,6.280000,5.353061,813600
2015-10-20,6.330000,6.370000,6.320000,6.330000,5.395680,636200
2015-10-21,6.430000,6.440000,6.360000,6.370000,5.429776,942600
2015-10-22,6.470000,6.530000,6.460000,6.490000,5.532064,974200
2015-10-23,6.530000,6.600000,6.530000,6.600000,5.625829,650100
2015-10-26,6.560000,6.580000,6.530000,6.540000,5.574683,739500
2015-10-27,6.490000,6.510000,6.460000,6.490000,5.532064,669300
2015-10-28,6.510000,6.590000,6.510000,6.580000,5.608780,639500
2015-10-29,6.480000,6.490000,6.440000,6.460000,5.506492,582500
2015-10-30,6.540000,6.540000,6.440000,6.470000,5.515017,731500
2015-11-02,6.390000,6.490000,6.380000,6.480000,5.523540,779600
2015-11-03,6.440000,6.490000,6.440000,6.470000,5.515017,962000
2015-11-04,6.470000,6.500000,6.440000,6.460000,5.506492,797800
