Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,17.500000,17.799999,17.440001,17.549999,13.450708,49700
2015-09-23,17.520000,17.610001,17.350000,17.360001,13.305086,34200
2015-09-24,17.070000,17.350000,17.030001,17.330000,13.282096,34100
2015-09-25,17.450001,17.450001,17.230000,17.309999,13.266768,36100
2015-09-28,17.250000,17.250000,16.900000,16.980000,13.013847,28400
2015-09-29,17.030001,17.110001,16.680000,17.040001,13.059834,54400
2015-09-30,17.170000,17.480000,16.650000,17.420000,13.351076,34300
2015-10-01,17.480000,17.500000,17.400000,17.420000,13.351076,24000
2015-10-02,17.100000,17.559999,16.969999,17.549999,13.450708,43300
2015-10-05,17.600000,17.990000,17.600000,17.990000,13.787935,45500
2015-10-06,17.990000,18.070000,17.900000,18.020000,13.810927,28400
2015-10-07,18.129999,18.370001,18.129999,18.230000,13.971875,57900
2015-10-08,17.980000,18.260000,17.900000,18.200001,14.213984,12300
2015-10-09,18.280001,18.590000,18.240000,18.510000,14.456090,46400
2015-10-12,18.510000,18.520000,18.250000,18.480000,14.432658,27600
2015-10-13,18.320000,18.430000,18.150000,18.170000,14.190554,22200
2015-10-14,18.209999,18.219999,18.120001,18.180000,14.198362,23700
2015-10-15,18.219999,18.350000,18.180000,18.320000,14.307703,29000
2015-10-16,18.389999,18.500000,18.360001,18.459999,14.417040,24900
2015-10-19,18.350000,18.469999,18.309999,18.450001,14.409230,39900
2015-10-20,18.410000,18.430000,18.290001,18.379999,14.354565,12500
2015-10-21,18.320000,18.360001,18.230000,18.290001,14.284272,33900
2015-10-22,18.440001,18.799999,18.320000,18.740000,14.635715,91700
2015-10-23,18.690001,18.980000,18.559999,18.559999,14.495136,43500
2015-10-26,18.670000,18.730000,18.370001,18.430000,14.393610,40400
2015-10-27,18.350000,18.600000,18.299999,18.410000,14.377991,29700
2015-10-28,18.400000,18.540001,18.320000,18.340000,14.323323,31700
2015-10-29,18.299999,18.360001,18.180000,18.250000,14.253034,39400
2015-10-30,18.370001,18.370001,18.219999,18.330000,14.315510,16400
2015-11-02,18.430000,18.530001,18.360001,18.530001,14.471710,28500
2015-11-03,18.420000,18.850000,18.420000,18.830000,14.706005,29300
2015-11-04,18.969999,18.969999,18.709999,18.780001,14.666959,30400
2015-11-05,18.660000,18.700001,18.480000,18.570000,14.502948,62700
2015-11-06,18.219999,18.350000,18.010000,18.350000,14.331133,54300
2015-11-09,18.240000,18.240000,17.889999,17.950001,14.018738,34900
2015-11-10,17.920000,18.270000,17.879999,18.180000,14.198362,40300
2015-11-11,18.200001,18.200001,18.080000,18.139999,14.167123,20100
2015-11-12,18.120001,18.129999,17.980000,18.080000,14.120264,26200
2015-11-13,18.049999,18.049999,17.889999,17.940001,14.010927,25800
2015-11-16,17.879999,18.010000,17.879999,18.010000,14.065594,22300
2015-11-17,17.980000,18.100000,17.980000,18.100000,14.135885,21400
2015-11-18,18.180000,18.200001,18.100000,18.190001,14.206174,23400
2015-11-19,18.250000,18.469999,18.250000,18.450001,14.409230,52400
2015-11-20,18.490000,18.680000,18.490000,18.639999,14.557619,35400
2015-11-23,18.600000,18.670000,18.559999,18.580000,14.510758,31200
2015-11-24,18.549999,18.580000,18.440001,18.530001,14.471710,21300
2015-11-25,18.440001,18.440001,18.299999,18.330000,14.315510,19500
2015-11-27,18.280001,18.500000,18.180000,18.230000,14.237411,17600
2015-11-30,18.190001,18.270000,18.049999,18.090000,14.128075,40900
2015-12-01,18.129999,18.250000,18.010000,18.240000,14.245223,30000
2015-12-02,18.330000,18.330000,17.930000,17.969999,14.034355,31200
2015-12-03,17.930000,17.930000,17.650000,17.680000,13.807868,58500
2015-12-04,17.660000,17.820000,17.620001,17.650000,13.784438,46600
2015-12-07,17.510000,17.520000,17.309999,17.340000,13.542334,32400
2015-12-08,17.160000,17.160000,17.040001,17.049999,13.315846,21700
2015-12-09,17.049999,17.209999,16.940001,17.000000,13.276798,34300
2015-12-10,16.940001,16.950001,16.500000,16.680000,13.026882,62300
