Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,14.620000,14.650000,14.530000,14.570000,11.090595,37400
2015-09-23,14.580000,14.600000,14.530000,14.550000,11.075372,12800
2015-09-24,14.600000,14.600000,14.540000,14.570000,11.090595,17500
2015-09-25,14.590000,14.590000,14.500000,14.540000,11.067759,15400
2015-09-28,14.570000,14.590000,14.500000,14.510000,11.044925,10200
2015-09-29,14.530000,14.610000,14.520000,14.560000,11.082980,22500
2015-09-30,14.610000,14.660000,14.540000,14.650000,11.151491,23600
2015-10-01,14.660000,14.690000,14.590000,14.600000,11.113433,28700
2015-10-02,14.630000,14.730000,14.630000,14.710000,11.197165,21000
2015-10-05,14.740000,14.740000,14.640000,14.700000,11.189552,14200
2015-10-06,14.680000,14.770000,14.670000,14.740000,11.219999,17100
2015-10-07,14.740000,14.810000,14.700000,14.780000,11.250448,22700
2015-10-08,14.830000,14.920000,14.790000,14.920000,11.357013,11900
2015-10-09,14.870000,15.030000,14.870000,15.000000,11.417911,24600
2015-10-12,15.000000,15.150000,15.000000,15.050000,11.455970,14900
2015-10-13,14.970000,15.050000,14.920000,14.920000,11.413894,14400
2015-10-14,15.100000,15.170000,14.960000,14.970000,11.452141,21600
2015-10-15,14.960000,15.030000,14.930000,14.940000,11.429192,20900
2015-10-16,14.920000,14.950000,14.920000,14.940000,11.429192,10300
2015-10-19,14.950000,15.030000,14.920000,14.940000,11.429192,17100
2015-10-20,14.920000,15.050000,14.920000,15.010000,11.482746,9300
2015-10-21,15.050000,15.210000,15.050000,15.120000,11.566897,14400
2015-10-22,15.120000,15.190000,15.050000,15.180000,11.612792,7700
2015-10-23,15.200000,15.200000,15.150000,15.170000,11.605146,3700
2015-10-26,15.190000,15.200000,15.140000,15.150000,11.589841,20800
2015-10-27,15.210000,15.210000,15.110000,15.110000,11.559245,7700
2015-10-28,15.110000,15.250000,15.110000,15.170000,11.605146,18900
2015-10-29,15.100000,15.300000,15.100000,15.280000,11.689294,11000
2015-10-30,15.240000,15.290000,15.190000,15.260000,11.673993,17000
2015-11-02,15.330000,15.330000,15.280000,15.300000,11.704594,13000
2015-11-03,15.300000,15.320000,15.230000,15.300000,11.704594,26200
2015-11-04,15.300000,15.440000,15.290000,15.410000,11.788748,33100
2015-11-05,15.370000,15.410000,15.330000,15.390000,11.773446,10900
2015-11-06,15.230000,15.340000,15.020000,15.070000,11.528643,26100
2015-11-09,14.990000,15.010000,14.920000,14.920000,11.413894,14000
2015-11-10,14.920000,15.160000,14.920000,15.130000,11.574546,23900
2015-11-11,15.180000,15.180000,15.100000,15.120000,11.566897,10400
