Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,5.550000,5.570000,5.450000,5.530000,2.973889,380100
2015-09-23,5.530000,5.540000,5.440000,5.460000,2.936245,326800
2015-09-24,5.480000,5.610000,5.440000,5.560000,2.990023,979400
2015-09-25,5.590000,5.650000,5.540000,5.610000,3.016911,824300
2015-09-28,5.610000,5.630000,5.310000,5.350000,2.877090,615300
2015-09-29,5.330000,5.420000,5.160000,5.220000,2.807180,949000
2015-09-30,5.290000,5.330000,5.230000,5.280000,2.839446,617300
2015-10-01,5.280000,5.280000,5.110000,5.120000,2.753402,1766600
2015-10-02,5.070000,5.180000,5.040000,5.140000,2.764158,815100
2015-10-05,5.210000,5.220000,5.170000,5.190000,2.791047,587800
2015-10-06,5.190000,5.290000,5.190000,5.290000,2.844824,346900
2015-10-07,5.320000,5.400000,5.310000,5.360000,2.882468,513000
2015-10-08,5.290000,5.420000,5.290000,5.390000,2.930310,520700
2015-10-09,5.410000,5.460000,5.390000,5.450000,2.962928,322200
2015-10-12,5.450000,5.470000,5.420000,5.420000,2.946620,160300
2015-10-13,5.400000,5.480000,5.390000,5.450000,2.962928,350900
2015-10-14,5.450000,5.490000,5.430000,5.440000,2.957492,345800
2015-10-15,5.450000,5.510000,5.440000,5.470000,2.973803,457500
2015-10-16,5.480000,5.500000,5.450000,5.490000,2.984675,261600
2015-10-19,5.490000,5.590000,5.490000,5.560000,3.022731,626100
2015-10-20,5.540000,5.600000,5.540000,5.580000,3.033603,315200
2015-10-21,5.600000,5.640000,5.600000,5.610000,3.049914,251600
2015-10-22,5.620000,5.700000,5.620000,5.680000,3.087970,301100
2015-10-23,5.730000,5.740000,5.680000,5.690000,3.093407,287800
2015-10-26,5.700000,5.700000,5.650000,5.660000,3.077097,240200
2015-10-27,5.610000,5.640000,5.590000,5.600000,3.044477,213700
2015-10-28,5.580000,5.640000,5.580000,5.600000,3.044477,300500
2015-10-29,5.560000,5.610000,5.560000,5.570000,3.028168,292700
2015-10-30,5.590000,5.640000,5.570000,5.640000,3.066222,213600
2015-11-02,5.660000,5.740000,5.610000,5.720000,3.109716,329700
2015-11-03,5.720000,5.800000,5.710000,5.770000,3.136900,228500
2015-11-04,5.770000,5.800000,5.730000,5.730000,3.115154,309300
2015-11-05,5.720000,5.750000,5.680000,5.690000,3.093407,232100
2015-11-06,5.660000,5.680000,5.560000,5.590000,3.039041,395100
2015-11-09,5.490000,5.530000,5.360000,5.410000,2.972020,400100
2015-11-10,5.370000,5.410000,5.350000,5.360000,2.944552,369300
2015-11-11,5.360000,5.390000,5.240000,5.250000,2.884123,329200
2015-11-12,5.230000,5.250000,5.090000,5.150000,2.829187,542300
2015-11-13,5.130000,5.150000,5.100000,5.120000,2.812706,487200
2015-11-16,5.090000,5.180000,5.090000,5.160000,2.834681,312900
2015-11-17,5.160000,5.180000,5.090000,5.110000,2.807212,319400
2015-11-18,5.120000,5.140000,5.080000,5.120000,2.812706,336200
2015-11-19,5.130000,5.140000,5.100000,5.110000,2.807212,196000
2015-11-20,5.110000,5.140000,5.100000,5.130000,2.818200,223000
2015-11-23,5.140000,5.140000,5.100000,5.120000,2.812706,243700
2015-11-24,5.120000,5.140000,5.090000,5.090000,2.796225,212400
2015-11-25,5.100000,5.170000,5.090000,5.160000,2.834681,305400
2015-11-27,5.190000,5.190000,5.080000,5.160000,2.834681,264100
2015-11-30,5.140000,5.200000,5.130000,5.130000,2.818200,339300
2015-12-01,5.140000,5.220000,5.130000,5.200000,2.856654,365000
2015-12-02,5.200000,5.250000,5.190000,5.190000,2.851161,454600
2015-12-03,5.200000,5.220000,5.130000,5.160000,2.834681,339800
2015-12-04,5.160000,5.250000,5.160000,5.240000,2.878629,320500
2015-12-07,5.230000,5.230000,5.150000,5.170000,2.840174,271800
2015-12-08,5.130000,5.170000,5.030000,5.090000,2.796225,297200
2015-12-09,5.030000,5.070000,4.970000,4.990000,2.772886,548400
2015-12-10,4.980000,5.020000,4.930000,4.980000,2.767330,672100
2015-12-11,4.950000,4.960000,4.850000,4.870000,2.706203,533100
2015-12-14,4.860000,4.870000,4.740000,4.760000,2.645079,1541500
2015-12-15,4.760000,4.840000,4.740000,4.750000,2.639521,878100
2015-12-16,4.750000,4.840000,4.750000,4.840000,2.689534,1121700
2015-12-17,4.850000,4.870000,4.810000,4.820000,2.678420,619200
2015-12-18,4.820000,4.860000,4.800000,4.820000,2.678420,343700
2015-12-21,4.850000,4.860000,4.790000,4.800000,2.667306,844500
2015-12-22,4.810000,4.830000,4.760000,4.810000,2.672862,565300
2015-12-23,4.830000,4.910000,4.820000,4.900000,2.722876,392500
2015-12-24,4.920000,4.920000,4.860000,4.900000,2.722876,331500
2015-12-28,4.890000,4.890000,4.810000,4.840000,2.689534,976000
2015-12-29,4.840000,4.860000,4.820000,4.840000,2.689534,2153200
2015-12-30,4.840000,4.850000,4.770000,4.770000,2.650635,19477700
2015-12-31,4.810000,5.220000,4.770000,5.050000,2.806228,22447700
2016-01-04,4.980000,5.080000,4.930000,5.030000,2.795115,1857300
2016-01-05,5.050000,5.140000,5.050000,5.110000,2.839569,1158600
2016-01-06,5.040000,5.080000,4.990000,5.070000,2.817342,793300
2016-01-07,5.010000,5.040000,4.940000,4.940000,2.745102,417600
2016-01-08,4.990000,5.000000,4.790000,4.810000,2.672862,661000
2016-01-11,4.810000,4.840000,4.750000,4.790000,2.661749,591200
2016-01-12,4.730000,4.770000,4.660000,4.680000,2.632498,505000
2016-01-13,4.680000,4.700000,4.520000,4.520000,2.542498,539800
2016-01-14,4.540000,4.560000,4.480000,4.520000,2.542498,482000
2016-01-15,4.410000,4.440000,4.320000,4.350000,2.446874,480500
2016-01-19,4.350000,4.380000,4.210000,4.260000,2.396250,534300
2016-01-20,4.200000,4.210000,3.980000,4.090000,2.300624,892600
2016-01-21,4.090000,4.170000,4.060000,4.130000,2.323123,294100
2016-01-22,4.200000,4.340000,4.200000,4.250000,2.390624,707600
2016-01-25,4.240000,4.320000,4.200000,4.210000,2.368123,360300
2016-01-26,4.220000,4.330000,4.220000,4.290000,2.413123,262000
2016-01-27,4.310000,4.360000,4.260000,4.280000,2.407499,331500
2016-01-28,4.360000,4.430000,4.310000,4.410000,2.480624,1414500
2016-01-29,4.410000,4.490000,4.410000,4.470000,2.514373,419400
2016-02-01,4.440000,4.510000,4.400000,4.480000,2.519999,413700
2016-02-02,4.470000,4.480000,4.390000,4.420000,2.486250,307900
2016-02-03,4.470000,4.470000,4.360000,4.420000,2.486250,286100
2016-02-04,4.400000,4.430000,4.360000,4.410000,2.480624,248100
2016-02-05,4.400000,4.400000,4.330000,4.380000,2.463750,224300
2016-02-08,4.340000,4.350000,4.160000,4.240000,2.384999,263900
2016-02-09,4.170000,4.200000,4.110000,4.180000,2.351249,262200
2016-02-10,4.120000,4.160000,4.100000,4.140000,2.361516,201100
2016-02-11,4.070000,4.090000,3.940000,4.030000,2.298771,470700
2016-02-12,4.100000,4.100000,4.010000,4.080000,2.327292,119600
2016-02-16,4.130000,4.130000,4.060000,4.100000,2.338699,388200
2016-02-17,4.150000,4.160000,4.090000,4.160000,2.372925,316400
2016-02-18,4.190000,4.190000,4.130000,4.190000,2.390037,125600
2016-02-19,4.190000,4.190000,4.120000,4.180000,2.384333,158600
2016-02-22,4.200000,4.230000,4.180000,4.190000,2.390037,213900
2016-02-23,4.180000,4.210000,4.130000,4.160000,2.372925,195800
2016-02-24,4.150000,4.200000,4.120000,4.200000,2.395741,135300
2016-02-25,4.250000,4.320000,4.210000,4.320000,2.464190,583200
2016-02-26,4.350000,4.390000,4.330000,4.390000,2.504121,446900
2016-02-29,4.410000,4.490000,4.400000,4.460000,2.544049,504200
