Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,51.230000,51.630001,50.889999,51.080002,42.650192,136600
2015-09-23,51.290001,51.380001,50.880001,51.230000,42.775429,124200
2015-09-24,51.220001,52.290001,51.209999,52.259998,43.635456,294800
2015-09-25,52.410000,53.509998,51.130001,53.000000,44.253338,290400
2015-09-28,52.950001,53.660000,52.830002,53.250000,44.462074,360500
2015-09-29,53.180000,53.720001,52.830002,53.139999,44.370235,257200
2015-09-30,52.400002,53.990002,52.150002,53.830002,44.946358,959100
2015-10-01,53.310001,54.000000,53.180000,53.730000,44.862865,776400
2015-10-02,53.709999,54.240002,53.380001,54.200001,45.255299,265400
2015-10-05,54.560001,54.869999,53.889999,54.660000,45.639378,357300
2015-10-06,54.549999,54.630001,53.820000,54.049999,45.130047,307100
2015-10-07,53.970001,54.439999,53.680000,53.919998,45.021500,452000
2015-10-08,53.830002,55.110001,53.639999,55.090000,45.998417,385000
2015-10-09,55.139999,55.139999,54.480000,54.750000,45.714523,208800
2015-10-12,54.779999,55.720001,54.270000,55.349998,46.215500,301000
2015-10-13,55.180000,55.619999,54.820000,55.020000,45.939964,336800
2015-10-14,55.040001,55.660000,54.930000,55.009998,45.931610,234400
2015-10-15,55.029999,56.000000,55.029999,55.980000,46.741535,169600
2015-10-16,55.990002,56.400002,55.959999,56.200001,46.925228,278500
2015-10-19,56.099998,56.410000,55.840000,56.360001,47.058826,212700
2015-10-20,56.150002,57.070000,56.150002,56.860001,47.476315,382300
2015-10-21,56.080002,56.910000,56.040001,56.270000,46.983681,569600
2015-10-22,55.549999,56.310001,54.180000,55.990002,46.749893,375100
2015-10-23,55.720001,56.259998,55.349998,55.720001,46.524445,495500
2015-10-26,55.750000,56.020000,55.279999,55.889999,46.666386,358300
2015-10-27,55.750000,55.939999,54.910000,55.630001,46.449303,217400
2015-10-28,55.599998,56.099998,54.189999,54.970001,45.898216,419700
2015-10-29,54.669998,54.959999,53.639999,54.110001,45.180141,226800
2015-10-30,54.119999,54.490002,53.959999,54.189999,45.246944,277900
2015-11-02,54.160000,54.240002,53.380001,53.930000,45.029858,340900
2015-11-03,53.849998,54.689999,53.470001,54.500000,45.505791,383400
2015-11-04,54.419998,55.500000,54.419998,54.840000,45.789677,465600
2015-11-05,54.770000,55.220001,54.520000,54.549999,45.547531,201000
2015-11-06,54.060001,54.060001,52.000000,52.400002,43.752350,314300
2015-11-09,52.180000,53.189999,51.270000,52.939999,44.203232,244300
2015-11-10,52.990002,53.959999,52.959999,53.830002,44.946358,302800
2015-11-11,54.040001,54.720001,54.040001,54.419998,45.438988,218300
2015-11-12,54.299999,54.669998,53.000000,53.029999,44.278378,201100
2015-11-13,53.020000,53.830002,52.520000,52.650002,43.961098,212200
2015-11-16,52.779999,53.709999,52.740002,53.630001,44.779354,169400
2015-11-17,53.500000,54.200001,52.639999,52.730000,44.027882,190900
2015-11-18,52.720001,53.060001,52.000000,52.939999,44.203232,232300
2015-11-19,53.040001,53.669998,53.040001,53.500000,44.670818,135600
2015-11-20,53.860001,54.330002,53.500000,53.990002,45.079945,163700
2015-11-23,54.029999,54.259998,53.930000,54.070000,45.146755,164300
2015-11-24,53.849998,54.290001,53.560001,54.119999,45.188496,156800
2015-11-25,54.330002,54.369999,53.709999,54.130001,45.196846,229200
2015-11-27,54.130001,54.590000,54.130001,54.349998,45.380531,46700
2015-11-30,54.389999,54.830002,54.240002,54.529999,45.530830,257600
2015-12-01,54.650002,55.290001,54.240002,54.770000,45.731228,296000
2015-12-02,54.650002,54.779999,53.900002,54.099998,45.171795,201200
2015-12-03,54.090000,54.419998,53.330002,53.410000,44.595680,204200
2015-12-04,53.480000,54.660000,53.480000,54.599998,45.589283,270700
2015-12-07,54.500000,55.200001,54.500000,55.049999,45.965019,458600
2015-12-08,54.930000,55.070000,54.330002,54.509998,45.514141,191500
2015-12-09,54.220001,55.070000,54.220001,54.349998,45.380531,134900
2015-12-10,54.320000,54.320000,53.130001,53.250000,44.462074,241300
2015-12-11,51.950001,53.200001,51.950001,52.680000,44.386242,203200
2015-12-14,52.599998,53.090000,52.570000,52.799999,44.487350,260100
2015-12-15,53.009998,53.680000,53.009998,53.490002,45.068722,184200
2015-12-16,53.740002,55.150002,53.610001,54.880001,46.239887,224200
2015-12-17,55.040001,55.380001,54.689999,54.889999,46.248302,256400
2015-12-18,54.709999,55.389999,53.849998,54.230000,45.692215,992600
2015-12-21,54.450001,54.450001,53.110001,53.459999,45.043434,418900
2015-12-22,53.259998,54.099998,52.860001,54.009998,45.506851,261900
2015-12-23,54.029999,54.790001,52.650002,54.610001,46.012394,301000
2015-12-24,54.599998,54.750000,54.340000,54.520000,45.936546,175900
2015-12-28,54.430000,55.070000,54.160000,54.910000,46.265167,189900
2015-12-29,55.119999,55.480000,55.119999,55.299999,46.593754,153700
2015-12-30,55.340000,55.650002,55.180000,55.209999,46.517921,164900
2015-12-31,55.250000,55.250000,53.910000,54.250000,45.709064,303900
2016-01-04,54.020000,54.060001,52.759998,53.250000,44.866505,534100
2016-01-05,53.270000,54.020000,52.380001,53.930000,45.439445,264500
2016-01-06,53.590000,54.529999,53.480000,54.180000,45.650082,378300
2016-01-07,53.660000,53.980000,53.189999,53.500000,45.077145,457300
2016-01-08,53.639999,53.959999,52.750000,52.810001,44.495777,506600
2016-01-11,52.959999,53.490002,52.959999,53.310001,44.917057,243800
2016-01-12,53.689999,53.689999,52.779999,53.500000,45.077145,317100
2016-01-13,53.500000,54.400002,53.349998,53.689999,45.237232,249500
2016-01-14,53.750000,54.970001,53.630001,54.549999,45.961830,211100
2016-01-15,53.570000,54.330002,52.680000,53.730000,45.270935,288800
2016-01-19,54.080002,54.750000,53.330002,54.570000,45.978691,225900
2016-01-20,54.209999,54.669998,52.160000,53.200001,44.824387,249900
2016-01-21,53.220001,53.439999,52.169998,52.470001,44.209309,198700
2016-01-22,52.700001,53.599998,52.330002,53.560001,45.127701,216600
2016-01-25,53.669998,54.400002,52.740002,52.849998,44.529480,146300
2016-01-26,53.060001,53.820000,53.060001,53.240002,44.858086,148200
2016-01-27,53.090000,53.889999,52.810001,53.430000,45.018166,175400
2016-01-28,53.599998,54.820000,53.200001,54.389999,45.827030,170100
2016-01-29,54.810001,55.849998,54.770000,55.840000,47.048744,343400
2016-02-01,55.619999,56.450001,55.490002,56.180000,47.335224,258500
2016-02-02,55.900002,56.540001,55.740002,56.520000,47.621685,313400
2016-02-03,56.750000,57.669998,56.590000,57.529999,48.472672,385600
2016-02-04,57.330002,57.810001,57.070000,57.389999,48.354717,405400
2016-02-05,57.080002,57.950001,56.450001,57.410000,48.371567,251900
