Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,44.299999,44.759998,44.029999,44.279999,37.928329,128600
2015-09-23,44.340000,44.549999,44.040001,44.240002,37.894073,109200
2015-09-24,44.150002,45.000000,44.150002,44.970001,38.519363,106400
2015-09-25,45.080002,45.990002,44.910000,45.369999,38.861980,113700
2015-09-28,45.380001,45.860001,45.279999,45.470001,38.947639,174500
2015-09-29,45.459999,45.619999,44.779999,44.869999,38.433701,136900
2015-09-30,44.910000,45.919998,44.799999,45.840000,39.264565,126000
2015-10-01,45.930000,46.020000,45.029999,45.389999,38.879105,97800
2015-10-02,45.430000,46.099998,45.340000,46.099998,39.487263,93300
2015-10-05,46.310001,46.889999,46.000000,46.840000,40.121120,92800
2015-10-06,46.709999,46.720001,46.080002,46.240002,39.607185,88700
2015-10-07,46.360001,46.730000,46.250000,46.470001,39.804195,92200
2015-10-08,46.470001,47.279999,46.330002,47.240002,40.463741,102900
2015-10-09,47.270000,47.299999,46.630001,46.930000,40.198208,76600
2015-10-12,47.060001,47.680000,46.880001,47.290001,40.506573,92700
2015-10-13,47.220001,47.400002,46.689999,46.770000,40.061165,59900
2015-10-14,46.759998,47.070000,46.520000,46.580002,39.898422,105600
2015-10-15,46.639999,47.799999,46.410000,47.790001,40.934849,142000
2015-10-16,47.880001,48.250000,47.689999,47.990002,41.106155,59800
2015-10-19,47.900002,48.230000,47.750000,48.150002,41.243202,69900
2015-10-20,48.060001,48.610001,47.980000,48.389999,41.448784,127100
2015-10-21,48.349998,48.520000,47.820000,48.000000,41.114719,89900
2015-10-22,48.150002,48.490002,47.990002,48.389999,41.448784,62200
2015-10-23,48.459999,48.459999,47.279999,47.650002,40.814930,62400
2015-10-26,47.959999,48.470001,47.240002,48.340000,41.405960,113300
2015-10-27,48.099998,48.450001,47.689999,48.330002,41.397392,202400
2015-10-28,48.020000,48.349998,47.279999,48.240002,41.724335,233700
2015-10-29,47.880001,47.880001,46.970001,47.360001,40.963203,87600
2015-10-30,47.209999,47.950001,47.160000,47.770000,41.317818,144700
2015-11-02,47.730000,47.919998,47.340000,47.689999,41.248623,190900
2015-11-03,47.910000,47.910000,46.209999,47.049999,40.695072,140100
2015-11-04,47.119999,48.310001,47.090000,47.529999,41.110233,166500
2015-11-05,47.520000,47.830002,47.099998,47.630001,41.196728,90000
2015-11-06,47.119999,47.119999,45.380001,45.950001,39.743641,150600
2015-11-09,45.779999,46.070000,45.389999,45.900002,39.700397,139500
2015-11-10,45.860001,47.220001,45.860001,46.610001,40.314495,190400
2015-11-11,46.630001,46.950001,46.570000,46.840000,40.513432,50100
2015-11-12,46.740002,47.189999,46.099998,46.139999,39.907978,78200
2015-11-13,46.090000,46.779999,46.060001,46.130001,39.899319,124300
2015-11-16,46.150002,46.889999,46.150002,46.840000,40.513432,82300
2015-11-17,46.740002,47.110001,46.270000,46.470001,40.193401,139100
2015-11-18,46.450001,47.209999,46.049999,47.110001,40.746956,88200
2015-11-19,47.270000,47.799999,47.220001,47.740002,41.291870,119900
2015-11-20,48.000000,48.340000,47.759998,47.959999,41.482147,71700
2015-11-23,47.900002,48.180000,47.660000,47.990002,41.508102,93200
2015-11-24,47.880001,48.130001,47.360001,48.099998,41.603249,69700
2015-11-25,48.070000,48.070000,47.759998,47.980000,41.499454,94200
2015-11-27,48.040001,48.500000,47.790001,48.290001,41.767578,35900
2015-11-30,48.500000,48.910000,48.279999,48.799999,42.208691,211800
2015-12-01,48.889999,49.169998,48.810001,49.009998,42.390335,146400
2015-12-02,49.009998,49.130001,48.820000,48.980000,42.364384,224800
2015-12-03,48.869999,48.930000,48.150002,48.259998,41.741638,205100
2015-12-04,48.270000,48.799999,48.009998,48.700001,42.122204,88100
2015-12-07,48.669998,48.910000,48.380001,48.860001,42.260593,109600
2015-12-08,48.759998,49.820000,48.669998,49.580002,42.883350,163500
2015-12-09,49.369999,49.820000,48.820000,49.099998,42.468174,147100
2015-12-10,49.049999,49.139999,48.570000,48.810001,42.217346,278500
2015-12-11,48.110001,48.910000,47.830002,47.939999,41.464851,102500
2015-12-14,47.950001,48.330002,47.820000,48.049999,41.559994,114100
2015-12-15,48.150002,48.610001,47.779999,48.580002,42.018410,132300
2015-12-16,48.520000,49.900002,48.490002,49.759998,43.039032,183900
2015-12-17,49.930000,50.290001,49.540001,49.980000,43.229321,156200
2015-12-18,49.639999,50.099998,48.880001,49.619999,42.917946,292600
2015-12-21,49.619999,49.939999,49.130001,49.380001,42.710354,81000
2015-12-22,49.360001,49.970001,49.029999,49.950001,43.203369,85500
2015-12-23,50.049999,50.750000,50.049999,50.709999,43.860718,86700
2015-12-24,50.889999,51.139999,50.680000,50.860001,43.990459,37800
2015-12-28,50.830002,51.500000,50.830002,51.480000,44.526718,122300
2015-12-29,51.509998,51.849998,51.349998,51.549999,44.587261,98300
2015-12-30,51.560001,51.770000,51.299999,51.459999,44.509418,73200
2015-12-31,51.480000,51.480000,50.290001,50.610001,43.774231,100500
2016-01-04,50.139999,50.750000,49.759998,49.900002,43.160130,131100
2016-01-05,49.980000,50.509998,49.380001,50.419998,43.609890,116200
2016-01-06,50.009998,50.869999,50.009998,50.849998,43.981808,107100
2016-01-07,50.180000,51.110001,50.139999,50.860001,43.990459,205800
2016-01-08,51.000000,51.250000,50.790001,51.000000,44.111549,200800
2016-01-11,50.990002,51.619999,50.810001,51.439999,44.492107,149800
2016-01-12,51.660000,51.810001,50.549999,50.849998,43.981808,154400
2016-01-13,50.849998,51.180000,50.240002,50.320000,43.523399,130200
2016-01-14,50.389999,51.220001,50.349998,50.980000,44.094254,193100
2016-01-15,50.099998,50.750000,49.619999,50.110001,43.341755,186700
2016-01-19,49.959999,51.279999,49.910000,51.020000,44.128841,192400
2016-01-20,50.880001,51.040001,49.650002,50.130001,43.359055,181800
2016-01-21,50.349998,50.349998,49.299999,49.650002,42.943886,157600
2016-01-22,49.700001,50.720001,49.540001,50.590000,43.756920,198500
2016-01-25,50.549999,50.770000,49.720001,49.889999,43.151474,104800
2016-01-26,50.000000,50.740002,50.000000,50.529999,43.705025,111000
2016-01-27,49.869999,50.439999,49.389999,49.790001,43.467571,124900
2016-01-28,49.630001,50.860001,49.599998,50.689999,44.253288,187800
2016-01-29,51.000000,52.009998,50.990002,51.950001,45.353291,353700
2016-02-01,51.810001,52.490002,51.470001,52.189999,45.562805,150300
2016-02-02,52.090000,52.480000,51.889999,52.480000,45.815983,272500
2016-02-03,52.500000,53.119999,52.349998,52.799999,46.095352,170400
2016-02-04,52.730000,52.830002,52.110001,52.299999,45.658844,179700
2016-02-05,52.080002,52.279999,51.570000,51.830002,45.248531,211200
