Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,9.800000,9.950000,9.770000,9.850000,4.449127,369100
2015-09-23,9.630000,9.880000,9.600000,9.660000,4.426216,229100
2015-09-24,9.620000,9.890000,9.600000,9.830000,4.504110,208100
2015-09-25,9.800000,9.860000,9.560000,9.560000,4.380394,227100
2015-09-28,9.520000,9.560000,9.200000,9.360000,4.288757,499600
2015-09-29,9.320000,9.400000,9.050000,9.100000,4.169624,318600
2015-09-30,9.140000,9.270000,8.990000,9.250000,4.238353,460300
2015-10-01,9.280000,9.290000,9.100000,9.220000,4.224609,186200
2015-10-02,9.140000,9.280000,9.140000,9.270000,4.247518,179900
2015-10-05,9.290000,9.750000,9.290000,9.720000,4.453708,385200
2015-10-06,9.720000,9.970000,9.720000,9.860000,4.517856,368700
2015-10-07,9.900000,10.000000,9.820000,10.000000,4.582005,303600
2015-10-08,10.020000,10.210000,9.960000,10.160000,4.655315,285900
2015-10-09,10.160000,10.160000,9.510000,9.540000,4.371233,589700
2015-10-12,9.500000,9.770000,9.440000,9.740000,4.462873,325100
2015-10-13,9.740000,9.830000,9.610000,9.630000,4.412472,205400
2015-10-14,9.600000,9.830000,9.500000,9.700000,4.444543,254600
2015-10-15,9.770000,9.890000,9.550000,9.890000,4.531602,223900
2015-10-16,9.940000,9.940000,9.660000,9.800000,4.490366,227900
2015-10-19,9.810000,9.950000,9.750000,9.790000,4.485783,193700
2015-10-20,9.820000,9.950000,9.750000,9.890000,4.531602,249100
2015-10-21,9.960000,10.090000,9.820000,9.900000,4.536185,507500
2015-10-22,9.760000,10.150000,9.720000,10.120000,4.703502,582100
2015-10-23,10.150000,10.150000,10.030000,10.130000,4.708151,159500
2015-10-26,10.120000,10.140000,9.790000,9.820000,4.564073,288100
2015-10-27,9.810000,9.840000,9.410000,9.480000,4.406049,440700
2015-10-28,9.510000,9.910000,9.510000,9.910000,4.605899,340100
2015-10-29,9.850000,9.900000,9.330000,9.390000,4.364219,525200
2015-10-30,8.800000,9.320000,8.800000,8.880000,4.127185,1256600
2015-11-02,8.900000,9.160000,8.860000,8.960000,4.164366,440600
