Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,4.360000,4.560000,4.300000,4.440000,1.853561,145700
2015-09-23,4.450000,4.490000,4.270000,4.270000,1.782591,146500
2015-09-24,4.270000,4.360000,4.220000,4.260000,1.778416,136900
2015-09-25,4.280000,4.300000,4.220000,4.230000,1.765892,119200
2015-09-28,4.210000,4.210000,4.060000,4.070000,1.699097,227500
2015-09-29,4.050000,4.110000,4.000000,4.000000,1.669875,235400
2015-09-30,4.040000,4.290000,4.000000,4.270000,1.782591,273400
2015-10-01,4.270000,4.320000,4.080000,4.110000,1.715796,104500
2015-10-02,4.090000,4.320000,4.090000,4.310000,1.799290,131300
2015-10-05,4.340000,4.490000,4.330000,4.490000,1.874434,137900
2015-10-06,4.480000,4.740000,4.400000,4.650000,1.941229,208800
2015-10-07,4.750000,4.800000,4.540000,4.680000,1.953753,252000
2015-10-08,4.670000,4.720000,4.630000,4.630000,1.932880,187100
2015-10-09,4.650000,4.960000,4.650000,4.910000,2.049771,512200
2015-10-12,4.910000,4.980000,4.800000,4.830000,2.016374,169700
2015-10-13,4.800000,4.990000,4.770000,4.810000,2.008024,137400
2015-10-14,4.800000,4.950000,4.660000,4.740000,1.978801,204500
2015-10-15,4.740000,4.820000,4.620000,4.810000,2.008024,97300
2015-10-16,4.790000,4.960000,4.700000,4.930000,2.058120,130100
2015-10-19,4.900000,4.900000,4.710000,4.770000,1.991325,83300
2015-10-20,4.790000,4.900000,4.770000,4.890000,2.041422,146400
2015-10-21,4.850000,4.900000,4.760000,4.820000,2.012199,108100
2015-10-22,4.920000,4.920000,4.810000,4.840000,2.020548,119700
2015-10-23,4.850000,4.890000,4.760000,4.770000,1.991325,113600
2015-10-26,4.800000,4.800000,4.560000,4.640000,1.937054,184200
2015-10-27,4.550000,4.560000,4.380000,4.470000,1.866085,164900
2015-10-28,4.460000,4.720000,4.430000,4.540000,1.895308,244500
2015-10-29,4.570000,4.710000,4.510000,4.600000,1.920356,128600
2015-10-30,4.370000,4.440000,4.100000,4.390000,1.832687,523000
2015-11-02,4.300000,4.530000,4.260000,4.510000,1.882784,183700
2015-11-03,4.500000,4.790000,4.500000,4.680000,1.953753,262800
2015-11-04,4.680000,4.750000,4.490000,4.680000,1.953753,234700
2015-11-05,4.660000,4.730000,4.570000,4.640000,1.937054,158100
2015-11-06,4.600000,4.670000,4.450000,4.590000,1.916181,219200
2015-11-09,4.620000,4.670000,4.370000,4.430000,1.849386,382100
2015-11-10,4.140000,4.230000,3.970000,3.980000,1.760899,299900
2015-11-11,3.910000,3.950000,3.600000,3.830000,1.694533,563600
2015-11-12,3.750000,3.820000,3.680000,3.750000,1.659138,195700
2015-11-13,3.750000,4.010000,3.730000,3.870000,1.712231,297600
2015-11-16,3.850000,4.050000,3.830000,4.000000,1.769748,267400
2015-11-17,3.940000,3.990000,3.770000,3.770000,1.667987,189100
2015-11-18,3.780000,3.880000,3.630000,3.670000,1.623743,164700
2015-11-19,3.700000,3.740000,3.630000,3.700000,1.637017,128100
2015-11-20,3.700000,3.730000,3.610000,3.630000,1.606046,155900
2015-11-23,3.600000,3.900000,3.560000,3.680000,1.628168,391300
2015-11-24,3.710000,3.970000,3.710000,3.890000,1.721079,219600
2015-11-25,3.850000,3.950000,3.730000,3.910000,1.729928,231500
2015-11-27,3.990000,4.010000,3.910000,3.980000,1.760899,169600
2015-11-30,3.930000,4.230000,3.880000,4.100000,1.813991,342300
2015-12-01,4.150000,4.150000,3.840000,3.900000,1.725504,184200
