Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,7.130000,7.180000,7.120000,7.180000,5.482169,106600
2015-09-23,7.160000,7.200000,7.140000,7.160000,5.466898,64400
2015-09-24,7.160000,7.180000,7.110000,7.110000,5.428722,59000
2015-09-25,7.140000,7.160000,7.100000,7.120000,5.436357,87400
2015-09-28,7.110000,7.160000,7.100000,7.110000,5.428722,138000
2015-09-29,7.110000,7.190000,7.110000,7.190000,5.489805,93400
2015-09-30,7.190000,7.190000,7.150000,7.150000,5.459266,117100
2015-10-01,7.190000,7.200000,7.150000,7.150000,5.459266,52300
2015-10-02,7.180000,7.230000,7.170000,7.170000,5.474534,148300
2015-10-05,7.200000,7.240000,7.200000,7.220000,5.512711,68900
2015-10-06,7.220000,7.240000,7.210000,7.230000,5.520347,41700
2015-10-07,7.210000,7.250000,7.210000,7.250000,5.535618,55400
2015-10-08,7.240000,7.250000,7.220000,7.250000,5.535618,41000
2015-10-09,7.250000,7.250000,7.220000,7.250000,5.535618,43800
2015-10-12,7.240000,7.260000,7.150000,7.190000,5.489805,138900
2015-10-13,7.190000,7.240000,7.180000,7.200000,5.497440,80000
2015-10-14,7.220000,7.230000,7.180000,7.180000,5.482169,68500
2015-10-15,7.220000,7.240000,7.200000,7.240000,5.527983,138400
2015-10-16,7.240000,7.240000,7.200000,7.240000,5.527983,65500
2015-10-19,7.230000,7.240000,7.200000,7.200000,5.497440,164000
2015-10-20,7.220000,7.250000,7.220000,7.250000,5.535618,36400
2015-10-21,7.240000,7.260000,7.210000,7.260000,5.570916,54400
2015-10-22,7.240000,7.300000,7.240000,7.300000,5.601611,114400
2015-10-23,7.300000,7.300000,7.220000,7.250000,5.563243,99800
2015-10-26,7.250000,7.270000,7.190000,7.190000,5.517201,179500
2015-10-27,7.200000,7.230000,7.150000,7.160000,5.494180,314000
2015-10-28,7.190000,7.210000,7.150000,7.190000,5.517201,234400
2015-10-29,7.180000,7.250000,7.170000,7.240000,5.555568,79200
2015-10-30,7.250000,7.300000,7.230000,7.300000,5.601611,105200
2015-11-02,7.300000,7.330000,7.280000,7.330000,5.624630,125700
2015-11-03,7.340000,7.350000,7.270000,7.310000,5.609282,72600
2015-11-04,7.310000,7.320000,7.270000,7.280000,5.586264,89900
2015-11-05,7.310000,7.320000,7.260000,7.280000,5.586264,191000
2015-11-06,7.270000,7.270000,7.170000,7.180000,5.509528,177900
2015-11-09,7.180000,7.180000,7.120000,7.120000,5.463485,180100
2015-11-10,7.160000,7.210000,7.110000,7.210000,5.532550,170100
2015-11-11,7.220000,7.240000,7.190000,7.230000,5.547895,42800
2015-11-12,7.230000,7.270000,7.190000,7.270000,5.578589,169500
2015-11-13,7.260000,7.300000,7.200000,7.290000,5.593936,89700
