Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,75.900002,76.209999,75.070000,75.839996,62.122585,2486600
2015-09-23,76.160004,76.839996,75.760002,76.230003,62.442028,2390800
2015-09-24,75.389999,76.239998,74.650002,76.029999,62.278206,2864100
2015-09-25,77.209999,78.029999,76.769997,77.250000,63.277546,2654000
2015-09-28,76.660004,76.660004,74.440002,74.540001,61.057701,2800500
2015-09-29,74.800003,75.300003,73.949997,74.989998,61.426319,2333700
2015-09-30,76.330002,76.589996,75.120003,76.209999,62.425648,2457800
2015-10-01,76.379997,76.900002,75.059998,76.300003,62.499382,1984100
2015-10-02,73.669998,75.400002,73.190002,75.400002,61.762165,3182100
2015-10-05,75.790001,77.430000,75.790001,77.279999,63.302101,2204800
2015-10-06,76.959999,77.430000,76.370003,76.709999,62.835220,1622100
2015-10-07,77.209999,78.389999,76.919998,77.779999,63.711685,2052000
2015-10-08,77.290001,78.550003,77.190002,78.279999,64.121246,1927100
2015-10-09,78.349998,79.029999,77.379997,78.080002,63.957432,1771200
2015-10-12,77.910004,78.349998,77.540001,77.940002,63.842743,1223900
2015-10-13,77.199997,78.110001,77.010002,77.150002,63.195656,1774800
2015-10-14,76.959999,77.639999,75.889999,76.500000,62.663197,1954800
2015-10-15,77.309998,78.500000,76.410004,78.389999,64.211365,2295100
2015-10-16,78.779999,79.339996,78.239998,79.269997,64.932190,2169500
2015-10-19,78.720001,79.430000,78.610001,79.209999,64.883041,1271700
2015-10-20,79.199997,80.019997,79.050003,79.769997,65.341743,1825800
2015-10-21,80.000000,80.779999,79.250000,79.360001,65.005898,1881600
2015-10-22,80.180000,82.230003,80.120003,81.400002,66.676926,2623800
2015-10-23,82.489998,82.519997,81.419998,82.480003,67.561592,2920800
2015-10-26,82.269997,82.500000,81.510002,82.080002,67.233925,1403000
2015-10-27,81.190002,81.500000,80.150002,80.510002,65.947899,2345200
2015-10-28,81.089996,84.019997,80.769997,83.959999,68.773880,2543600
2015-10-29,84.040001,84.919998,82.889999,83.410004,68.323372,2503300
2015-10-30,83.419998,83.580002,82.480003,82.500000,67.577957,1968200
2015-11-02,82.820000,84.550003,82.510002,84.169998,68.945915,2700100
2015-11-03,83.680000,85.680000,83.680000,85.019997,69.642181,2870600
2015-11-04,85.029999,85.519997,84.089996,84.419998,69.150681,2721100
2015-11-05,84.790001,85.400002,83.480003,84.349998,69.093353,2888900
2015-11-06,86.279999,88.769997,86.139999,87.690002,71.829224,3961000
