Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,80.129997,80.129997,77.419998,78.089996,65.725044,825200
2015-09-23,78.279999,78.279999,75.989998,76.779999,64.622475,711500
2015-09-24,76.050003,76.139999,74.279999,75.010002,63.132740,945100
2015-09-25,75.629997,75.779999,74.550003,75.129997,63.233742,793100
2015-09-28,74.809998,74.809998,73.099998,73.580002,61.929173,1127300
2015-09-29,73.629997,75.599998,72.660004,73.519997,61.878666,716400
2015-09-30,74.500000,75.639999,73.480003,74.040001,62.316330,682800
2015-10-01,74.040001,74.540001,71.500000,71.839996,60.464687,1780500
2015-10-02,70.760002,71.559998,69.550003,71.550003,60.220592,1652900
2015-10-05,72.230003,74.519997,72.230003,74.010002,62.291080,1120900
2015-10-06,73.750000,74.510002,72.800003,73.180000,61.592503,755900
2015-10-07,73.629997,74.910004,73.070000,74.129997,62.392090,684900
2015-10-08,73.800003,75.260002,73.750000,75.129997,63.233742,566000
2015-10-09,75.279999,76.330002,75.160004,75.879997,63.864986,643100
2015-10-12,75.800003,76.080002,74.639999,75.650002,63.671410,483000
2015-10-13,71.309998,71.650002,68.239998,68.629997,57.762970,5169800
2015-10-14,68.820000,71.309998,68.620003,71.120003,59.858688,2523200
2015-10-15,71.430000,73.360001,70.629997,73.290001,61.685093,1314600
2015-10-16,73.389999,74.190002,71.110001,71.949997,60.557262,1436000
2015-10-19,71.580002,72.250000,71.470001,72.120003,60.700348,830900
2015-10-20,71.680000,72.849998,71.529999,72.269997,60.826611,983500
2015-10-21,72.769997,72.989998,71.820000,72.000000,60.599350,917700
2015-10-22,71.550003,73.339996,70.680000,71.370003,60.069103,1241600
2015-10-23,71.769997,72.430000,68.820000,70.330002,59.193768,1593300
2015-10-26,70.239998,71.150002,70.160004,70.650002,59.463123,753200
2015-10-27,69.889999,69.980003,67.750000,68.239998,57.434731,951800
2015-10-28,68.629997,69.470001,68.070000,69.419998,58.427876,1023900
2015-10-29,69.419998,71.720001,69.400002,71.629997,60.287933,1049000
2015-10-30,71.510002,72.320000,71.000000,71.779999,60.414169,511600
2015-11-02,71.769997,73.419998,71.709999,72.980003,61.424175,670600
2015-11-03,72.660004,73.169998,71.410004,72.389999,60.927597,682800
2015-11-04,72.389999,72.389999,71.239998,71.529999,60.203770,688300
2015-11-05,71.790001,72.160004,71.209999,71.889999,60.506767,346200
2015-11-06,71.800003,72.070000,71.209999,71.879997,60.498344,450300
2015-11-09,71.680000,71.940002,69.629997,70.750000,59.547298,732000
2015-11-10,70.629997,70.989998,68.260002,68.959999,58.040710,1057900
2015-11-11,69.070000,69.620003,68.779999,69.110001,58.166965,547000
2015-11-12,68.570000,68.959999,66.589996,66.680000,56.121735,961600
2015-11-13,66.559998,67.330002,65.550003,65.690002,55.288490,743100
2015-11-16,65.260002,66.080002,64.849998,66.029999,55.574654,655000
2015-11-17,66.360001,66.970001,65.370003,66.010002,55.557819,795200
2015-11-18,66.500000,67.010002,65.300003,66.550003,56.012321,710200
2015-11-19,66.160004,67.930000,65.980003,67.620003,57.265690,705400
2015-11-20,67.889999,67.989998,66.839996,66.949997,56.698284,525700
2015-11-23,66.980003,67.339996,65.459999,65.620003,55.571941,725100
2015-11-24,65.110001,66.309998,64.709999,66.160004,56.029243,556000
2015-11-25,66.230003,66.529999,65.720001,66.190002,56.054657,508900
2015-11-27,66.389999,66.930000,66.139999,66.559998,56.368008,172000
2015-11-30,66.599998,67.080002,65.889999,65.959999,55.859875,676800
2015-12-01,66.120003,67.000000,65.540001,66.900002,56.655941,564500
2015-12-02,66.580002,66.580002,63.869999,64.500000,54.623436,952200
2015-12-03,64.459999,64.610001,61.720001,62.279999,52.743370,1137300
2015-12-04,61.810001,62.470001,60.060001,60.650002,51.362968,1737200
2015-12-07,60.490002,60.619999,58.799999,59.279999,50.202744,1119900
2015-12-08,58.810001,58.990002,57.709999,58.020000,49.135685,1287000
2015-12-09,57.560001,58.820000,57.259998,57.730000,48.890095,1186700
2015-12-10,58.070000,58.750000,57.849998,57.980000,49.101822,929200
2015-12-11,57.220001,57.630001,56.020000,56.220001,47.611317,1741300
2015-12-14,56.349998,56.610001,54.650002,55.119999,46.679752,1113000
2015-12-15,55.529999,57.060001,55.419998,56.490002,47.839973,999000
2015-12-16,56.750000,59.400002,56.750000,59.259998,50.185818,1455400
2015-12-17,59.700001,59.910000,56.639999,56.669998,47.992409,1009100
2015-12-18,55.980000,56.029999,53.540001,54.080002,45.799011,2016200
2015-12-21,54.500000,55.279999,53.810001,54.029999,45.756668,865100
2015-12-22,54.360001,56.099998,54.360001,55.889999,47.331848,830600
2015-12-23,55.970001,58.220001,55.759998,57.810001,48.957848,755100
2015-12-24,57.660000,58.130001,57.619999,57.669998,48.839287,275500
2015-12-28,57.250000,57.540001,55.990002,56.430000,47.789154,496600
2015-12-29,56.930000,57.320000,56.500000,57.220001,48.458195,483700
2015-12-30,57.049999,57.389999,56.349998,56.560001,47.899246,360000
2015-12-31,56.150002,57.500000,56.119999,56.830002,48.127907,511000
2016-01-04,55.950001,57.200001,55.250000,56.900002,48.187199,1119900
2016-01-05,57.040001,57.380001,55.880001,56.610001,47.941593,650000
2016-01-06,55.700001,55.759998,53.619999,54.080002,45.799011,648000
2016-01-07,51.330002,52.549999,51.139999,52.040001,44.071381,1673000
2016-01-08,52.230000,52.340000,50.470001,50.560001,42.818005,1203900
2016-01-11,50.919998,51.080002,49.529999,50.459999,42.733322,1278800
2016-01-12,51.009998,51.549999,49.740002,51.080002,43.258389,994600
2016-01-13,51.330002,51.889999,49.639999,49.970001,42.318348,1248400
2016-01-14,50.169998,51.110001,48.889999,50.369999,42.657093,842700
2016-01-15,48.630001,49.450001,47.700001,49.250000,41.708599,748700
2016-01-19,49.910000,50.160000,47.259998,47.790001,40.472157,1040500
2016-01-20,46.959999,49.139999,45.119999,48.320000,40.921001,1685200
2016-01-21,48.310001,50.799999,47.750000,49.520000,41.937248,969300
2016-01-22,50.430000,51.959999,49.900002,50.639999,42.885757,996100
2016-01-25,50.369999,50.630001,48.779999,48.919998,41.429123,561900
2016-01-26,49.360001,52.639999,49.080002,52.549999,44.503292,897200
2016-01-27,52.340000,53.740002,51.459999,51.740002,43.817322,1092900
2016-01-28,52.139999,52.320000,50.099998,50.900002,43.105938,1157800
2016-01-29,51.160000,53.250000,51.040001,53.169998,45.028351,829700
2016-02-01,52.500000,55.470001,52.500000,54.700001,46.324078,2520400
2016-02-02,53.889999,55.189999,51.099998,51.520000,43.631004,3189300
2016-02-03,51.650002,52.220001,49.419998,51.950001,43.995159,1585500
2016-02-04,52.049999,56.880001,52.049999,56.709999,48.026287,1766200
2016-02-05,56.700001,57.299999,55.669998,57.119999,48.373505,1242600
2016-02-08,56.459999,56.459999,54.959999,55.970001,47.399609,892200
2016-02-09,55.000000,56.360001,54.599998,55.650002,47.128601,1108300
2016-02-10,56.000000,56.730000,54.880001,55.320000,46.849133,770400
2016-02-11,54.160000,54.500000,51.110001,52.470001,44.435535,1551100
2016-02-12,52.980000,54.610001,51.639999,54.139999,45.849815,956200
2016-02-16,54.619999,56.869999,53.349998,56.290001,47.670605,1067800
2016-02-17,57.090000,58.790001,56.520000,58.130001,49.228855,1091900
2016-02-18,57.900002,58.049999,56.750000,57.959999,49.433537,809400
2016-02-19,57.529999,57.599998,55.639999,56.150002,47.889812,767600
2016-02-22,56.880001,58.570000,56.880001,58.520000,49.911160,714200
2016-02-23,57.869999,58.049999,56.160000,56.630001,48.299202,722600
2016-02-24,55.599998,56.509998,54.270000,56.389999,48.094501,752800
2016-02-25,56.590000,57.290001,54.820000,56.230000,47.958042,794100
2016-02-26,56.639999,58.349998,56.320000,57.680000,49.194733,667500
2016-02-29,57.750000,57.930000,56.709999,56.720001,48.375965,563500
2016-03-01,57.240002,58.849998,56.799999,58.490002,49.885574,680500
2016-03-02,58.310001,59.540001,58.040001,58.520000,49.911160,1026600
2016-03-03,58.160000,60.279999,58.160000,60.150002,51.301373,884600
2016-03-04,60.400002,62.139999,59.520000,61.540001,52.486893,1148000
2016-03-07,61.310001,63.070000,61.139999,62.820000,53.578590,1203700
2016-03-08,62.200001,62.869999,59.680000,59.770000,50.977272,850200
2016-03-09,60.150002,60.990002,59.480000,60.849998,51.898399,684900
2016-03-10,61.320000,61.529999,58.840000,59.770000,50.977272,772800
2016-03-11,60.619999,62.049999,60.439999,61.400002,52.367485,698200
2016-03-14,60.799999,61.709999,60.240002,61.299999,52.282196,434800
2016-03-15,60.730000,61.450001,59.560001,60.040001,51.207558,713000
2016-03-16,59.840000,61.860001,59.590000,61.689999,52.614830,712200
