Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,18.740000,18.930000,18.549999,18.660000,9.513994,344400
2015-09-23,18.709999,18.780001,18.110001,18.160000,9.259064,231300
2015-09-24,18.040001,18.080000,17.719999,18.070000,9.213176,362600
2015-09-25,18.160000,18.160000,17.680000,17.750000,9.050021,383600
2015-09-28,17.670000,17.670000,17.059999,17.090000,8.713513,992500
2015-09-29,17.160000,17.190001,16.750000,16.840000,8.586049,1061800
2015-09-30,16.940001,17.010000,16.600000,16.980000,8.657429,738400
2015-10-01,16.980000,17.090000,16.440001,16.709999,8.519767,1073300
2015-10-02,16.480000,17.200001,16.330000,17.200001,8.769599,754000
2015-10-05,16.910000,17.570000,16.430000,17.570000,8.958246,1456400
2015-10-06,17.590000,17.930000,17.459999,17.700001,9.024529,569000
2015-10-07,17.780001,18.309999,17.650000,17.879999,9.116302,544200
2015-10-08,17.809999,18.670000,17.809999,18.549999,9.457909,501100
2015-10-09,18.639999,18.870001,18.360001,18.410000,9.386529,518600
2015-10-12,18.480000,18.480000,18.209999,18.280001,9.320247,270800
2015-10-13,18.180000,18.469999,18.040001,18.200001,9.279458,407500
2015-10-14,18.110001,18.110001,17.709999,17.840000,9.095909,492400
2015-10-15,17.570000,17.600000,16.780001,17.600000,8.973541,663600
2015-10-16,17.590000,17.660000,17.000000,17.170000,8.754302,410900
2015-10-19,17.040001,17.139999,16.969999,17.100000,8.718612,262700
2015-10-20,17.100000,17.540001,17.020000,17.500000,8.922556,543800
2015-10-21,17.570000,17.590000,17.330000,17.350000,8.846076,431300
2015-10-22,17.420000,18.070000,17.379999,18.000000,9.177486,641700
2015-10-23,18.190001,18.389999,18.040001,18.230000,9.294754,621700
2015-10-26,18.200001,18.340000,18.150000,18.170000,9.264162,442000
2015-10-27,18.020000,18.030001,17.570000,17.620001,8.983741,486400
2015-10-28,17.650000,18.600000,17.650000,18.530001,9.447713,847900
2015-10-29,18.450001,18.930000,18.410000,18.709999,9.539487,583900
2015-10-30,18.670000,18.750000,18.150000,18.480000,9.422219,539600
2015-11-02,18.459999,19.030001,18.379999,18.780001,9.575177,499200
2015-11-03,19.000000,19.200001,18.690001,18.879999,9.626163,947000
2015-11-04,19.379999,20.980000,19.350000,20.740000,10.574504,1635400
2015-11-05,20.770000,20.900000,20.120001,20.610001,10.508223,792500
2015-11-06,20.500000,20.620001,19.910000,20.290001,10.345066,688700
2015-11-09,20.230000,20.309999,19.620001,19.700001,10.044250,556000
2015-11-10,19.660000,20.219999,19.570000,19.830000,10.110531,815800
2015-11-11,19.860001,20.290001,19.670000,20.230000,10.314475,959000
2015-11-12,20.040001,20.160000,19.719999,19.950001,10.171715,618600
2015-11-13,19.850000,20.139999,19.680000,19.690001,10.039150,653700
2015-11-16,19.690001,19.940001,19.469999,19.740000,10.064643,525900
2015-11-17,19.799999,19.860001,19.379999,19.500000,9.942277,325800
2015-11-18,19.520000,19.920000,19.420000,19.900000,10.146220,591500
2015-11-19,19.809999,19.910000,19.520000,19.750000,10.069742,425900
2015-11-20,19.950001,20.260000,19.820000,20.000000,10.197207,348100
2015-11-23,19.930000,20.400000,19.930000,19.980000,10.187010,315700
2015-11-24,19.809999,20.360001,19.709999,20.320000,10.360361,461900
2015-11-25,20.400000,20.559999,20.240000,20.430000,10.416447,286500
2015-11-27,20.430000,20.430000,20.219999,20.360001,10.380757,146300
2015-11-30,20.459999,20.700001,20.379999,20.430000,10.416447,551800
2015-12-01,20.420000,20.709999,20.120001,20.320000,10.360361,447800
2015-12-02,20.260000,20.360001,20.059999,20.150000,10.273685,532600
2015-12-03,20.200001,20.219999,19.530001,19.629999,10.008557,367800
2015-12-04,19.600000,19.959999,19.360001,19.870001,10.130925,588300
2015-12-07,19.790001,19.790001,18.990000,19.110001,9.743431,492800
2015-12-08,18.830000,18.850000,18.520000,18.600000,9.483402,454700
2015-12-09,18.610001,18.910000,18.350000,18.480000,9.422219,913600
2015-12-10,18.459999,18.750000,18.370001,18.700001,9.534389,762500
2015-12-11,18.370001,18.559999,18.120001,18.500000,9.432416,669400
2015-12-14,18.440001,18.440001,17.799999,17.900000,9.126499,800300
2015-12-15,18.010000,18.059999,17.750000,17.930000,9.141797,532300
2015-12-16,18.000000,18.260000,17.629999,18.209999,9.284555,474500
2015-12-17,18.250000,18.280001,17.620001,17.660000,9.004133,422000
2015-12-18,17.570000,17.610001,17.379999,17.500000,8.922556,1194300
2015-12-21,17.590000,17.650000,17.360001,17.500000,8.922556,600600
2015-12-22,17.559999,18.120001,17.459999,18.110001,9.233572,662400
2015-12-23,18.219999,18.770000,18.219999,18.719999,9.544585,295300
2015-12-24,18.700001,18.959999,18.660000,18.670000,9.519093,101600
2015-12-28,18.559999,18.700001,18.190001,18.350000,9.355937,272400
2015-12-29,18.500000,18.690001,18.080000,18.389999,9.376330,265600
2015-12-30,18.350000,18.559999,18.260000,18.379999,9.371233,281900
2015-12-31,18.270000,18.379999,18.110001,18.120001,9.238670,383800
2016-01-04,17.770000,18.340000,17.549999,18.320000,9.340641,740500
2016-01-05,18.350000,18.350000,17.260000,17.719999,9.034725,732400
2016-01-06,17.379999,17.410000,16.930000,17.000000,8.667625,419600
2016-01-07,16.660000,16.719999,16.080000,16.200001,8.259738,474800
2016-01-08,16.270000,16.270000,15.650000,15.690000,7.999709,454600
2016-01-11,15.760000,15.760000,15.300000,15.650000,7.979314,471800
2016-01-12,15.870000,15.870000,15.150000,15.490000,7.897737,704700
2016-01-13,15.490000,15.730000,14.720000,14.810000,7.551032,509600
2016-01-14,14.790000,15.040000,14.510000,14.870000,7.581623,390400
2016-01-15,14.430000,14.780000,14.240000,14.720000,7.505145,701300
2016-01-19,14.830000,14.940000,14.370000,14.660000,7.474553,872800
2016-01-20,14.400000,14.810000,14.040000,14.700000,7.494947,623500
2016-01-21,14.700000,14.930000,14.380000,14.670000,7.479651,483100
2016-01-22,14.900000,15.360000,14.830000,15.180000,7.739680,475900
2016-01-25,15.080000,15.220000,14.720000,14.760000,7.525539,548200
2016-01-26,14.910000,15.680000,14.910000,15.600000,7.953821,437800
2016-01-27,15.500000,16.000000,15.360000,15.520000,7.913033,544100
2016-01-28,15.630000,15.790000,15.290000,15.390000,7.846751,284400
2016-01-29,15.470000,16.379999,15.470000,16.370001,8.346415,614800
2016-02-01,16.200001,16.230000,15.760000,16.100000,8.208752,505900
2016-02-02,15.740000,15.850000,15.260000,15.370000,7.836554,604700
2016-02-03,16.040001,17.360001,15.310000,16.549999,8.438188,1457200
2016-02-04,16.299999,17.540001,16.230000,17.230000,8.784894,1012400
2016-02-05,17.150000,17.639999,16.969999,17.000000,8.667625,606800
2016-02-08,16.830000,17.150000,16.400000,17.110001,8.723710,794600
2016-02-09,17.010000,17.760000,16.959999,17.520000,8.932754,795800
2016-02-10,17.590000,17.670000,17.129999,17.260000,8.800190,422100
2016-02-11,16.930000,17.440001,16.719999,17.090000,8.713513,576700
2016-02-12,17.330000,17.570000,16.840000,17.379999,8.861372,484400
2016-02-16,17.580000,17.700001,17.219999,17.480000,8.912359,358000
2016-02-17,17.670000,18.170000,17.670000,18.100000,9.228472,518300
2016-02-18,18.129999,18.139999,17.639999,17.809999,9.080613,297700
2016-02-19,17.690001,17.830000,17.410000,17.730000,9.039824,253400
2016-02-22,17.969999,18.379999,17.910000,18.120001,9.238670,391500
2016-02-23,18.080000,18.280001,17.690001,17.770000,9.060218,473500
2016-02-24,17.520000,18.040001,17.120001,18.030001,9.192782,205600
2016-02-25,18.049999,18.129999,17.840000,18.070000,9.213176,397100
2016-02-26,18.190001,18.379999,17.820000,18.010000,9.182586,389400
2016-02-29,18.059999,18.530001,18.059999,18.139999,9.248867,528300
2016-03-01,18.320000,18.910000,18.150000,18.690001,9.529290,224600
2016-03-02,18.660000,18.889999,18.410000,18.799999,9.585375,390200
2016-03-03,18.750000,19.120001,18.700001,18.930000,9.651656,409100
2016-03-04,18.889999,19.740000,18.670000,19.150000,9.763824,669300
2016-03-07,19.139999,19.930000,19.139999,19.780001,10.085038,754200
2016-03-08,19.620001,19.660000,19.230000,19.469999,9.926981,767800
2016-03-09,19.520000,19.520000,19.070000,19.120001,9.748530,545400
2016-03-10,19.230000,19.250000,18.450001,18.700001,9.534389,431200
2016-03-11,18.930000,19.590000,18.870001,19.570000,9.977967,343400
2016-03-14,19.549999,19.870001,19.469999,19.490000,9.937178,409500
2016-03-15,19.309999,19.330000,19.049999,19.100000,9.738334,270900
2016-03-16,19.059999,19.530001,18.959999,19.400000,9.891291,348100
2016-03-17,19.420000,20.250000,19.309999,20.059999,10.227798,442100
2016-03-18,20.260000,20.500000,19.870001,20.080000,10.237996,733300
2016-03-21,20.000000,20.280001,19.940001,20.080000,10.237996,355900
2016-03-22,19.940001,20.290001,19.930000,19.940001,10.166615,372700
2016-03-23,19.860001,20.120001,19.510000,19.510000,9.947375,347000
2016-03-24,19.389999,19.680000,19.170000,19.650000,10.018756,225800
2016-03-28,19.650000,19.770000,19.250000,19.440001,9.911686,256500
2016-03-29,19.420000,20.139999,19.330000,20.100000,10.248193,473900
2016-03-30,20.320000,20.629999,19.980000,20.209999,10.304276,719300
2016-03-31,20.240000,20.410000,20.049999,20.219999,10.309377,413400
2016-04-01,20.000000,20.750000,19.709999,20.700001,10.554110,560700
2016-04-04,20.700001,20.709999,20.129999,20.150000,10.273685,292600
2016-04-05,20.040001,20.139999,19.860001,19.900000,10.146220,262200
2016-04-06,19.930000,20.000000,19.440001,19.809999,10.100334,151700
