Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,5.430000,5.460000,5.380000,5.430000,4.467471,5993900
2015-09-23,5.390000,5.390000,5.270000,5.280000,4.344062,5869800
2015-09-24,5.220000,5.250000,5.130000,5.210000,4.286469,7595900
2015-09-25,5.260000,5.290000,5.200000,5.220000,4.294695,5440200
2015-09-28,5.170000,5.180000,5.110000,5.130000,4.220650,6690000
2015-09-29,5.210000,5.240000,5.170000,5.210000,4.286469,6747300
2015-09-30,5.270000,5.290000,5.200000,5.280000,4.344062,5123600
2015-10-01,5.300000,5.310000,5.210000,5.280000,4.344062,4762300
2015-10-02,5.220000,5.390000,5.210000,5.390000,4.434562,5189800
2015-10-05,5.500000,5.600000,5.500000,5.590000,4.599109,6255300
2015-10-06,5.630000,5.740000,5.630000,5.720000,4.706066,5050500
2015-10-07,5.940000,5.950000,5.830000,5.880000,4.837704,8236100
2015-10-08,5.800000,5.890000,5.780000,5.880000,4.837704,3956200
2015-10-09,6.030000,6.060000,5.980000,6.040000,4.969342,8871500
2015-10-12,5.980000,5.980000,5.910000,5.930000,4.878841,3899900
2015-10-13,5.750000,5.820000,5.740000,5.750000,4.730748,3500200
2015-10-14,5.770000,5.790000,5.700000,5.730000,4.714293,3464100
2015-10-15,5.650000,5.700000,5.620000,5.690000,4.725584,3020700
2015-10-16,5.770000,5.820000,5.760000,5.810000,4.825245,3061800
2015-10-19,5.750000,5.760000,5.700000,5.730000,4.758804,3016300
2015-10-20,5.650000,5.690000,5.630000,5.660000,4.700669,3665000
2015-10-21,5.730000,5.730000,5.670000,5.670000,4.708974,3892100
2015-10-22,5.730000,5.810000,5.730000,5.780000,4.800330,5394900
2015-10-23,5.790000,5.830000,5.750000,5.800000,4.816941,5597400
2015-10-26,5.750000,5.770000,5.700000,5.750000,4.775414,2328400
2015-10-27,5.650000,5.690000,5.610000,5.640000,4.684059,4210600
2015-10-28,5.620000,5.760000,5.620000,5.700000,4.733889,21050900
2015-10-29,5.510000,5.560000,5.480000,5.510000,4.576093,14366800
