Date,Open,High,Low,Close,Adj Close,Volume
2017-05-12,12.210000,12.470000,11.000000,11.550000,10.610158,4329500
2017-05-15,11.950000,12.000000,11.410000,11.750000,10.793883,575100
2017-05-16,11.880000,12.250000,11.620000,12.030000,11.051100,247400
2017-05-17,12.010000,12.200000,11.610000,12.040000,11.060287,263400
2017-05-18,12.020000,12.070000,11.760000,12.000000,11.023541,312100
2017-05-19,11.980000,12.110000,11.670000,11.850000,10.885748,166000
2017-05-22,11.950000,12.050000,11.750000,11.830000,10.867373,244900
2017-05-23,11.820000,12.010000,11.730000,11.850000,10.885748,149600
2017-05-24,11.810000,12.010000,11.720000,12.000000,11.023541,190200
2017-05-25,12.040000,12.137000,11.740000,12.000000,11.023541,284800
2017-05-26,11.960000,12.015000,11.770000,11.980000,11.005168,412700
2017-05-30,12.000000,12.049000,11.840000,11.870000,10.904119,436700
2017-05-31,11.790000,11.940000,11.300000,11.500000,10.564228,328800
2017-06-01,11.470000,12.000000,11.468000,11.700000,10.747951,171800
2017-06-02,11.670000,11.850000,11.630000,11.670000,10.720392,124200
2017-06-05,11.630000,11.770000,11.500000,11.560000,10.619346,167600
2017-06-06,11.800000,11.900000,11.440000,11.540000,10.600972,571500
2017-06-07,11.620000,11.652000,10.080000,10.360000,9.516991,738300
2017-06-08,10.340000,10.550000,9.895000,10.040000,9.223028,534700
2017-06-09,10.100000,10.240000,9.930000,9.970000,9.158727,437800
2017-06-12,10.050000,10.550000,10.050000,10.390000,9.544549,401100
2017-06-13,10.790000,11.688000,10.520000,11.340000,10.417246,558100
2017-06-14,11.270000,11.350000,10.900000,11.160000,10.251892,370700
2017-06-15,11.080000,11.380000,10.560000,11.130000,10.224336,243600
2017-06-16,11.080000,11.480000,11.000000,11.250000,10.334568,379300
2017-06-19,11.280000,11.380000,10.900000,11.260000,10.343757,172200
2017-06-20,11.190000,11.190000,10.600000,10.710000,9.838511,205200
2017-06-21,10.740000,11.000000,10.501000,10.900000,10.013049,143100
2017-06-22,10.830000,11.050000,10.110000,10.310000,9.471059,242200
2017-06-23,10.210000,10.800000,10.210000,10.730000,9.856882,1175600
2017-06-26,10.800000,10.890000,10.600000,10.740000,9.866069,105100
2017-06-27,10.740000,11.500000,10.740000,11.100000,10.196776,168800
2017-06-28,11.140000,11.970000,11.050000,11.430000,10.499923,168200
2017-06-29,11.330000,11.860000,11.330000,11.770000,10.812257,125900
2017-06-30,11.770000,11.900000,11.470000,11.530000,10.591785,103900
