Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,16.750000,16.900000,15.450000,15.600000,15.600000,8100
2015-09-23,15.700000,15.900000,15.200000,15.250000,15.250000,13500
2015-09-24,15.200000,15.350000,14.750000,15.100000,15.100000,16500
2015-09-25,15.050000,15.600000,15.000000,15.150000,15.150000,7800
2015-09-28,15.150000,15.350000,14.300000,14.350000,14.350000,13000
2015-09-29,14.450000,14.750000,13.950000,14.550000,14.550000,7800
2015-09-30,14.650000,14.850000,14.200000,14.300000,14.300000,9100
2015-10-01,14.650000,14.750000,14.100000,14.250000,14.250000,10400
2015-10-02,14.050000,14.450000,13.950000,14.400000,14.400000,9200
2015-10-05,14.500000,14.500000,13.950000,14.150000,14.150000,40500
2015-10-06,14.150000,15.850000,14.100000,15.650000,15.650000,31800
2015-10-07,15.750000,16.450001,15.750000,16.100000,16.100000,26900
2015-10-08,16.150000,16.400000,16.000000,16.100000,16.100000,12500
2015-10-09,16.200001,16.600000,16.049999,16.150000,16.150000,31600
2015-10-12,16.200001,16.200001,15.650000,16.100000,16.100000,11100
2015-10-13,15.850000,15.900000,15.250000,15.400000,15.400000,12800
2015-10-14,15.600000,15.900000,15.400000,15.700000,15.700000,17400
2015-10-15,15.650000,15.900000,15.350000,15.750000,15.750000,7000
2015-10-16,15.500000,15.500000,15.150000,15.450000,15.450000,4600
2015-10-19,15.400000,15.500000,14.900000,15.050000,15.050000,8600
2015-10-20,14.850000,15.000000,14.700000,14.750000,14.750000,3500
2015-10-21,14.750000,14.900000,14.400000,14.750000,14.750000,15100
2015-10-22,14.750000,15.450000,14.550000,14.700000,14.700000,15700
2015-10-23,14.600000,14.900000,14.600000,14.800000,14.800000,7600
2015-10-26,14.650000,14.900000,13.750000,13.900000,13.900000,23500
2015-10-27,13.750000,13.750000,12.600000,12.700000,12.700000,47600
2015-10-28,12.750000,13.000000,12.350000,12.600000,12.600000,33900
2015-10-29,12.650000,13.750000,12.650000,13.700000,13.700000,20900
2015-10-30,13.800000,13.800000,13.150000,13.400000,13.400000,11500
2015-11-02,13.550000,14.850000,13.450000,14.700000,14.700000,43000
2015-11-03,14.600000,15.000000,14.600000,14.950000,14.950000,14300
2015-11-04,14.800000,15.000000,14.300000,14.900000,14.900000,15000
2015-11-05,14.950000,14.950000,14.150000,14.300000,14.300000,6500
2015-11-06,14.300000,14.900000,13.650000,14.650000,14.650000,16200
2015-11-09,14.350000,14.700000,14.100000,14.300000,14.300000,10200
2015-11-10,14.300000,14.650000,13.800000,13.900000,13.900000,9700
2015-11-11,13.950000,13.950000,13.300000,13.450000,13.450000,12700
2015-11-12,13.050000,13.250000,12.800000,12.950000,12.950000,20400
2015-11-13,13.050000,13.200000,12.550000,13.100000,13.100000,23300
2015-11-16,12.900000,12.900000,10.750000,11.200000,11.200000,88200
2015-11-17,10.950000,11.350000,10.500000,10.700000,10.700000,23400
2015-11-18,10.550000,11.650000,10.500000,11.500000,11.500000,31000
2015-11-19,11.800000,11.800000,11.050000,11.400000,11.400000,10200
2015-11-20,11.350000,11.550000,11.050000,11.250000,11.250000,17200
2015-11-23,11.150000,11.200000,10.850000,11.000000,11.000000,21700
2015-11-24,10.950000,11.200000,10.550000,11.050000,11.050000,25000
2015-11-25,10.950000,11.100000,10.500000,10.900000,10.900000,42800
2015-11-27,10.750000,11.050000,10.650000,10.700000,10.700000,4500
2015-11-30,10.500000,10.600000,9.900000,10.050000,10.050000,61200
2015-12-01,10.100000,10.300000,10.000000,10.200000,10.200000,15500
2015-12-02,10.200000,10.300000,9.900000,9.900000,9.900000,31900
2015-12-03,9.950000,10.150000,9.800000,9.900000,9.900000,27900
2015-12-04,10.000000,10.150000,9.700000,10.000000,10.000000,33300
2015-12-07,9.800000,9.800000,9.050000,9.050000,9.050000,44400
2015-12-08,9.100000,9.450000,8.400000,8.800000,8.800000,23700
2015-12-09,8.550000,9.250000,8.550000,9.000000,9.000000,11700
2015-12-10,8.750000,9.050000,8.750000,8.900000,8.900000,15600
2015-12-11,8.600000,8.800000,8.000000,8.050000,8.050000,116200
2015-12-14,8.050000,8.150000,7.500000,7.550000,7.550000,71800
2015-12-15,7.550000,8.250000,7.550000,7.900000,7.900000,32800
2015-12-16,8.000000,8.200000,7.900000,8.150000,8.150000,18200
2015-12-17,8.100000,8.250000,7.800000,7.850000,7.850000,29000
2015-12-18,7.600000,7.850000,7.500000,7.800000,7.800000,22200
2015-12-21,7.800000,8.150000,7.800000,7.950000,7.950000,46800
2015-12-22,7.950000,8.750000,7.900000,8.550000,8.550000,35700
2015-12-23,8.400000,9.450000,8.300000,9.400000,9.400000,26400
2015-12-24,10.050000,10.050000,8.550000,8.650000,8.650000,19600
